Ohio D-I College Men's CC,College - Men ,12,4,2014
Cincinnati
0,SCOTT ALVERSON
01,Scott Schriner
02,Kieran Kelly
03,ALEXANDER MARK
04,DANIEL SCHUSTER
07,CHRIS KIESSLING
08,Timothy Hale
09,Brandon Cannell
10,IAN COLLINS
11,Christopher Misleh
14,Jacob Turner
15,Zachary Radcliff
16,Kyle Klingler
19,Joshua Fisher
21,Daniel Latz
22,ZACHARY WARNER
23,Steven Kolp
24,Alex Flamm
26,CLAY HOWARD
28,JOSHUA BRUGGEMAN
29,Grant  Dinan
31,Gregory Dinan
32,KEVIN STREET
33,Justin Latz
41,Adam Turner
85,CHRIS KISH
98,Lucas Tarnowski
b,r,e,a,k
Bowling Green
00,Bryan McDonagh
02,Greg Hamlin
04,Kenny Steinbauer
07,Sam Aldredge
08,Shawn Breen
12,Cody Goetting
14,Trevor Bittenbender
15,Jeffrey  Jenkins
18,Josh Medley
23,Brian Giguere
28,Nathan Mormino
30,Michael Hammond
33,Taylor Warat
57,Nate Glusich
78,Peter Ostapowicz
86,ARI BRUMMER
88,Michael Wenig
b,r,e,a,k
Case Western Reserve
0,Matthew Chin
0,Max Cormier
0,Michael Fioramonti
0,Jacob Lunn
0,Matthew Poole
0,Daniel Young
0,Dan Kwass
0,Nathan Olszowy
0,Eli Stoever
0,Matt McGoogan
0,MATT TEDESCO
0,Jake Rovner
0,JACOB HOOKS
0,Tianzhe Wang
0,Alexander Abbott
0,Chen-Haur Yeh
0,Steven Her
0,RYAN HAINES
0,Anthony Dario
0,Tarik Akyuz
00,Erik Lindberg
b,r,e,a,k
Wright State
 ,STEPHEN HARRELL
 ,COREY WELLMAN
 ,JT FISCHER
 ,Patrick McCarthy
 ,Jordan Kinde
 ,Aaron Schwieterman
 ,Collin Gregory
 ,Alex Williams
 ,Madison Wilker
 ,Benny Rider
 ,Brendan Eltzroth
 ,JACK KELLY
 ,BRENT PLUMB
0,Christopher Watts
0,Grant McFall
0,Nicholas Townsend
0,Avery Moeller
0,Dakota Bullock
0,Spencer Martin
20,FREDERIC CONARD
22,Matthew Muhlenkamp
b,r,e,a,k
Akron
01,Jon Deamicis
04,VINCENT MILLUZZI
07,QUENTIN TORGERSON
10,CAMDEN HAYES
11,ALEX GROSSMAN
12,DANIEL MORGAN
13,KYLE PLATT
18,MATT PETERSON
21,Rich Vineyard
22,Griffin Binkley
23,Christian Martin
27,Kyle Jasany
45,Mike Alflen
60,Colin Valencic
b,r,e,a,k
Toledo
 ,Alex buddemeyer
 ,Chase Smith
 ,Matt Hankenhof
 ,Daniel Krantz
10,DAVID WICKENHEISER
13,Trevor Hawks
14,RYAN HOFFER
15,THOMAS DYSARD
16,Tim Jackson
17,Nathan Buddemeyer
18,Michael Boroff
19,CHRISTOPHER LORENTZ
22,Alan molyet
23,gareth Petko-Bunney
26,Matt Karp
27,ALEXANDER BARTOS
32,Cody Smith
42,DYLAN HANF
