West Plains D-I College Men's CC,College - Men ,11,4,2015
Iowa
0,Adam Wong
02,Tyler Roberts
03,DEREK THATCHER
04,Isaac Gardner
06,Tyler Whitehead
07,James Hean
08,Ben  Mirr
09,Kegan Wakefield
10,DANIEL HANDLER
11,Tim Strutzenberg
14,TRAVER BATSON
17,IAN KOLB
19,Steven Czechowski
23,Matthew Murry
24,Dominick Peluso
25,Colin Lord
27,Alexander Constant
32,Collin Spratt
33,Charles Rathe
37,MICHAEL HANNIGAN
39,Michael Wormley
52,Jun Shinohara
69,Juan Amador
88,WILLIAM HEAN
b,r,e,a,k
Luther
 ,Colin Berry
 ,Paul Fritzell
 ,Matt Smith
 ,Joe Simonelli
0,BEN NORDQUIST
0,BRADY BRINKMEYER
0,Evan Berg
0,Scott Boehm
0,SEAN DEMPSEY
0,Brandon Lafferty
11,Blake Heeren
12,Peder Hopkins
15,Brady  Ross
17,Chad Villhauer
18,Sam Berglund
21,Matthew Peterson
22,Isaac Johnson
23,Chase Claflin
25,COLE PUFFER
27,Owen Schleif
28,Jack Rosenwinkel
29,Peter Scott
33,Jay Puffer
47,Ian Andre-Knudsen
57,NATHANIEL KOCH
71,CHRISTOPHER LOVAGNINI
b,r,e,a,k
Iowa State
 ,Brett Sullivan
0,Jack Sanders
0,JOHN JACK HUPP
0,Colin Fry
0,Arthur Harris
0,Andrew Moore
0,Kristian Johnson
0,LUCAS COLEMAN
14,Brian Wandrei
15,SPENCER PETERSON
20,Will Black
21,Ethan Sabado
23,Jamison DiSalvo
24,JOSEPH WANDREI
27,Lucas Boyle
28,Niko Beauchamp
45,Tanner Boyle
72,Joel Morton
81,Lukas Nesheim
b,r,e,a,k
Nebraska-Omaha
 ,Sean Rock
0,Todd Sutter
0,Dexter Renter
0,Riley Johnson
0,Robert Gibbs
0,Matt Reinhart
0,EVAN VARNER
0,Ben Melcher
25,Chas Busch
b,r,e,a,k
Northern Iowa
 ,NATHAN PHILLIPS
0,Boone Tomlinson
03,Robert Dennis
04,Brett Muhlbauer
05,Alec Smith
06,NOLAN STRATTON
10,JOEL HEILMAN
11,Daniel Tarasi
12,Peter Rethwisch
13,Payton Burken
14,JOSH PURMAN
15,Jonathan Beavers
17,LUKE BORMANN
19,Blade Schilling
20,Nate Rondeau
21,William Dehogues
24,NICK ROUDABUSH
27,PARKER WOLFE
33,ETHAN KUMBERA
35,Caleb Lundeen
43,Jacob Thiessen
50,Tyson Samsel
64,Austen Bruns
69,Dominic Tracy
b,r,e,a,k
Nebraska
0,Drew Conley
0,Connor Rock
0,Andrew Egger
0,Alec  Williams 
0,Jeffrey Snowdon
0,Dom Lincoln
0,David Mok
0,Noah Gould
0,ROBBY ELSNER
0,CRISANTO DUBUC
0,Darren Johnson
0,Brian Tyrey
0,Evan  Bischoff
0,Zack  Smith
0,Zachery Mahler
0,Daniel Forsyth
b,r,e,a,k
Iowa,Luther,7,13,"04/11/2015, 09:00"
Iowa State,Nebraska-Omaha,13,5,"04/11/2015, 09:00"
Northern Iowa,Nebraska,13,9,"04/11/2015, 09:00"
Iowa,Iowa State,14,12,"04/11/2015, 11:00"
Luther,Northern Iowa,13,4,"04/11/2015, 11:00"
Iowa,Northern Iowa,13,3,"04/11/2015, 13:00"
Iowa State,Nebraska,13,5,"04/11/2015, 13:00"
Luther,Nebraska-Omaha,13,3,"04/11/2015, 13:00"
Iowa,Nebraska,13,4,"04/11/2015, 15:00"
Iowa State,Luther,5,13,"04/11/2015, 15:00"
Northern Iowa,Nebraska-Omaha,13,9,"04/11/2015, 15:00"
Iowa,Nebraska-Omaha,13,1,"04/12/2015, 09:00"
Iowa State,Northern Iowa,10,8,"04/12/2015, 09:00"
Luther,Nebraska,13,8,"04/12/2015, 09:00"
Luther,Iowa,11,13,"04/12/2015, 11:00"
Luther,Iowa State,13,9,"04/12/2015, 13:00"
Iowa State,Northern Iowa,13,10,"04/12/2015, 11:00"
Northern Iowa,Nebraska,13,9,"04/12/2015, 13:00"
