Hudson Valley D-1 College Men's CC,College - Men ,16,4,2016
Connecticut
 ,Christopher  Rodo
 ,Alex Fishman
 ,Nathan Getz
 ,Bryan Maloney
 ,Christian Bonebrake
 ,Philip Murray
 ,Parker Haupt
 ,CHARLES MORGAN
00,Brody O'Brien
00,Michael Rice
00,Alex Jayakar
00,Brian Abedon
00,Colin Ng
00,John Friedman
00,Ryan Kennedy
00,Walter Esker
06,Phil Case
11,Corey Danko
12,MILES RADIN
14,Owen Casey
28,RYAN POSSARDT
31,John Wodatch
33,Daniel Reilly
77,Jake Hansen
96,Pat Kunkel
99,Gavin Clemmey
b,r,e,a,k
SUNY-Albany
00,Nicholas Rasulo
00,Jeffrey Lasher
00,Jack Napoli
00,Christian Schaefer
00,Russell Gaudet
00,James McKeever
00,Isaiah Casiano
00,Michael Rotunno
00,Noah Momm
00,Andrew Marino
00,Preston Brehm
00,Ivan Nunez
00,Neil Gill
00,Timothy Barbella
00,Matt Downing
00,David Landers
00,William Tangel
00,Bradley Clark
00,MICHAEL WOODS
00,Kyle Coulter
00,Alex Meltzer
00,Jared Robinson
00,Alexander Lopez
00,Steve Stavdal
91,Eric Russo
b,r,e,a,k
Yale
 ,AUBREY WAHL
 ,Charles Taylor
 ,Matthew Johnsen
 ,Acer Xu
0,Jonah Pearl
0,Theo Kuhn
18,JON DORSCH
19,Tavis Leighton
22,WILLIAM CRAMER
23,Thomas Kilmer
24,Daniel Stein
28,Yuhan Lim
31,Samuel Feder
41,Samuel Savitz
42,Guangping Chu
44,Theodore Weisman
48,Chris Wang
64,JEREMY LIU
74,Isaac Soh Howell
77,Tomaso Mukai
b,r,e,a,k
SUNY-New Paltz
 ,John Shelley
 ,Robert Kirgan
00,GUNNER RAINFORD
00,Matthew Capone
00,Anthony Albanese
07,Walter Roosa
08,Kaleb Smith
09,Zach Locascio
10,Robert (Bobby) Owens
11,Thomas  Nicholas
13,Ben Goldman
23,CAMERON COLLICHIO
33,Thomas Coppola
42,Patrick Holmberg
b,r,e,a,k
Central Connecticut State
01,Ryan Douty
02,Andrew Thai
03,Christopher Monroe
05,DANIEL FAVALE
11,Josh Smith
12,Enrique Bello
17,James Vitali
18,Dong Lam
19,Steven Servedio
21,Eric Nardone
37,Nicholas Girouard
41,Steven Lee
61,Nick Pockoski
69,Damiaen Florian
77,Alexander Olendorf
99,Corey Cusano
b,r,e,a,k
Southern Connecticut State
05,Michael Schriefer
08,Garret Masocco
11,Erika Tyrrell
17,Trent Carriere
22,Tom Pelton
23,Jordan Carrion
39,Duncan Mateer
43,Joshua Kish
59,Joey Bartelson 
80,Michael Lauer
82,Kevin Saksa
b,r,e,a,k
Connecticut,SUNY-Albany,12,5,"04/16/2016, 09:00"
Yale,SUNY-New Paltz,11,6,"04/16/2016, 09:00"
Central Connecticut State,Southern Connecticut State,10,2,"04/16/2016, 09:00"
Connecticut,Yale,13,8,"04/16/2016, 10:30"
SUNY-Albany,Central Connecticut State,7,4,"04/16/2016, 10:30"
SUNY-New Paltz,Southern Connecticut State,13,3,"04/16/2016, 10:30"
Connecticut,Central Connecticut State,13,2,"04/16/2016, 12:00"
Yale,Southern Connecticut State,11,3,"04/16/2016, 12:00"
SUNY-Albany,SUNY-New Paltz,13,4,"04/16/2016, 12:00"
Connecticut,Southern Connecticut State,13,1,"04/16/2016, 13:30"
Yale,SUNY-Albany,8,12,"04/16/2016, 13:30"
Central Connecticut State,SUNY-New Paltz,1,9,"04/16/2016, 13:30"
Connecticut,SUNY-New Paltz,13,3,"04/16/2016, 15:00"
Yale,Central Connecticut State,11,4,"04/16/2016, 15:00"
SUNY-Albany,Southern Connecticut State,13,3,"04/16/2016, 15:00"
Connecticut,Yale,13,7,"04/17/2016, 06:00"
Connecticut,Central Connecticut State,13,2,"04/17/2016, 06:00"
SUNY-Albany,Yale,7,9,"04/17/2016, 06:00"
Yale,Southern Connecticut State,13,4,"04/17/2016, 06:00"
SUNY-New Paltz,Southern Connecticut State,4,13,"04/17/2016, 06:00"
