Metro Boston D-I College Men's CC,College - Men ,16,4,2016
Harvard
 ,William Deuschle
 ,Ryan Kerr
 ,Andrew Brennan
 ,James Thurm
 ,BEN BANAVIGE
 ,John Rahill
0,Keiran Carpen
0,Christopher Haley
0,Jack Deschler
0,Ryan Plunkett
0,Gant Player
0,Bryn Huxley-Reicher
10,Adam Ehrenberg
11,Andrew O'Rourke
12,Benjamin Scharfstein
13,Michael Aderhold
14,John Stubbs
17,JONAH HAHN
18,Harry Stone
22,Alexander Hem
23,Mark Vandenberg
24,David Reshef
25,Aron Szanto
50,Jeffrey Naftaly
89,Milan Ravenell
b,r,e,a,k
MIT
 ,BRANDON TRAN
0,Jonathan Uesato
0,Richard Yip
0,Solan Israel-Megerssa
0,Gil Goldshlager
0,Arjun Khandelwal
0,Eric Wong
0,Steven Homberg
0,Justin Yuan
0,MITCHELL SHOPE
0,Paolo Gentili
0,THOMAS AVILA
0,Kevin Li
0,Kuo-An Wei
0,JOEL BROOKS
42,Hao Shen
b,r,e,a,k
Boston College
 ,Ryan Cardinal
 ,Zac Basile
 ,Ryan Woodhouse
 ,Drew Davis
 ,Jake Pridotkas
 ,Ryan White
0,Kevin Sprotte
0,Riley Hanson
0,Niraj Patel
0,DAVID JOYCE
0,Roger Fleischmann
0,Brendan Chambers
0,Anthony Gallanis
0,Connor McKnight
0,Henry Crowley
0,Theo Kruse
0,Duncan Webster
0,Liam Earley
12,Nicholas Porter
19,NICK CRAIN
25,STEPHAN HALAREWICZ
33,Jonathan Young
41,Charles Lok
44,Tyler Raymond
50,Joshua DeBlieux
89,Michael Dillon
b,r,e,a,k
Massachusetts- Dartmouth
01,Jared Hebert
02,Joseph Pantano
03,Bhargav Makkapati
06,Nick Hare
07,MATTHEW DODGE
08,Nathan Kane
09,Nate Ballarino
11,JOHN LEBLANC
13,Robert  Boschert
15,Jimmy  Cote
17,Mitchell Mangahas
19,Nicholas  Corcoran
20,Paul Warmington
22,Ben Hamilton
24,Sean Fleming
26,Nick Love
