2017 West New England Mixed Sectionals,Club - Mixed ,9,9,2017
Happy Valley
00,Leila Tunnell
02,Jeremiah Berlin
05,Joe Costello
11,Blake Spitz
12,Laura Masulis
14,Sara Jacobi
15,Zachary Dietz
17,Herman (Alex) Weck
18,Jacob Kaplan
19,Clarissa Lyons
20,Josephine Coppinger
21,Leija Helling
22,Dory Ziperstein
23,Nathan Smiley
30,Robin Stewart-Demartino
30,Tim Coppinger
33,Elizabeth Calkins
36,Dan Kaplan
39,Mackenzie Stein
49,Chandler Thoma
51,Shelly Peyton
64,Dylan Tunnell
89,Oliver Fay
93,Dustin Baglow
95,Amos Adams
96,Leland Rege-Colt
b,r,e,a,k
Heartless
 ,Ellis Fredella
 ,Evan Hollar
 ,Greta Pellerin
 ,Madison Westfall
 ,Stephen Donahue
 ,Ted Blum
0,Sam Kilburn
0,Quinn Ledak
0,Brenda Hoang
10,Aidan Travers
11,Ian Browning
12,Kyle Weatherhogg
14,Isaac Avery-Padberg
15,Nicholas Lynn
16,Olivia Phillips
17,Sage Tanner
19,Ryan Colarusso
20,Jackson Berman
21,Nolan Benoit
22,Clair Beltran
23,Mariz Mangundayao
25,Emma Weatherhogg 
27,Kaitlyn Thibault
34,Sarah Rose
43,Remy Eisendrath
44,Daron Byerly
55,Kyle Deaver
b,r,e,a,k
Enough Monkeys
 ,Ross Gortner
0,Ryan Kane
0,Simon Leavitt
0,Tessa Hill
0,William Davis
0,Alex Brown
0,AMY BUCCI
0,ANNIE CRAVERO
0,Aren Tulp
0,Ariana Sopher
0,Cori Hirai
0,Curtis Petersen
0,Douglas Brown
0,Emily Wilson
0,ERICA LOBEL
0,Felix Ackerman
0,George Robert Halvorsen Jr.
0,Hartel Smith
0,Herminio Delgado
0,JOEL DANIELS
0,Joslin Goss
0,Kristina Kane
0,Matissa Hollister
0,Matthew Christie
0,Peter Johnson
0,Rodney Jacobson
b,r,e,a,k
RUT
0,Aaron Schlossberg
0,Ben Krumpelman
0,David Ross
0,David Seaver
0,Emma Schroder
0,Isaac Sponem
0,Jess Mizzi
0,Joseph Pasquence
0,Kelsey Wentling
0,Kendra Smythe
0,KRISTEN RAUCH
0,LIZA REED
0,MEGHAN ARPINO
0,Molly Smith
0,Peter Larsen
0,Ryan Nielsen
0,Ryan Darlow
0,Sharon Harper
0,Wheaton Squier
0,ZACHARY SAXE
b,r,e,a,k
NEKUD
 ,Anne Watson
0,Ben Stevens
0,Caleb Genereaux
0,Dolan Patrick
0,Ethan Cole
0,Halie Bean
0,James (Jim) Bozeman
0,John McKinnon
0,Joleil Whitney
0,Jonathan Davis
0,Keisha Bedor
0,Kuochuan Ponzio
0,Sofia Burnham
0,Suzanne Church
0,WAYNE HALL
0,Zachary Legge
0,Abby Salvadore
0,Allison O'Connor-Genereaux
0,Amelia Hill
0,AMY HALE
b,r,e,a,k
Happy Valley,Heartless,13,15,"09/09/2017, 09:00"
Enough Monkeys,RUT,11,15,"09/09/2017, 09:00"
Happy Valley,RUT,15,9,"09/09/2017, 10:50"
Heartless,NEKUD,15,6,"09/09/2017, 10:50"
Happy Valley,Enough Monkeys,9,15,"09/09/2017, 12:40"
RUT,NEKUD,15,8,"09/09/2017, 12:40"
Heartless,RUT,15,9,"09/09/2017, 14:30"
Enough Monkeys,NEKUD,15,3,"09/09/2017, 14:30"
Heartless,Enough Monkeys,15,11,"09/09/2017, 16:20"
Happy Valley,NEKUD,15,6,"09/09/2017, 16:20"
Heartless,Enough Monkeys,15,13,"09/10/2017, 10:00"
Happy Valley,RUT,15,5,"09/10/2017, 10:00"
