2019 U.S. Open Club Championship,Club - Men ,2,8,2019
Sockeye
00,Jacob Janin
01,Garrett Martin
02,Brice Dixon
03,Thomas  Kulczak
04,Zachary Goulson
05,Nathan Kwon
06,Phil Murray
07,Eli Friedman
08,Camden Allison-Hall
09,Simon Montague
10,Dongyang Chen
11,Christian Foster
15,Derek Mourad
16,Trent Dillon
22,William Katz
23,Xander Cuizon Tice
24,Tony Venneri
27,Dylan Freechild
28,Duncan Linn
30,Matthew Russell
31,Matthew Rehder
34,John Randolph
70,Julian Hausman
77,Ben Snell
87,Chris Kosednar
89,Milan Ravenell
90,Shane Worthington
b,r,e,a,k
MAKAWUA 
05,Jhon Jairo Valderrama Castiblanco
10,Andres Cardona
17,Jose Luis Montoya Leon
23,Kyle Murray
24,Daniel Diaz
30,Michael Hammond
33,Carlos Sanchez Gomez
46,Santiago Ramirez Gaitan
50,Adnan Raslan
55,Sergio  Mariño
72,Jonathan Cantor Herrera
82,Ian Hahn
b,r,e,a,k
Chicago Machine
0,Jesse White
02,Joey Kennedy
03,Jeffrey Holm
04,Seth Weaver
05,Johnny Bansfield
06,Dex Dremann
07,Kurt Gibson
08,Stephan Mance
09,Jeffrey Weis
10,Von Alanguilan
11,Nathan Goff
12,Kyle Rutledge
13,Alex Evangelides
16,Yiding Hou
19,Paul Arters
24,Michael Pardo
25,Ross Barker
26,Peter Graffy
27,Zane Rankin
31,Walden Nelson
55,Pawel Janas
61,Eric Schumacher
88,Tim Schoch
91,Joe White
94,Jack Shanahan
b,r,e,a,k
Truck Stop
0,Theodore Sither
01,Max Cassell
02,Christian Boxley
03,Jackson Cochran
04,Delrico Johnson
05,David Cranston
07,Joe Freund
08,Jeremy Hess
10,Tyler Monroe
15,Nathan Castine
17,Eric Miner
21,Matthew Rowan McDonnell
22,Ryan Swift
23,Alexandre Fall
29,Christian Johnson
30,David Bloodgood
36,Nick Spiva
43,Nathan Prior
45,Jeff Wodatch
51,Kevin Versteeg
52,Gus Norrbom
63,David Shields
70,Christopher Strub
90,Markham Shofner
91,Troy Holland
b,r,e,a,k
Freaks
0,Brad Wylam
01,William Bianca
02,Grant Waldron
02,Jordan Chambliss
03,Brandon Beers
04,Beau Waldron
05,Chase Hammond
06,Brett Hulsmeyer
07,Justin Schroeder
09,Eric Sjostrom
10,Benjamin Gagne-Maynard
11,Elijah Jaime
12,Philip Throckmorton
13,Carter Rae
17,Nick Peppers
18,Jacob Flowers
21,Devon Rogers
22,Nicholas Button
23,Alejandro Guerrero
27,Jordan Hill
33,JT Taylor
37,Michael Strobel
42,Tim Hoggard
55,Tom Radcliffe
77,Anthony Cain
87,Tannon Hedges
96,Mark Ullom
b,r,e,a,k
Nomadic Tribe
01,Harito Hashiguchi
02,Takuya Seki
04,Taku Honna
05,Hiroki Ohnishi
09,Takaharu Komori
10,Shuhei Omotani
11,Yusuke Nagashima
13,Wataru Tashiro
17,Takahisa Ishii
19,Yuki Otani
21,Ken Nemoto
22,Takayuki Yamaguchi
27,Kentaro Nakao
36,Kan Yamagami
58,Nozomu Niwa
88,Katsuhide Hori
b,r,e,a,k
Revolver
0,Bob Liu
01,Simon Higgins
02,Julian Childs-Walker
03,Andrew Moore
05,Danny Miesen
09,Cassidy Rasmussen
13,Ian Sweeney
14,Kenneth Lim
15,Michael Spear
16,Jake Thorne
17,Sawyer Thompson
19,Hunter Corbett
21,Caleb Merriam
22,Marcelo Sanchez-Heredia
23,Antoine Davis
24,Elijah Kerns
25,Nick Stuart
27,Ashlin Joye
32,Jordan Marcy
33,Mark Lin
48,Nicholas Murphy
49,Nick Tolfa
88,Byron Liu
93,Tom Doi
94,Adam Rees
b,r,e,a,k
Sub Zero
0,Josh Kautz
01,Ryan Osgar
02,Logan Pruess
03,Colin Berry
04,Gregory Cousins
05,Charles McCutcheon
06,Charles Weinberg
08,Nicholas Vogt
10,Anthony Poletto
13,Cole Jurek
15,Kristian Johnson
16,Bill Everhart
17,Ethan Rasmussen
18,Wystan Duhn
20,Thomas Echols
21,Codi Wood
22,Marco Dregni
23,Saurav Dubey
24,Trevor Graham
26,Jordan Taylor
29,Josh Klane
32,Andrew Roy
33,Connor Anderson
66,Jason Tschida
71,Nicholas Simonelli
92,Kevin Brown
99,Tristan Van De Moortele
b,r,e,a,k
Bunka Shutter Buzz Bullets
01,Shinya Kikuchi
03,Yasuo Takahashi
04,Kenta Kawamata
05,Raito Nose
06,Masashi Kurono
07,Inomata Yuta
08,Shunya Abe
10,Masahiro Matsuno
11,Tetsuya Kamimura
12,Yohei Kichikawa
15,Shingo Wakaya
16,Jun Kusano
17,Daiki Furikado
18,Takanori Furuzawa
21,Yasuhiro Murata
24,Taiyo Arakawa
30,Bryan Cheng
44,Kazutoshi Takeuchi
81,Masatsune Miyazaki
88,Ryoma Katsuta
97,Keiichiro Shiba
b,r,e,a,k
PoNY
02,Sean Keegan
05,Joshua Stevens-Stein
06,Michael Brenner
07,Clark Cofer
08,Harper Garvey
09,Samuel Little
10,Grant Lindsley
12,Matthew Lemar
13,Evan Padget
14,William Dean
15,Kevin Norton
18,Tyler Haskell
19,Isaac Saul
21,Alex Thorne
23,Jimmy Mickle
25,Alberto Alarcon
27,John Hatchett
30,Josue Alorro
31,Chris Kocher
47,Conrad Schloer
66,Jibran Mieser
80,Michael Drost
82,Marques Brownlee
89,Esteban Zuluaga Gonzalez
99,Milo Snyder
b,r,e,a,k
Comunidad El Oso
00,Rivaldo Briceño
01,Ivan D Alba Hidalgo
04,Diego Arango
06,Simon Torres
11,Diego Alejandro  Afanador Valencia 
18,Mario Giuseppe  Lozano Ramírez
24,Johan  Viafara 
31,Juan Olivella
50,Alejandro Castaño
55,Daniel Olarte
66,Andres Solís 
70,Daniel Buitrago
72,Andres  Santamaria 
73,Dan Turcotte
87,Javier Yanez
96,Juan David Ariza Ramirez
99,Orlando Ortiz
b,r,e,a,k
Ring of Fire
0,Kiron Allen
01,Justin Allen
02,Roosevelt Ward
03,JD Hastings
04,Dillon Lanier
06,Jacob Mouw
07,Alexander Davis
10,Henry Fisher
12,Joey Cretella
14,Liam Searles-Bohs
15,Eric Taylor
16,Anders Juengst
18,Elijah Long
19,Stanley Birdsong
21,Matt Gouchoe-Hanas
22,Solomon Yanuck
23,Walker Matthews
24,Noah Saul
26,Allan Laviolette
28,Jack Williams
30,Andrew McKelvey
34,Austin von Alten
43,Marcus Rovner
52,Connor Russell
99,Joshua Hartzog
b,r,e,a,k
Sockeye,MAKAWUA ,15,4,"08/02/2019, 08:30"
Sockeye,Chicago Machine,14,13,"08/02/2019, 10:45"
Chicago Machine,MAKAWUA ,15,10,"08/02/2019, 13:00"
Truck Stop,Freaks,15,8,"08/02/2019, 08:30"
Truck Stop,Nomadic Tribe,15,7,"08/02/2019, 10:45"
Nomadic Tribe,Freaks,15,11,"08/02/2019, 13:00"
Revolver,Sub Zero,15,11,"08/02/2019, 08:30"
Revolver,Bunka Shutter Buzz Bullets,11,15,"08/02/2019, 10:45"
Bunka Shutter Buzz Bullets,Sub Zero,13,15,"08/02/2019, 13:00"
PoNY,Comunidad El Oso,14,7,"08/02/2019, 08:30"
PoNY,Ring of Fire,10,14,"08/02/2019, 10:45"
Ring of Fire,Comunidad El Oso,15,7,"08/02/2019, 13:00"
Sockeye,Bunka Shutter Buzz Bullets,16,14,"08/02/2019, 15:15"
Truck Stop,Ring of Fire,15,7,"08/02/2019, 18:30"
Comunidad El Oso,MAKAWUA ,15,13,"08/03/2019, 08:30"
Freaks,Chicago Machine,14,13,"08/03/2019, 08:30"
Comunidad El Oso,Chicago Machine,5,15,"08/03/2019, 10:45"
MAKAWUA ,Freaks,7,15,"08/03/2019, 10:45"
Comunidad El Oso,Freaks,8,15,"08/04/2019, 08:30"
MAKAWUA ,Chicago Machine,3,15,"08/04/2019, 08:30"
Sockeye,PoNY,15,12,"08/04/2019, 11:00"
Sockeye,Ring of Fire,14,11,"08/03/2019, 15:30"
PoNY,Truck Stop,14,10,"08/03/2019, 14:30"
Sockeye,Nomadic Tribe,15,12,"08/03/2019, 08:30"
Ring of Fire,Revolver,15,11,"08/03/2019, 08:30"
Bunka Shutter Buzz Bullets,PoNY,10,15,"08/03/2019, 08:30"
Truck Stop,Sub Zero,15,12,"08/03/2019, 08:30"
Nomadic Tribe,Comunidad El Oso,15,8,"08/02/2019, 15:15"
Revolver,MAKAWUA ,15,5,"08/02/2019, 15:15"
PoNY,Freaks,15,8,"08/02/2019, 15:15"
Chicago Machine,Sub Zero,14,16,"08/02/2019, 15:15"
Ring of Fire,Truck Stop,12,15,"08/04/2019, 08:30"
Nomadic Tribe,Sub Zero,15,13,"08/04/2019, 08:30"
Nomadic Tribe,Revolver,15,12,"08/03/2019, 10:45"
Bunka Shutter Buzz Bullets,Sub Zero,12,15,"08/03/2019, 10:45"
Revolver,Bunka Shutter Buzz Bullets,15,11,"08/04/2019, 08:30"
