Air Force Invite 2020,College - Men ,7,3,2020
Air Force
 ,Aiden Francomb
 ,Bradley Kim
 ,Carson McLaughlin
 ,Darrell Miller
 ,Devin Wasilefsky
 ,Eric Kenes
 ,Gavin Kim
 ,Gordon McCulloh
 ,Jacob Dietrich
 ,Keanu Komar
 ,Kristof Lotivio
 ,Michael Delatte
 ,Romel Spight
0,Ryan Porath
0,Nicholas Forbes
0,Frank Duvall
0,Garth Knutson
0,Andrew Clapp
13,Connor Grant
19,Wyatt Lake
22,Solomon Hanson
23,Matthew Frierson
24,Joshua Vaden
26,Matthew Chmiel
43,Charles Wasz
44,Robert Warner
46,Michael Higgins
88,Juan Ramos
b,r,e,a,k
Colorado Mesa University
0,Jake Grenier
02,Jacqueline Charles
03,Nathan Ploeger
04,Brett Thornton
06,Abbie Tusing
09,Rhett Dacuag
13,Thomas Hook
20,Johnathan Grant
23,Steven McKenzie
24,Greyson Wagner
31,Levi Lawrence
42,Adam Vasquez
97,Jared Milonas
99,Mark  Hernandez
b,r,e,a,k
Denver
0,Aidan Cunningham
0,Austin Wolfe
0,Charles Erickson
0,David Jensen
0,Jackson Spear
0,Jake Lauinger
0,Jason Siegel
0,John Jones
0,Jordan Stern
0,Matthew Myers
0,Mike Nichols
0,Peter Halvorson
0,Theodore Carr
0,Tim Greenwood
0,Will Enterline
b,r,e,a,k
Colorado-Colorado Springs
00,Andrew Stewart
00,Billy Durocher
00,Brennan Auger
00,Clayton Fletcher
00,John Angle
00,Kalvin Fletcher
00,Keenan Kruise
00,Landon Lowery
00,Mabon Russo-Way
00,Soren  Turner
00,Zachary Richardson
b,r,e,a,k
Colorado School of Mines (B)
0,Campbell Beals
0,Christian Bagnati
0,Christopher Combs
0,Cooper Frederick
0,Andrew McElravy
0,Jackson Gore
0,Lucas Emerson
0,Nicholas Battaglino
0,Samuel Sovereign
0,Thomas Ferguson
16,Andrew Mueller
29,Danny Rosen
34,Toshio Marr
69,Breighton Miller
69,Matthew Brause
73,Preston Nash
b,r,e,a,k
Colorado College
0,Ben Carpenter
0,Benjamin Brandt
0,Chris Pleasance
0,Gordon  Clark
0,Joshy Felton
0,Lincoln Grench
0,Max Sandweiss
0,Nathaniel Wolfgang
0,Orren Fox
0,Patrick Ende
0,Sam  Pfeifer
0,Samuel Rodriguez
0,Silas Howe
0,Simon Broan
0,Steven Rehmus
0,Tamman Montanaro
b,r,e,a,k
Colorado School of Mines
 ,Cameron Beaton
 ,Chance Pennington
 ,Eli Roll
 ,Kameron Liao
 ,Sean Hinkle
0,Arthur Harris
0,Parker Damon
0,Robert Beaver
0,Ryan Wells
0,Mason Brainard
0,Jonathon McNabb
10,Thomas Ho
13,Justin Hering
14,Haden Cavalli
21,Quintin White
24,Sam Lewis
28,Matthew  Quilling
32,Zachary Aparicio
44,Sam O'Keeffe
b,r,e,a,k
Colorado (B)
 ,Christopher Holt
 ,Christopher Erwin
 ,Elliot Swaney
 ,Evan Hanson
 ,Jadon Hoffman
 ,Jiulong Xu
