Mid-Atlantic Mixed Club Regional Championship 2021,Club - Mixed ,26,9,2021
Space Heater
01,Ashleigh Buch
02,Benjamin Preiss
03,Nikki Ross
04,Jackson Cochran
05,Dane Warner
06,Amber Sinicrope
07,David Boylan-Kolchin
08,Kelly Hyland
09,Kyle Khalifa
10,Jenny Fey
11,Nada Tramonte
13,Kathleen Ratcliff
16,AJ Merriman
19,Verena Woloson
22,Theresa Hackett
23,Gabriel Webster
24,Kelly Ross
32,Anthony McLean
33,Austin Bartenstein
37,Sandra Jorgensen
42,Lisi Lohre
43,Joe Freund
53,Jonny Malks
55,Molly Roy
77,Peter MacArthur
99,Alan Kolick
b,r,e,a,k
AMP
00,Ethan Holmgren
01,Robert Roos
03,Rachel Alfano
04,Raha Mozaffari
05,Lindsay McKenna
06,CeCe Collinson
07,Steve Rosso
08,Luke Ryan
09,Andrea Desabato
10,Spencer DeRoos
11,Jordan Rhyne
12,Malti McKinnon
18,Sumi Onoe
21,Linda Morse
22,Liz Hart
23,Natalie Bova
24,Danielle Walsh
33,Calvin Trisolini
36,Nick Spiva
42,Adam Grossberg
44,Max Charles
55,Michael Campanella
58,Simon Covington
70,Jake Butrica
88,Paul Owens
99,Eric Nardelli
b,r,e,a,k
Alloy
 ,Jeremy Kanter
 ,Maria Bajzek
 ,Sean Newell
0,Svetlana Romanova
0,Thomas Merante
0,Gabrielle Doran
0,Jake Murray
0,James Keat
0,Rachael Liu
0,Scott Olinger
0,Katy Holt
0,Kelsey Fink
0,Laramie Aspegren
0,Allison Hill
0,Andrew Grogan
0,Benjamin Attal
0,Christie Lawry
0,Connor Newell
08,Vivian Shen
11,Leo Warren
12,Nicole Fiorentino
22,Mark Pitts
24,Sam Schurer
34,Will Hoffenkamp
52,Ellis Baehr
b,r,e,a,k
Rally
 ,Thomas Piper
0,Tsuki Hoshijima
0,Will Yetvin
0,Genevieve Leo
0,Graham Turner
0,"Jessica ""Marti"" Martinez"
0,Jillian Banner
0,Katina Russell
0,Lily Eisner
0,Lucas Reichert
0,Maggie Soto
0,Matthew Cullom
0,Ben Sadis
0,Brian O'Hara
0,Brittany Taylor
0,Carolyn Posner
0,Cody Smith
0,David Maniloff
0,O'Linda (Blaise) Sevier
0,Rebecca Driver
0,Sami Smalling
0,Samuel Brecker
0,Stephen Ng
0,Strat Stratton
19,Noah Newberger
99,Emily Eisner
b,r,e,a,k
8 Bit Heroes
 ,Brady Twyman 
 ,Jessika Turner
 ,Juliet Chung
 ,Justus Sturtevant
 ,Robert Van Hassel
 ,Spencer Santos
0,Max Cormier
10,Jay Weir
11,Elizabeth Grimes
12,Destiny Lim
13,Maria Packard
14,Nicole LaDue
16,Diana Burke
17,Celina Holler
18,Mike Randow
19,Eric Helm
21,Max Trifillis
23,Anna Tarren
24,Jordan Vanasdale
25,Ethan Krokonko
27,Scott Bennett
28,Lennart Knight
30,Chris Muller
73,Mark Flores
86,Justin Solis
88,Robert Pratt
b,r,e,a,k
Loco
0,Alexa Wing
0,Alison Joyce
0,Amy Buck
0,Angela Campanella
0,Beata Artz
0,Ben Crescenzo
0,Brian Nevison
0,Chris Schauble
0,Darra Reppermund
0,Elena López
0,Ian Coyne
0,Jackie Weiss
0,Jessica Brand
0,Joshua Norton
0,Justin Creighton
0,Kenneth Wells
0,Kevin Stewart-Mercurio
0,Robert Yu
0,Robert Catzen
0,Sabrina Bonaci
0,Samuel Barnett
0,Santiago Oliveros Vidal
0,Sarah Coyne
0,Sean Allan
0,Shane Jones
0,Stephen Magerr
b,r,e,a,k
Jughandle
0,Lucas  Richie
01,Jessep Macfarlane
05,Andrew Misthos
06,Raymond Burns
07,Thomas Johnson
08,Jeff Shipkin
09,Ryan Lee
12,Daniel Lee
13,Summer Zheng
19,Andrew Auyeung
20,Rebecca Halleran
22,Megan Barlow
23,Otto Gomez
25,Laine Cravotta
26,Evan Feeney
27,Cara Silvestri
33,Jana Graham
42,Alexander Jin
43,Marissa Coolidge
48,Mason Compton
55,Andrew Schachter
68,Kaitlyn Dermen
70,Benish Benjamin
73,Faith Geating
78,Emma Ignaszewski
99,Maya Kalinowski
b,r,e,a,k
Fleet
 ,Adilina Malave
 ,David Jones
 ,Delrico Johnson
0,Emily Christ
0,Eric Mooney
0,Grace Champion
0,Alexandra Slaughter
0,Alexis Faccone
0,Casey Vaughn
0,Chris Neitzey
0,Jose Maldonado
0,Joseph DiPaula
0,Kara Schulden
0,Kelly Wallace
0,Kristen Dietrick
0,Lili Gu
0,Manuel Miranda
0,Marie Collins
0,Matthew Radhe
0,Natalie Drake
0,Ryan Bates
0,Scott Wheeler
0,Stephanie Rolek
0,Aaron Collins
63,Jon Pressimone
94,Daniel Selwyn
b,r,e,a,k
Blowin Heat
 ,Adam Kracht
0,Andrea Schulze
0,Brian Turner
0,Caitlin Gleason
0,Caitlin Ferguson
0,Christopher Schulze
0,Daniel Hoppes
0,David Boyer
0,David Bacigalupi
0,Dylan Leighton
0,Elise Colomb
0,Emilie Mohler
0,Isaac Smith
0,Jessica Stapleton
0,Jillian Cohen
0,Jonathan Cohen
0,Joseph Wheeler
0,Kevin McCormick
0,Lora Waldman
0,Matt Hardie
0,Matthew Stilley
0,Nelly Fickett
0,Stayc Piecyk
47,Stacey Spencer
b,r,e,a,k
Fireball
 ,Becka Alper
