Angel City Shootout,Club - Men ,2,8,2014
Encino,CA,2014-08-02,2014-08-02
https://play.usaultimate.org/events/Angel-City-Shootout/schedule/Men/Club-Men/
Sundowners,3
teamInfo,,"Santa Barbara, California",,,
7,Anthony Rice
01,Blake Robillard
03,MARK EVANS
05,Steve Chang
06,Robin Lashof-Regas
10,Scott Perry
11,Kevin Lamb
13,Grant Novins
16,WILLIAM THOMPSON
17,ALEX HEILMAN
18,Adam Fischer
22,MATT CLUGSTON
27,Luke Tursick
28,SAHIL PATEL
32,ANDREW CLARK
37,Nate Kirchhofer
39,Jordan Lund
44,Travis Lee
45,Jack Zhang
74,Andrew Kirchhoff
83,Brian Romanczyk
90,Kevin Kirchhoff
b,r,e,a,k
Air Show,1
teamInfo,,"San Diego, California",,,
2,Benjamin Levinsky
4,Jason Bunk
7,Donald Kleinhen
10,Jason Glassy
12,SAM ASCHER
18,MITCH LANGE
20,Jacob Maynard
23,Ryan Ream
26,Jacob Gutkowski
30,Marvin Vuong
37,Daniel Koble
40,JAMES LINSCHEID
41,JOE NAGANO
42,Spencer Runyon
47,MARK BUNNELL
51,Akihiro Horie
66,Patrick Senatore
73,James Benavente
87,Christopher Bonner
97,Zachary Murez
99,Gavriel Gelbart
b,r,e,a,k
Honduras,4
teamInfo,,"Thousand Oaks, California",,,
00,Peter Wells
00,GRANT CAIRNS
00,Carl Edwards
00,Kevin Molina
00,Ethan Lacoe
00,WESLEY BURROWS
00,Jeff Talbot
00,DENNIS LU
00,DAVID PATTON
00,alexander carey
00,Joshua Adler
b,r,e,a,k
Gridlock,2
teamInfo,,"Los Angeles, California",twitter.com/la_gridlock,www.facebook.com/GridlockUltimate,
0,Mike Schlesinger
0,MARVIN MEDINA
0,PERRY LEVENTHAL
0,SCOTT LENSING
0,Geoffrey Iyer
0,KELVIN KUO
0,Jason Lee
0,JOHN MEYERHOFER
0,"Edward Williams, Jr"
0,Robert Armstrong
0,Charlie Capron
10,Brian Leung
10,COLLIN NICHOL
14,Christopher Cogswell
17,STEVE JOLLOTA
24,Andrew Wells
27,Thomas Lin
29,Colin Whitman
69,WESLEY KERR
97,Daniel Schlabach
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Air Show,Sundowners,6,12,"08/02/2014, 10:00",Pool A,Final
Gridlock,Honduras,8,13,"08/02/2014, 10:00",Pool A,Final
Air Show,Honduras,12,8,"08/02/2014, 11:45",Pool A,Final
Gridlock,Sundowners,8,11,"08/02/2014, 11:45",Pool A,Final
Air Show,Gridlock,13,7,"08/02/2014, 13:30",Pool A,Final
Sundowners,Honduras,10,12,"08/02/2014, 13:30",Pool A,Final
b,r,e,a,k
clusters,Additional Game
cluster,Additional Game
Sundowners,Air Show,11,8,"08/02/2014, 16:00",,Final
b,r,e,a,k
