Chicago Invite College,College - Men ,28,3,2014
Chicago,IL,2014-03-28,2014-03-30
https://play.usaultimate.org/events/Chicago-Invite-College/schedule/Men/CollegeMen/
North Dakota State,28
teamInfo,Sky Bison,"Fargo, North Dakota",,,@ND_Sky_Bison
0,COLLIN MCFADDEN
0,BRANDON EBERSOHL
0,Taylor Fredman
0,Kyle Sanford
0,BRANDON OLSON
0,KEVIN THOMAS
1,Zachary Dawson
2,SAM EVANS
3,JAMES CORCORAN
5,Daniel Schultz
14,Benjamin Nelson
15,BRADY OCH
27,RILEY MCCARTHY
28,David Lacher
30,Maximilian Kollar
88,DAVID WEHMHOFF
99,BEN WEBER
b,r,e,a,k
Toledo,23
teamInfo,Savage,"Toledo, Ohio",,,
2,Alex buddemeyer
3,Chase Smith
4,Matt Hankenhof
7,Daniel Krantz
10,DAVID WICKENHEISER
13,Trevor Hawks
14,RYAN HOFFER
15,THOMAS DYSARD
16,Tim Jackson
17,Nathan Buddemeyer
18,Michael Boroff
19,CHRISTOPHER LORENTZ
22,Alan molyet
23,gareth Petko-Bunney
26,Matt Karp
27,ALEXANDER BARTOS
32,Cody Smith
42,DYLAN HANF
b,r,e,a,k
Marquette,25
teamInfo,Birdhouse,"Milwaukee, Wisconsin",,https://www.facebook.com/marquetteultimate,https://twitter.com/BirdhouseMU
1,ERIC HASSE
2,Daniel Kress
3,RYAN MCHUGH
4,Keenan McAuliffe
5,Evan Swiatek
6,John Devine
7,Matthew Caballero
8,Evan Fischer
9,Wyatt Meyer
10,Joseph Lindsay
11,David Mohan
12,PATRICK MULLEN
13,Brian Hart
14,Dan Magnant
15,Anthony Marino
17,Elias Magallanes Jr.
18,DAN NOYES
20,David Kaftan
21,Nicholas Hapak
23,Matt Scholz
24,ANDREW WALKER
25,Sean Andryauskas
28,MARK MAURER
34,BRYAN FITZPATRICK
36,Madison Olesen
b,r,e,a,k
Loyola-Chicago,26
teamInfo,Darkwing,"Chicago, Illinois",,,
