Huck Finn,College - Men ,8,3,2014
https://play.usaultimate.org/events/Huck-Finn/schedule/Men/CollegeMen/
Missouri,3
0,ERIC ZVANUT
1,CHRISTIAN GOEKE
2,Jay Froude
4,MICAH FLETCHER
5,Zachary Gase
10,ALEX MCNAMARA
13,Alexander Staelens
14,Devin Holland
22,Evan Thornberry
25,Sean Campbell
28,Chase Johnson
55,vince jones
84,CODY BRANNEKY
b,r,e,a,k
St Louis,10
1,Aleksandr Knapowski
2,Devin Belvin
4,Eric Lang
5,JEFFERY MEYER
6,Tucker Hughes
7,JOSHUA BARON
8,MICHAEL  MANNING
9,Ethan McClain
10,TYLER KLINGELHOEFER
11,Bryan Hoyt
13,Drew Ladage
14,BRENNAN KELLY
15,David Catherall
16,Hugo Gonzalez
18,Justin Seaton
19,Kyle Hoggatt
20,JOE NOLAN
21,Lucas Rydberg
23,KEVIN FELTZ
24,ALEC HERZOG
25,Jason Smith
34,John Padua
37,Martin Witges
40,Tyler Wildermuth
42,Tyler Fleshren
50,Samuel Peter
53,Arjun Kumar
86,DAVID GONZALEZ DE VEGA
b,r,e,a,k
Truman State,13
04,TYLER JANSEN
05,Brendan Cirillo
07,Thomas Crockett
08,Austin Stuart
09,Matt Standen
11,NICHOLAS RUPEL
13,Mason  Bracken
14,EDDIE KADLEC
16,John McCoy
19,VINCENT PISTONE
24,Stephen Blunk
25,Josh Dye
27,Alex Davis
31,Blake Bixler
33,TIMOTHY SCHMITT
34,Ray Hilger
36,Timothy Fergus
37,Kyle Robinson
43,Zebadiah Yoko
45,Parker Willis
63,AARON DAVIS
66,Anson Long-Seabra
68,EDEN ELFRINK
72,Joseph Williamson-Link
77,Robert  Smith
88,Isaac Pearlstone
98,Matthew Beers
99,SEAN HELLEBUSCH
b,r,e,a,k
Wisconsin-Stevens Point,7
0,KYLE LOVEGROVE
0,ROBERT IHSSEN
0,Ryan Buxton
5,Zach Hendzel
02,Robert Lyke
07,Jesse Montoure
09,Blake Marlowe
10,Braden Greene
13,DOUGLAS BOCCHINI
18,Zachery Leitner
22,JAMES LIMA
23,Adam Swanson
25,Cody Sevcik
28,TYLER NELSON
33,Daniel Kaminski
45,Thomas Mattimiro
82,Evan Hovey
88,Dustin Oetzman
b,r,e,a,k
John Brown,12
0,DANIEL WILLIAMS
02,Ryan Gulbranson
03,NELSON BUTLER
05,KYLE DYER
07,Clayton Rowe
08,CHRISTOPHER GENHEIMER
09,Bradley Herschend
10,Grant Strobel
12,Drew Taylor
13,JOSHUA CROUCH
14,Ethan Penner
15,Jacob Moore
