Northern Atlantic Coast D-III College Men's CC,College - Men ,12,4,2014
St. Mary's City,MD,2014-04-12,2014-04-13
https://play.usaultimate.org/events/Northern-Atlantic-Coast-D-III-College-Mens-CC/schedule/Men/CollegeMen/
Richmond,1
teamInfo,Spidermonkeys,"Richmond, Virginia",,,
2,Shihan Wijeyeratne
5,COREY DECATO
7,JOEL REIMER
01,Dennis Maclaine
09,Alexander Lichtenstein
10,IAKOVOS ANASTASAKIS
13,Thomas Walsh
15,Nicholas Spurlock
18,Sam Gillespie
20,Matthew Szeluga
20,James Robb
22,Alec Accomando
24,Harrison Richmond Schulman
26,ALEXANDER JOHNSON
27,BRIAN DWYER
29,Zachary Andres
33,Tyler Dickinson
36,William Shelton
45,Henry Babcock
55,WILL OFFIT
56,Jason Andresen
64,Joseph Cullison
72,James Lenox
87,COLIN BEALS-REID
88,WILLIAM CURRY
99,Brenden Carol
b,r,e,a,k
St Mary's (Maryland),5
teamInfo,SMUT,"St. Marys City, Maryland",http://stmarysultimate.webs.com/,https://www.facebook.com/StMarysUltimateTeam,https://twitter.com/M_SMUT
0,Frederick Frost
0,Wesley Merrick
0,Hermon Haile
0,Jeffrey Platts
0,Joseph Chazin
0,KYLE BLACKISTON
0,MARK CHARVAT
0,Benjamin Tipper
0,ERIC LEE
0,JOE PIEGOLS
0,EVAN HARRIS
0,Brian Cadden
0,STUART BADGER
0,Colin Breen
0,Benjamin Eicher
0,Patric Barnhart
0,PATRICK MONTAGUE
7,Michael Schmidt
7,Derrick Fyfield
8,RODERICK STREET
10,Joseph Miller
23,LUCAS IRVIN
26,Ryan Mahoney
32,Matthew Fowler
41,John Zavrotny
57,Donald Cooper
66,Jefferson Crum
b,r,e,a,k
Navy,3
teamInfo,Poseidon,"Annapolis, Maryland",,,
1,Jason Sherwood
2,Xisen Tian
3,ANDREW LEWANIAK
5,JOSEPH BRANT
6,Nicholas Ramzi
8,ANTHONY BROLL
10,ZACHARY   POWERS
11,Bernard Forney
12,John Tortorici
14,ANDREW GARCIA
16,Joseph Chilbert
19,Kieran Simonson
20,Thomas Wilson
21,Andrew Zellman
22,MATT SILBERBERG
23,W. PIERCE CHILTON
25,Austin Scigliano
31,SKYLER RAYBIN
34,Nicholas Moilanen
35,Andrew Anderson
40,Jonathan Goldberg
40,KEVIN LAKE
50,Jeremiah Harding
62,christopher hein
77,James Theodos
88,REMINGTON ROTH
92,Alexander Merrall
99,Lawrence Wilson
b,r,e,a,k
Mary Washington,4
teamInfo,Mother of George,"Fredericksburg, Virginia",,,
0,Joseph Evan Bollinger
0,SAM FORTIER
0,MATT STIERHOFF
0,SEAN FREDERICKS
0,MICHAEL WANG
0,Ray Humiston
0,Logan Berns
0,Joseph (Joe) Gerdes
0,John Bellows
0,Ian Spangler
0,DEVIN GERAGHTY
0,Daniel Barrale
1,ADAM HUNTER
9,Kyle Khalifa
10,Zachary Norrbom
13,TIM MIHELIC
15,RAJ BARUA
19,David Hart
25,Cameron Bierkan
88,Robert Pratt
b,r,e,a,k
Catholic,2
teamInfo,Bad Habit,"Washington, District of Columbia",,,
0,KEVIN JOHNSON
0,Kevin Motylinski
0,ZACHARY COCCO
0,Stefan Lapcevich
0,RYAN VAN FLEET
0,Dan Grabowski
2,KYLE ADAIR
4,Luke Alcaraz
5,Nick Scali
8,Peter Warwick
9,Christopher Kramer
14,ANTHONY TURON
17,ROBERT RUGINIS
20,SETH TAVERA
25,James Carroll
33,James McLeod
38,Doug McLeod
51,Michael Gross
55,JOSEPH MIRABILE
69,CARLOS ALVAREZ
72,CHRISTOPHER BRECKEN
77,Zach Montanaro
b,r,e,a,k
Goucher,6
teamInfo,Floseiden,"Baltimore, Maryland",,,
0,Jackson Hickey
0,John Stevenson
0,Micah Heaney-Forbes
0,Dylan McDonough
0,hans weih
0,Sam Kenney
0,Gregory Borodulin
0,Nadav Marcus
0,David  Jannotta 
45,Ben Saeks
b,r,e,a,k
Roanoke,7
teamInfo,Good Looks,"Salem, Virginia",,,
00,David Norquist
00,LAUREN KENNEDY
00,Benjamin Rappold
00,Casey Wojtera
00,Kathleen Medvetz
00,Ramey Ferrell
00,Ashlyn Anderson
00,NICK VARRELL
00,Reeve Aguayo
00,MARK MECHAK
00,VIRGINIA LEFLER
00,Alexander Carr
00,Nicholas Maxwell
00,Kevin Foster
00,Lauren Burkhardt
00,Amelie Rives
00,Mary Kelly
00,Caleb Richmond
00,JAKE LEE
00,RICHARD GILL
00,Dean Haraszkiewicz
00,Sophie Youtz
00,SAM SCHULTZ
00,Nicholas White
00,Kyle King
00,Frederick Hoback IV
b,r,e,a,k
s,t,a,g,e,s
pools,Round Robin Pool Play
pool,Pool A
St Mary's (Maryland),Goucher,15,0,"04/12/2014, 06:00",Pool A,Final
Catholic,Roanoke,W,F,"04/12/2014, 06:00",Pool A,Final
Navy,Mary Washington,15,9,"04/12/2014, 06:00",Pool A,Final
Richmond,Mary Washington,15,2,"04/12/2014, 07:00",Pool A,Final
Catholic,Goucher,15,3,"04/12/2014, 07:00",Pool A,Final
Navy,Roanoke,W,F,"04/12/2014, 07:00",Pool A,Final
Richmond,Catholic,15,5,"04/12/2014, 08:00",Pool A,Final
St Mary's (Maryland),Roanoke,W,F,"04/12/2014, 08:00",Pool A,Final
Navy,Goucher,15,6,"04/12/2014, 08:00",Pool A,Final
Richmond,St Mary's (Maryland),15,9,"04/12/2014, 09:00",Pool A,Final
Mary Washington,Goucher,15,2,"04/12/2014, 09:00",Pool A,Final
Richmond,Roanoke,W,F,"04/12/2014, 10:00",Pool A,Final
Catholic,Navy,11,15,"04/12/2014, 10:00",Pool A,Final
Mary Washington,St Mary's (Maryland),10,15,"04/12/2014, 10:00",Pool A,Final
Goucher,Roanoke,W,F,"04/13/2014, 06:00",Pool A,Final
Richmond,Navy,15,10,"04/13/2014, 07:00",Pool A,Final
Catholic,St Mary's (Maryland),9,15,"04/13/2014, 07:00",Pool A,Final
Mary Washington,Roanoke,W,F,"04/13/2014, 07:00",Pool A,Final
Richmond,Goucher,15,4,"04/13/2014, 08:00",Pool A,Final
Catholic,Mary Washington,7,15,"04/13/2014, 08:00",Pool A,Final
Navy,St Mary's (Maryland),3,15,"04/13/2014, 08:00",Pool A,Final
b,r,e,a,k
brackets,Brackets
bracket,1st Place
Richmond,St Mary's (Maryland),13,3,"04/13/2020, 06:00",1st Place,Final
bracket,3rd Place Bracket
Navy,Catholic,15,10,"04/13/2014, 06:00",3rd Place Finals,Final
Navy,Goucher,15,2,"04/13/2014, 06:00",3rd Place Semis,Final
Catholic,Mary Washington,15,14,"04/13/2014, 06:00",3rd Place Semis,Final
b,r,e,a,k
