Southeast Men's Regionals,Club - Men ,28,9,2014
https://play.usaultimate.org/events/Southeast-Mens-Regionals/schedule/Men/Club-Men/
Omen,8
0,Quentin Voorhees
00,GARRETT PELTON
00,Patrick Lothrop
00,MICHAEL HICKSON
00,Joseph Tilley
00,Charles Andrews
00,WILLIAM IGAR
00,Zachary Marks
00,Matthew Carlson
00,MACON BALLANTINE
00,Brawley Adams
00,Brandon Shaw
00,DAVID HANKIN
00,Kyle Reedy
00,Quint Wharton
00,Austin Malone
00,Mischa Freystaetter
00,Jacob Larsen
00,Zachary Hollis
00,Andrew McKelvey
00,Phillip Stokes
00,MATTHEW CAPP
00,Eric Kieffer
00,Jeffrey Walker
b,r,e,a,k
Ring of Fire,2
0,JARRETT BOWEN
0,ROY MATTHEWS
0,Micah Hood
0,Mark Evans
0,Jonathan Nethercutt
0,Josh Norris
0,Josh Mullen
0,Tristan Green
0,Ken Porter
0,Ben Dieter
0,Joey Cretella
0,Stephen Bender
0,Jacob McGoogan
0,Justin Allen
0,Matt Bode
0,Shane Sisco
0,Noah Saul
0,Kristjan Loorits
1,DANIEL KANTOR
2,Hunter Taylor
5,Taylor Pope
8,Terrence Mitchell
11,DENNIS TARASI
17,Brian Clark
22,Brian Casey
29,Christian Johnson
51,Tim McAllister
b,r,e,a,k
Freaks Uv Nature,4
0,Jason Cunningham
01,Riley Mog
02,Jason Williams
05,Chris Brackbill
09,Ryan Manning
10,COLBY ROBINSON
11,E.C. Gibbs
13,Andy Sieja
14,WILL STEVENSON
16,Michael Delp
16,Mark Daigle
17,Michael Robie
19,Matthew Radcliffe
22,Cameron Heck
24,Ethan Hodges
25,"Michael Guiles, Jr"
27,Michael Volz
28,Jake Brouwer
34,Isaiah Radcliffe
37,Keith Mize
39,PETER WILKERSON
43,Rob Ferguson
44,Jordan Matthews
55,Tom Radcliffe
88,MARTIN ROGERS
89,ANDREW MONTGOMERY
96,Mark Ullom
b,r,e,a,k
Florida United,3
7,Danny Bumgarner
02,Jeremy Langdon
03,James Dahl
04,Joseph Crinkley
05,Brandon Perales
08,Bennett Wachob
09,Bobby Ley
10,Andrew Roney
12,Travis Catron
13,Alton Gaines
15,Dustin Travaglini
17,Morgan Bambace
18,Chris LaRocque
22,Cyle Van Auken
24,Stephen Ierardi
27,Connor Holcombe
30,Chris Gibson
32,Andrew Roca
33,John Best
37,Peter van de Burgt
39,Jordan Huston
42,Mike Ogren
45,DANIEL PETRONIO
75,Ryan Chard
75,Michael Fairley
92,Jason Silverman
b,r,e,a,k
Chain Lightning,1
1,JACK KRIEGER
2,Austin Taylor
3,ANDREW HOLLINGWORTH
5,Elliott Erickson
6,Allan Laviolette
7,Jason (Jay) Clark
8,Byron Liu
9,Samuel Little
10,Tyler Conger
11,Joel Wooten
12,Frank Wooten
13,Jared Inselmann
16,RUSSELL SNOW
18,Michael Spear
19,Mark Poole
22,Brian Moore
24,Christian Olsen
32,Andrew Stringer
36,Nick Spiva
47,Asa Wilson
55,Blake Hannah
60,JOLIAN DAHL
87,Trenton Spinks
88,TAYLOR GOFORTH
b,r,e,a,k
Voodoo,12
0,JOHN KERRIGAN
1,Matt Ractliffe
2,Justin Schroeder
3,Phillip Dougherty
4,MICHAEL FRIIS-JENSEN
5,Jonathan Fong
8,ADAM TINKER
9,Javier Ortiz
9,Christopher Calhoun
10,GRAHAM GILLEY
11,John Markham
12,Ridge Carter
13,Richey Ward
14,MARK ALLMON
16,MATT HARBAUGH
17,Miciah Clay
17,Jacob Lambert
21,BRIAN DENNY
22,Paul Lally
23,MITCHELL SHOPE
28,James Smith
29,Harrison Hayes
34,John Carden
40,Nicholas Stewart
50,Benjamin Nanny
83,CRAIG LENOIR
99,Cory Green
b,r,e,a,k
Ironmen,11
0,Richard (Jay) Pigford
00,James Wright
00,Taylor Schoel
00,Alexander Cape
00,Will Newton
00,Stevie Holloway
00,Taylor Hide
00,Michael Burke
00,Josh Currey
00,Ethan Downs
00,Gregory Harris II
00,Patrick Philbin
00,Chris Browning
00,Kevin Shrestha
00,Dane Jorgensen
00,CORY CASELLA
00,Ray Davenport
04,Tevon Edwards
08,Matthew Smith
10,Scott Stone
11,Kelvin Williams
12,Jordan Quinn
22,Brandon Deihl
24,Travis Midkiff
28,Joseph Fisher
b,r,e,a,k
Vicious Cycle,10
2,Billy O'Bryan
3,SHAWN HIGGINS
4,Bradley Seuntjens
6,Travis Lynch
6,Danny Bishop
7,Craig Adams
8,DREW WARD
11,Jacob Dummeldinger
12,Christopher Kirchman
13,MATTHEW TERZA
13,CHRISTOPHER LEMONS
15,Tanner Repasky
15,Ryan Hiser
16,JOSEPH SUTHERLAND
18,Hayden Wachob
20,Michael Taylor
21,LEE BOWMAN
23,Robert Kern
23,TOM WILKEY
24,DANIEL DEPAUL
25,Zach Floyd
26,Aaron Spector
32,Patrick Gettino
41,Evan Thatcher
99,Ryan Goetz
b,r,e,a,k
Strong Hand,16
00,James Waddell
00,Robert White
00,DANIEL STEVENSON
00,Cole Flournoy
00,Cameron Albert-Deitch
00,Malcolm Clark
00,WILLIAM GRESCH
00,Andrew Chow
00,Rommel Rana
00,Chris Sayad
00,MICHAEL SAEGER
00,STEWART BOYD
00,Chris Sears
00,RYAN CROSS
00,ZACHARY JEFFREY
00,Jonathan Clark
00,Joshua Glasser
00,ALEX KROPP
00,ROBERT LUX
00,Howard Tong
00,Anders Olsen
00,Chad Borer
00,Samuel Trent
00,Sun Choi
00,Alex Jackson
00,Matthew Berry
00,DANIEL NEW
b,r,e,a,k
Jockamo,9
00,MICHAEL SCHULZ
00,DANIEL VERMAELEN
00,Thomas Echols
00,Brian Mart
00,Wesley Freeburgh
00,ROBERT ANDY FARMER
00,Mark Graham
00,ZACHARY FRUGE
00,SAM JOYCE
00,DYLAN SHANNON
00,SEAN DRENNAN
00,Garrett Baringer
00,Travis Vermaelen
00,Cullen Landry
00,Kenny Berthelot
00,William Steindorf
00,Dylan Zeringue
00,Mitchell Lutz
00,Ory Aguillard
b,r,e,a,k
Cash Crop,5
0,Andrew Ryan
0,Walker Matthews
1,Mason Gardner
1,Tyler French
3,JD Hastings
5,Nathan Kwon
6,Ben Maxson
8,Matthew Rushing
9,Jacob Mouw
10,Theran Riedel
11,Evan Howey
12,Christopher Bonuel
12,Jeff Wiltgen
13,ANDREW LOUGHRAN
13,Andrew Cohen
14,Kiron Allen
15,Vikram Sethuraman
16,J. Zachary Saffa
18,Dain Nielsen
22,Adam Russell
23,James Zuraw
26,Hunter Wilson
29,Mark Stumpf
76,Clayton Noblit
81,David Richardson
88,JOSHUA IRONS
99,Joshua Hartzog
b,r,e,a,k
UpRoar,13
02,Charlie Muniz
03,Daniel Lee
04,Daniel Munsell
07,Jack Dupell
10,Brian Shinners
11,Austin Simpson
13,KEVIN HALL
14,Boe Quisenberry
14,SETH RICHARDS
16,JONATHAN STREETMAN
17,Aron Andino
18,ADAM JAYNE
21,Jonathan Beilan
22,Peter Masone
27,Anthony Gutierrez
28,Ian Lynch
31,Keith Patterson
33,JESSE GOLDSMITH
40,KEITH PENU
51,ERIC SIEGMUND
52,Josh McKisic
54,Nick Fletcher
67,STEPHEN KAYWELL
69,Lawrence (Larz) Hanselman
88,Matt Chandler
99,Garth Reimann
b,r,e,a,k
ShawShack Redemption,14
00,John (Jack) Curran
00,Ryan James
00,Jacob Zirbel
00,taylor minch
00,LAWRENCE LAUER
00,Christopher Purvis
00,RICK WYATT
00,JONATHAN CREIGHTON
00,ROBERT LAWRENCE
00,PARAG GAJARAWALA
00,Benjamin Fincher
00,Sean Finlay
00,John Booth
00,Channing Watson
00,BENJAMIN  LEE
00,Brian Walsh
00,TAYLOR LAMB
11,Bennett Williams
16,Jonhenry Allen
17,Max Williams
28,TYLER PLUNKETT
42,Sean Morris
b,r,e,a,k
Southern Hospitality,6
0,Matthew Hardman
0,Garris Bugg
0,Evan Murray Walter
0,ANDREW WICK
0,Brian Newsom
0,West Dickens
0,Blake Galloway
0,James  Poe
0,Andrew Francis
0,MATTHEW BRYANT
0,Preston Thompson
0,Tanner Robinson
0,Andrew Galiger
0,John (Jack) Dowling
0,Stephen Brandon
0,Michael Venezia
0,JOHN RHODES MARTIN
1,DANIEL GILSTRAP
1,Matthew Johnson
4,Blake Waldron
5,Cody Smith
5,Eric Sjostrom
8,Timothy Martin
8,Patrick Dougherty
11,Jon Thomas Williams
45,Nathan Oaks
85,Evan Boecking
b,r,e,a,k
Bullet,7
00,Zach Mills
00,Jericho Barbour
01,Charles Morris
02,Joshua Bush
03,Benjamin Breault
04,Caleb Shorthouse
05,JOSEPH HANSON
06,David Thomas
07,Zaki Durry
08,Zack Avello
09,SEAN USSERY
12,JACOB USSERY
13,JEREMIAH GUNTER
14,Nathan Vickroy
16,NOLAN KLINKE
17,FELIX JAFFIN
22,ANDREW LIBOWSKY
23,STEVEN HEDGES
25,Robert Hunt
29,Matthew Caldwell
81,Joseph Burns
83,NATHAN THOMPSON
88,WILLIAM NALLEY
91,RECHARD BYRD
97,Mike McGinnis
99,Zachary Watford
b,r,e,a,k
Shrimp Boat,15
00,Kody Cotton
00,David Jones
00,Scott Moore
00,TIMOTHY (TJ) KELLOGG
00,Drew Magee
00,Miguel Ortiz
00,Cole Friedes
00,Brian Campbell
00,Brandon French
00,MICHAEL CICCONI
00,James (Jim)  Heckman
00,Scotty Bohrer
00,Craig Anderson
00,Michael Green
00,Osvaldo Velez-Martinez
00,WAYDE VOSS
00,JAMES KOERNER
00,ZACH WERNICK
00,CHENTE ORTIZ
00,CORY LOGAN
02,Bobby Patterson
07,Matt Childs
10,LIAM RAWSON
11,Ben Stringer
15,MORGAN STANLEY
46,Brian Phillips
54,Michael Alfano
b,r,e,a,k
s,t,a,g,e,s
brackets,Bracket 16.2.1
bracket,Championship
Omen,Ring of Fire,13,14,"09/28/2014, 11:00",1st Final
Omen,Freaks Uv Nature,15,13,"09/27/2014, 13:00",1st Semis
Florida United,Ring of Fire,10,15,"09/27/2014, 13:00",1st Semis
Chain Lightning,Omen,7,15,"09/27/2014, 11:00",1st Quarters
Voodoo,Freaks Uv Nature,10,11,"09/27/2014, 11:00",1st Quarters
Florida United,Ironmen,14,13,"09/27/2014, 11:00",1st Quarters
Vicious Cycle,Ring of Fire,7,15,"09/27/2014, 11:00",1st Quarters
Chain Lightning,Strong Hand,15,1,"09/27/2014, 09:00",1st PQ
Omen,Jockamo,15,11,"09/27/2014, 09:00",1st PQ
Cash Crop,Voodoo,11,15,"09/27/2014, 09:00",1st PQ
UpRoar,Freaks Uv Nature,9,15,"09/27/2014, 09:00",1st PQ
Florida United,ShawShack Redemption,15,6,"09/27/2014, 09:00",1st PQ
Ironmen,Southern Hospitality,15,12,"09/27/2014, 09:00",1st PQ
Bullet,Vicious Cycle,11,14,"09/27/2014, 09:00",1st PQ
Shrimp Boat,Ring of Fire,3,15,"09/27/2014, 09:00",1st PQ
bracket,2nd Place
Omen,Chain Lightning,11,15,"09/28/2014, 13:00",Game to Go
Cash Crop,Chain Lightning,12,15,"09/28/2014, 11:00",2nd R5
Cash Crop,Freaks Uv Nature,15,7,"09/28/2014, 09:00",2nd R4
Chain Lightning,Florida United,14,13,"09/28/2014, 09:00",2nd R4
Jockamo,Cash Crop,12,15,"09/27/2014, 15:00",2nd R3
Southern Hospitality,Chain Lightning,11,15,"09/27/2014, 15:00",2nd R3
Vicious Cycle,Jockamo,0,1,"09/27/2014, 13:00",2nd R2
Ironmen,Cash Crop,8,15,"09/27/2014, 13:00",2nd R2
Voodoo,Southern Hospitality,0,1,"09/27/2014, 13:00",2nd R2
Chain Lightning,Bullet,15,5,"09/27/2014, 13:00",2nd R2
Strong Hand,Jockamo,12,15,"09/27/2014, 11:00",2nd R1
Cash Crop,UpRoar,15,12,"09/27/2014, 11:00",2nd R1
ShawShack Redemption,Southern Hospitality,12,15,"09/27/2014, 11:00",2nd R1
Bullet,Shrimp Boat,15,6,"09/27/2014, 11:00",2nd R1
bracket,13th/14th Place
Strong Hand,Shrimp Boat,0,0,"09/27/2014, 15:00",13th Final
Strong Hand,UpRoar,14,11,"09/27/2014, 13:00",13th Semis
ShawShack Redemption,Shrimp Boat,10,13,"09/27/2014, 13:00",13th Semis
bracket,15th/16th Place
UpRoar,ShawShack Redemption,11,6,"09/27/2014, 15:00",15th Final
bracket,T-9th Place 
Voodoo,Bullet,8,15,"09/27/2014, 15:00",T-9th Final
bracket,T-9th Place #2
Vicious Cycle,Ironmen,9,7,"09/27/2014, 15:00",T-9th Place
bracket,5th Place
Freaks Uv Nature,Florida United,12,13,"09/28/2014, 13:00",5th Place
