Bruise Cruise Classic 2015,Club - Men ,18,7,2015
https://play.usaultimate.org/events/Bruise-Cruise-Classic-2015/schedule/Men/Club-Men/
Red Tide,4
0,Henry Babcock
0,Troy Goddu
0,Toby Jacobs
0,Lucas Hickok
0,Evan Holliday
0,Michael Pistrang
0,Andrew (Andy) Aikens
0,Brian York
0,Daniel Butler
0,KYLE MEGATHLIN
7,Jonathan Gilbert
9,Stephen Banning
12,Michael Carando
12,Raynor Large
13,Chase Baker
13,NICHOLAS PLUMMER
19,TIMOTHY BOIT
31,Neil Franklin
31,Jared DeWolfe
34,Cameron Jack
b,r,e,a,k
Big Wrench,1
0,ERIC WILBURN
4,Jacob Saunders
5,Hansen Yang
7,Andrew Zaccardi
9,Noah Newberger
02,LOCK WHITNEY
03,Robby Perkins-High
10,NICHOLAS SILBART
11,DAN FORSETER
12,TREVOR SANDERS
13,JOSH ADLER
14,Patrick Kelsey
17,Samuel Zuckernik
19,Jason Shnipes
23,KEVIN SPARACINO
27,Jordan Kaufman
27,Matthew Rogers
30,Sam Kittross-Schnell
32,David Lyle
34,Benjamin Gagne-Maynard
35,Piers MacNaughton
42,Benjamin Wittenberg
b,r,e,a,k
Bruises,5
00,Benyamin Meschede-Krasa
00,Micah Botkin-Levy
00,Benjamin Page
01,Patrick Jerome
02,Ryan Cardinal
04,Ryan Woodhouse
04,Travis Ellyson
05,ERIC STEINBROOK
07,Dennis Maclaine
08,BRIAN BEAULIEU
09,John Sullivan
10,Alex Caulfield
12,BRENDAN NICHOLS
14,Anthony Bevilacqua
15,Craig Bunce
17,DEREK STEVENS
19,Alec Parzych
21,Brian Munroe
35,Russell Katz
46,AJ Hutchins
73,Brendan Blaney
81,ERIC RATHBUN
88,Jason Freedman
98,Zackery Smith
b,r,e,a,k
Westchester Magma Bears,8
0,Christopher Novielli
0,Jake Kaufman
0,CHRIS BRANCATO
0,Yukinobu Tanimoto
0,Christopher Losapio
0,Liam McAuliffe
0,Alex Jayakar
0,Nicolas Dacey
0,James Friscia
0,JAKE STEVELMAN
0,ALAN BRANSON
0,Jared Robinson
0,Anton Boutkov
0,BRIAN DELAPORTE
2,Angelo Olcese
4,Darren McAuliffe
9,Parker Rennels
17,John Walsh
17,Kevin O'Brien
20,Colton Lubaszka
20,Philip DiGiacomo
24,Michael Pardo
31,Aron Szanto
36,Will Frolich
38,Chris Bonifati
55,JOSHUA KLEIN
84,Matt Lubitz
b,r,e,a,k
Birds of Pray,9
0,ERIK HARVEY
0,Michael Dillon
