Chowdafest 2015,Club - Mixed ,15,8,2015
https://play.usaultimate.org/events/Chowdafest-2015/schedule/Mixed/Club-Mixed
Mixed Nuts,5
0,Jennifer Ng
0,Benjamin Naismith
0,Alice Chirn
0,Krystle Jiang
0,Brian Buck
0,Rob Baker
0,Luke Lanoue
2,WILLIAM (BILL) BLINN
3,TITUS SAMUEL
3,BRANDON TRAN
9,Lisa Liu
9,Jarod Payne
15,Kimberly Yu
20,Tom Bassett
20,Brandon Nadres
22,Albert Lee
25,Grant Thomas-Lepore
26,Alex (Wei Yuh) Chang
33,Shi-Min Chin
85,Richard Schaffer
b,r,e,a,k
Jughandle,1
0,Michelle Jones
02,Ruthie Tabatchnick
04,Ryan Belline
05,Andrew Misthos
06,Rachel Chen
07,Thomas Johnson
08,Grant Franke
09,Susanna Jivotovski
11,Mason Compton
13,Elizabeth O'Grady
15,ANDREW SCHANCK
16,Christopher Fairfield
17,ANDREW LOPRESTI
19,Andrew Auyeung
20,Rebecca Halleran
26,Evan Feeney
31,Jonathan (Johnny) Sisto
33,Jesse Hynes
35,Christopher Gibbs
39,Amy Zhou
41,Tim Naumovitz
42,Bridget Compton
61,Francesca Battaglia
70,Charles Cannon
78,Christian Weisenbacher
91,James Forbes
b,r,e,a,k
Townies,4
0,VALERIE LOUCKS
0,Alec Tucker
0,Niki Lesniak
0,Jeff Hartline
4,Ryan Bukovsky
9,Justin Pierce
19,Veronica Pillar
21,Hannah Smalley
24,Zuzanna Rybicka
27,Taylor Simpson
36,Nicolas LoPresto
66,Jay Hamilton
b,r,e,a,k
Pandas,8
1,Eugene Grinberg
5,Lance Vicente
6,Leah Garber
8,Raz Blau
10,Adam Marrakchi
11,Patrick Sheil
14,Sarah Durando
15,WILLIAM WATTS
17,Iris Kim
21,Jimmy Wang
22,Elena López
23,Cristin Califf
24,Matthew Lingam
25,Benjamin Nichols
26,Alex Greene
28,ELIZABETH COX
29,Ryan Cullinane
58,Wes Halter
62,Julie Ha
64,Ryan Elam
b,r,e,a,k
Nautilus,9
0,Lillith Smith
0,Kate Baylis
0,Ariana Pike
0,Jordan Pike
0,Erin O'Neill
0,YI-CHUAN LUK
0,Jeff Smith
0,Ian Adelstein
0,DAVID JUSTICE
0,ELISE SYMER
5,Leanna Sprague
7,Ricky Lewandowski
9,Matthew Luk
18,Mark Nixon
21,Teddy (Edward) Straub
26,Mary Cuan
32,Bryan Sprague
45,Mark Falinski
72,ANDREW CHARLTON
b,r,e,a,k
Beezer Ultimate,12
0,KC MORAN
0,Austin Power
0,Matthew Allen
0,Minta Notini
0,Derek Dupuis
0,STEPHEN LEONARDO
0,AUDREY PHILLIPS
0,Jaclyn Kinson
7,Michael Arsenault
11,Jesse Schwartz
12,Keefer Welsh
12,Christopher Linskey
16,Brady Page
29,Lydia McLaughlin
44,Daniel Del Tufo
48,DAMIAN WOODARD
91,Jacob Shillue
b,r,e,a,k
Last Call,2
0,DAVID BLANCHA
0,Emma Groetzinger
0,Shawn Zubin
0,Jillian Edwards
0,Jess Stitt
0,Jenny Li
0,ARUN FRICKER
0,George Mazzoli
0,Tracey Lum
0,Tim Gilboy
0,Sophia Siu
0,Scott Schwartz
0,Angel Li
1,Ryan Schulz
5,Peter Gilchrist
9,Isaiah Bryant
9,Laura Marrin
10,Jonathan Lao
12,William Gargroetzi
20,Lee Langston
21,VERONICA SO
37,Dan Mullins
89,Grace Relf
b,r,e,a,k
Darkwing,3
00,Jodi Robert
01,Michelle Gagnon
02,Matthew Silverman
03,Elizabeth Way
04,Melissa Revotskie
05,Jared DiMascio
07,JUSTIN WU
08,Joe Scully
09,Kayla Rivard
11,TOM CONFORT
12,Olivia Fantini
13,SAM RICHARDS
15,Daniel Dimascio
16,ALEXANDER PINKHAM
18,Andrew Fredrickson
19,Isaac Peters
21,Andrew Schwartz
22,Claire Staines Hoogeboom
24,Stephen Panasuik
28,NICK BLENIS
29,Justin Palin
33,JUSTINE BUCCI
36,Julie Kafka
44,Jenna Palin
55,ALYSSA NEBORSKY
87,Robert Sayre-McCord
b,r,e,a,k
Shipwreck,7
0,Meriden Estes
0,DARAH SCHOFIELD
0,Mackenzie Kirby
0,Alec Joyce
0,David Polyak
0,Sarah Tulin
0,Evan Blumberg
0,Ruby An
9,CAROLINE OWENS
13,Brian Sauro
37,Sam Harvey
47,Patrick McGrath
97,ERIC SCHEID
b,r,e,a,k
x (C),6
69,Aidan ROBICHAUX
69,Christopher Bloom
69,Gregory Ohnemus
69,Eric Tierney
69,Natasha Bedoya-Ross
69,Ian Pearsall
69,Ezra Lichtman
69,Tracy Potter
69,Johann Becker
69,MORGAN SODERHOLM
b,r,e,a,k
HAOS,10
0,Adam Nosowitz
0,Brad Smith
0,KATIE ARMSTRONG
0,JEFFREY GILBERT
0,EADAOIN HARNEY
0,SEAN FIDLER
0,Jarrett Piette
0,Kristina Ohl
3,Allison Wahrenberger
5,Pearce Kelley
17,Johnny Napoli
20,Ashton Wollett
32,Amelia Becker
34,Zach Darbeloff
36,MEREDITH SHIH
42,Heather Dolan
48,Ben Matthews
69,David Guertin
76,Arthur Small
b,r,e,a,k
Providence Mob,11
0,Michael Cardello
0,Topher Brown
0,ALEXANDER PICKMAN
0,Jane Hu
0,Emily Hickey
0,Michael Hickey
0,Nakita Guerrouxo
8,Aaron Joseph
11,Nicholas Steffen
25,Thomas Dougherty
69,Chris Higgins
b,r,e,a,k
s,t,a,g,e,s
pools,Chowdafest
pool,Pool A
Jughandle,Beezer Ultimate,15,3,"08/15/2015, 08:45",Pool A
Townies,Mixed Nuts,5,15,"08/15/2015, 08:45",Pool A
Pandas,Nautilus,14,11,"08/15/2015, 08:45",Pool A
Jughandle,Townies,15,8,"08/15/2015, 10:25",Pool A
Mixed Nuts,Beezer Ultimate,15,3,"08/15/2015, 10:25",Pool A
Townies,Beezer Ultimate,15,6,"08/15/2015, 12:05",Pool A
Mixed Nuts,Nautilus,14,8,"08/15/2015, 12:05",Pool A
Jughandle,Pandas,15,7,"08/15/2015, 12:05",Pool A
Jughandle,Nautilus,15,4,"08/15/2015, 13:45",Pool A
Townies,Pandas,10,8,"08/15/2015, 13:45",Pool A
Jughandle,Mixed Nuts,13,14,"08/15/2015, 15:25",Pool A
Townies,Nautilus,12,8,"08/15/2015, 15:25",Pool A
Pandas,Beezer Ultimate,11,6,"08/15/2015, 15:25",Pool A
Mixed Nuts,Pandas,13,12,"08/16/2015, 08:45",Pool A
Nautilus,Beezer Ultimate,15,6,"08/16/2015, 08:45",Pool A
pool,Pool B
Last Call,Darkwing,15,5,"08/15/2015, 08:45",Pool B
HAOS,Providence Mob,15,6,"08/15/2015, 08:45",Pool B
x (C),Shipwreck,9,12,"08/15/2015, 10:25",Pool B
Darkwing,HAOS,15,3,"08/15/2015, 10:25",Pool B
Last Call,Providence Mob,15,5,"08/15/2015, 10:25",Pool B
x (C),Providence Mob,11,10,"08/15/2015, 12:05",Pool B
Darkwing,Shipwreck,10,9,"08/15/2015, 12:05",Pool B
Last Call,HAOS,15,3,"08/15/2015, 13:45",Pool B
Shipwreck,Providence Mob,12,8,"08/15/2015, 13:45",Pool B
Darkwing,x (C),11,10,"08/15/2015, 13:45",Pool B
x (C),HAOS,15,13,"08/15/2015, 15:25",Pool B
Last Call,Shipwreck,15,6,"08/15/2015, 15:25",Pool B
Darkwing,Providence Mob,15,4,"08/16/2015, 08:45",Pool B
Shipwreck,HAOS,13,9,"08/16/2015, 08:45",Pool B
Last Call,x (C),15,8,"08/16/2015, 08:45",Pool B
b,r,e,a,k
brackets,Chowdafest Championship
bracket,Championship
Darkwing,Last Call,14,10,"08/16/2015, 14:15",Championship
Mixed Nuts,Darkwing,9,14,"08/16/2015, 12:15",Semis
Last Call,Shipwreck,15,9,"08/16/2015, 12:15",Semis
Mixed Nuts,x (C),15,8,"08/16/2015, 10:25",Quarters
Darkwing,Townies,12,9,"08/16/2015, 10:25",Quarters
Last Call,Pandas,15,8,"08/16/2015, 10:25",Quarters
Jughandle,Shipwreck,7,11,"08/16/2015, 10:25",Quarters
b,r,e,a,k
brackets,Chowdafest 5th Place Bracket
bracket,5th Place Bracket
Jughandle,Pandas,8,5,"08/16/2015, 14:15",5th Place
Jughandle,Townies,15,10,"08/16/2015, 12:15",5th Place Semis
Pandas,x (C),12,11,"08/16/2015, 12:15",5th Place Semis
b,r,e,a,k
brackets,Chowdafest 3rd Place
bracket,3rd Place Bracket
Shipwreck,Mixed Nuts,9,6,"08/16/2015, 14:15",3rd Place
b,r,e,a,k
brackets,Chowdafest 7th Place
bracket,7th Place Bracket
x (C),Townies,0,1,"08/16/2015, 14:15",7th Place
b,r,e,a,k
brackets,Chumpionship
bracket,Chumpionship
Nautilus,HAOS,10,7,"08/16/2015, 14:15",Chumpionship
Nautilus,Providence Mob,15,7,"08/16/2015, 10:45",Chumpionship Semis
Beezer Ultimate,HAOS,12,13,"08/16/2015, 12:15",Chumpionship Semis
b,r,e,a,k
