College Southerns 2015,College - Men ,21,3,2015
Statesboro,GA,2015-03-21,2015-03-22
https://play.usaultimate.org/events/College-Southerns-2015/schedule/Men/CollegeMen/
Minnesota-Duluth,1
0,David Huber
1,Tanner Midas
2,Adam Shearen
3,Andrew Pipp
4,Mohammud Tilmo
5,DAVID MACH
7,Josh Lemieux
9,Matthew Butkowski
10,Tristan Grovender
11,Alec Kadlec
12,Frank Fairchild
14,Tyler Thomegreene
16,Riley Siewert
17,JORDAN DANIEL
18,LOUIS MCGRAW
20,Marty Adams
22,Mitchell McGahan
23,Peter Diede
24,ANDREW ROBERTS
28,Brian LaFrance
30,Curtis Cammack
32,Anthony White
34,James Kittlesen
35,Shaun LaFrance
36,DMITRY RYBAKIN
42,Matt Burkhardt
55,Harrison French
96,Tucker Hoffman
b,r,e,a,k
Georgia Southern,5
0,Hamilton Mebius
1,James ONeal (Neal) Hollis
2,Zach  Tsang
3,WILLIAM PAPLEACOS
6,Philip Long
8,Tyler Hedges
10,CARVER WESTENDORFF
12,Blaine Brown
13,ANDREW ROBERTSON
19,Rashad Weeks
20,James Rink
21,Samuel Trent
22,AHMAD WEEKS
25,Andrew Bogle
28,THOMAS SOWELL
31,Jones Durham
34,Christopher Clark
47,Brannon Thompson
69,Sean Huneycutt
74,JAMES NEEDHAM
96,Louis Macuch
99,Dylan Whalen
b,r,e,a,k
South Florida,9
0,Shane Voshell
0,JOSEPH BUSTABAD
0,Sagar Shahani
0,BENJAMIN BREWER
0,Vikrant Pendharkar
0,Ian Lynch
0,Connor Vice
0,Scott DeLuca
1,Jody Louis
9,Clay Hewett
18,Alex DeSouza
21,Keith Patterson
27,Francisco Benito-Agostini 
33,JESSE GOLDSMITH
51,Patrick Dougherty
87,TAD PALMER
88,Matt Chandler
99,Garth Reimann
b,r,e,a,k
Samford,19
0,Andrew Jackson
0,John Kegley
0,Sky Sikkink
0,Ryan Cliff
0,Andrew Feldewerth
0,Gregory Lane
0,Caleb Shelton
0,Patrick Buszka
0,Charles Haney
2,Colton Bassett
7,JAKE MILLS
7,Greg Buszka
13,Carter Rae
56,GARRETT BOUCHER
95,Trip Adams
98,Alex Lowry
b,r,e,a,k
Charleston,13
0,Zachary Davis
0,Kieran Kelly
0,Nolan Barrett
0,Max Moore
0,Colton Miller
0,JAMES POOLE
0,Hunter Nadeau
0,Montana Power
0,Cooper Ball
0,Michael  White
0,SALOMON SMITH
1,Brandon Massey
1,Nicholas Hocking
8,Ziv Agasi
9,MICHAEL MILLER
10,Chris Bates
13,Matthew Hajek
14,Will Cretsinger
18,Oddom Vong
22,Jared Holloway
33,Jensen Tomberlin
69,Matthew MacPhail
b,r,e,a,k
Appalachian State,2
0,Josh Louie
0,MITCHELL HALLORAN
0,Anthony Morlacci
0,Ryan Dolan
0,Daniel Schopler
3,Christian Solberg
3,Ryan  Schanz
8,Benj Thomsen
9,Daniel Hickman
11,Adam Russell
12,Austin Olive
12,CROSBY TAYMORE
13,Mikko Rich-Voorhees
21,Caleb Louie
21,ERIC CONKLIN
22,NICK SIMPSON
23,Jeff Nordgren
27,KEVIN BYRLEY
33,Jeffrey Colby
42,TIMOTHY BETHEA
47,Alexander Nicholos
50,Shawn Bippley
52,Michael  McKay
67,Sam Putnam
69,WILLIS WOOD
72,ROB SPRANKLE
83,Ian Barry
99,Spencer Colwell
b,r,e,a,k
Carleton College-GOP,10
0,Abraham Eichner
0,Malcom Fox
0,Jeremy Randolph-Flagg
0,Zack Considine
0,Michael Ebako-Hodgson
0,GILAD EISBRUCH
0,Arthur McCray
0,Andy Rodgers
0,Ryan Saeta
0,Eric Angell
3,COLIN FROINES
4,Will Yetvin
5,Matt Godfrey
11,Kenny Harvey
21,IAN FISCHER
22,Nelson Rohrbach
23,SAMUEL WHITE
24,DEVON MANBER
25,Robert Yeagle
35,CONNOR HODGES
42,MAXWELL WILLARD
60,JAKE YANOVIAK
67,ANDERS BERGLUND
69,DANIEL BLACK
71,David Goodell
88,Benjamin Longchamp
99,Thomas Grodzicki
b,r,e,a,k
Princeton,6
0,Alec Jacob Ranzato
0,Jeffrey Diament
0,Kavinayan Sivakumar
0,Zane Friedkin
0,Oakley Richins
0,Nicholas Nelsonwood
0,Alex Fogg
1,Kiffa Conroy
2,JONATHAN CHEN
4,ROSS SMITH
9,Andrew Huang
12,Sean Treacy
15,ADAM SMYLES
17,DEAN MAKINO
18,DAVID BECK
19,Zach Weed
21,Anthony Markowitz
27,Matthew Rogers
28,THOMAS KELLY
82,Malcolm Deck
88,MATTHEW MATL
99,Matine Yuksel
b,r,e,a,k
North Georgia,20
2,Konner Mullins
3,Jacob  Hutson 
4,Michael Hubbell
5,Cameron Nicholes
6,Vivian Goddard
7,David Meuesen
8,Fernando Ortiz
12,Thomas Norris
14,Katie Tippens
17,Anna Horton
20,JACOB NOLAN
22,Christian Daniell
24,Jonathan  Pabon
26,Sara Baker
27,Sam Heath
55,Hampton Peay
63,Samantha Hollis
77,Connor Brewer
89,Chadbourne Dekker
99,JACOB FORTNER
b,r,e,a,k
Mississippi State,14
0,Steven Powell
0,Joseph Caldwell
0,Sebastian  Tinsley
