DIII Easterns 2015,College - Women ,20,3,2015
North Myrtle Beach,SC,2015-03-20,2015-03-22
https://play.usaultimate.org/events/DIII-Easterns-2015/schedule/Women/CollegeWomen/
Elon,3
teamInfo,Wild Rumpus,"Elon, North Carolina",,https://www.facebook.com/elonwildrumpus,https://twitter.com/ElonWildRumpus
00,GRACE RUBRIGHT
02,Emily Bell
06,HELEN  PEPLOWSKI
07,Kerianne Durkin
12,Kathryn Robling
21,ROSALIE SPADA
22,Laura Brockington
23,Kirsten Goodwin
26,Catherine Ryan
39,EMILY MCCACHREN
44,Aelish Aoki
52,Sydney Harris
57,Maggie Filipowich
b,r,e,a,k
Davidson,1
teamInfo,Duff Women,"Davidson, North Carolina",http://davidsonwildcats.com/sports/2012/10/11/Womens%20Club%20Ultimate.aspx?id=520,,
0,Yiqi (Annie) Tang
0,Evelyn Morris
0,Angelena Parker
0,Allison Boone
0,Klara Manz-Siek
0,Julie Park
0,ELIZABETH JACOBI
0,Jessie Walter
0,Christine Choi
0,Shirley Ge
0,Rachel Lee
0,Rebecca Fisher
0,Colleen Karlovich
11,Emma Rose Parker
29,Haley Sanner
b,r,e,a,k
North Carolina-Asheville,4
teamInfo,Hellbenders,"Asheville, North Carolina",,https://www.facebook.com/uncaultimate,https://twitter.com/UNCAhellbenders
2,Susana Zigante
3,MOLLY SCANGA
4,Sarah Jobsis
6,Lauren  Shell
7,Margo Flewelling
8,Bailey Parton
9,Leah Westendorf
10,Katherine Frantz
11,Annie Thurman
12,Kyla Gargiulo
13,Carrie  Fisher
17,SARAH  WESTENDORF
18,Tess Handy
21,Louisa Hopkins
22,Maya Sugg
28,Kelli Early
37,Gracie  Nicklas-Morris
44,Lillian Lovingood
85,Kathleen White
b,r,e,a,k
Appalachian State,2
teamInfo,Nonads,"Boone, North Carolina",,,
0,CORRIE MALONE
0,Rachel Dodgen
0,Meredith Abercrombie
0,Ingrid Humphrey
0,Angela Renzulli
0,MARGARET SIMMONS
0,KENYON HALL
0,Brianne Pacey
0,Madison Coughlin
0,Lindsey Rotche
21,Sarah-Cabot Morris
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday
pool,Pool A
Davidson,Elon,10,12,"03/21/2015, 10:40",Pool A,Final
Appalachian State,North Carolina-Asheville,10,12,"03/21/2015, 10:40",Pool A,Final
Davidson,North Carolina-Asheville,10,5,"03/21/2015, 12:20",Pool A,Final
Appalachian State,Elon,6,13,"03/21/2015, 12:20",Pool A,Final
Davidson,Appalachian State,10,3,"03/21/2015, 14:00",Pool A,Final
Elon,North Carolina-Asheville,9,8,"03/21/2015, 14:00",Pool A,Final
b,r,e,a,k
brackets,Sunday
bracket,Championship Bracket
Elon,Davidson,13,7,"03/22/2015, 10:40",Championship Bracket,Final
Elon,Appalachian State,14,3,"03/22/2015, 09:00",Semifinals,Final
Davidson,North Carolina-Asheville,12,7,"03/22/2015, 09:00",Semifinals,Final
bracket,3rd Place Game
Appalachian State,North Carolina-Asheville,10,9,"03/22/2015, 10:40",3rd Place Game,Final
b,r,e,a,k
