Great Lakes Mixed Regionals,Club - Mixed ,12,9,2015
West Chester,OH,2015-09-12,2015-09-13
https://play.usaultimate.org/events/Great-Lakes-Mixed-Regionals-2015/schedule/Mixed/Club-Mixed
Steamboat,1
teamInfo,,"Cincinnati, Ohio",http://www.steamboatultimate.com/,https://www.facebook.com/steamboatultimate,https://twitter.com/cincysfb
coaches,Daniel Zistler
0,Jeff Kula
01,JOHN  SIEMER
02,Nancy Haskell
03,Eddie Mack
04,Nicholas Wetzel
05,Ryan Gorman
06,Stephanie Mack
07,Emily Ash
08,Tim Settles
09,Alexander Riahi
10,Jennifer Golan
11,Christopher Misleh
13,Kate McInerney
15,Aaron Bacon
17,Keegan North
18,Kellan Gibboney
21,Scott Schriner
22,Brittany Winner
23,Kendalyn Paulin
24,Nichole Kwee
27,Christopher Powers
28,Jeff Haney
30,Lucia Derks
31,Kristin Baxter
38,Joe Mozloom Jr
46,Isaac Jeffries
61,Timothy Peterson
b,r,e,a,k
Tequila Mockingbird,6
teamInfo,,"Chicago-apolis, Indiana",,,https://twitter.com/tbirdultimate
00,JOSHUA PIROG
01,Haley Bartolomei
02,BRENDAN CORBOY
03,Ryan Kurka
04,Aaron Del Real
05,Aaron Schwartz
06,Mike Kobyra
08,Michael Baysinger
09,Jenna Peterson
11,Darien Rodriguez
12,SARAH CRADDOCK
13,ALLEN PENG
17,Mike Dehnbostel
18,Tyler Claypool
19,CAROLYN BLOOD
21,BRIDGET  WELLMAN
22,Julianne Schmitt
23,MONICA LASLEY
24,Eric Hallow
27,KEVIN SELM
29,John Sellers
33,RYAN PEKARNA
44,Megan Grygiel
45,Kristen Kaweck
59,Todd Miller
66,William Schmitt
89,Andriana Tompary
b,r,e,a,k
Omertà,3
teamInfo,,"Chicago, Illinois",,facebook.com/omertaultimate,https://twitter.com/OmertaUltimate
0,NEDA BAGHERI
0,Eric Leppink
0,THOMAS MILLER
0,Ariel Choi
0,Samantha Sadlier
0,CASSANDRA WHITFORD
1,Will Hsieh
13,Jimmy Robin
14,Kristen Turner
15,JOSEPH DECHERY
16,BRANDON TARBET
21,Brendan Kremer
22,Emily Eddy
23,Cameron Hodgkinson
24,James Sykora
25,Bradley Johnson
25,Jordan Lange
26,Patrick Kaufmann
27,Sarah Schram
29,James Kurley
31,VALERIE IEHL
36,Emily Fridberg
39,Phoebe Evans
49,BRIAN HERRMANN
54,Lauren Guzman
71,Marc Furigay
91,Maggie Paoli
b,r,e,a,k
Dream Killas,7
teamInfo,,"Ann Arbor, Michigan",,,
02,Benjamin Murphy
03,SARAH CLEMENS
04,Samm Ryan
05,GARY GRANT
06,Aaron Ziegler
07,AUSTIN LEWIS
08,Jenna Ray
09,Elizabeth Benedetto
11,LOGAN BRAUN
13,SUSANNA LAGORY
14,Bryan Bush
15,DEREK BEZEAU
16,Joshua Osinski
17,Connor Lukas
18,Gina Sancricca
20,RYAN MARIOUW
21,Andrew Tang
22,Meghan Drews
23,Kathryn Kembitzky
24,MARISSA Korodan
25,Kari Paine
29,KRISTOPHER COLEY
34,CHRIS CONLAN
35,Joseph Besser
36,Daniel Boynton
88,Trey Taliaferro
b,r,e,a,k
ELevate,12
teamInfo,,"Chicago, Illinois",,https://www.facebook.com/ELevateUltimate,https://twitter.com/ElevateUltimate
2,Kevin Schwartzenberg
3,Christopher Leeson
4,Matthew Nickels
7,Brian Murphy
8,Hannah Nickels
10,George Tobin
12,Pedrom Rejai
14,Matt Finley
16,Jesse Handler
17,MICHAEL NAGEL
18,Jennifer Shouldice
21,Benjamin Macalalad
22,Joe Kowalkowski
24,REBECCA LEDER
25,Sean Mills
27,REGINA MUHR
30,Marley Marano
31,Alexandra Ulp
32,Sandra Helquist
33,Alyssa Graham
36,Talia Fishman-Strait
42,Ryan Albright
44,Meredith Sommars
47,Jeff Sommars
66,Taylor Dall
71,Matt Gubernick
b,r,e,a,k
Goose Lee,10
teamInfo,,"Cincinnati, Ohio",,,
0,Olivia Bayer
2,Alex Frasz
3,Connor Shirley
3,Aaron Armbruster
4,Rachel Gast
4,KASEY GUST
5,TODD CHAMBERLAIN
8,Sarah Kleymeyer
9,Brandon Cannell
10,COURTNEY PHELPS
11,Michael Lopez
12,Megan Timmerman
13,John Cassidy
15,Brian Walsh
15,Zachary Radcliff
17,Warren Jeff Ullery
17,Conner Haenszel
22,Liz Anderson
23,Patrick Cannell
23,ANNIE MATTHEWS
28,Sylvia Ulmer
29,JAMIE DELL
30,Matt Hudson
32,Casey alexander
47,Zach Kaylor
54,BEN JANSEN
74,Collin McCartney
b,r,e,a,k
UPA,2
teamInfo,,"Chicago, Illinois",www.upa.org,,https://twitter.com/The_UPA
0,Laura Moore
1,Tim Halt
2,Michael Shiel
3,Michael Egan
4,Alex Drlica-Wagner
5,Lizzy Shiel
6,William Finn
7,Raju Prasad
8,Christine Huffer
9,Rory Gallagher
10,Jessica Schulz
11,Geoff Serednesky
12,Andrew Delorenzo
13,DANE OLSEN
14,Akira Yamaguchi
16,Jaclyn Herr
17,NATALIE WU
18,Richard Berger
20,Katherine Olsen
21,John Kolb
23,Lindsey Hack
28,Hensley Sejour
29,Brian Schulz
43,Kelly Bolt
45,Gary LeDonne
88,Valentina Shiel (Ngai)
b,r,e,a,k
Prion,4
teamInfo,,"Champaign-Urbana, Illinois",www.prionultimate.com,,
0,Sarah San Pedro
0,Gloria Lee
00,Elliot Putman
02,Jeremy Goodsitt
03,Daniel McDonald
04,Candace Brahm
05,Angelo Ramos
06,Allycia Gariepy
09,Betsy Basch
12,Sydney Olund
14,Jim Haan
15,Daniel Rolando
17,Mikayla Yoder
18,Alexis Dettmer
19,Michael Mitchaner
20,Scott Nelson
23,Alex Castillo
24,Loren Goodrich
25,Timothy San Pedro
26,Erik Huemiller
27,CHRISTOPHER HIDAKA
29,Jake Corley
31,Christopher Drew
36,Bianca Delgado
42,Brandon Carrel
51,Adrienne Ohler
77,Jason O'Neill
b,r,e,a,k
MixCats,9
teamInfo,,"Catsville, Ohio",,,
00,Kevin Hanzel
00,DANIEL OLSON
00,Lloyd Furuta
00,SARAH MAJ
00,Lori Gromen
00,Andrew Grogan
00,Stephanie Herman
00,Rachel Greenwald
00,Todd Grace
00,BROGAN HANZEL
00,MARK HRITZ
00,Katherine Hambley
00,Matthew Olson
00,Sara Strittmatter
00,William Kent Butler
00,Cody Petitt
00,SCHUYLER REDDING
00,Andrew Ball
00,KELLEY MCANDREWS
00,MEGHAN SHAMBLEN
00,Tim Meyers
00,Kelly Hofer
00,Michael (Mike) Ford
00,Jenna Galletta
00,Trevor Hawks
00,ERIC CONVERSE
b,r,e,a,k
Liquid Hustle,5
teamInfo,,"Indianapolis, Indiana",www.liquidhustle.com,https://www.facebook.com/LiquidHustle?ref_type=bookmark,https://twitter.com/LiquidHustle
3,Lizzie Stierwalt
4,Bradley Hills
9,Nathan Partenheimer
10,Jenna Jarvis
12,Colin Ringwood
13,Joshua Kemmerling
16,HILTON HEINEKE
17,Kristin Dudley
20,Chris Hensel
21,Josh Fortney
23,Julie Raduenz
24,Colton Steiner
26,Kennedy Clark
29,Ryan Jarvis
31,Andrew Miller
33,Delaney Johnson
34,Ben Lauer
35,Paul Avilez
41,Joseph Cari
42,Kelly Kerker
44,Anastasia Foster
51,Benjamin Hannan
55,Jason Cheek
69,Brittney Ballard
77,Rachel Clark
86,Dusty (Dustin) Hughes
88,Cameron Brock
b,r,e,a,k
Mishigami,8
teamInfo,,"East Lansing, Michigan",,https://www.facebook.com/mishigamiultimate,
00,Lane Kaufmann
01,WILLIAM VOSS
03,Ian Koskinen
05,Christa Natke
07,Sara Nitz
10,Sona Dagley
11,TESSA MOORE
13,Brandi Skanes
15,Mathew Peltier
17,THEO CAMBERT
19,NICHOLAS MUNYAN
21,PERSEFONI LAUHON
22,Joe Deppe
23,Jason Howard
24,Patrick Abeli
25,Justin Browne
42,Trevor Marshall
44,Kyle Griffin
48,Kaye Eshelman
52,Brendan Schwalm
69,JOHN JAKIMIAK
81,Jake Smith
93,CHRISTINE MCTAVISH
99,Matthew Western
b,r,e,a,k
Pileup,11
teamInfo,,"Ann Arbor, Michigan",,,
0,Noah Fisher
0,KATHRYN DE LA ROSA
0,Helen Huang
0,Dan Putman
0,Maggie Price
0,Ariane Donnelly
0,Craig Biwer
0,Anna Kilbourn
0,Jason Mirjah
0,Serina Mazzoni-Putman
0,Ki Sing Lee
0,ADAM TAYLOR
0,AMY CHIANG
0,LUCAS PRICE
0,David Gagnon
0,FELICIA GRAY
0,Maya Grumeretz
0,Victor Arena
0,ALEXANDRA ALEJOS
0,Brian Syverud
13,Ryan Donnelly
16,Kelli Smith-Biwer
24,Charlotte Wilson
30,Patrick Reed
31,Scott Hetu
49,ERIC WITHAM
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Steamboat,Tequila Mockingbird,11,6,"09/12/2015, 09:00",Pool A,Final
Omertà,Goose Lee,11,3,"09/12/2015, 09:00",Pool A,Final
Dream Killas,ELevate,11,10,"09/12/2015, 09:00",Pool A,Final
Steamboat,Goose Lee,11,4,"09/12/2015, 10:45",Pool A,Final
Tequila Mockingbird,ELevate,11,6,"09/12/2015, 10:45",Pool A,Final
Omertà,Dream Killas,10,9,"09/12/2015, 10:45",Pool A,Final
Steamboat,Omertà,11,6,"09/12/2015, 12:30",Pool A,Final
Tequila Mockingbird,Dream Killas,11,3,"09/12/2015, 12:30",Pool A,Final
Goose Lee,ELevate,10,11,"09/12/2015, 12:30",Pool A,Final
Steamboat,Dream Killas,11,1,"09/12/2015, 14:15",Pool A,Final
Omertà,ELevate,11,6,"09/12/2015, 14:15",Pool A,Final
Tequila Mockingbird,Goose Lee,11,3,"09/12/2015, 14:15",Pool A,Final
Steamboat,ELevate,11,4,"09/12/2015, 16:00",Pool A,Final
Omertà,Tequila Mockingbird,7,10,"09/12/2015, 16:00",Pool A,Final
Dream Killas,Goose Lee,11,4,"09/12/2015, 16:00",Pool A,Final
pool,Pool B
UPA,Liquid Hustle,11,4,"09/12/2015, 09:00",Pool B,Final
Prion,MixCats,11,9,"09/12/2015, 09:00",Pool B,Final
Mishigami,Pileup,9,8,"09/12/2015, 09:00",Pool B,Final
Liquid Hustle,Pileup,11,4,"09/12/2015, 10:45",Pool B,Final
Prion,Mishigami,11,6,"09/12/2015, 10:45",Pool B,Final
UPA,MixCats,11,3,"09/12/2015, 10:45",Pool B,Final
UPA,Prion,11,8,"09/12/2015, 12:30",Pool B,Final
Liquid Hustle,Mishigami,11,9,"09/12/2015, 12:30",Pool B,Final
MixCats,Pileup,11,7,"09/12/2015, 12:30",Pool B,Final
UPA,Mishigami,11,3,"09/12/2015, 14:15",Pool B,Final
Prion,Pileup,11,5,"09/12/2015, 14:15",Pool B,Final
Liquid Hustle,MixCats,6,11,"09/12/2015, 14:15",Pool B,Final
UPA,Pileup,11,2,"09/12/2015, 16:00",Pool B,Final
Prion,Liquid Hustle,11,2,"09/12/2015, 16:00",Pool B,Final
Mishigami,MixCats,3,11,"09/12/2015, 16:00",Pool B,Final
b,r,e,a,k
brackets,Great Lakes Regionals 2015 - Bracket Play
bracket,Championship Bracket
Steamboat,UPA,12,13,"09/13/2015, 13:00",1st Place Finals,Final
Steamboat,Prion,15,7,"09/13/2015, 13:00",1st Place Semis,Final
MixCats,UPA,9,15,"09/13/2015, 11:00",1st Place Semis,Final
Steamboat,Liquid Hustle,15,11,"09/13/2015, 09:00",1st Place Quarters,Final
Prion,Omertà,11,10,"09/13/2015, 09:00",1st Place Quarters,Final
Tequila Mockingbird,MixCats,9,14,"09/13/2015, 09:00",1st Place Quarters,Final
UPA,Dream Killas,15,4,"09/13/2015, 09:00",1st Place Quarters,Final
bracket,5th Place Bracket
Liquid Hustle,Tequila Mockingbird,10,14,"09/13/2015, 13:00",5th Place Finals,Final
Liquid Hustle,Omertà,11,8,"09/13/2015, 11:00",5th Place Semis,Final
Tequila Mockingbird,Dream Killas,15,12,"09/13/2015, 11:00",5th Place Semis,Final
bracket,3rd Place
Prion,MixCats,15,14,"09/13/2015, 13:00",3rd Place,Final
bracket,7th Place
Omertà,Dream Killas,4,7,"09/13/2015, 13:00",7th Place,Final
bracket,9th Place Bracket 
Pileup,Mishigami,14,13,"09/13/2015, 11:00",9th Place Finals,Final
ELevate,Pileup,11,14,"09/13/2015, 09:00",9th Place Semis,Final
Goose Lee,Mishigami,8,15,"09/13/2015, 09:00",9th Place Semis,Final
bracket,10th Place Bracket
Goose Lee,Mishigami,0,1,"09/13/2015, 13:00",10th Place Finals,Final
ELevate,Goose Lee,8,10,"09/13/2015, 11:00",10th Place Semis,Final
b,r,e,a,k
