Greater New England D-I College Women's CC,College - Women ,11,4,2015
Portsmouth,RI,2015-04-11,2015-04-12
https://play.usaultimate.org/events/Greater-New-England-D-I-College-Womens-CC-2015/schedule/Women/CollegeWomen/
Vermont,1
teamInfo,Ruckus,"Burlington , Vermont",,,
0,Hanna Anderson
0,Rayna Wachs
0,Kyle Weatherhogg
0,Meg Ziegler
0,Corey Atkins
0,Dana Miller
0,Olivia Benjamin
0,Rebecca Stormberg
0,Olivia Arent
0,LIBBY COLLIER
0,Rayne Hanke
0,Sammy Chandhok
0,MEAGHAN FOLEY
0,Kelsey Colbert
0,CHLOE MELLO
0,Brenda Hoang
0,Esther Nemethy
b,r,e,a,k
Brown,2
teamInfo,Disco Inferno,"Providence, Rhode Island",,,
0,Emma Herold
0,ABBY LINN
5,Sophia Kerman
03,Zoe Wohlgenant
07,Lane Kantor
09,Ellen Goldberg
10,Amelia Grant-Alfieri
11,Elizabeth Cory
12,Maggie MATHIEU
13,Ashley Whaley
14,Emily Jensen
16,Rebecca Forman
19,HANNAH KERMAN
22,LIZA GIBBS
24,Sara Nordstrom
27,Caitlin Richard
28,Amelia Khoo
29,SARAH CLINCKEMAILLIE
46,Theresa Cloutier
64,Julia Leung
b,r,e,a,k
New Hampshire,3
teamInfo,Sisters of Oriza,"Durham, New Hampshire",,,
0,JILLIAN LECLAIR
0,Pia Marciano
0,Margaret Brush
0,Mary Offutt
0,Courtney  McLoud
0,Rachel Karp
0,Kyla Madden
0,Maureen  Mullen
0,Bailey Sullivan
0,Cassidy Small
0,Grace Cardarelli
0,AUDREY PHILLIPS
0,Jaclyn Kinson
4,Ellie Daniels
16,Breanna Bozzuto
20,Sarah Flaherty
28,Taylor Ferguson
44,Lauren Kraemer
47,ALEXANDRA HILEY
b,r,e,a,k
Rhode Island,4
teamInfo,Disky Business,"Kingston, Rhode Island",,,https://twitter.com/uri_HUCKyeah
3,COLLEEN FOGG
5,Sara Semenza
9,Kylie Howe
10,Tenley Chlaupek
17,Meaghan Rose Costello
18,Emily DeRome
20,Kathleen Costello
24,MORGAN SODERHOLM
27,Jessica Magagnos
29,Jesse Moore
33,Dana  Marxen
42,Marjorie Pickard
77,Meghan MacEnroe
b,r,e,a,k
Massachusetts,5
teamInfo,Massachusetts,"Amherst, Massachusetts",,https://www.facebook.com/pages/Lady-Zoo-Ultimate-Frisbee/124773454891,https://twitter.com/ladyzooultimate
1,Palwinder Kaur
3,Mary Sheehan
4,Jean Lawrence
5,Vianny Rodriguez
6,Isabella Parlato
8,VICTORIA MELLO
9,MANDY LIAO
12,Nicole Proulx
13,Abigail Anson
15,Rachel Kelly
16,Shannon Hoar
17,Dylan Masi
18,Julia Johnson
19,MARTHA BERLINER
20,Alexandra Ly
22,Audrey Davis
23,CLAIRE CHANG
24,Jillian Sacco
25,Allison Steele
27,Rose Kelly
28,Audrey Sheetz
29,HADLEY PATTEN
30,Eden Igielski
32,Caroline Norton
33,Rebekah Kohls
34,Julie Costello
38,Helen Gross
42,LAURA SUTTENFIELD
48,PASCALE FROEHLICH
49,RACHEL GORDON
53,Emmalie Keenan
99,REBECCA WIESMAN
b,r,e,a,k
s,t,a,g,e,s
pools,1 Day Round Robin
pool,Pool A
Rhode Island,Massachusetts,9,4,"04/11/2015, 09:00",Pool A,Scheduled
Brown,New Hampshire,8,7,"04/11/2015, 09:00",Pool A,Scheduled
Vermont,New Hampshire,8,7,"04/11/2015, 11:00",Pool A,Scheduled
Brown,Rhode Island,9,10,"04/11/2015, 11:00",Pool A,Scheduled
Vermont,Massachusetts,11,2,"04/11/2015, 13:00",Pool A,Scheduled
New Hampshire,Rhode Island,12,3,"04/11/2015, 13:00",Pool A,Scheduled
Vermont,Rhode Island,12,6,"04/11/2015, 15:00",Pool A,Scheduled
Brown,Massachusetts,8,2,"04/11/2015, 15:00",Pool A,Scheduled
Vermont,Brown,4,9,"04/11/2015, 17:00",Pool A,Scheduled
New Hampshire,Massachusetts,7,1,"04/11/2015, 17:00",Pool A,Scheduled
b,r,e,a,k
