Mid-Atlantic Mixed Regionals,Club - Mixed ,12,9,2015
Poolesville,MD,2015-09-12,2015-09-13
https://play.usaultimate.org/events/Mid-Atlantic-Mixed-Regionals-2015/schedule/Mixed/Club-Mixed
AMP,1
teamInfo,,"Philadelphia, Pennsylvania",http://www.phillyamp.com,https://www.facebook.com/PhillyAMP,https://www.twitter.com/phillyamp
coaches,Patrick Sherlock
0,Melissa Devlin
01,Robert Roos
02,Matt Zumbrum
03,Nicholas Purifico
04,Raha Mozaffari
06,Kelsey Devlin
07,Ben Parrell
08,Charles Weinberg
09,Andrea Desabato
10,Calvin Trisolini
12,Fern Beetle Moorcroft
13,Nico Lake
14,Stuart Hean
15,Max Charles
17,Stephen Ng
18,Emily Shields
20,Ben Pelleg
21,Kevin McCormick
22,Allysha Dixon
26,KATIE ERIKSON
33,Katy Stanton
36,Carolyn Normile
40,Jessica Glazer
44,Owen Murphy
46,Austin Bonelli
88,Matt Carter
b,r,e,a,k
Tyrannis,15
teamInfo,,"Charlottesville, Virginia",https://www.cvillemixed.wordpress.com,https://www.facebook.com/pages/Tyrannis-Ultimate/300757090061321,https://twitter.com/tyrannisorus
01,Brittany Taylor
02,Keila Strick
03,Christopher Miller
04,Thomas Scott
05,RONALD IMBERT
07,Janie Mockrish
08,Ashley Sylvester
09,ALEX COHN
10,Audrey Isaac
11,Matthew Babineau
12,James (Jim)  Boley
13,EDWARD BROWN
14,ZACHARY BRANSON
15,Elliott Isaac
16,Amy Wedmore
17,SARAH ALFANO
18,ERICA LASTUFKA
21,Andrew Dickerson
22,Taylor Nelson
23,Kelly Ross
24,Connor High
30,Brogan Jones
33,Oliver Platts-Mills
35,COLBY ISENBERG
52,Tess Warner
88,Robert Pratt
b,r,e,a,k
American Hyperbole,10
teamInfo,,"Baltimore, Maryland",,,
0,Dylan Leighton
0,Cynthia Jones
0,Kristen Connor
0,Kelly Wallace
0,Connor Boudreau
0,Matthew Radhe
0,Matt Doughten
0,NANCY YE
0,Alexander Antolick
0,Andrew Fish
0,Jonathan Ginsberg
0,Chris Kelly
0,Marie Collins
0,Alex Bodaken
0,KATHERINE GRANT
0,VICKI BROWN
0,James Collins
0,Patrick McMullen
0,BRIAN MAZEN
3,Hallie Carter
6,Michael Sharma
13,Christopher Schulze
25,Madison Bush
27,Ada Maxwell
80,Joseph Ricks
94,Abigail Wenck
99,Charlie Grevers
b,r,e,a,k
Clue,8
teamInfo,,"Philadelphia, Pennsylvania",,https://www.facebook.com/CLUEULTIMATE?fref=ts,https://twitter.com/ClueUltimate
0,Krystal Ferguson
0,Elizabeth Reeves
0,Jon Francis
0,Brendan Huber
0,Thomas Ferguson
0,Tom O'Connor
0,Travis Conrad
0,Alison Joyce
0,Stephanie Hartson
0,ASHLEY POTTER
0,Brandon Pastor
0,Brian Carney
0,Greg Strouse
0,JUNE FREIFELDER
2,ANNA IMPERATRICE
3,William Zeky
6,Victoria Wischerth
11,RYAN STERNER
14,Lauren Howard
21,Taylor Stewart
23,MATTHEW CONGDON
24,Krista Winalski
26,JASON MORGAN
27,Emily Wilkinson
45,RYAN O'SHEA
64,Eric Lu
88,Jacob Kesselman
b,r,e,a,k
LoveBomb,7
teamInfo,,"Ben Avon, Pennsylvania",,,@LoveBombFriz
00,Drew Rasmussen
01,William Brotman
02,Sean McComb
04,Alexandra Harris
05,Akshay Krishnamurthy
06,Jesten Gula
08,Bailey Moorhead
09,Brian Grace
10,ANDREJ ABABOVIC
12,Brent Bellinger
13,JAY HUERBIN
18,Susan Devaraj
19,Ari Weitzman
20,Amanda Davis
21,MARGAUX MILES
22,Jen Kacin
23,Edward Peters
24,JEANNE SULLIVAN
30,ELIZABETH Bellinger
35,Jacob Christian
37,Acadia Klain
42,John Serafini
44,Vivek Devaraj
45,Russell Hailwood
48,Sam Schurer
71,BRAD BELLINGER
b,r,e,a,k
The Muffin Men,2
teamInfo,,"Pittsburgh, Pennsylvania",www.themuffnmen.com,www.facebook.com/themuffnmen,twitter.com/muffnmen
0,Astrid Manning
2,Christie Lawry
3,Maria Bajzek
4,Jesse Kummer
5,CAROLINE NOFZINGER
6,Anson Reppermund
8,Alexander Thomas
10,Stephanie Kane
13,JEREMY SLIDER
15,MISHEL GEORGALAS
19,Daniel Morrison
22,Mark Pitts
24,Megan Briggeman
