North Central Men's Regionals,Club - Men ,12,9,2015
https://play.usaultimate.org/events/North-Central-Mens-Regionals-2015/schedule/Men/Club-Men/
Madison Club,1
01,ADAM DREWS
02,Logan Pruess
04,Patrick Shriwise
06,Bill Everhart
08,Benjy Keren
09,Andrew Meshnick
10,David Meinecke
11,Andrew Brown
12,Chris Wilen
13,Brian Hart
14,David Wiseman
21,Jordan O'Neill
22,Alex Champe
24,Dayu Liu
25,Ross Barker
26,Peter Graffy
32,Colin Camp
41,Colin Sunde
42,Chase Marty
44,Nicholas Ladas
48,Thomas Coolidge
52,Michael Hagenow
55,Kelsen Alexander
68,Benjamin Nelson
92,Kevin Brown
98,James Kersten
99,SEAN NEWLIN
b,r,e,a,k
Prairie Fire,3
0,BARRETT DAVIS
0,Jacob Kersten
0,DEREK THATCHER
0,DANIEL AGNE
0,Brett Hidaka
0,Kaplan Maurer
0,William Axtell
0,Jones Clemons
0,BEN DENEKA
0,Jay Froude
0,David Woods
0,Robert Coffin
0,Christian Simpson
0,Peter (PJ) Matulka
0,Jesse White
0,Colin Lord
0,Andrew Wimer
1,Joe Nickels
2,Zach Hunter
4,Joe Young
5,Allen Jones
17,Joe Wheelock
24,Danny Kurz
34,AARON DUFF
77,Tim Robbins
85,Valley Renshaw
b,r,e,a,k
MKE,8
0,Benjamin Compton
0,Dan Margulis
0,Joseph Blankenheim
0,Dan Magnant
0,Max Palzewicz
0,TAYLOR DAVIS
0,Ben Ben Hirschman
0,Nick Wismans
0,Joseph Lindsay
0,Ryan Sutter
0,SAM OUIMET
0,MICHAEL KEELAN
0,Scott Wenzel
0,Evan Swiatek
3,Jay Kinzel
7,Matthew Caballero
8,Evan Fischer
17,Drew Chapman
23,Steven Wick
25,Sean Andryauskas
49,Tim Posl
75,Jacob Hoffman
b,r,e,a,k
SmokeStack,6
0,Cory Green
0,ANTHONY BUCCERO
0,TAYLOR BOYD
0,NICK JACKSON
0,CURTIS STONEMAN
0,Brooks Hidaka
0,Andy Yu
0,Ben Chapin
0,Michael Montesano
0,Caleb Cauthon
0,Ryan Irvin
0,Beau Atkinson
0,LEE N CLARK
1,Wint Doering
10,Sam Nichols
11,Colin OBrien
