North Central Mixed Regionals,Club - Mixed ,12,9,2015
Appleton,WI,2015-09-12,2015-09-13
https://play.usaultimate.org/events/North-Central-Mixed-Regionals-2015/schedule/Mixed/Club-Mixed
The Chad Larson Experience,1
1,Kevin Seiler
3,Taiwo Misra
6,Lana Seiler
7,John Misra
8,Ross Welch
9,Rachel Derscheid
12,Rachel Goldbach
13,Dan Kresowik
16,CAMILLE NELSON
17,Janani Ragothaman
20,Neal Hanke
21,Amy Sheldahl
22,Daniel Brennan
23,Melissa Gibbs
25,Ryan Tucker
31,Doug Jacobs
33,BILL FRANEY
45,Jonathan Staron
49,Stephanie Jacobs
50,Blake Larson
54,CHRISTOPHER MAYNE
55,Todd Owens
61,Kelly Hubbard
77,KURT BRORSEN
88,Zach Eastlund
97,Sarah Pesch
99,Andrew Moore
b,r,e,a,k
panIC,8
00,Peter Shayman
00,WILLIAM HEAN
00,Troy Stapleton
00,Colin Berry
00,Jimmy Wiesbrock
00,Nathan Gibbons
00,Samantha Bartlett
00,Kat Songer
00,Laura Immonen
00,Amanda Stapleton
00,COLLEEN MOSER
02,Rob Hirsch
06,Audrey Sanchez
07,Ryan Spaulding
14,WILLIAM FLANARY
19,Nicole Johnson
21,James Hean
22,Nick Sanchez
23,Patrick Lansdon
28,Cole Stiegler
33,James (Drew) Walters
37,Thomas Kindred
66,Tyler Stutzman
84,Nicole Havel
93,Lisa Lansdon
99,Dana Demmert
b,r,e,a,k
Cream City Crooks,14
02,Oliver Rytman
03,Frank Ontaneda
04,Lauren Williams
05,Jonathan Fong
06,MAEVE DWYER
08,MARYKAY DREISILKER
10,Laura Nelson
10,DEVON ARMSTRONG
11,Devin Simonelli
12,AMANDA LORENTZEN
13,MATTHEW BENDER
17,Dan Laurila
18,Grant Wagner
19,Michael Morrison
23,Nick Fellows
24,Justin Simanson
28,AUSTIN LANDGRAF
29,Mike Armstrong
42,Austin Hinz
46,Maelyn Geisthardt
53,Abigail Lindsay
77,Madeline Rittgers
81,Joseph Pederson
82,Andrew Czekalski
87,Austin Prucha
88,Heather Vilbrandt
99,Kelsey Morrison
b,r,e,a,k
Wingdings,11
0,Rebekah Coenen
0,Robert Mitchell McCarthy
0,Matthew Korte
0,CLAIRE BOEKE
0,Parker Howard
0,Jamison DiSalvo
0,Jennifer Perry
0,Andrew Weeks
0,Dustin McConnell
0,Kara Mohs
0,SPENCER ROSS
0,Eric Olsen
0,Huynh Vo
0,Alyssa Bohlender
0,KATIE PHILLIPS
4,Kaira Carter
5,Sarah Stoker
6,Marcus Christensen Messamer
7,Kenneth Yuhui Wee
8,Chandler Good
9,Daniel Hansen
05,Matt Stoker
10,Brian Lucido
13,Neal Patel
27,Scott Ehlinger
28,Trevor Sawatzky
54,Alec Sauerbrei
b,r,e,a,k
Drag'n Thrust,2
01,Jeffrey Trosvig
02,Emily Regan
03,Patrick Niles
04,Erica Baken
05,Alexander Baker
06,Jake McKean
07,David Shirley
08,Claire Oakley
09,Jay Drescher
10,Martha Lien
13,Jacob Lien
14,Austin Lien
15,"Mary ""Patty"" King"
16,Brian Schoenrock
17,Eric Vandermolen
19,Mike Clark
21,David Klink
23,Michael (Mike) Petersen
24,Jessica Haller
31,Josh Hemmesch
32,MELISSA LaFrance
33,Jaime Glader
35,Sarah Anciaux
37,Sierra Barthen
42,Meredith Bray
44,Sarah Meckstroth
55,Carlos Wolle
b,r,e,a,k
Thoroughbred,7
0,Danielle Blatt
2,Bryan Esmond
4,Hannah Volpert-Esmond
5,Howard Place
6,Kathleen Horton
7,Michael Faaborg
8,David Valentine-Elam
11,Elizabeth Wisdom
13,Megan Epperson
16,Max Morgan
17,CEAD NARDIE-WARNER
18,Aaron Swaney
19,Cameron Sisler
22,Ryan Meinkoth
23,Laura Halfmann-Morris
24,Chung Lee
25,Katherine (Katie) Stanley
26,Grant Eschmann
28,Chase Johnson
29,Zack Thompson
33,Elizabeth Honigfort
42,Matt Francis
45,Eliza Hutchings
79,Henry Samson
81,Patrick Austermann
97,Nora Sullivan
99,Spencer Hollenbach
b,r,e,a,k
Mad Udderburn,12
0,Kasey Kenealy
0,Rebecca Roden
0,Thom Kenealy
0,Ben Stanger
0,RICHARD PHANNENSTILL
0,Emily Orner
0,Bo Strauss
0,David Kurian
0,Emily Healy
1,Grace Compton
2,Kevin Pochatila
4,Joey Knutson
9,KEVIN SHEA
11,BRIAN NELB
11,Eugene Chong
14,TAYLOR  KOEHLING
14,Daniel Fritz
17,Chris Schroeder
22,Kelly O'Connor
23,Lizabeth Held
26,Molly Berkholtz
27,Clay Schelitzche
29,Sarah Doege
33,Aidan Boyle
41,Molly Schelitzche
69,Isaiah Lyons-Galante
86,Christopher Chang
b,r,e,a,k
Mojo Jojo,13
0,JACOB BRANDYS
0,Tyler Brickle
0,Patrick Cashman
0,Bethany Anderson 
0,Kelsey Weister
0,Meredith  Johnson
0,Sherri Goings
0,Kathleen Burich
