Riverside Classic 2015,Club - Men ,1,8,2015
Cedar Park,TX,2015-08-01,2015-08-02
https://play.usaultimate.org/events/Riverside-Classic-2015/schedule/Men/Club-Men/
H.I.P,1
0,Cody Holloway
0,Carlos Vargas
0,Chris Bennett
0,Joel Clutton
0,Patrick Marco
0,Kolby Janzen
0,Daniel Winter
0,Robert Lewis
0,Matthew Bierschenk
0,VINCENT RONCA
2,Matthew Bennett
5,Chris Casey
7,Jordan Taylor
7,Ben Lewis
9,Peter Clarke
11,Dillon Larberg
14,Reid Bacon
16,Michael Hays
16,Chris Brooks
18,Kevin Land
21,Mitchell Bennett
23,Thomas Slack
27,Brandon Dial
99,ALEXANDER KYKTA
b,r,e,a,k
Tune Squad,3
00,David Haeussler
00,Richard Bovio
00,SANG CHOI
00,AARYAMAN SINGHAL
00,Christian Walker
00,Matt Mihovil
00,Spencer Nelson
00,CADE BRADSHAW
00,AUSTIN PHILLIPPE
00,Nash Mock
00,DENNIS MERWORTH
27,DEREK TINKER
28,CONNOR STEVENSON
41,Austin Workman
b,r,e,a,k
Riverside Ultimate,2
0,Jacob Thomas
00,Reid Westwood
05,SHANE THOMAS
12,Dave Gallander
14,John Redig
15,David  Thompson
18,Justin Sullins
22,Chad Stewart
24,Scott Dollen
26,Jeffrey Burris
27,Garrett Gonzales
28,Chris Pleshek
32,Louis Fausak
34,Ross Neuman
37,GILBERTO FERREIRA
42,Zac Chandonnet
49,Michael Massad
50,C. Rickner
55,MICHAEL BALSAN
80,Christopher Griego
81,Trenton Hebert
82,Neil Haight
90,John Staskal
95,Holt Newton
b,r,e,a,k
Zero Gravity,4
0,Zachary Davis
01,Joseph Lee Bruno
02,Micah Rehfuss
03,Tyler Criss
05,Leith McMillan
06,Clark Clayton
07,Matthew Wilson
08,David Lowell
09,BRANDON LOCKLEAR
10,Johnathan Kirtland
11,Grayson Gummelt
13,Griffin Miller
16,Mark Campbell
20,VICTOR LINEROS
21,Alex Fernandez
22,Connor Olson
27,JACK FLOWERS
28,MATT RINN
32,Derek Schmidt
42,David Burkhalter
45,Michael Woolley
50,Brandon Guerra
52,DANIEL ZIEGLER
82,Eian Brent
88,BRIAN TU
b,r,e,a,k
Space City Eclipse,5
00,Curtis Roark
00,JUSTIN RUNNELS
00,David Edwards
00,CORY BOBBITT
00,BEN HONEY
00,STEPHEN HAFF
00,Jack Kaplan
00,Nathan Hinton
00,Donald Quinones
00,Brandon Lin
00,Trey Wong
00,SHANE KOTLARSKY
00,Drew Davidson
00,Nicholas Simopoulos
00,Claudio Mexicano
00,Brad Hem
00,Dan Wachter
00,JACKSON BROUSSARD
00,BEN PFEFFER
00,TANNER ADAMS
00,MATTHEW COPLEY
00,preston hill
00,Jason Jenkins
09,Chad Hobson
b,r,e,a,k
Huck If I Know,7
0,Bryce Wiggers
0,PAUL LECOCQ
0,GIDEON LEVINSKY
0,Anthony Rabaey
0,Christopher Delarosa
0,STEVE MARICLE
0,Ramiro Santana
0,Hunter McDonald
0,Matthew Napoli
0,RYAN MCCOURT
7,Jack Chen
11,JUSTIN ANDERSON
17,Marcelo Gonzalez
42,Joseph Knize
44,ETHAN HUDGINS
b,r,e,a,k
Riverside Messengers,6
0,Joey Kincaid
0,Steven Borik
0,Travis Stevenson
0,Kaan Demirbas
0,MASAAKI WARD
0,Luke Anderson
0,Derek Genovese
0,Tim McSweeney
2,Sean Douglass
5,Nathan Chen
9,Jeffrey Zhao
17,EPHRAIM TAYLOR
19,Mark Flanagan
51,Joe Wright
64,Brian Seiler
87,Daniel McKenna
b,r,e,a,k
Flash Flood!,8
0,Frederick Christen
0,Aaron Pritcher
0,ALEC SANDERS
0,Curt Riffel
0,Ryan  Russell
0,RANDALL ROBERTS
0,Timothy Scalzo
0,Matthew McCormick
0,Timothy Shorey
0,Michael Samek
2,Freddie Fossier IV
3,Jared Blankenship
5,Cameron Breding
5,Joseph Feeney
7,Chris Sheldon
7,Luke Fagan
13,DAVID HERMAN
13,Nathanael Summers
15,William Wilcox
20,Jac Bridges
33,Andrew Stewart
56,SHELBY SALKAR
69,Caleb Dixon
77,Ian Ambrose
87,Josh Venter
94,Iker Azurmendi
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
H.I.P,Zero Gravity,15,2,"08/01/2015, 09:30",Pool A,Final
Riverside Ultimate,Tune Squad,11,15,"08/01/2015, 09:30",Pool A,Final
H.I.P,Tune Squad,15,7,"08/01/2015, 11:30",Pool A,Final
Riverside Ultimate,Zero Gravity,15,10,"08/01/2015, 11:30",Pool A,Final
H.I.P,Riverside Ultimate,15,7,"08/01/2015, 13:30",Pool A,Final
Tune Squad,Zero Gravity,15,9,"08/01/2015, 13:30",Pool A,Final
pool,Pool B
Space City Eclipse,Flash Flood!,15,4,"08/01/2015, 09:30",Pool B,Final
Riverside Messengers,Huck If I Know,11,15,"08/01/2015, 09:30",Pool B,Final
Space City Eclipse,Huck If I Know,15,12,"08/01/2015, 11:30",Pool B,Final
Riverside Messengers,Flash Flood!,15,9,"08/01/2015, 11:30",Pool B,Final
Space City Eclipse,Riverside Messengers,15,7,"08/01/2015, 13:30",Pool B,Final
Huck If I Know,Flash Flood!,15,9,"08/01/2015, 13:30",Pool B,Final
b,r,e,a,k
brackets,Bracket Play
bracket,Championship
H.I.P,Riverside Ultimate,15,7,"08/02/2015, 13:00",Championship,Final
H.I.P,Zero Gravity,15,7,"08/02/2015, 11:00",Semifinals,Final
Riverside Ultimate,Tune Squad,15,11,"08/02/2015, 11:00",Semifinals,Final
H.I.P,Flash Flood!,13,6,"08/02/2015, 09:00",Quarterfinals,Final
Zero Gravity,Space City Eclipse,15,7,"08/02/2015, 09:00",Quarterfinals,Final
Riverside Ultimate,Huck If I Know,15,10,"08/02/2015, 09:00",Quarterfinals,Final
Tune Squad,Riverside Messengers,15,8,"08/02/2015, 09:00",Quarterfinals,Final
bracket,3rd Place
Zero Gravity,Tune Squad,8,15,"08/02/2015, 13:00",3rd Place,Final
bracket,5th Place
Huck If I Know,Space City Eclipse,12,11,"08/02/2015, 13:00",5th Place,Final
Riverside Messengers,Huck If I Know,5,13,"08/02/2015, 11:00",5th Place Play-In,Final
Space City Eclipse,Flash Flood!,13,8,"08/02/2015, 11:00",5th Place Play-In,Final
bracket,7th Place
Flash Flood!,Riverside Messengers,0,1,"08/02/2015, 13:00",7th Place,Final
b,r,e,a,k
