South Central D-III College Men's Regionals,College - Men ,25,4,2015
Tulsa,OK,2015-04-25,2015-04-26
https://play.usaultimate.org/events/South-Central-D-III-College-Mens-Regionals-2015/schedule/Men/CollegeMen/
Rice,1
0,JAMES KITTLEMAN
0,Benjamin Lopez
0,JUNY CHO
0,Michael Drewry
0,STEVEN PETERSON
0,Rodrigo Maldonado
0,Linden Shih
0,Connor Stuart-Paul
0,ALEX KUNDROT
0,Brett Virgin-Downey
0,Nicholas Leisle
0,Johnny Frohlichstein
0,Tyler Clapp
0,Charles Morton
0,Jack Kaplan
0,Avery Zaleski
3,Abhijit  Brahme 
4,Austin Benavides
6,Alexander Heath
12,Dillan Prince
19,Andrew Marshall
42,JAMES BELLAH
b,r,e,a,k
Harding,3
0,Travis Duwe
0,Brandon Melo
0,Jorden Sims
0,Caleb Tomlinson
0,Benjamin Osteen
0,Greggory Downing
0,Marcus Gower
0,Devin Benson
0,Ryan Whitman
0,DAVIS PRUETT
6,KEVIN WILLIAMS
7,Brett Willimann
7,Timothy Kirby
12,ANDREW HAYES
12,Robby Moore
14,Kendall Lowe
15,Trenton Osborne
16,Luc Sutherland
21,Joshua Berry
24,Braxton Furlong
35,AARON WEBB
36,Nathan Perkins
b,r,e,a,k
Colorado Mines,6
7,Stephen Semmens
00,James Miller
04,Patrick Boyker
08,Andrew Liebing
12,Clayton Howeth
13,Conor Lenon
15,Elliot Britvec
17,Scott Roman
20,Zachary Cotter
26,Weston Mauz
32,Scott Harris
33,ERIC MILLER
40,Doug Schriner
b,r,e,a,k
Tulsa,8
0,ERIK SHOOK
3,Marshall Usrey
6,Jimmy Pignetti
7,Connor Lynch
11,Kenneth Venezio
13,Henry Luepke
16,DANIEL VOGEL
17,Benjamin Brown
19,Stuart Cornett
21,James Wessinger
23,Ryan Orland
29,Kyle Rogers
37,Joe Moran
42,Aaron Abraham
48,Grayson Lynch
52,Ryan Ogilvie
55,Kyranna Gilstrap
84,STEPHEN LOWE
99,Ian Riley
b,r,e,a,k
John Brown,2
02,Ryan Gulbranson
03,NELSON BUTLER
04,MATTHEW WEEDEN
05,KYLE DYER
07,Clayton Rowe
10,Grant Strobel
12,Drew Taylor
13,Bradley Herschend
14,Ethan Penner
15,Grant Bruner
19,Ethan Bolthouse
20,Aric Powers
25,Nick Fields
32,Chance Easter
33,Jonathan Rothfus
39,Justin Riepma
66,Mark Belvardi
81,Jacob Hash
92,Mark Henry
99,Matthew Henry
b,r,e,a,k
Missouri S&T,5
0,Richard Murphy
0,Tyler Hembrock
0,Jason Jarquio
0,David Swed
0,Ryan Zink
0,Dalton Buchanan
0,Robert Eshelman
0,Robert Taylor
0,Lucas Weiler
0,Braedon Bockwinkel
0,Steven James Richardson
0,Mark Murray
0,George Malinee
0,David Szatkowski
0,William (Billy) Imming
1,Byron Erand
4,John Mauntel
7,Dillon Feely
10,David Dalton
12,Daniel Drury
13,Brendan Curran
16,David Druzynski
18,EVIN BARBER
19,Eric LaPietra
21,William (Will) Imming
21,Brody Johnson
25,Kelly Mauntel
28,Zachary Johnson
