Southwest Men's Regionals,Club - Men ,12,9,2015
Morgan Hill,CA,2015-09-12,2015-09-13
https://play.usaultimate.org/events/Southwest-Mens-Regionals-2015/schedule/Men/Club-Men/
Revolver,1
teamInfo,,"San Francisco, California",http://www.revolverultimate.com/,https://www.facebook.com/RevolverUltimate,https://twitter.com/revolverult
coaches,Mike Payne
01,Simon Higgins
02,TAYLOR LAHEY
03,Kevin Cocks
04,Joel Schlachet
05,Devon Anderson
06,Russell Wynne
07,Patrick Baylis
09,Cassidy Rasmussen
10,Robbie Cahill
11,Zachary Travis
12,Sam Kanner
13,Alex Evangelides
16,Jamie Quella
18,Gregory Cohen
19,Ryo Kawaoka
20,Nick Schlag
21,Andrew Hagen
22,Marcelo Sanchez-Heredia
23,Jordan Jeffery
24,Elijah Kerns
27,Ashlin Joye
28,Nathan White
29,Christian Johnson
32,Jordan Marcy
35,Lucas Dallmann
50,Beau Kittredge
87,Chris Kosednar
b,r,e,a,k
Streetgang,3
teamInfo,,"San Diego, California",,https://www.facebook.com/sdstreetgang,https://twitter.com/SDstreetgang
0,David Ritchie
3,ZEKE IVERS
8,Michael Tran
9,Jason Glassy
01,Justin Goodman
10,Benjamin Eto
11,Steven Milardovich
13,Mark Leggio
14,XAVIER CHING
15,Ben Clark
17,Will Griffin
21,Reggie Sung
22,JORAM MOSSINK
22,Adam Fischlin
27,DAVID FLOCK
28,Michael Padula
29,Casey Wu
31,Ryan Slaughter
32,Alec Benton
41,JOSH NICKERSON
42,MARK SLADER
44,Nicholas Smith
49,Matthew Parisi
50,Trevor Purdy
83,Ross Lenta
84,Jesse Cohen
99,Maxwell Hume
b,r,e,a,k
Sundowners,6
teamInfo,,"Santa Barbara, California",,,
0,Cooper Austin
0,Chris Zimmer
0,TANNER WARRICK
0,HAAKON ELLINGBOE
1,Blake Robillard
4,Victor Smith
5,Steve Chang
7,Anthony Rice
9,MARK EVANS
10,Scott Perry
13,Stewart Gude
25,Ian Ladner
27,Collin Gall
27,Luke Tursick
37,Nate Kirchhofer
39,Jordan Lund
42,Alexander Conrad
44,Travis Lee
74,Andrew Kirchhoff
83,Brian Romanczyk
88,Nathan Emery
90,Kevin Kirchhoff
b,r,e,a,k
Gridlock,8
teamInfo,,"Los Angeles, California",modules/common/twitter.com/la_gridlock,modules/common/www.facebook.com/GridlockUltimate,
02,Jason Lee
03,Matthew Yee
04,KELVIN KUO
06,Daniel Hensel
07,Steven Wartinbee
08,JOHNNY LAM
09,Elliot Davis
10,Andrew Willig
11,Alex Howard
13,James Erdmann
17,STEVE JOLLOTA
18,Geoffrey Iyer
19,Douglas Jones
20,CHARLIE KIEL
22,Mochi Li
23,Evan Soskin
29,Colin Whitman
30,Benson Ku
31,Zachary Sternberger
33,Benjamin Aiga
44,Adam Bronstein
46,Owen Bell
59,Darren Johnson
62,Joseph Gorelik
69,JACOB BRONSTEIN
99,NOAM SHANKER
