Boston Invite 2016,Club - Women ,25,6,2016
Devens,MA,2016-06-25,2016-06-26
https://play.usaultimate.org/events/Boston-Invite-2016/schedule/Women/Club-Women/
Brute Squad,1
0,Kimberly Levins
0,Caitlin O'Connell
0,Julianna Werffeli
1,Sophia Herscu
4,Courtney Verhaalen
6,Claudia Tajima
7,Alyson Steinfeld
9,Rebecca Ludford
11,Christie Kim
12,Dory Ziperstein
17,Angela Zhu
20,Sarah Cook
21,Chelsea Murphy
22,Victoria Negus
25,Shira Klane
26,Elana Schwam
28,Shellie Cohen
33,Laura Bitterman
37,Molly Hallweaver
39,Sydney Dobkin
71,Cassandra Wong
b,r,e,a,k
Green Means Go,3
4,Meghan Wadlinger
02,Margie Guy
03,Angela Martin
06,Malti McKinnon
11,Vicki Chen
12,Gillian Crysler
14,Sarah Gleeson
16,Kathryn Ritzmann
18,Elaine Dziemianowicz
19,Amel Awadelkarim
20,Danielle Walsh
22,Beata Artz
23,Nichole Smith
24,Casey Gorman
26,Ashley Un
29,Jackie Fane
43,Jocelyn Corey
44,Natalie Gustafson
b,r,e,a,k
Pop,8
0,Alyson Gagner
0,Stephanie Wood
0,Rebecca Enders
0,Katie Godfrey
0,Biz Cook
0,Hannah Cowan
0,Kelsey Mueller
0,Makella Daley
0,Rose Gruenhagen
0,Heather Taylor
0,Louise Beck
0,Rebekah Swanson
0,Colette Meller
0,Elisabeth Biehl
0,Ashley Green
0,Rachel Gage
0,Anna Reed
5,Kalli Poletto
7,Kristen Schultz
7,Melissa (Missy) Davey
9,Sara  Helm
11,Emma Peaslee
11,Andrea Jacoski
17,Kristina Golling
19,Alyssa Belsito
97,Andrea Uhl
b,r,e,a,k
PPF,6
0,GLENNIS NICOLLS
0,Kimberly Tee
0,REBECCA CHANG
0,Elora Brenneman
0,Agnes Chu
0,Alana Vandersluis
0,JESSICA BENSON
0,NEENAH NAVASERO
0,Robyn Ralph
0,Brianna VanderGriendt
0,Carly Fraser
0,TAWNYA GONZALEZ
0,Alexandrea Austin
0,Hanna Jones-Eriksson
0,Melissa Vandersluis
0,Alyssa Mason
0,Jerry Hwang
0,Dylan Conway
0,Emma Thorpe
0,Christine  Jurychuk
17,Teresa Wittmann
b,r,e,a,k
Qub,9
0,Helene Paradis
0,Marie-Hélène Garon
0,Cindy Dupras
0,Laurie Boivin
0,Marianne Côté-Allard
9,ISABELLA MERCIER
05,Marie-Eve Trudel
08,Gabrielle Massicotte
12,Marie-Louise Marquis
13,Sandrine Bussieres
16,JuLie  Leblanc-Dumas 
18,Léonie Bourassa
21,Aurelie Audet
22,Valérie Turcotte
24,Marie-Gil Robitaille
25,Charlotte Latulippe
29,Camille Babin
36,ELIZABETH TURCOTTE
88,Alice Poliquin-Michaud
b,r,e,a,k
Swagger,12
0,Sheila Conlan
0,Kelley Kirwin
0,Abbey Eisenhuth
0,Amanda Butler
0,April Flore
0,EVA FARINA-HENRY
0,Vivian Yang
0,Moriah Lee
0,Kendall Sebastian
0,Ilona Wentworth
0,ERIN PETERSON
0,Andrea Killiard
0,Kate Patterson
0,Mohdis Baker
9,Jannine  Wysmuller
14,Owen Heil
23,Rebecca Beaudet
33,Meghan Henshall
b,r,e,a,k
Stella,5
0,Meagan Doyle
0,Isabelle Bedard
0,Caitlin Fowler
0,ALYSSA MAINWOOD
0,Alisha Zhao
0,Rachel Young
0,Caralynn Laszlo
0,ALLISON  VERNEY
0,Corrine Giorgetti
0,Anna Blinder
4,Stephanie Cole
8,Hannah Dawson
8,Helen Eifert
13,CORINNE DUNWOODY
21,CASSIE BERQUIST
25,Samantha Lee
60,Dominique Rioux
89,Brianna Jaffray
b,r,e,a,k
Siege,7
01,Laura Fradin
04,Jacqueline Willwerth
07,SARAH LINDSAY
08,TRACY SNYDER
09,Chelsey Burrows
10,Jojo Emerson
11,Xenia Rudenko
12,Nicole Canning
14,Tulsa Douglas
17,Shirlee Wohl
20,Kathryn Flood
21,Tess Johnson
22,Melissa Ellis
23,Lizzie Jones
24,Margot Lieblich
26,Amy Broome
27,Courtney Remm
28,Rachel Kramer
37,Hannah Walter
38,Maggie Soto
44,Jackie Booth
51,Lily Steponaitis
88,Emily Eibl
b,r,e,a,k
BENT,2
02,Brittany Kaplan
03,Terra Hittson
04,Alexandra Harris
05,Katherine Cole
07,Luisa Maria Neves
08,Whitney Viets
09,Sherry Li
18,Karen Chalif
19,Megan Randall
20,Martha Gregory
21,Cara Brown
22,Anna Membrino
25,Kristie Wong
27,Akina Younge
32,Allison Kahn
44,Ruthie Tabatchnick
47,Anne Silver
51,Veronica Auletta
82,Sophia Hulbert
83,Jessica Whelan
87,Kelcie Ralph
88,Nastasia Tangherlini
99,Veronica Kolegue-Spalaris
b,r,e,a,k
Hot Metal,4
4,Marla Breitbarth
6,Natalie Barnhart
02,Jen Kacin
03,Megan MacGillivray
11,Hannah Blizzard
13,Jessica Sourbeer
14,Caterina Pagano
18,Susan Devaraj
19,Kalie Thompson
20,Lakshmi Ilango
22,Molly Moore
31,Sharon Yee
32,Katie Cleveland
37,Sarah Lemanski
48,Julia Murphy
50,Mallorie Barber
51,MELANIE CALLAHAN
52,Kelly Gilmour
54,Sarah Russek
55,Kim Gilmour
56,GENEVIEVE WILSON
69,Charlotte Koerner
71,Verena Woloson
b,r,e,a,k
Venus,10
0,Daisy Lin
0,HEATHER AMBERY
0,Camille Duplessis
0,Catherine Ferland
0,EVE LEGARE-BISAILLON
0,Linh Ma
0,Stephanie Castonguay
0,TO-LINH NGUYEN
0,Geneviève Richard
0,Giulia Alberini
0,MARIE-MICHLE BLANGER-TIMOTHY
0,CATHERINE AUGER
0,Valérie Piché-Richard
1,Madeleine Ouellet-Décarie
8,LAURENCE DEMERS-RIVARD
10,Frederique Riel
16,Mylène Côté
31,CATHERINE VIAU
32,Elisabeth Poirier-Defoy
55,Vicki Maheux
b,r,e,a,k
Storm,11
0,VERONIQUE POMERLEAU
0,Rachel Beauchemin
0,MARIE-EVE GAUVIN
0,MARIE-PIER BISSON-COTE
0,ROSEMARY CARLTON
0,ANNICK MARTIN
0,Guylaine Girard
0,JOANNIE FOURNIER
0,Catherine Poirier
0,Joelle Tremblay
0,Diana Trinh
0,Joelle Pion-Massicotte
0,Frederica Bouffard Forest
0,Catherine Lalonde
3,Marie-Christine Morisset
5,MAUDE PELLETIER
06,pascale chatigny
22,Natash Dumont-Carey
23,Alexandra Paille
28,Gabrielle Beaudoin
30,Marie-Andrée Pambrun
84,Catherine Gadbois
87,Noémie Latendresse
b,r,e,a,k
Pine Baroness,18
0,Lindsay Arnone
0,Angel Weng
0,Leann Gray
0,Jessica Waugaman
0,YANA SHKEL
0,Sarah Budischak
0,Alice Weng
0,Emily Van Malden
0,JAMIE BARR
0,Marly Relato
2,Nayah Cruz
17,Jessica Schaub
26,Kate Douthat
31,Tuhina Bhat
b,r,e,a,k
Vice,13
0,STEPHANIE SMITH
0,Kathryn Hickey
0,Melissa Stuart
0,Katina Russell
0,Claire Dutton
0,Hanlu Ye
0,Lee Bashant
0,Michelle Carey
0,Jenna Murphy-Judelson
0,Maeve O'Sullivan
0,CHARIS CROFTON
0,Hannah Calkins
0,Savannah Erwin
0,Meredith Bernstein
0,Katharine Gilbert
2,Tessa Jones
4,Hannah Crowley
17,Cici Wang
23,Emma (Gus) Preston
33,Judy Arnobit
64,Anna Blasiak
88,ANNA MAI
b,r,e,a,k
Salt City Spirit,15
0,Brittany McGraw-Wixson
0,Tara Brenner
0,Shannon Sweeney
0,Kristine Carlsen
0,Dimple Sangani
0,Andrea Urueta
0,Olivia Brown
0,KATIE ARMSTRONG
0,Claire Michaud
0,Emily Fisk
0,Caitlin  Gee
0,Meryl Corsun
0,HANNAH MICCA
0,Emily Zitek
4,Emily Bielejec
28,Allison Case
32,Alyssa Endres
69,Angel Cai
b,r,e,a,k
Mystik,24
0,Anaïs Millereau
00,Sarah Bouchard-Cyr
03,Mathilde Givern-Heroux
05,Karine  Bourdages
07,ALEXE VIGNEAULT-PINARD
09,Sarah Dabouz
10,Veronique Laverdiere
11,Jessica Richard
12,Valerie Grenier
13,Chloé Emond
14,Eve Gervais-Quenneville
16,Sasha Lemaire St-Gelais
17,Josee  Lalonde-Roy
18,LISA TY
19,Lysandre Bessette-Brault
21,Marie-Eve Martineau
24,Myriam Chabot
31,Ariane Coupal
40,Anne-Marie Boisvert
44,Eve Massé
87,andree-anne perron
88,Isabelle Charette
b,r,e,a,k
Boomslang,20
0,EMILY HEATH
0,Sarah Booker
0,Megan Giamei
0,Mary (Molly)  Naaktgeboren
0,Alyssa Starrantino
0,Teresa Halverson
0,JESSICA BALES
0,Carrie Trant
2,Nancy Bush
6,Bethany Angeliu
7,Joeie Lum
8,Angela Petrus
11,Hayley Manning
12,Kathleen Bemis
26,Chelsea Leeder
29,Jesse Moore
b,r,e,a,k
BUDA,21
0,Josephine Coppinger
0,MIA HARTL
0,Julia Mickey
0,Renata Pepi
0,Sofia Leav
0,Annie Shriver
0,Kendra Griesman
0,Caroline Tessy
0,Shira Yeskel-Mednick
0,Claire Blazewicz
0,Karina Cruz
0,Leija Helling
3,Aviva Weinbaum
12,Casey Banta-Ryan
13,Clara Walsh
16,Lenna Wolffe
44,Maggie Barron
50,Isabel Tripp
73,Clara Stewart
74,Eva McDermott
75,Emily Nadler
83,Zoe Hecht
b,r,e,a,k
Baywatch,16
0,Barb Banz
0,Nora Mitchell
0,Emily Bonazelli
0,Grace Castro
0,Stephanie Hubli
0,Lizzie Tilden
3,Shannon Stolting
05,Jennifer Gobin
13,Sterling Morrone
18,Cassondra Hunter
42,Claire Kimball
b,r,e,a,k
Brooklyn Book Club,14
0,Michelle Tao
0,Jessica Rosenqvist
0,Candace Hoefert
0,ELIZABETH COX
0,Leah Garber
0,Eliza Herrero
0,Irene Golden
0,Chloe Rinehart
0,Sarah McNabb
0,TRISHA TALAMANTEZ
0,Kylie Sale
0,Denia Viera
2,Kristin Sprague
4,Lyra Cooper
5,Kyla Dayer
7,Dagney Cooke
9,Larissa Wohl
10,Michal Pearl
14,Brianna Dayer
19,Seneca Gray
23,Clara Nice
31,REBECCA CHIN
44,Talia Kula
48,Cecilia Winter
73,Amanda Wach
b,r,e,a,k
Roc Paper Scissors,22
0,Christina Bayley
0,Kerianne Coulon
0,Elise Grzeskiewicz
0,Ann Ritchie
0,Neena Johnson
0,Alyshia Moore
0,MADELINE LEAHY
0,KATE COWIE-HASKELL
0,Kaitlin Schneider
10,Erin Sullivan
11,Briana Newman
15,Sarah Koopman
16,Heather Cline
20,Becky Gravenstede
22,Kelsey Scanlon
25,Sarah Deibel
47,Jiayu Tian
51,Adrienne Dykeman
b,r,e,a,k
BLADE,23
0,Allyson Kramer
0,CARMEN SHIN
0,SARAH SCHOENFELDT
2,Nicki Haylon
10,Judith Garber
13,Ellen  Harsha 
22,Meg Gatza
b,r,e,a,k
HOPE,19
0,Tenley Chlaupek
0,Emily DeRome
0,Carrie Gill
0,CHARLISS DENNISTON
0,Perry Gast
0,BRIANNA BALKE
0,Karen Kimel-Scott
0,Una Kittel
0,Amy Reed
0,Dorothy Kimel-Scott
0,Julie Costello
0,Audra Cornell
0,Sheilagh Linehan
17,Alizah Barker
21,Becklin Davis
27,Jessica Magagnos
b,r,e,a,k
EXO,17
04,Sophie Rochette
08,Christine Beaulieu
09,Marie-Claire Gironne
10,Claudine Charbonneau
14,Anne-Marie Landry-Voyer
16,Chloé Audy
19,Isabelle Clement
21,Rachel Jodoin
27,Barbara Reddick
28,Florence Lapointe
42,Genevieve Miron
44,Sara St-Jean
65,Virginie Beaudin
b,r,e,a,k
s,t,a,g,e,s
pools,Elite Pool Play
pool,Elite A
Brute Squad,PPF,13,3,"06/25/2016, 08:30",Elite A,Final
Green Means Go,Qub,13,5,"06/25/2016, 08:30",Elite A,Final
Pop,Swagger,13,5,"06/25/2016, 08:30",Elite A,Final
Brute Squad,Green Means Go,13,4,"06/25/2016, 10:30",Elite A,Final
