Flat Tail College Open 2016,College - Men ,23,1,2016
Corvallis,OR,2016-01-23,2016-01-24
https://play.usaultimate.org/events/Flat-Tail-College-Open-2016/schedule/Men/CollegeMen/
Oregon,1
teamInfo,Ego,"Eugene, Oregon",http://pages.uoregon.edu/frisbee/,,
2,Kerry Athey
3,Cameron Ficher
5,Logan Chantelois
11,Tim McGinn
14,Michael Fielden
15,Max Moore
17,Jacob Lambert
19,Steven Pearlman
21,Spencer Latarski
22,Zach Meyer
23,Xander Cuizon Tice
24,Adam Rees
25,NICHOLAS HEATON
26,Colton Clark
32,Martin Harris
33,Ben Pettis
42,Will Lohre
55,Connor Matthews
64,Leandro Marx
66,William Watkins
68,James Shanahan
70,Christopher Strub
75,Marvin Waldvogel
80,Braedon Petrus
b,r,e,a,k
Lewis & Clark,5
teamInfo,Bacchus ,"Portland, Oregon",lclark.edu,,
coaches,Sean Parker
0,Jackson Tejeda
0,Leland Rege-Colt
0,Lucas Contino
0,Tobias Perkins
0,GRAHAM MITCHELL
0,Azen Jaffe
0,Blake Murray
0,Eric Sauer
0,Henry Cleaves
5,Tim Collins
13,Benjamin Whitenack
15,OSAMU KUMASAKA
31,William Beck
32,Abraham Weill
34,Sam Gordon-Koven
82,Reid Sata
b,r,e,a,k
Portland,4
teamInfo,Uprise,"Portland, Oregon",,,
02,Grant Ainsworth
04,Chris Blaydon
07,Daniel Pham
08,John Black
10,Taylor Ellensohn
11,Kim Doane
12,Zachary Villarmia
14,Markus Perry
15,Kelley Flint
18,James Martin
19,Jarren Takaki
22,Philip Sanfilippo III
25,DANIEL HOLLOWELL
27,Luke Danowski
40,Mark Bruschwein
43,MICHAEL THORSEN
55,Tyler Honsinger
62,Andrew Doan
69,Duncan McNally
88,TAYLOR HENDRICKS
96,Parker Elliott
99,Rhett Larson
b,r,e,a,k
Washington (B),9
teamInfo,Washington B,"Seattle, Washington",,,
0,Nathan Narita
0,DAVID LARIMER
0,Calvin Behrens
0,Benjamin Segal
0,Jacob Comfort
0,Harry Cho
0,Brian Goldgeier
0,KEANAN ALBRECHT
1,Nicholas Poolman
5,Gabriel Ross
16,Calvin Cotton
23,JAMES PABINIAK
28,Avery Pong
43,Devin Nelson
b,r,e,a,k
Humboldt State,8
teamInfo,Humboldt State Buds,"Arcata, California",,,
0,Adam Baran
8,Taylor Charron
13,Jay Rackelmann
14,Nat Israel
19,Robert Reyes
21,Christopher Moreno
22,William Evans
29,Bryce Franklin
89,Donovan Davis
99,Michael Hoff
b,r,e,a,k
Central Washington,12
teamInfo,Wildcats,"Ellensburg, Washington",http://www.cwu.edu/sport-clubs/,,
0,Kurtis Pettit
2,Benjamin Randall
3,Thomas Gracey
5,Hunter Bleha
06,Jack Cockburn
09,John Mattes
12,Nicholas Vederoff
14,Wilson Potts
16,Rich Rigby
18,Keegan Taggart
19,Logan Gilbert
26,Benjamin Downing
27,Tyler Harris-Salangsang
30,Sam Swanson
51,Henry Nickerson
57,Nate Dorfner
70,Matt MacDonald
70,O'Rynn Hayden
99,Alex Wyruchowski
b,r,e,a,k
Oregon State,3
teamInfo,Beavers,"Corvallis, Oregon",http://osumensultimate.wix.com/oregon-state-ultimate,https://www.facebook.com/osubeaversultimatedisc,https://twitter.com/OSU_ultimate
0,THOMAS KNEELAND
0,Aaron Peterschmidt
0,Eric Callahan
0,Beryl Terry
1,Sam Amaro
3,Jacob Ramsey
4,Nick Maher
7,Jacob Wigen
8,Ryan Rogers
11,Sebastian Coslow
13,Jacob Chickadonz
17,Kyle Furukawa
20,COLE CRAWFORD
20,Robby Duffy
21,William Carter
25,William Rowley
26,Taylor White
28,George Rear
36,Adam Schneiderhan
69,Andrew McCullough
77,Jack Hubner
89,David Rong
92,Joerg Reinert
b,r,e,a,k
Western Washington,2
teamInfo,Dirt,"Bellingham, Washington",,,
0,William Coffin
0,NAT BREW
0,Tucker Jonas
0,Ethan Katz
0,Zhi Chen
0,Trevor McNamara
3,Dennis Casio
10,ADAM CHOI
13,Aaron Haddeland
17,Liam Bateman
19,Jonas Golden
21,Joshua Kent
27,Nathan White
38,Alexander Grey
43,Daniel Lorigan
44,Seth Johnson
60,Kunyao  Zhang 
64,Chuck Tookey
70,EARL LE
77,Aaron Glickman
77,Zachery Laycock
98,Ryan Schluter
99,Daniel Mah
b,r,e,a,k
Air Force,11
teamInfo,Afterburn,"USAF Academy, Colorado",http://airforceultimate.webs.com/,https://www.facebook.com/AirForceUltimate,https://twitter.com/AFU_Afterburn
3,Ben Protzman
5,Trevor Browning
7,MITCHELL WILLIS
9,Justin Miller
10,John Laskodi
12,Zachary Kosin
16,Jake Johnson
18,JAMES COYNE
22,Mitchel Bie
25,Paul Dean
30,Daniel VanderWeide
32,Domenic Troilo
33,Josh Edelman
42,Alan Villanueva
69,Kevin Foley
85,Conner Smith
99,Spencer Yacos
b,r,e,a,k
Puget Sound,10
teamInfo,Postmen,"Tacoma, Washington",http://www.upsultimate.com/,https://www.facebook.com/PugetSoundPostmen,https://twitter.com/upsultimate
0,Alexander Brady
00,CB Wolf
00,Lukie Crowley
00,Luke Garrison
00,Cameron Waugh
00,Chris Porter
00,KYLE CHAMBERS
00,Mathias McAfee
00,JONATHAN ADAMS
00,Ramsey Rossmann
00,Kumar Flower Kay
00,Chris Roach
00,Taylor Empey
00,Tullan Baird
00,RILEY CARPENTER
00,MISHA MILLER-HUGHES
00,Robert Korbel
00,Andrew Brandt
00,Lucas Henken
b,r,e,a,k
Washington State,7
teamInfo,Suspicious Package,"Pullman, Washington",,,
0,Thomas Sutton
0,Joe Rosman
2,Ryan Ball
6,Robby Anderst
13,Jace Barley
14,CHRISTOPHER HUIE
17,RYAN MCQUARRIE
83,Kenneth Reeck
b,r,e,a,k
Portland State,6
teamInfo,Vitruvious,"Portland, Oregon",https://www.facebook.com/portlandstateultimate,https://www.facebook.com/portlandstateultimate,
0,Brendon Sevey
0,Ludwig Salzmann
0,Sheng Lundquist
0,Graham Oden
0,Sean Oulashin
0,Aubrey Masten
11,Kanan Castro
26,Austin Kelly
33,Nate Burkus
36,Jesse Debord
42,Woodrow Lamborn
51,Joe Wright
b,r,e,a,k
Gonzaga,13
