Great Lakes Mixed Regionals,Club - Mixed ,10,9,2016
Rockford,IL,2016-09-10,2016-09-11
https://play.usaultimate.org/events/Great-Lakes-Mixed-Regionals-2016/schedule/Mixed/Club-Mixed
Steamboat,1
teamInfo,,"Cincinnati, Ohio",http://www.steamboatultimate.com/,https://www.facebook.com/steamboatultimate,https://twitter.com/cincysfb
00,Jeff Kula
02,Nancy Haskell
03,Eddie Mack
04,Katherine Claiborne
05,Ryan Gorman
06,Cylie Miller
07,Bryan Walsh
08,Tim Settles
10,Jennifer Golan
12,Josh Findley
13,Kristin Baxter
17,Claire Schwaba
18,Kellan Gibboney
21,Scott Schriner
22,Brittany Winner
23,Nichole Kwee
24,Mya Hernandez
27,Christopher Powers
28,Jeff Haney
31,Holly Denecour
33,Austin Winner
38,Joe Mozloom Jr
44,EVAN PRIEST
77,Daniel Khoe
78,Tiffany Lim
82,TRACY WOO
99,Kevin Kula
b,r,e,a,k
Shakedown,13
teamInfo,,"Chicago, Illinois",,https://www.facebook.com/Chicago-Shakedown-1531203790521504/?fref=ts,https://twitter.com/chi_shakedown
0,Sze Jin Ooi
0,Katherine Johnson
0,Alex Kowalczuk
0,GRIFFIN MUCKLEY
0,MAGGIE  KENNY
0,Christopher Adams
0,Emily Fridberg
0,ANTHONY PADULA
0,MARYKAY DREISILKER
0,Francis Kelly
0,Abigail Lindsay
0,Vincent Bava
1,Will Hsieh
2,James Roush
3,Sara Gnolek
7,Kelvin Koster
9,Jorge Duarte
12,Rodrigo Arcibar
13,Phoebe Evans
18,Erika Wagner
21,Dan Holley
23,Kathryn Kembitzky
25,Jordan Lange
28,Maya Golan
35,Nick Compton
47,Grant Whitman
71,Marc Furigay
b,r,e,a,k
Goose Lee,8
teamInfo,,"Cincinnati, Ohio",,,
0,Nicholas Wetzel
0,Malika Smoot
0,Andrea Willging
0,Jessica Rabin
0,Steven Kolp
0,Gregory Dinan
0,Aaron Bacon
0,KELLY DEITERS
2,Alex Frasz
3,Connor Shirley
3,Aaron Armbruster
4,Madison Wilker
10,Hector Rivera
11,Michael Lopez
13,John Cassidy
13,Jacob Lamier
19,MICHELE BERENS
22,Liz Anderson
23,ANNIE MATTHEWS
28,Sylvia Ulmer
29,JAMIE DELL
30,Matt Hudson
32,Casey alexander
46,Isaac Jeffries
47,Zach Kaylor
69,Christopher Misleh
87,ZACH NELSON
b,r,e,a,k
The Abusement Park,12
teamInfo,,"South Bend, Indiana",,,
0,Heather Fredrickson
0,Christopher Fuchs
