Joint Summit XXXII,College - Men ,2,4,2016
https://play.usaultimate.org/events/Joint-Summit-XXXII/schedule/Men/CollegeMen/
Clemson,1
00,Thomas Cullum
00,DEREK POOLE
00,GREG THOMPSON
00,Gavin Richards
00,Richard Rudnicki
00,Robert Perry
00,Wesley Hall
50,JAMES COX
69,Tyler Williams
b,r,e,a,k
Clemson,3
00,Thomas Cullum
00,DEREK POOLE
00,GREG THOMPSON
00,Gavin Richards
00,Richard Rudnicki
00,Robert Perry
00,Wesley Hall
50,JAMES COX
69,Tyler Williams
b,r,e,a,k
Appalachian State,8
0,Paul Summerville
0,Sam Jenkins
0,Kevin Sewell
0,Travis Suite
0,LUCAS TAX
0,Sam Holden
0,Josh Louie
3,Christian Solberg
8,Benj Thomsen
21,Caleb Louie
22,NICK SIMPSON
27,KEVIN BYRLEY
35,Myles Grady
47,BRIAN MAULUCCI
52,Michael  McKay
99,Spencer Colwell
b,r,e,a,k
Georgia (B),2
1,Jason Champ
3,JOEY LAMATTINA
5,Emory Moeller
7,JOSHUA WOOLUMS
8,Gabriel Wittosch
9,Adam Cross
10,Joel Medford
11,Thomas Nuckols
12,Conner Stoll
13,Robert Farrington
15,Jay Norton
16,Sean Diller
17,Ben Landes
24,Cody Nolen
25,Bo Idsardi
27,David Andriate
31,AUSTIN DECUIR
49,Ted Moeller
73,RYAN CHITWOOD
81,Kyle Devins
81,Adrien Sandercock
94,JOSH (Kitty) ANDREWS
99,Alexander Lawrence
b,r,e,a,k
Tennessee,4
0,Clay Leach
0,TAYLOR BECKETT
0,CHANDLER ALLAN
0,ALEC AFFOLTER
0,CARLTON SEARCY
0,Charles Cianciolo
0,Alan Pezeshki
2,Mac McClellan
7,Evan Alexander
8,Richard Lavosky
9,Samuel Feldman
9,Christopher Calhoun
14,William White
15,Matthew Freels
16,Joseph Cole
34,Tommy Cianciolo
b,r,e,a,k
Vanderbilt,5
3,MARTIN LU
11,Corey Lockridge
13,David Paisner
13,Danny On
14,Mark Philipson
24,Justin Badgett
25,William Radcliffe
27,Evan Zeddies
77,Benjamin Godwin
b,r,e,a,k
Duke,6
0,Conner Traugot
0,Charlie Pearlman
0,MATTHEW CLEAVELAND
0,Ryan Mann
0,Remy Freire
0,Benjamin Chesnut
0,Daniel DeVeau
0,Aniruddh Prakash
0,Bradley Feiger
0,Nicholas Donadio
0,BEN MAPES
0,JAMES WU
0,Bilva Sanaba
0,Kevin Delgado
0,Jim Guan
6,Andres Nazario
9,ALEX DIETZ
10,Jonathan Rub
10,John Kumpf
23,GUANG-YI LEE
29,Joshua Smith
32,Jack Cohen
51,Maximilian Christman
b,r,e,a,k
Charleston,7
3,Colton Miller
9,MICHAEL MILLER
04,Kieran Kelly
07,Ziv Agasi
11,Hunter Nadeau
12,JACK MCKEE
13,Matthew Hajek
17,Christopher Richmond
24,William Maddox
27,Vincent James
42,Benjamin Konzen
56,Nolan Barrett
96,Matthew MacPhail
99,JAMES POOLE
b,r,e,a,k
s,t,a,g,e,s
pools,Round Robin
pool,Pool A
Clemson,Vanderbilt,13,10,"04/02/2016, 09:00",Pool A
Georgia (B),Duke,12,11,"04/02/2016, 09:00",Pool A
Clemson,Charleston,13,4,"04/02/2016, 09:00",Pool A
Georgia (B),Charleston,13,4,"04/02/2016, 10:45",Pool A
Clemson,Duke,13,3,"04/02/2016, 10:45",Pool A
Tennessee,Vanderbilt,10,9,"04/02/2016, 10:45",Pool A
Clemson,Georgia (B),13,2,"04/02/2016, 12:30",Pool A
Clemson,Tennessee,13,8,"04/02/2016, 12:30",Pool A
Vanderbilt,Duke,11,7,"04/02/2016, 12:30",Pool A
Clemson,Clemson,13,9,"04/02/2016, 14:15",Pool A
Georgia (B),Tennessee,12,8,"04/02/2016, 14:15",Pool A
Vanderbilt,Charleston,13,7,"04/02/2016, 14:15",Pool A
Tennessee,Appalachian State,6,13,"04/02/2016, 15:00",Pool A
Clemson,Appalachian State,13,6,"04/02/2016, 16:45",Pool A
Charleston,Appalachian State,2,13,"04/02/2016, 18:30",Pool A
Duke,Appalachian State,10,13,"04/02/2016, 20:15",Pool A
Tennessee,Duke,13,9,"04/03/2016, 09:00",Pool A
Georgia (B),Clemson,6,13,"04/03/2016, 09:00",Pool A
Clemson,Charleston,8,7,"04/03/2016, 09:00",Pool A
Duke,Charleston,13,3,"04/03/2016, 10:45",Pool A
Georgia (B),Vanderbilt,9,7,"04/03/2016, 10:45",Pool A
Clemson,Tennessee,13,9,"04/03/2016, 10:45",Pool A
Tennessee,Charleston,13,7,"04/03/2016, 12:30",Pool A
Clemson,Vanderbilt,13,8,"04/03/2016, 12:30",Pool A
Vanderbilt,Appalachian State,13,10,"04/03/2016, 15:00",Pool A
Clemson,Appalachian State,13,8,"04/03/2016, 16:45",Pool A
Georgia (B),Appalachian State,9,12,"04/03/2016, 18:30",Pool A
b,r,e,a,k
