Last Call 2016,College - Men ,19,3,2016
Charleston,IL,2016-03-19,2016-03-20
https://play.usaultimate.org/events/Last-Call-2016/schedule/Men/CollegeMen/
Reaper Alum I,1
04,Zachary Schwulst
09,Nathan Kinsinger
10,Brock Dunn
15,Daniel Rolando
20,Lovie Garcia
24,Stephen Langyher
29,Michael Schwenk
b,r,e,a,k
Eastern Illinois,4
0,JAKE  PAWLAK
04,RYAN BROWN
10,Tyler Rice
15,Zach Kieffer
17,Nicholas Smith
18,Josh  Friese
21,Kevin Beckstrom
22,Kord Champley
23,Dyllan Williams
24,Cobi Christiansen
32,Job Runge
44,Jack Hockenberry
51,Nathan Page
60,RYAN KALLAS
69,Chas Cox
b,r,e,a,k
Reaper Alum II,2
2,James Roush
00,Loren Goodrich
00,NATHAN KISSEL
00,JOSHUA HARDIE
00,Kyle Breen
00,Joe Sidrys
13,Alex Castillo
b,r,e,a,k
Gnomes and Friends,3
00,Tom Abell
00,Kevin DeAngelis
00,Jimmy Robin
00,Joe Nellis
00,Nick Storter
00,Ronald Hensler
00,SHANE O'FARRELL
b,r,e,a,k
Loyola-Chicago,5
0,Nicholas Berens
0,Brenden Meier
0,Nic Nagata
0,Therenz Jude Escobar
0,Kyle Lindeman
0,Brian Knight
0,William Laveck
0,Kyle Baker
0,Angelo DeMarco
0,Samuel Hunt
1,Will Hsieh
2,EVAN SABADO
4,Alec Ricker
5,Ryan Shea
8,Ryan Nader
11,Adnan Ahmad
14,Nicholas Kleinschmidt
16,CONOR BRIGHAM
20,Anthony Andreshak
24,Alex Kim
41,Caden Canavan
60,William Meyer
63,DAVID SUDYKA
81,Jackson Prepolec
b,r,e,a,k
Illinois State,7
0,Luke Schoenhofen
0,Patrick Pearce
0,Ricky Ramirez
0,Nicholas Kluessendorf
0,Kyle Jones
0,Jack Giannini
1,Cameron Powers
4,Ryan Fitzgerald 
7,Jack Shanahan
12,Jeremy Burril
13,Karl Beck
28,Zach Delegatto
73,Justin Reeverts
83,BRADLEY CLARK
99,Joshua Sanabria
b,r,e,a,k
Truman State,9
1,andrew LaMartina
3,Benjamin Moran
4,TYLER JANSEN
7,Michael Anderson
10,Brendan Cirillo
11,Jared Favero
12,Benjamin Wolf
15,Jacob Jackson
21,William Leingang
22,Brandon Heisserer
23,Eric Trapp
25,Josh Dye
26,Frank Ginder
27,Alex Davis
31,Blake Bixler
31,Sean Eberle
34,Ray Hilger
42,Reese Gardner
44,Nathan Pyles
55,Brody Aubry
67,Alec Ruedi
72,Joseph Williamson-Link
74,Conor Irwin
88,Isaac Pearlstone
98,Matthew Beers
b,r,e,a,k
Southern Indiana,11
0,Austin Keller
0,Luc Prevost
2,David  Kuksenko
2,Joseph  Cowser
5,Eric Gehlhausen
6,Richard Fosler
7,Nathan Sevenish
9,Josh Hammett
12,Jaygan Lancaster
13,Josh Winger
14,Justin Pelkey
15,Alexander Hoffmann
17,Aaron  Costlow
20,Wesley Haub
24,Ryan Fehrenbacher
28,Cody Flamion
45,SAMUEL ENGELS
49,Derek Berggren
73,Noah Rickelman
b,r,e,a,k
Illinois State (B),13
00,Stone Swayze
00,Charlie Pomrehn
00,Dominick Pietrantonio
00,Jonathan Cason
00,Jason Belzer
00,Mitchell Morton
00,Zach Eiden
00,Zachary Ciaglia
00,Dakota Sharpe
b,r,e,a,k
Wheaton (Illinois),6
0,Jack Bandy
0,Jonah Karls
3,Hawken Sawyer
7,Don Gates
8,Holden Thompson
9,Skyler Aspegren
9,Nathan Baer
11,Elias Schomer
13,David Barbalas
15,Alexander Neevel
17,Nathaniel Whitfield
19,Luke Rynbrandt
20,Laramie Aspegren
22,ALEC FOJTIK
23,Marty Dekker
24,Joshua Creedon
34,Colin McLaughlin
41,Jacob Van Dyke
42,Steven Rongley
55,Payden Carter
56,Jonathan Oldham
71,Andrew Reay
88,Joseph Burley
94,Alex Glynn
b,r,e,a,k
St Louis,10
0,Kyle Blievernicht
0,Brian Schweinhart
0,Luke Taylor
0,Noah Zaleski
0,Tyler Leising
0,John Wooldridge
0,ZACH WRIGHT
1,Aleksandr Knapowski
5,Christian All
7,JOSHUA BARON
8,Troy Lensing
12,Gintas Jarasius
14,BRENNAN KELLY
15,David Catherall
28,Daniel Stork
b,r,e,a,k
Western Michigan,8
0,Adam Blacker
0,Zachariah Rummery
0,Maris Marazita
0,Alex Horn
0,Theo Saillant
4,David Rhodes
