North Central D-I College Men's Regionals,College - Men ,30,4,2016
Cedar Falls,IA,2016-04-30,2016-05-01
https://play.usaultimate.org/events/North-Central-D-I-College-Mens-Regionals-2016/schedule/Men/CollegeMen/
Carleton College,3
teamInfo,CUT),"Northfield, Minnesota",http://orgs.carleton.edu/cut/,https://www.facebook.com/CUTrules,https://twitter.com/cutrules
0,Chris Sundquist
1,James Freed
2,Solomon Yanuck
6,Alex Olson
7,Jesse Bolton
9,Nikita Fomichev
10,Henry Fisher
11,Kohl Sparrman
12,Tim Schoch
13,Alexander Walker
14,Kenneth Lim
15,Eric Taylor
16,ANGUS LAMONT
17,Adam Throne
23,Sef van Kan
27,Elliot Mawby
30,Natan Lee-Engel
33,Conor Eckert
53,David O'Dea
55,Jake Ritmire
91,Russell Hanson
b,r,e,a,k
Wisconsin,1
teamInfo,Hodags,"Madison, Wisconsin",modules/common/www.hodags.org,https://www.facebook.com/pages/Wisconsin-Hodags/118125241585256,https://twitter.com/hodaglove
coaches,Andrew Brown,Eric Alexander,Colin Camp
0,Alexander Ogren
2,Branavan Yogarajah
3,Nicholas Vogt
5,Jeff Maskalunas
6,Ian Hahn
7,Avery Johnson
9,Erik Jorgensen
10,Sam Hebert
11,Sterling Knoche
12,Chris Wilen
13,David Yu
14,WILLIAM KLUENDER
17,Thomas Gallagher
22,Aaron Speiss
23,Graeme Kernick
25,Ross Barker
26,Eric von Kampen
27,Rami Paust
31,JACOB ELIAS
33,SHANE SADDISON-BRADFORD
37,Jan Szmanda
41,Colin Sunde
44,Nicholas Ladas
49,John Tan
57,Austin Reif
84,CRAIG COX
b,r,e,a,k
Iowa State,8
teamInfo,ISUC,"Ames, Iowa",http://www.isucultimate.com/,https://www.facebook.com/IowaStateUltimate,https://twitter.com/UltimateISU
1,Arthur Harris
2,Logan Grothus
4,Brian Wandrei
5,Daniel Sullivan
6,Scott Hearne
7,Joel Morton
8,Lukas Nesheim
9,Colin Fry
11,Richard Poterack
12,Jack Sanders
16,Jon Olson
17,LUCAS COLEMAN
18,Rahul Seshappa
21,Ethan Sabado
23,Ben Joerger
28,Niko Beauchamp
29,Colton Purdy
33,Peter Miller
52,Bryan Hall
54,Alec Sauerbrei
71,CULLEN RAASCH
88,Nick Espe
89,Michael Sandstrom
97,Tanner Boyle
b,r,e,a,k
Minnesota-Duluth,9
teamInfo,Northern Lights,"Duluth, Minnesota",,,
00,David Huber
00,Nick Hughes
01,REED PEER
02,Patrick Andresen
03,Andrew Pipp
05,Cesario Velasco
07,Josh Daniel
08,Adam Riley
10,Alex Griswold
12,Frank Fairchild
13,Zach Wood
14,Tyler Thomegreene
16,Riley Siewert
17,JORDAN DANIEL
18,LOUIS MCGRAW
18,Nick Heid
19,Noah White
20,Marty Adams
21,Ben Voigt
22,Mitchell McGahan
23,Peter Diede
28,Brian LaFrance
29,Garrett Geib
32,Anthony White
35,Shaun LaFrance
40,Jeffrey Ching
96,Tucker Hoffman
b,r,e,a,k
Marquette,6
teamInfo,Birdhouse 2016,"Milwaukee, Wisconsin",,https://www.facebook.com/marquetteultimate,https://twitter.com/BirdhouseMU
0,Reilly Hicks
0,Eric Blais
0,Harrison Hensel
0,Connor Watts
0,Dwight Johnson
0,Michael Starosta
0,Jordan Benusa
2,Daniel Kress
3,RYAN MCHUGH
5,Evan Swiatek
6,John Devine
9,Wyatt Meyer
10,Joseph Lindsay
15,Anthony Marino
17,Elias Magallanes Jr.
19,Van Walker
20,David Kaftan
23,Tadhg Scully
25,Sean Andryauskas
28,MARK MAURER
32,Daniel Engsberg
34,BRYAN FITZPATRICK
36,Madison Olesen
42,Zach Thompson
b,r,e,a,k
Wisconsin-Stevens Point,12
teamInfo,Homegrown,"Stevens Point, Wisconsin",https://stuorgs.uwsp.edu/frisbee/Pages/default.aspx,https://www.facebook.com/groups/271690426542/,https://twitter.com/uwsphomegrown
0,Jackson Schultz
0,Nicholas Champ
0,KYLE LOVEGROVE
0,Zackery Wolf
0,Dillon Novak
0,Shawn Hamm
1,Brady Olson
3,Logan Roy
5,Zach Hendzel
7,Logan Mueller
02,Robert Lyke
04,Dalton Wilding
08,KARL PLOECKELMAN
10,Tate Klauck
11,Benjamin Lima
17,ALEX TEWS
17,Kirk Prince
19,Nick Manning
23,Adam Swanson
27,Jack Spadafore
28,Calvin LeQue
30,John Holty
31,JACOB OLSON
41,Ryan Buxton
45,Thomas Mattimiro
52,ANTHONY OPATZ
56,Joseph Vital
61,Brian Payne
80,Jacob Madriaga
87,David Horgan
88,Dustin Oetzman
96,Cooper Pries
b,r,e,a,k
Minnesota,2
teamInfo,Grey Duck,"Minneapolis, Minnesota",http://mngreyduck.weebly.com/,https://www.facebook.com/MNGreyDuck,https://twitter.com/MNgreyduck
coaches,Tallis Boyd,David Eddy
0,Zach Trosvig
0,Thomas Bakko
0,Cole Wallin
0,Joshua Pratt
0,Alexander Jirele
1,Ryan Osgar
3,Connor Anderson
4,Benjamin Jagt
4,Josh Kautz
8,James Nguyen
9,Tom Duret
11,Sam Kaminsky
13,Anthony Poletto
20,Blake Trantina
23,Saurav Dubey
24,ISAAC RUFF
33,Adam Meckstroth
36,Donald Wood
40,NEIL PETERSEN
41,Samuel Bumsted
47,Dan Wylie
48,Wyatt Mekler
77,Soham Shah
93,Justin Hill
