Northwest Mixed Regionals,Club - Mixed ,10,9,2016
https://play.usaultimate.org/events/Northwest-Mixed-Regionals-2016/schedule/Mixed/Club-Mixed
Seattle Mixtape,1
0,Mike Cavanaugh
03,Cam Bailey
04,Jesse Bolton
05,Lauren Pattie
06,Kahyee Fong
07,Rachel Bleakney-Bailey
08,Meagan Kapostasy
09,Jennifer Cogburn
10,Lexi Garrity
11,Bert Cherry
12,Bradley Houser
15,Drew Johnson
19,Cole Johnson
20,Grace Noah
21,Lucia Williams
22,Evan Klein
24,Alex Duffel
27,Dominic Cavalero
28,Claire Revere
31,Henry Phan
32,Daniel Walton
33,Deborah Barker
50,Nicholas Dare
81,Lani Nguyen
85,Phil Paul
99,Khalif El-Salaam
b,r,e,a,k
Birdfruit,3
01,Adlai Felser
02,Luke Jesperson
03,Martha Russell
04,Jessica Shatkin
05,Christian Brink
06,Laura Doepker
07,Nicole Bayard
10,Jeff Gayle
11,Laura Manson
12,Peter Ostergaard
14,Sam Pickel
15,Benjamin Beehner
17,Corinne Pingul
20,JOHN KLAASSEN
21,Dylan Harrington
22,Lacy Clark
24,Andrew Lynch
31,Natalie Jamerson
33,Spencer Sheridan
35,Matthew Neeley
40,Ky Lewis IV
41,Clay Dewey-Valentine
47,Walker Bohannan
51,Lindsay Lang
67,Kelley Hall
69,Lillian Bailey
89,Sophia Scofield-Selby
b,r,e,a,k
MTF,10
0,dylan budke
02,Sam Hines
03,NICHOLAS STROM
04,Natalie Hamel
07,David Lau
08,Shaela Wallen
09,Scott Albrethsen
10,Kelton Enich
11,Nathaniel Goodburn
12,Kari Shelkey
13,Madison Whiteman
15,Linette Maeder
16,Patrick Gaetz
17,Emma Baldonado
21,Shelbie White
23,Conor Dannis
31,Andrew Valainis
32,Sarah Luth
39,Tyler Albrethsen
42,Kevin Ryder
55,Jack Carol
74,Andrew  Mozzer
81,Ty Lynch
b,r,e,a,k
The Administrators,6
0,Pete Overright
2,Aaron Adamson
3,Kendall Jorgensen
5,Spencer Magnusson
6,Carmen Ellis
9,Ian Lawson
10,Jacob Artz
11,Anna Hosford
12,Kelly Marx
13,Roxanne Myslewski
14,Kristin Moore
15,Rachel Auerbach
16,Philip Rollo
17,RACHEL REITER
19,MATTHEW KORTE
21,KEVIN CHAMBERS
22,Michelle Hendrick
23,Melanie Thomas
27,Shannon Dennehy
28,Victoria Li
42,SARAH BURNAP
44,Jonathan Sebert
45,George Zimmerman
47,David Marble
48,Brian Pearson
64,Dillon Roberts
91,Jared Fitzpatrick
b,r,e,a,k
Nassau,7
0,John Cairns
00,CHRISTOPHER TALARICO
00,Zachary Feldman
00,Whitney Scott
00,Kyle Switzer
00,Doug McKenzie
00,PETER SCHUFT
00,Mark McGhee
00,Stephen Feldman
00,Valerie Peacock
00,DAN SUPPNICK
00,Jennifer Clark
00,ERIC GUTH
02,TRISHA THOMS
03,BREANNE AUSTIN
04,JILL HUTCHINSON
06,Nora Brodnicki
09,CHRIS KNOX
10,Breeze Strout
12,kambel quatre
12,LANEY COYNE
14,KAMA SIEGEL
16,TAD JENSEN
17,Delia Chiu
22,Andrew Schwartz
23,Chelsea Putnam
77,Aaron Switzer
b,r,e,a,k
Pegasus,12
0,Kelly Bruno
1,COLIN FROINES
8,Emily Zukowski
03,Matthew Bricker-Mounts
04,Edward Layne
10,Kent Wu
11,ON LEUNG
11,Arielle Nelson
13,Maria Herman
14,Dan  Greeley
15,Arianna Aldebot
17,Peter Bender
18,Chris Roach
19,April Joy
21,Callahan McKenzie
22,Edward Harmoush
23,CATIE PLOURDE
