South Central Masters Women's Regionals,Masters - Women ,9,7,2016
https://play.usaultimate.org/events/South-Central-Masters-Womens-Regionals-2016/schedule/Women/Masters-Women/
Molly Grey,1
0,Sally Lambert
0,Christina McDowell
0,Betsy Andrews
0,Ivy Byun
0,Emily Hanson
0,Courtney Kiesow
0,Dana Chang
0,Marley Steele-Inama
0,Christina Contreras
0,Jana Krutsinger
0,Leah Borsheim
0,STEPHANIE SHEA
0,Dena Slattery
0,Jessica Blanton
7,Allison Boyd
14,Katie Patterson
17,Anna Schott
19,Alicia White
23,Lauren Boyle
24,Holly Denecour
29,Lisa Doan
69,Keenan Keenan
82,TRACY WOO
b,r,e,a,k
HayROLD,2
0,ANNIE PERKINS
0,APRIL JOHNSON
0,SARAH BOWN Butler
1,Heather Ayers
5,Hien Le
9,VLADA ALAYTSEVA
9,Victoria Lyda
00,Laura Brewer
00,KATHERINE THACKER
00,Jennifer Dhir
00,Amanda Brown
00,KRISTIN OVERTON
00,CARISSA CUMMINS
00,Stephanie McLaughlin
00,JULIE FITZGERALD JOHNSON
00,Janna Haller
b,r,e,a,k
s,t,a,g,e,s
brackets,Championship
bracket,1st Place
Molly Grey,HayROLD,19,3,"07/09/2016, 11:00",1st Place
b,r,e,a,k
