Trouble in Vegas 2016,College - Men ,19,3,2016
Las Vegas,NV,2016-03-19,2016-03-20
https://play.usaultimate.org/events/Trouble-in-Vegas-2016/schedule/Men/CollegeMen/
Wisconsin,1
teamInfo,Hodags,"Madison, Wisconsin",www.hodags.org,https://www.facebook.com/pages/Wisconsin-Hodags/118125241585256,https://twitter.com/hodaglove
0,Alexander Ogren
2,Branavan Yogarajah
3,Nicholas Vogt
5,Jeff Maskalunas
6,Ian Hahn
7,Avery Johnson
9,Erik Jorgensen
10,Sam Hebert
11,Sterling Knoche
12,Chris Wilen
13,David Yu
14,WILLIAM KLUENDER
17,Thomas Gallagher
22,Aaron Speiss
23,Graeme Kernick
25,Ross Barker
26,Eric von Kampen
27,Rami Paust
31,JACOB ELIAS
33,SHANE SADDISON-BRADFORD
37,Jan Szmanda
41,Colin Sunde
44,Nicholas Ladas
49,John Tan
57,Austin Reif
84,CRAIG COX
b,r,e,a,k
Brigham Young,2
teamInfo,CHI,"Provo, Utah",http://www.byuchiultimate.com/,https://www.facebook.com/ByuMensUltimate,@BYUCHIUltimate
0,Kevin Hodgson
0,Nolan Hutchings
0,Taylor Caldwell
0,Benjamin Hodson
0,Ryan Savage
0,Tanner Yorgason
4,Devon Terry
5,Spencer Hodson
6,Matt Ricks
7,Will Honey
10,Ben Olpin
13,Seokhee Burningham
15,MATTHEW  DELANGE
21,BRYANT BOYER
22,Lance Gardner
23,Jesse Taylor
26,Robert Eckles
32,Nacody de la Rosa
50,Austin Alpeter
55,Wyatt Nethercott
64,Jason McKeen
72,Jordan Hill
93,DAKOTA FLANARY
b,r,e,a,k
Arizona,3
teamInfo,Sunburn,"Tucson, Arizona",sunburnultimate.com,https://www.facebook.com/SunburnUltimate,https://twitter.com/SunburnUltimate
0,Dillon Manzanares
0,Garrett Hable
0,Kevin Dwork
0,PRESTON KRAMER
0,Jaron Omololu
0,Spencer Anderson
0,Sidney Guthrie
0,Timothy Wood
0,Trevor Smith
2,Zack Erlick
12,Casey Tompa
13,Evan Baker
14,John Patinella
18,Trey Leonard
21,Brendon Hudnell
23,Alexander Prescott
24,Benjamin Lacy
25,Chris Baker
32,Austin Vandenburgh
54,Jule Streety
56,Christopher Metz
87,JAMES SCHOONMAKER
b,r,e,a,k
Southern California,5
teamInfo,USC Men's Ultimate,"Los Angeles, California",http://www.uscmensultimate.blogspot.com/,,
03,Edwin Chen
03,Sukrut Nataraj
04,Wyatt Paul
07,SPENCER PRESCOTT
08,Jordan Chock-Wong
10,Vishnukarthik Lakshmanan
11,Chris Holmes
13,Matt Burke
14,JACK KOPPA
17,Alex Koh
19,Douglas Jones
21,Bradley Billig
22,Ghenki Okumoto
25,LUCAS SWIECICHOWSKI
26,Alexander Tovar
28,Tyler Pullen
29,David Sealand
45,Michael Sylvester
55,Drew Okenfuss
60,VINCENT HUANG
85,David Bell
88,Gideon Elson
94,Jacob Kulakofsky
b,r,e,a,k
California,4
teamInfo,California-Berkeley,"Berkeley, California",http://www.ugmo.org,,
coaches,Daniel Silverstein
1,MASAAKI WARD
2,JOHN HO
4,Andrew Lin
6,Alexander Pan
7,JAMES FENG
8,Jesus Avila
10,Ben Chiu
11,Michael Girard
14,Joshua Yuan
16,Christopher McKeag
17,Ashwin Vaidyanathan
19,Eric Thewalt
20,Greg Salazar
21,Alexander Max
22,Andrew Ouyang
23,Patrick Lerchi
25,Tommy Lin
26,Rajiv Sambharya
28,Maxwell Fenton
31,Justin Geffrey
32,Paul Han
42,Aaron Yuan
44,MACCALLUM ROBERTSON
47,Rafael Castro
77,Brian Kooperberg
b,r,e,a,k
San Diego State,8
teamInfo,Federalis,"San Diego, California",,,
0,Jonathan Gaasch
0,Eric Goulet
0,Bailey Thompson
0,Ryan Wilbanks
0,Erik McCoy
0,Daniel Koble
0,ZEKE IVERS
0,Robert Horewitz
0,Henryk Pedersen
0,STEVEN GREENE
0,Austin Gayle
0,Josiah Reeve
0,Jacob Barr
2,Mitch Wellman
3,Michael Tran
4,Brian Haley
16,Joseph Huppert
21,JJ Rogers
38,ALAN GUARDADO
42,MARK SLADER
99,Maxwell Hume
99,Evan Smith
b,r,e,a,k
Colorado State,7
teamInfo,Hibida,"Fort Collins, Colorado",,,
coaches,Tim Kefalas
0,MITCHELL DOW
0,Tyler Wilkinson
0,Scott Wheeler
0,David Cuellar
0,Daniel Crump
0,LUKE DOYLE
0,Mark Stratford
0,Thomas Theodorescu
0,NOAH BROWN
0,MARSHALL RAWLEY
0,Cole Turner
0,Phillip Wade Foreman
1,Jack Hinchsliff
9,Jacob Servaty
11,Jack McGinnis
14,Matthew Bush
16,Jake Marrapode
18,Dylan Johnson
20,JORDAN TREPP
22,Hudson Martin
24,David Miller
30,Sten Larson
34,Cody Spicer
35,Samuel Frisz
99,Joseph (Joey) Leduc
b,r,e,a,k
Chico State,9
teamInfo,Chico State Wildcats,"Chico, California",,https://www.facebook.com/pages/Chico-State-Ultimate-Frisbee/194149750609051,
0,Jared Groman
0,Tyler Grenier
0,Liam Carroll
0,Nicholas Dahms
0,VANCE VELARDEZ
0,Freeman Odurukwe
0,Zachary Giovannini
0,Spencer McWilliams
0,Thomas Allen
0,Ruben Ruiz
0,YER HER
0,Elliot Lopez
0,Eros  Escalona-White
0,Grant Barr
0,Daniel Farmer
0,Logan Martin
0,David Contreras
0,Giacomo Lane 
0,Nicholas Jensen
7,Jesus Alfaro
11,Austin Barden
15,Jessep Macfarlane
18,GRANT MANLEY
42,BRANDON EIGES
44,Joshua Katzki
b,r,e,a,k
Luther,6
teamInfo,Lufda,"Decorah, Iowa",,,
0,BRADY BRINKMEYER
0,Jimmy Conway
0,Sergei Hanka
7,Matt Smith
11,Kaelib TeeGarden
11,Blake Heeren
12,Jack Jagielski
13,Arlen Bonson-Anderson
17,Chad Villhauer
18,Sam Berglund
21,Matthew Peterson
22,Isaac Johnson
23,Peter Murry
24,Henry Craig
27,Owen Schleif
28,Jack Rosenwinkel
29,Peter Scott
33,Jay Puffer
42,Evan Berg
44,Jonathan Lovagnini
47,Ian Andre-Knudsen
57,Nathaniel Koch
71,Christopher Lovagnini
b,r,e,a,k
Occidental,13
teamInfo,Detox,"Los Angeles, California",http://www.detox-ultimate.com/,https://www.facebook.com/detoxultimate/,
0,Maxwell Marion
0,Adam Grammer
0,TY HRANAC
0,Russell Snapp
0,Jack Allen
0,Paul Tomlinson
1,Graham Garzon
2,LOWELL BARTLETT
3,DANIEL TERNER
6,Robert Zhang
13,Sergio Rodriguez
17,David Kimball
18,Luis Torres
19,Spencer Goldman
22,Kade Cheatham
28,Hunter Weinreb
32,Will Shea
34,DAVID PHILLIPS
43,Luis Robles
66,Griffin Morita
69,Jesse Moore
99,Drew Andersen
b,r,e,a,k
Colorado-Denver,11
teamInfo,Frostbite,"Denver, Colorado",,,
0,Chad LeFebre
0,Tyler LeFant
0,Abdulaziz AlWeqayyan
0,Sam Wilson-Moses
0,Casey Hodges
0,Arian Anderson
0,Alex Kacsh
0,Scott Cao
0,Cruz Alvarez-Machado
0,Michael Carpenter
0,Matthew McCoo
13,Mitchell Reinhart
24,Thor Stageberg
48,Jonathan Cosmann
b,r,e,a,k
New Mexico,12
teamInfo,HantaVirus,"Albuquerque, New Mexico",,https://www.facebook.com/unmmensultimate,https://twitter.com/HantaVirus_Ulti
0,BENIGNO SANDOVAL
1,Garrett Harder
5,Jason Denning
11,Kasey Anderson
13,Kevin Hedrich
16,Matt Shubert
18,SAMUEL ALBERT
23,Leroy Sandoval
32,Nathan Kennedy
88,Jacob Stewart
b,r,e,a,k
North Texas,10
teamInfo,UNT X,"Denton, Texas",,,
0,Eian Brent
0,BRANDON LOCKLEAR
0,BRIAN TU
0,Jonathan Lawrence
0,Ruben Paquian
0,Cameron Young
0,Johnathan Kirtland
0,Louis Gingras
0,Stewart Williamson
5,Evan Garner
7,DOUGLAS FENDERSON
15,Corey Gendron
77,Ian Ambrose
b,r,e,a,k
Colorado College,14
teamInfo,Wasabi,"Colorado Springs, Colorado",,www.facebook.com/WasabiUltimate,
0,Trystan Alexander
0,Shane Eckert
0,Malcolm Gabbard
0,Michael Greenberger
1,Clay Elliott
3,Sam Hale
6,Crispin Whittier
9,IAN ADAMS
19,Danny Rodriguez
29,Grant Mitchell
39,Phillip Korolog
47,ISAAC RUBINSTEIN
71,Joel Fisher-Katz
73,Jason Bair
81,Abram Mamet
b,r,e,a,k
Montana State,15
teamInfo,Rum Runners,"Bozeman, Montana",https://sites.google.com/site/bozemanrumrunnersultimate/,https://www.facebook.com/groups/100157066766069/,https://twitter.com/RumRunnersMT
0,Andrew Shanafelt
0,Scott Kaltenecker
0,JACKSON NAKAE
0,Quinn Hanson
0,Ryan McNally
0,Daniel  McLain 
0,Phillip Meyer
0,Carlo DeSando
0,Brian Marsh
0,HANK PAYNE
0,STEPHEN KULURIS
1,Izaak Castren
5,Ian Dioso
5,Nicholas Patterson
6,NATHANIEL WIGGINS
15,Jeff Buzan
23,Dominic Guzzarde
29,Zach Baumann
32,Eric Healy
40,Geoffrey Zath
42,Thomas Walz
59,JACOB FRIESEN
99,Kyle Anderson
b,r,e,a,k
California-Irvine,17
teamInfo,Nightlife,"Irvine, California",https://www.facebook.com/mensultimateatuci/,https://www.facebook.com/mensultimateatuci/,https://twitter.com/irvineultimate
01,Juan Saldana
03,Kenneth Lee
04,Matthew  Mckown
06,CALLUM LAMB
08,John Morgan
12,Moniroth Suon
18,Ray Shieh
20,Will Black
22,"Jeremy ""River"" Rhoan"
26,Quang Pham
28,Kai Fong
50,Wayne Lu
b,r,e,a,k
Grand Canyon,16
teamInfo,Lopes,"Phoenix, Arizona",,,
0,Ely Herrera
0,Adam Barth
0,Corbin Laird
0,Chase Renfrow
0,Jeremy Paul
0,Mitchell Rey
0,gabe kester
0,Slate Herman
0,Jonas Lundgren
6,Jacob Bland
21,Connor Heard
b,r,e,a,k
Northern Arizona,18
teamInfo,El Ponderoso,"Flagstaff, Arizona",www.elponderoso.com,,https://twitter.com/ElPonderosoNAU
0,Hunter Stuits
0,Max Bennett
0,Reid Kemp
0,Brad Wylam
0,Andrew Locke
0,Brian Rosenstein
2,Zach Nollette
9,Brent Acomb
12,Michael Gehrke
17,Jeff Morrison
21,Uchenna Anyadiegwu
25,Garrett Wright
36,Kevin Farrell
49,Tyler Liddie
78,Rick John
b,r,e,a,k
Cal Poly-Pomona,20
teamInfo,Cow Ultimate,"Pomona, California",,https://www.facebook.com/CPPUltimate,https://twitter.com/cowultimate
0,Thomas Paulson
0,Andrew Calinescu
0,Isaac Porter
0,Renato Perez-Ramirez
0,CHRISTOPHER CABAN
0,Julian Salazar
0,Matt Lambrose
0,Daniel Ouk
0,Andrew Koscal
0,Yik Hin Wong
0,Jacob Yaldezian
0,Kevin Labbate
0,Bruno Haesbaert
0,Abin Thomas
0,Matt Theologidy
0,Michael LePage
0,Caleb Jang
0,JUAN GONZALEZ
2,Mateus Pinheiro
9,Liam Bestian
17,STEVE JOLLOTA
22,Kyle Jepsen
26,Blake Ferguson
26,Christopher Tait
69,Jonathan Horton
80,Ross Parsons
99,Brandon Yee
b,r,e,a,k
Northern Colorado,19
teamInfo,Upstream,"Greeley, Colorado",http://www.unco.edu/campusrec/Clubsport/ultimate.htm,https://www.facebook.com/groups/114840151905665/,
0,Sameul Long
2,Noah Hayden
7,Andrew Boyum
11,CODY KERSHNER
15,WILLIAM MCSHANE
16,Morgan Schilling
18,Josh Goertzen
27,Jake Russell
28,Toby Nordhoff
b,r,e,a,k
Westmont,21
teamInfo,Westmont Wildfire,"Santa Barbara, California",,https://www.facebook.com/groups/2215107963/,
0,Austen Nelson
0,JOEY FARBSTEIN
0,Peter Casey
0,Miles Redfern
0,Matthew Lee
0,Vincent  Luna
0,Jonathan Wong
0,Daniel Namkung
0,Jacob Ochs
0,Jonathan Cleek
0,Mckalie Drown
15,Ben Wilcox
24,Noah DeLaurie
b,r,e,a,k
Nevada-Reno,24
teamInfo,Elevation Ultimate,"Reno, Nevada",,,
1,Daniel Ortiz
2,John Whiting
3,Ryan Takayama
4,Pete Marshall
7,ZACH LIM
8,Austin Lee
9,Thomas Fiock
11,Mitch Krieger
15,Brent Moore
19,Dominick Casucci
22,BRANDON PURDY
23,Gabriel Camacho
27,Austin Perry
29,Dillon Carroll
30,Donne Lenard Lomugdang
35,Raymond Lopez
77,Daniel Eitzman 
94,Ryan Schoenfeld
96,Jakob Stoner
99,Davis Ruggles
b,r,e,a,k
Miami,22
teamInfo,UMiami Cartel,"Coral Gables, Florida",http://umstudentactivities.orgsync.com/org/ultimatefrisbee/home,https://www.facebook.com/UniversityOfMiamiUltimateClub,https://twitter.com/UMiamiUltimate
01,Richard Hankins
03,Connor Smith
05,Alex Zacharkiewicz
08,Daniel Scribner
09,Benjamin O'Brien
13,Carlos Morales
17,Brian Morgenlander
18,Peter Khoury
20,Daniel McDermott
21,Byron Fang
22,Holden  Squibb
25,Andres Reid
33,Jordan Hill
36,Benjamin Caplan
44,LUKE FRENTSOS
48,DEREK SHELDON
49,Dimitri Alexis
51,Joachim Lopez
b,r,e,a,k
Utah State,23
teamInfo,USULT,"Logan, Utah",,,
0,Riley Spencer
02,Derek Smith
03,Jeremy Johnson
05,Levi Lundquist
07,Brandon Pedersen
10,Wes Speight
11,Cameron Thomas
16,Ryan Martin
17,JOSE GARDNER
18,Zachary Tubbs
19,Dusty Johnston
20,Devin schmidt
21,Sawyer Brooks
23,Bradley Collette
27,Yancy Knight
28,Daniel Durham
32,Cheston Gray
66,Lars Kochendorfer
b,r,e,a,k
Cal State-Fullerton,25
teamInfo,O-Bang!,"Fullerton, California",,,
0,Martin Espinoza
0,Tyus Thompson
0,Zakk Parker
0,Daniel Bybee
0,Veronica Felipe
0,Torrey Cullen
0,Karen Barrales
0,Lance Shuler
13,Craig Varner
15,ALVIN TRIEU
18,MITCH LANGE
88,Dan Desmond
b,r,e,a,k
Colorado Mines,26
teamInfo,Entropy,"Golden, Colorado",,,
0,Bryan Weaver
0,Patrick Boyker
0,James Miller
5,Scott Jarriel
8,Andrew Liebing
11,Caleb Bevers
15,Elliot Britvec
21,Adam Shreck
32,Scott Harris
40,Doug Schriner
42,Matthew Kowalsky
b,r,e,a,k
Caltech,28
teamInfo,Aftermath,"Pasadena, California",http://ultimate.caltech.edu/index.html,,
coaches,Radmila Dancikova
0,Michael Miller
0,Kevin Yang
0,Aaron Young
0,Erin Balestri
0,Brigitte Rooney
0,James Deacon
0,Cormac O'Neill
0,Erika Ye
1,Paul Kempler
3,Daryl Yee
8,Bryce Edwards
9,Junno Tseng
10,Rafael Fueyo-Gomez
11,Dominic Yurk
21,Sarang Mittal
24,Jonathan Cotler
27,Sophus Shackford
31,Zachary Sternberger
37,Daniel Chui
42,Somasundara Pandian
55,Craig Cahillane
88,Peishi Cheng
96,Michael Lichterman
97,Drew Schaffer
b,r,e,a,k
Utah Valley,27
teamInfo,UVU Ultimate,"Orem, Utah",http://www.uvuultimate.com/,https://www.facebook.com/UVU-Ultimate-421049841293166/?ref=hl,
00,Tyler Zubak
00,Peter Sorensen
00,Ryan Courtney
00,Jason Paul
00,Andrew Harral
00,Auston Hatfield
03,Ezekiel (Ziggy) Nunez
09,Byron Joseph Elton
22,Kyle Lowe
24,Jonathan Whitehead
b,r,e,a,k
Fresno State,29
teamInfo,Fresno State Bulldogs,"Fresno, California",,,
4,Sara Essary
12,Royden Gillespie
15,Noe Delgado
16,Geffin Vera
18,Jamie Dewey
80,Anthony Perez
97,Felicia Perez
b,r,e,a,k
Arizona State (B),33
teamInfo,Pleasure Ultimate,"Tempe, Arizona",www.arizonastateultimate.com,https://www.facebook.com/pages/Pleasure-Ultimate/428479377237462,https://twitter.com/pleASUre_ult
coaches,Brett Carr
1,VINCE QUINTANA
2,Michael Furey
4,Cody Vander Weyst
8,Barrett Bromich
9,Brandon Thomas
12,Noah Hilliker
13,Kolton Nelder
14,Tyler Prime
17,Daniel Briese
23,Andrew Trichak
24,GREG SCALIA
29,Robin Skaria
30,CONNOR ROTH
31,William Hanson
33,Mitchell Marois
36,Matt Patterson
37,Bennett Christoffersen
59,Brent Poynter
69,Blaine Farber
96,Conner Propst
b,r,e,a,k
Brigham Young (B),31
teamInfo,CHI B,"Provo, Utah",www.byuchiultimate.com,facebook.com/byumensultimate,
0,Dallin Hinckley
0,Brandon Pritchard
0,Gabriel Wood
0,Jayce Gustafson
0,Parker Awerkamp
0,Parker Eldredge
0,Paul Monk
0,Matt Oehler
5,David Shum
14,Devin Kimball
18,Renzo Caina
20,Nate McMurdie
24,Benjamin Jafek
30,"Alexander ""Sascha"" Vogel"
31,Ben Housley
b,r,e,a,k
Colorado (B),30
teamInfo,Mamabird - B,"Boulder, Colorado",www.mamabird.com,,
0,Jackson  Stewart
0,Edward Levi DeHerrera
0,Kurt Vetrano
0,James Boulter
0,Will Sweeney
0,Sam Swisher
0,Jaskaran Singh
0,THINH DINH
0,Jack Ziemer
0,Matthew Loughridge 
0,Kyle Kirkland
1,Jack Ostrand
5,Son Nguyen
6,Christopher Larson
6,CARL AKACICH
7,Sean Chapel
10,Zane Barber
18,SAM RHEINS
40,Dan Nowicki
b,r,e,a,k
Santa Clara (B),34
teamInfo,Scratch,"Santa Clara, California",,,
0,Christopher Halter
0,Pearce Ropion
0,Robert Walker
0,Pranav Swaminathan
0,Julian Callin
0,Alex Most
0,ROBERT NGUYEN
0,Trevor Huffard
0,Jordan  CHO
0,Peter Adamis
0,Ricky Matthews
