2017 U.S. Open Club Championships,Club - Women ,4,8,2017
Blaine,MN,2017-08-04,2017-08-07
https://play.usaultimate.org/events/2017-US-Open-Club-Championships/schedule/Women/Club-Women/
Molly Brown,3
teamInfo,,"Denver/Boulder, Colorado",http://www.mollybrownultimate.com/,https://www.facebook.com/MollyBrownTown,https://twitter.com/MollyBrownTown
00,Melissa Devlin
02,Jesse Shofner
03,Maggie Chen
04,Liza Minor
06,Samantha Peletier
07,Paige Applegate
08,Victoria Elmore
09,Kirstin Johnson
10,Lauren Baecher
15,Sara Taggart
16,Megan Cousins
17,Claire McKeever
19,Christina Mickle
23,Lauren Boyle
26,Lisa Pitcaithley
28,Sally Lambert
31,Carolyn Vlach
42,Lisi Lohre
49,Claire Chastain
65,Megan Ives
91,Hannah Leathers
97,Sarah Pesch
b,r,e,a,k
Club Deportivo Revolution,9
teamInfo,,"Medellin, Colombia CO",,,
coaches,Mauricio Moore
01,Alejandra Maria Torres Echeverri
02,Estefania Carvajal
03,Jennifer Ricaurte
06,CAROLINA LONDONO
07,Laura Ospina Gomez
08,Manuela Cardenas 
09,Ximena Montaña 
10,Daniela Molina
13,Ana Rojas
15,Elizabeth Mosquera
17,Carolina Angel
20,Yina Paola Cartagena
22,Lina Vanesa Espitia Gil
25,Akina Younge
33,Valeria Cardenas
37,Madeleine (Maddy) Frey
60,Mariana Montoya
71,Jeimy Viviana Caicedo Rojas
77,Maria Paula Beltran
79,ALEJANDRA OSPINA
96,Maria Angelica Forero Becerra
b,r,e,a,k
Brute Squad,1
teamInfo,,"Boston, Massachusetts",https://brutesquadultimate.com/,https://www.facebook.com/BruteSquadUltimate/,https://twitter.com/100percentBS/
coaches,Ariel Jackson,Michael Zalisk
03,Courtney Verhaalen
04,Lien Hoffmann
05,Julianna Werffeli
06,Claudia Tajima
07,Kameryn Groom
09,Rebecca Ludford
10,Amber Sinicrope
13,Becky Malinowski
14,Tulsa Douglas
15,Kimberly Levins
16,Erin Rea
17,Angela Zhu
21,Chelsea Murphy
22,Victoria Negus
23,Emily Baecher
25,Jennifer Gobin
26,Elana Schwam
28,Shellie Cohen
29,Caitlyn Lee
37,Lauren Sadler
39,Sydney Dobkin
42,Rachel Kramer
46,Jojo Emerson
52,Caitlin O'Connell
71,Cassandra Wong
83,Alyson Steinfeld
b,r,e,a,k
MUD,12
teamInfo,,"Edogawa-ku, Tokyo JP",,,
00,Yukie Yamaguchi
06,ichimasa izumi
07,Naoko Funabashi
10,Kotoka Furukawa
11,ASAKO TAKAURA
13,tomoe tamura
18,MIKI TAKAHASHI
19,yuriko NISHIKAWA 
21,Emi Furuzawa 
29,saki suganuma
30,Keiko Shinkura
31,hazuki irie
33,nozomi onohara
39,anna wakaya
54,Mari Yamazaki
64,yuko suzuki
77,Risa Shimada
80,maho tasaki
97,natsumi iida
b,r,e,a,k
Showdown,8
teamInfo,,"Texas City, Texas",https://showdownultimate.wordpress.com/,https://www.facebook.com/Texas-Showdown-242891214064/,https://twitter.com/txshowdown
coaches,Sean McCall,Adam Goff
01,Julie Eagle Malecek
03,Domenica Sutherland
06,Ivy Harrison
07,Shiru Liu
09,Laura Landis
11,Katey Forth
13,Jennifer Schmerling
14,Edith Teng
16,Sarah Levinn
17,Marissa Land
21,Valerie Pinillos
22,Julia Schmaltz
24,Susan Gilbert
25,Cristina Woodings
27,Jamie Eriksson
28,Anne Ortiz
29,Michelle Arceneaux
31,Ashley Shelor
32,Rebecca Forth
41,Alexandra Cunningham
b,r,e,a,k
Traffic,6
teamInfo,,"Vancouver, British Columbia CA",http://traffic-ultimate.com/,https://www.facebook.com/TrafficUltimate,https://twitter.com/traffic_ulti/
coaches,Michael Caldwell
02,Laurel Jay
03,Michelle Ning
04,Katie Wong
05,Ellie Hand
07,Naomi Morcilla
09,Jessica Rockliff
10,Devra Waldman
11,Katie Hikida
12,Daisy Lin
17,Allison Short
21,Rena Kawabata
23,Jaimie Clay
24,Julia Zhang
27,Megan Kidston
33,Laura Mason
42,Rachel Moens
44,Erin Bussin
48,Zellema Mot
71,Helen Thompson
77,Jennifer Kwok
87,Nicola Parker
90,Catherine Menzies
b,r,e,a,k
Seattle Riot,2
teamInfo,,"Seattle, Washington",http://seattleriot.org/,https://www.facebook.com/SeattleRiot,https://twitter.com/SeattleRiot
coaches,Rohre Titcomb,Gwen Ambler,Andrew Lovseth
00,Alex Ode
01,Kelly Johnson
02,Lucia Williams
05,Paige Soper
06,Sarah Griffith
07,Calise Cardenas
08,Rachel Bradshaw
09,Qxhna Titcomb
10,Shira Stern
11,Nora Landri
12,Callie Mah
13,Kirstin Gruver
15,Bailey Zahniser
16,Cassandra Swafford
17,Dominique Fontenette
18,Madeline Gilbert
20,Kristin (Charlie) Eide
21,Molly McKeon
22,Jack Verzuh
23,Aimie Kawai
24,Sarah Davis
27,Julia Snyder
31,Stephanie Lim
77,Jillian Goodreau
81,Charlie Mercer
b,r,e,a,k
Fury,4
teamInfo,,"San Francisco, California",http://furyultimate.com/,https://www.facebook.com/furyultimate/,https://twitter.com/furyultimate
00,Marisa Mead
01,Magon Liu
02,Katie Ryan
03,Sharon Lin
04,Alex Snyder
05,Kaela Helton
07,Octavia Payne
08,Nancy Sun
09,Marika Austin
10,Genevieve Laroche
11,Carolyn Finney
12,Diana Charrier
12,Bethany Kaylor
14,Yelena Gorlin
15,Alden Fletcher
20,Andrea Romano
21,Meeri Chang
27,Ness Fajardo
28,Lisa Couper
33,Anna Nazarov
42,Darragh Kawaoka
44,Maggie Ruden
b,r,e,a,k
Scandal,5
