ATL Classic 2017,Club - Men ,17,6,2017
https://play.usaultimate.org/events/ATL-Classic-2017/schedule/Men/Club-Men/
Freaks,1
0,Ethan Benesh
0,James Russnogle
0,Mitchell Corder
0,Robert Alongi
0,Tannon Hedges
1,Zack Avello
2,Grant Waldron
4,Jason Williams
5,Chase Hammond
5,Mark Sandefur
5,Timothy Barczak
6,Brett Hulsmeyer
9,Javier Ortiz
10,Yusuf Abdullah
11,Elijah Jaime
12,Jackson Crouch
17,Nick Peppers
18,Yanni Killebrew
34,Isaiah Radcliffe
37,Michael Strobel
42,Tim Hoggard
55,Tom Radcliffe
77,Anthony Cain
96,Mark Ullom
b,r,e,a,k
Lost Boys,4
0,Alexander Cartledge
0,Andrew Perham
0,Brett Egger
0,John Bonas
0,Marquis Chapman
0,Marshall Walker
0,Dillon Denson
0,Tom McGinley
0,Zach Mills
3,Adam Bailey
4,Joshua Wilson
7,William Carmichael
8,Lucas Denson
9,Thomas Loar
10,WOODY PASCHAL
15,Hunter Hamvas
17,Jacob Evans
20,Robert Perry
20,Chuck Turner
23,Bryan Kohut
24,Robert Huffman
26,Christian Gaeta
33,Devon Rogers
43,Robert Locke
67,Devin Waldrop
91,Kenneth Peters
98,Lucas Tarnowski
b,r,e,a,k
Omen,5
2,Justin Dos Santos
02,Kameron Knight
03,Andrew Allen
03,Tim Lootens
04,Patrick Lothrop
05,Quint Wharton
06,Mieshko Debicki
12,Josias Beaubrun
12,Andre Bordelon
13,Adam Vinson
13,Robert (Bobby) Rogulski
17,Alex Mayes
20,Jacques St-Laurent
22,Joseph Tilley
25,Sean Plunkett
25,Shannon Mosley
27,Robert Matthew Hankin
34,GARRETT PELTON
41,Rob Leeds
42,Jonah Larsen
44,DAVID HANKIN
47,Austin Koffarnus
47,Walker Larson
74,John Fonte
b,r,e,a,k
Cerberus,8
0,Ashwin Anantharaman
0,Chidike Iromuanya
0,Conner Stoll
0,Jeffrey Minowa
0,Jim Heneghan
0,Logan Bonds
0,Luke Willis
0,Neal Raines
0,Nicholas Chen
0,Noah Li
0,Patrick Trent
0,Sam Batson
0,Victor Pria
4,Vinny Nguyen
4,Olivier Poulin
6,Kyle Devins
9,Foster Boales
11,Nate Washington
16,Hunter Cutts
17,William Syre
22,Jon Ross Ingley
23,Brandon Chen
33,Jordan Hill
60,David William Petmecky
69,JORDAN MCGHEE
88,Brandon Li
b,r,e,a,k
Rush Hour,9
0,Andrew Harkins
0,Christopher Clark
0,Chunghyun Kim
0,Joseph Vives
0,Kiran Potula
1,DANIEL  PRICE
3,Andrew Benton
4,Aaron Claytor
5,Thomas Rink
7,Zaki Durry
11,Jackson McHugh
12,Andrew Chung
13,David Egbert
