Cola Classic 2017,College - Men ,21,1,2017
Columbia,SC,2017-01-21,2017-01-22
https://play.usaultimate.org/events/Cola-Classic-2017/schedule/Men/CollegeMen/
Ohio,5
0,Christopher Wohl
0,Cameron Finley
0,Colin Heslet
2,Alex Flamm
5,Adam Hock
09,Cameron Haldin
22,Aaron Musser
42,P. Mike Rattanasengchanh
72,Shane Spiegel
92,Wally Gaida
b,r,e,a,k
Boston College,4
0,Andrew Cirillo
0,Kevin Sprotte
2,Ryan Cardinal
5,Drew Davis
10,Theo Kruse
12,Alexander Bernhardt
13,Liam Earley
21,Myles Hahn
b,r,e,a,k
South Carolina,1
2,Johnnie Lynch
3,Hunter Lazan
4,Matthew Hogue
6,William  Hoskins
10,Stuart Hughes
11,Nicholas Headden
12,John (Jack) Dowling
13,Clayton Brandenburg
14,Tanner Coleman
16,Andrew White
17,Shane Smith
19,Cameron Schuster
20,Corey Branam
21,Stephen Trello
23,Bryan Kohut
25,Jack Stemper
33,Bryon Pearson
34,Austin Lourie
44,Reid O'Brien
45,Hunter Conley
77,Andrew Grimmage
81,Michael Spellman
87,Adam Chase
88,Thomas Richards
92,John Colyer
99,Aaron Coble
b,r,e,a,k
North Florida,8
0,Madison Dressler
0,Troy Bogle
0,Matthew Wheeler
0,Zoltan Hepp
6,Hunter Horstman
10,Daniel Smith
18,Levi Bradley
22,Matthew Weatherhead
b,r,e,a,k
James Madison,2
0,Andrew Marusic
0,Colin Smith
0,David Boyle
0,Joshua Alley
0,Francisco Marty
0,David Bui
0,Steven Praplaski
0,Brian Kelly
0,Andrew Elliott
0,Grant Lewis
1,Travis St. John
4,Jack Corcoran
12,Sam Bean
13,Nicholas Albright
20,Kyle Woodward
21,Benjamin Green
22,Garrett Manno
30,Quinn Bergeron
33,Torin Porter
36,Matthew Johnston
60,Patrick King
81,Colin Doescher
87,David Rigby
b,r,e,a,k
Georgia Southern,3
01,James ONeal (Neal) Hollis
02,Zach  Tsang
03,Bradley Thompson
07,Gregory Burkell
08,Joseph Vives
09,William Finch
11,Zach Faddis
13,Devon Conyers
15,Blake Michal
19,Tanner Butcher
20,James Rink
21,Samuel Trent
23,Chris Camp
32,Cody Lewis
33,Andrew Pineau
34,Christopher Clark
43,Brendan Eckard
47,Brannon Thompson
67,Tanner Tracey
81,Nich Faddis
99,Dylan Whalen
b,r,e,a,k
East Carolina,6
0,JAKE CHEATHAM
00,Noah Munn
03,Kyle Davis
07,Preston Earp
09,Thomas Follett
10,Alexis Lopez
11,Matthew Zimmerman
12,Ismail Kassim
13,John Medina
14,Zachary Baldwin
15,Scott Abernathy
18,CONNOR STAFFORD
21,David Huie
23,Taylor Crotts
30,Hunter Gibbs
31,Andrew Vande Berg
48,Brian Elgart
55,Sam Brant
57,Domenick Muoio
62,Russell Warner
68,Jack Schenk
72,Benjamin Landry
b,r,e,a,k
Charleston,7
1,Brandon Massey
3,Colton Miller
5,John Poole
8,Mason Huebsch
13,Matthew Hajek
13,Jensen Tomberlin
15,Jonah Price
17,Christopher Richmond
26,John Epperson
27,Vincent James
41,William Minter IV
42,Benjamin Konzen
44,Joseph Delaney
48,Joseph Garvey
52,Zachary Spencer
56,Nolan Barrett
66,Zack Pickler
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
South Carolina,North Florida,13,5,"01/21/2017, 09:00",Pool A,Final
Boston College,Ohio,10,13,"01/21/2017, 09:00",Pool A,Final
South Carolina,Ohio,13,14,"01/21/2017, 10:30",Pool A,Final
Boston College,North Florida,12,6,"01/21/2017, 10:30",Pool A,Final
South Carolina,Boston College,6,11,"01/21/2017, 12:00",Pool A,Final
Ohio,North Florida,13,5,"01/21/2017, 12:00",Pool A,Final
pool,Pool B
Georgia Southern,East Carolina,11,8,"01/21/2017, 09:00",Pool B,Final
James Madison,East Carolina,13,2,"01/21/2017, 17:30",Pool B,Final
Georgia Southern,Charleston,13,3,"01/21/2017, 17:30",Pool B,Final
James Madison,Georgia Southern,13,4,"01/21/2017, 19:00",Pool B,Final
East Carolina,Charleston,13,6,"01/21/2017, 19:00",Pool B,Final
James Madison,Charleston,13,4,"01/21/2017, 23:00",Pool B,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
b,r,e,a,k
brackets,5th Place Game
bracket,5th Place Bracket
b,r,e,a,k
brackets,7th Place Game
bracket,7th Place Game
b,r,e,a,k
