Great Lakes Men's Regional Championship 2017,Club - Men ,23,9,2017
West Chester,OH,2017-09-23,2017-09-24
https://play.usaultimate.org/events/Great-Lakes-Mens-Regionals-2017/schedule/Men/Club-Men/
HIGH FIVE,1
teamInfo,,"Ohio, Michigan",,https://www.facebook.com/HighFiveUlti/,https://twitter.com/HighFiveUlti
0,Jordan O'Neill
01,Alex Edinger
02,Tyler Kinley
03,Jeffrey Brauning
06,Kevin Coulter
09,Michael Meilstrup
10,David Bentrovato
11,Jordan Rhyne
12,Mitch Cihon
16,Michael Burke
17,Keegan North
19,Paul Arters
20,Sam Greenwood
22,Michael Dagher-Margosian
23,Eric Schumacher
23,Alex Kapiamba
25,Jake Steslicki
27,Alexander Russomanno
41,Daniel Lee
42,Mike Ogren
45,Kevin Baumann
47,Phil Cherosky
55,Johnny Bansfield
71,Jacob Turner
77,James Highsmith
91,Joe White
98,Dan Donovan
b,r,e,a,k
CLE Smokestack,8
teamInfo,,"Cleveland, Ohio",,,https://twitter.com/CLE_Smokestack
0,Anthony Davis
0,Austin Engel
0,David Picone
0,Erik Lindberg
0,Griffin Binkley
0,JACOB HOOKS
0,John Marotta
0,KYLE HONE
0,Milo Korman
0,Nicholas Mathison
0,Jonathon Grgat
0,Peter LaFreniere
3,Joseph Marmerstein
3,Daniel Young
4,Jason Williams
4,Zach Byrnes
5,Amir Kaghazwala
10,Eric Zarobila
12,Tobias Harvey
17,Adam Davenport
23,Patrick Cannell
26,Zach Johnston
27,Felipe Delgado
35,Joshua Swanson
50,Jon DeAmicis
82,Dutch Kirkman
99,Robert Strohmeyer
b,r,e,a,k
Black Lung,15
teamInfo,,"Lexington, Kentucky",,,
0,ERIC NEACE
0,Mark Kraus
0,Jay White
0,Jesse McInturf
0,Jordan Phillips
0,Kyle Cornell
0,Mason Montgomery
0,RYAN MORIARTY
0,Tadhg Young
1,Adam Houk
3,Jake Carrico
4,Michael Rudy
5,David High
8,Nathan Meade
9,Preston Goulson
10,Larry Farmer Jr
11,Christopher Empie
13,Jared Gibson
13,Michael Harr
14,Matt Henry
22,Andrew Shields
27,Wyatt Driskell
30,Peter Dreisbach
44,Jake Hughes
69,Logan Graham
94,Austin Obenauf
94,Tyler Karnes
b,r,e,a,k
Enigma,10
teamInfo,,"Dayton, Ohio",,https://www.facebook.com/pages/Enigma/112703698822469?ref=hl,
0,Carsen Clouser
0,Jose Mikalauskas
0,JT FISCHER
0,Kevin Haid
0,Markus Ernst
0,Matthew Huntington
5,Jake Kenniv
6,Benton Birch
7,Tim Janczewski
10,Chad Gregory
13,Benny Rider
16,Jake Johnson
18,Dylan Corwin
20,Alex Stevenson
22,Matthew Muhlenkamp
24,Andrew Greenfield
26,Andrew Wiebe
31,Gary Stines
35,Brendan Eltzroth
36,Nick Heitkamp
43,Stephen Moore
54,Avery Moeller
69,Chris Stevens
70,Tanner Church
80,Andrew Kramer
84,Ethan Dixon
88,Joseph Hoffman
b,r,e,a,k
Chicago Machine,2
teamInfo,,"Chicago, Illinois",http://www.chicago-machine.com,https://www.facebook.com/machineultimate,https://twitter.com/MachineUltimate
coaches,Andrew Neilsen
0,Jesse White
01,David Libo-on
02,Joshua Stevens-Stein
05,Bradley Bolliger
07,Jack Shanahan
08,Stephan Mance
10,Von Alanguilan
12,Julian Childs-Walker
13,Alex Evangelides
14,Jeffrey Weis
15,Andrew Sheehan
16,Yiding Hou
18,Cullen Geppert
22,Alex Champe
23,Vincent Ciaramitaro
24,Michael Pardo
26,Kevin Kelly
29,Michael Schwenk
31,Walden Nelson
36,Timothy Fergus
37,Travis Carpenter
51,Andrew (AJ) Nelson
55,Pawel Janas
64,Neal Phelps
b,r,e,a,k
Beachfront Property,9
teamInfo,,"Chicago, Illinois",www.bfpultimate.com,https://www.facebook.com/BFPultimate,https://twitter.com/bfpultimate
0,Alexander Benjamin
0,Kenneth Debacker
0,Michael Koho
0,MICHAEL CALDERBANK
0,Nick Myhre
0,Reno Brinn
0,Ricky Ramirez
0,Tyler Barrett
0,Johnny Saniat
0,Judah Newman
1,NICK PROZOROVSKY
5,JAMES TUNNEY
10,Jeff Zhao
12,Jeremy Burril
13,Karl Beck
25,Adam Wong
31,Daniel Miller
40,Anthony Davis
48,CHARLES HYDE
59,Joseph Cacciatore
63,Zubair Abdulla
71,Dylan Power
91,Eric Johnson
b,r,e,a,k
Four,7
teamInfo,,"Ann Arbor, Michigan",,,https://twitter.com/5minus1ulti
0,Alex Barber
0,Ben Sadis
0,BRIAN BROWN
0,Joshua Osinski
1,Andrew Sjogren
2,Justin Perticone
3,Elijah Scherz
7,Jonathan Lee
8,CHAD MILANDO
8,Daniel Brown
14,Alvin Wang
16,Dex Dremann
17,Brendan McCann
17,Max Bommarito
18,David Innis
21,Jake Blankemeier
25,Ryan Yergin
27,Jake Pruitt
35,Kevin Anthony
42,Nathan Champoux
69,Evan Parizot
88,Mark Whitton
99,Joshua Venegas
b,r,e,a,k
Baemaker,16
teamInfo,,"Chicago, Illinois",,,
0,Adam Klopfenstein
0,Alexander Yee
0,Conrad Nguyen
0,Ian Crane
0,Jackson Prepolec
0,Michael Wormley
0,Mike L'Hommedieu
0,Peter Becht
0,William Meyer
3,Brian Shea
4,William Horwitz
7,Brian Murphy
23,Christopher Leeson
23,Jonathan Burrell
23,SHANE O'FARRELL
33,Jason Ulman
62,Mitchell Morton
77,Robert Dreier
83,Ian Jipp
b,r,e,a,k
Brickyard,3
teamInfo,,"Indianapolis, Indiana",,https://www.facebook.com/BrickyardUltimate/,https://twitter.com/brickyardindy
0,Alex Henderson
0,Jesse Jenkins
0,Stephen Schott
0,Stephen Conner Henderson
1,Jarod Brock
2,Nickolas Hutton
3,Jonathon Wenger
3,Cameron Brock
7,Levi Jacobs
8,Kip Curtis
11,Colton Steiner
12,Colin Ringwood
16,Heath Kalaba
19,SPENCER LOSCAR
22,Kyle Cox
23,Zach Zebarth
28,Samuel Sohn
30,Walter Kasprzycki
40,Brian Ventura
44,Donovan Triplett
46,Austin Ambrose
52,Jacob Fella
85,John Jones
b,r,e,a,k
Kentucky Flying Circus,6
teamInfo,,"Louisville, Kentucky",kentuckyflyingcircus@gmail.com,https://www.facebook.com/kentuckyflyingcircus,https://twitter.com/KYFlyingCircus
0,Aaron Corley
0,Christopher Reynolds
0,Colin Grandon
0,Corey Hardesty
0,Jessy Geary
0,Jonathan Rosen
0,Philip Hills
0,Kegan Carroll
0,Trevor Gingrich
0,Xavier Payne
2,Kendrick Pennington
2,Alex Hamilton
6,Dan Cunningham
7,Evan Mack
7,Benjamin Petrey
8,R.D. Owens III
9,Russell Allen
11,Chris Gallagher
19,Stephen Hendrickson
20,Dave Richmond
24,Luke Byron
34,Eric Brinkman
51,Chris Ginet
52,Ian Mack
52,Kane Olson
60,Curtis Pederson
88,Caleb Combs
b,r,e,a,k
Haymaker,12
teamInfo,,"Chicago, Illinois",,https://www.facebook.com/HaymakerUltimate,https://twitter.com/Chihaymaker
coaches,James Wolf
0,Damen Erf
0,Ian Blanke
0,Jacob Ward
0,Jonathan Yeong
0,Max Trotter
0,Milan Rivas
0,Preston Bailey
0,Ryan Watson
0,Ryan Shea
0,Thomas Rush
0,Willem Longendyke
10,Eric Swan
11,Christopher Asta
12,Matt Finley
14,Anthony Paoli
15,Wes Geisenberger
17,Rob Greenberg
19,KEVIN KOPROWSKI
22,Brandon Deihl
24,Andrew Fischer
35,Steven Cummings
42,James Sykora
49,Cameron Menezes
54,Alex Stumphauzer
63,Jason  Vallee
82,William Hoover
84,CJ O'Brien
b,r,e,a,k
Mango Tree,13
teamInfo,,"Ann Arbor, Michigan",,,
69,Aaron Parsons
69,Adam Stautberg
69,Alexander Gaggino
69,Andrew Foldesi
69,Andy Yu
69,Robert (Bobby) Moyer
69,Christopher Jacobson
69,Ian Crowley
69,Jake Moyer
69,Jared Schwallie
69,Jesse Haji-Sheikh
69,Josh Becker
69,Nicholas Gerber
69,Nicholas Simopoulos
69,Nicholas Colucci
69,Noah Lybik
69,Owen Funk
69,Parker Howard
69,Raymond Lu
69,Ryan Schechtman
69,Ryan Donnelly
69,Sam Bethancourt
69,Samuel Vetromile
69,Steven Jacobson
69,Travis Compo
69,Wesley Chen
69,Wills  Weimer
b,r,e,a,k
Black Market,4
teamInfo,,"Lombard, Illinois",https://www.BlackMarketUltimate.com,https://www.facebook.com/BlackMarketUltimate,https://twitter.com/blackmarketulti
01,Daniel Vockeroth
02,Joe Sidrys
03,Michael Armstrong
04,Zachary Schwulst
05,Zach Kieffer
06,Kevin Cleary
09,Nathan Kinsinger
12,Ben Sabourin
16,Kevin DeAngelis
20,Reid Martin
22,Brian Rathunde
23,Ryan Smith
30,Nathan Wells
31,Nicholas Golini
35,Conner Haenszel
40,Canaan Murray
42,Jeff Robinson
45,Chris Santiago
59,Brett Ploussard
66,Jacob  Cuthbert
70,Josh Deeman
76,Girolamo S Kelly
79,Aiden Frank
80,Peter Bennett
85,Matthew Lemaitre
99,Evan Power
b,r,e,a,k
South Shore Line,11
teamInfo,,"Chicago, Illinois",,,
0,Collin Klenke
0,Liam Scobey-Polacheck
0,Max Shepherd
0,Oliver Hirn
5,Eric Bens
5,Benjamin Israel
6,Colin MacGregor
7,Kevin Yngve
7,Luke Brennan
10,Kyle Rutledge
13,Jeremy Piech
18,TIMOTHY HOSTY
20,Jay Valdillez
23,Alexander Rummelhart
25,Jonathan Piech
35,Benjamin Seasly
41,Christian Rozolis
51,MATTHEW FARRELL
64,John Szigety
72,Joseph Norby
73,PATRICK HANSEN
74,JONATHAN CERNANEC
85,DAN BOLIVAR
90,Kyle Condron
98,Jason Wassel
b,r,e,a,k
Schweingeist,5
teamInfo,,"Cincinnati, Ohio",,,
0,Daniel Latz
0,Daniel Brissette
0,Grant  Dinan
0,Gregory Dinan
0,Jordan Monnin
0,Landon Sagle
0,Noah Krumme
0,Terence Southard
0,Timothy Hale
2,Nicholas Betsch
2,Alex Flamm
3,Elliot Skindzier
3,Nate Berman
3,Justin Latz
6,Ryan Adams
15,Luke Byerly
18,Kevin Parker
22,Jacob Chialastri
26,Nick Bosse
30,Zachary Ford
41,Adam Turner
43,Stephen Kenny
49,Tanner Segbers
57,Max Richards
69,Connor Messmore
76,Jordan Kinde
b,r,e,a,k
Chimney,14
teamInfo,,"Cleveland, Ohio",,,
0,Adam Cox
0,Alexander Jarufe
0,Andrew Thompson
0,Brennan Kirkpatrick
0,Cory Green
0,CORY HYLTON
0,Jordan Liff
0,Joseph Rains
0,Mark Fertal
0,MATT PETERSON
0,Dmitriy Estrin
0,Michael Kasper
0,Nick Longo
0,Salil Gupta
0,Steven Tokar
0,Wei Yang
3,Gabriel Gerry
7,Morgan Barnes
8,Jason Rains
16,Matthew Furnas
19,Clark Wang
24,Pete Digre
25,Cory Kistow
34,Daniel Lynch
49,Quinn Foley
55,Reilly Dalleska
69,George Mallinos
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
HIGH FIVE,Enigma,13,8,"09/23/2017, 09:00",Pool A,Final
CLE Smokestack,Black Lung,13,6,"09/23/2017, 09:00",Pool A,Final
HIGH FIVE,Black Lung,13,6,"09/23/2017, 12:30",Pool A,Final
CLE Smokestack,Enigma,13,10,"09/23/2017, 12:30",Pool A,Final
HIGH FIVE,CLE Smokestack,13,10,"09/23/2017, 14:15",Pool A,Final
Enigma,Black Lung,11,12,"09/23/2017, 14:15",Pool A,Final
pool,Pool B
Chicago Machine,Beachfront Property,13,4,"09/23/2017, 09:00",Pool B,Final
Four,Baemaker,13,7,"09/23/2017, 09:00",Pool B,Final
Chicago Machine,Baemaker,13,1,"09/23/2017, 10:45",Pool B,Final
Four,Beachfront Property,9,13,"09/23/2017, 10:45",Pool B,Final
Chicago Machine,Four,13,6,"09/23/2017, 14:15",Pool B,Final
Beachfront Property,Baemaker,13,3,"09/23/2017, 14:15",Pool B,Final
pool,Pool C
Brickyard,Haymaker,13,7,"09/23/2017, 09:00",Pool C,Final
Kentucky Flying Circus,Mango Tree,13,8,"09/23/2017, 09:00",Pool C,Final
Brickyard,Mango Tree,13,3,"09/23/2017, 12:30",Pool C,Final
Kentucky Flying Circus,Haymaker,13,6,"09/23/2017, 12:30",Pool C,Final
Brickyard,Kentucky Flying Circus,13,4,"09/23/2017, 14:15",Pool C,Final
Haymaker,Mango Tree,12,7,"09/23/2017, 14:15",Pool C,Final
pool,Pool D
Black Market,South Shore Line,13,6,"09/23/2017, 09:00",Pool D,Final
Schweingeist,Chimney,14,13,"09/23/2017, 09:00",Pool D,Final
Black Market,Chimney,13,3,"09/23/2017, 10:45",Pool D,Final
Schweingeist,South Shore Line,12,13,"09/23/2017, 10:45",Pool D,Final
Black Market,Schweingeist,12,9,"09/23/2017, 14:15",Pool D,Final
South Shore Line,Chimney,13,6,"09/23/2017, 14:15",Pool D,Final
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place Bracket
HIGH FIVE,Chicago Machine,11,15,"09/24/2017, 13:00",1st Place Finals,Final
HIGH FIVE,Black Market,15,8,"09/23/2017, 16:00",1st Place Semis,Final
Brickyard,Chicago Machine,6,15,"09/23/2017, 16:00",1st Place Semis,Final
bracket,2nd Place Bracket
HIGH FIVE,Brickyard,15,8,"09/24/2017, 15:00",2nd Place Finals,Final
Black Market,Brickyard,10,12,"09/24/2017, 13:00",2nd Place Semis,Final
Black Market,Beachfront Property,15,9,"09/24/2017, 11:00",2nd Place Quarters,Final
CLE Smokestack,Brickyard,13,15,"09/24/2017, 11:00",2nd Place Quarters,Final
Kentucky Flying Circus,Beachfront Property,12,13,"09/24/2017, 09:00",2nd Place Prequarters,Final
CLE Smokestack,Haymaker,14,10,"09/24/2017, 09:00",2nd Place Prequarters,Final
Kentucky Flying Circus,Schweingeist,15,8,"09/23/2017, 16:00",2nd Place Play In,Final
Black Lung,Beachfront Property,6,15,"09/23/2017, 16:00",2nd Place Play In,Final
CLE Smokestack,Four,15,7,"09/23/2017, 16:00",2nd Place Play In,Final
Haymaker,South Shore Line,14,12,"09/23/2017, 16:00",2nd Place Play In,Final
bracket,7th Place
Kentucky Flying Circus,Haymaker,8,11,"09/24/2017, 11:00",7th Place,Final
bracket,9th Place Bracket
Black Lung,South Shore Line,4,11,"09/24/2017, 11:00",9th Place Finals,Final
Schweingeist,Black Lung,10,15,"09/24/2017, 09:00",9th Place Semis,Final
Four,South Shore Line,12,15,"09/24/2017, 09:00",9th Place Semis,Final
bracket,11th Place
