Hootie on the Hill 2017,Club - Men ,12,8,2017
Fayetteville,AR,2017-08-12,2017-08-13
https://play.usaultimate.org/events/Hootie-on-the-Hill-2017/schedule/Men/Club-Men/
Scythe,1
0,Chuck  Dudek
0,Colin Iglehart
0,Isaac Knutson
0,NATHAN CLARK
0,Samuel Sobczyk
2,Tyler Roberts
3,Sean Rock
7,Michael Swanger
7,Jack Sarles
12,Matt Reinhart
17,Nich Rush
19,Stewart Buckley
20,Mitch Parker
21,Christopher Baines
24,Thomas Sitorius
28,Joseph Blecha
28,Andrew Curry
32,David Kasper
34,Dominic Antonelli
34,Michael Mimlitz
44,Timothy Hoarty
60,Gavin Helligso
81,Alex Boryca
87,Chris Bivens
99,Grant Dunbar
b,r,e,a,k
Dreadnought,6
0,Caleb Tomlinson
0,Casey Hooper
0,Charlie Luu
0,GERALD ETHEREDGE
0,KYLE DYER
0,Patrick Randall
0,Slaton Guy
0,Travis Duwe
1,Luke Dockery
2,Thomas Dockery
3,JONATHAN PERRY
5,Lorenzo Bohl
7,Jonah Rapert
11,Trent Woessner
14,Bradley Stalder
14,Ethan Penner
15,Jacob Moore
19,Ethan Bolthouse
20,Aric Powers
28,Taren Goins
29,Tucker Bankston
32,Drew Taylor
57,Jared Hines
67,Spencer Patterson
69,Andrew Watson
b,r,e,a,k
Dallas United: Desperados,3
0,ANDREW BOYD
0,Blake Duncan
0,Brandon Harvill
0,CALEB GRACE
0,Joseph Lee Bruno
0,Mark Campbell
0,Michael McCullough
0,Wesley Miaw
1,Joseph Cubitt
3,Tyler Criss
5,Joseph Feeney
6,Preston Howell
11,Julius Hubby
11,Grayson Gummelt
12,Noah Chambers
13,Christopher Fogel
19,Victor Mao
20,Henry Furuta
20,Javier Oliver
21,Connor DeLuna
23,Marty Dekker
27,Daniel Richards
32,Joseph Welkener
33,Michael Wilson
99,Tanner Roberts
b,r,e,a,k
Dallas United: Neato Banditos,9
0,Brian Albracht
0,Bryant  Lowry
0,Carlton Kelley
0,Alexander Bacon
0,Daniel Pappas
0,David Lowell
0,Gabriel Valdes
0,Garrett Fish
0,Dillon Cox
0,James Paterson
0,Namoo Han
0,Tim Thimmaiah  Baleyada Ashok 
0,Tyler Shulman
5,Evan Garner
5,Christian Cortes
6,Donovan Bankett
9,Benjamin Meaders
15,Corey Gendron
15,Mark Hill
17,Matt Klespis
23,Julian Reyna
29,Charles McNeil
55,Frederick Christen
77,Ian Ambrose
87,Josh Venter
b,r,e,a,k
Rawhide,8
0,Benjamin Howard
0,David Sanford
0,Gabriel Sanchez
0,John Woldum
0,Justin Edwards
0,Li Ya Cheng
0,Logan Gilstrap
0,Tyler Helt
6,Merl Prichard
14,Robert Housh
19,Detrick Bombarger
33,Marcus Smith
37,Joe Moran
96,Austin Gould
b,r,e,a,k
Memphis Belle,2
0,Chris Walls
0,Matt Bledsoe
7,Bradley Kennedy
8,Riley Pope
9,Josh Moore
03,Justin Hill
05,Jesse Dahms
07,Andy Ballard
10,Shannon Allen
11,Jon Thomas Williams
13,Stephen Tankersley
14,Philip Throckmorton
16,Edward Ramsey
17,Connor Bailey
18,Adam Kiser
19,Jacob Loschinskey
21,John Laubscher
23,Samuel Peter
26,CHRISTOPHER MOYER
27,Garrett Wilson
28,Thomas Duke
33,Brantley Davidson
35,Ryan Moran
36,Joseph Branson
77,Jeff Williams
96,Daniel Gallagher
b,r,e,a,k
Supercell,4
0,Collin Dabbieri
0,Greg Olson
0,Joseph Dal Santo
0,Nathaniel Loyd
0,Tam Nguyen
0,Wesley Zhang
0,Zachary Johnson
1,Garrett Taylor
1,Cullen Landry
2,Jonathan Summers
7,Logan Allen
10,Parker Dooly
13,Joseph Fortunato
13,DANIEL SCHMIDT
16,Alex Mudd
16,Andrew Seldenrust
22,Zane Whobrey
27,Sam Baskin
31,Christopher Leonard
43,Nolan Randolph
61,Stephen Wilson
72,Steven Wild
b,r,e,a,k
SmokeStack,5
0,Beau Atkinson
0,Daniel Tixier
0,Darien Parr
0,Erick  Neilson
0,Jacob Rickwa
0,Charles Rotter
0,Jonathon Morris
0,Joshua Morris
0,Karl Kraemer
0,Matt Bandes
0,Michael Montesano
1,Stephen Karst
7,Josh Manning
8,Nathan Bray
11,Trent Kuhl
12,Noah Gould
12,Brendan Carriel
12,Matt Primovic
13,Alexander Staelens
19,Branden Schneider
25,Anthony Chartier
42,Dana Jensen
74,Jakob Yedo
77,James Berry
78,Mitchell Zimmmermann
b,r,e,a,k
Dallas United: Outlaws,7
0,ADAM BARTON
0,Andrew Dorf
0,Benjamin Dipprey
0,BRANDON HASWELL
0,BRIAN TU
0,Chris Armstrong
0,Darius Nicholson
0,Eian Brent
0,Tyler Smith
0,Justin England
0,Micah Rehfuss
0,Neel Reddy
0,Nidhish Lokesh
0,Mark Baldauf
0,Stewart Williamson
1,Josh Cunningham
5,Leith McMillan
11,Matthew Sutton
12,David Knight
13,Blake Herring
29,Kirtan Patel
29,Steven Gomez
30,Luke Rehfuss
45,Daniel Tipton
77,Ryan Santos
b,r,e,a,k
The Bucket Brigade,10
0,Ben Pettigrew
0,Craig Robinson
0,Daniel Brewster
0,Garrett Garner
0,Ian Kyle Antonio
0,Jeremy DeLon
0,Jordan Craig
5,Sheldon Shinn
5,Grant Tuggle
8,Jesse Moore
8,Nate Hall
18,Hayden Dwyer
24,Cameron Winston
96,Dylan Joslin
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Scythe,Dallas United: Neato Banditos,13,6,"08/12/2017, 08:00",Pool A,Final
Dreadnought,Rawhide,13,5,"08/12/2017, 08:00",Pool A,Final
Scythe,Dreadnought,12,11,"08/12/2017, 09:45",Pool A,Final
Dallas United: Desperados,Rawhide,13,6,"08/12/2017, 09:45",Pool A,Final
Rawhide,Dallas United: Neato Banditos,10,13,"08/12/2017, 11:30",Pool A,Final
Dallas United: Desperados,Dreadnought,11,12,"08/12/2017, 11:30",Pool A,Final
Scythe,Rawhide,13,4,"08/12/2017, 13:15",Pool A,Final
Dallas United: Desperados,Dallas United: Neato Banditos,13,5,"08/12/2017, 13:15",Pool A,Final
Scythe,Dallas United: Desperados,13,10,"08/12/2017, 15:00",Pool A,Final
Dreadnought,Dallas United: Neato Banditos,13,5,"08/12/2017, 15:00",Pool A,Final
pool,Pool B
Memphis Belle,The Bucket Brigade,13,3,"08/12/2017, 08:00",Pool B,Final
SmokeStack,Dallas United: Outlaws,13,10,"08/12/2017, 08:00",Pool B,Final
Memphis Belle,SmokeStack,11,10,"08/12/2017, 09:45",Pool B,Final
Supercell,Dallas United: Outlaws,12,11,"08/12/2017, 09:45",Pool B,Final
Dallas United: Outlaws,The Bucket Brigade,13,4,"08/12/2017, 11:30",Pool B,Final
Supercell,SmokeStack,13,9,"08/12/2017, 11:30",Pool B,Final
Memphis Belle,Dallas United: Outlaws,13,6,"08/12/2017, 13:15",Pool B,Final
Supercell,The Bucket Brigade,13,6,"08/12/2017, 13:15",Pool B,Final
Memphis Belle,Supercell,13,10,"08/12/2017, 15:00",Pool B,Final
SmokeStack,The Bucket Brigade,13,4,"08/12/2017, 15:00",Pool B,Final
b,r,e,a,k
brackets,Bracket Play
bracket,Championship
Supercell,Dallas United: Desperados,0,0,"08/13/2017, 08:30",1st Quarterfinals,Scheduled
Dreadnought,SmokeStack,0,0,"08/13/2017, 08:30",1st Quarterfinals,Scheduled
bracket,3rd
bracket,5th
Dallas United: Neato Banditos,The Bucket Brigade,0,0,"08/13/2017, 08:30",5th Quarterfinals,Scheduled
Dallas United: Outlaws,Rawhide,0,0,"08/13/2017, 08:30",5th Quarterfinals,Scheduled
bracket,7th
bracket,9th
b,r,e,a,k
