Huckfest 2017,Club - Mixed ,8,7,2017
https://play.usaultimate.org/events/Huckfest-2017/schedule/Mixed/Club-Mixed
Murmur,2
0,Stephen Rockwell
0,Zachary Hart
1,Gabriel Wittosch
2,Lauren Baggett
3,Philip Smith
7,Elizabeth Austin
8,Alexandra Fairley
9,Jason Jones
10,Javid Aceil
11,Mary Rockwell
13,Robert Farrington
15,Jay Norton
16,Taylor Capers
17,Katherine Jennings
18,KT Truszczynski
19,Oreon Jackson
21,Ben Ayres
22,Suzannah Hope Blackshear
26,Courtnie VIckery
33,Edward Stephens
45,Thomas Nuckols
66,Sean Diller
78,Gayeon Ko
b,r,e,a,k
Method,1
0,Jason Cunningham
01,Jake Brouwer
02,Kelsey Moser
03,Anthony Lowther
04,Jordan Matthews
05,Rose Missildine
06,Alice Radcliffe
07,Riley Mog
08,Danny Yates
09,Hannah Yates
10,Elliott Terrell
11,Stephen Brandon
13,Andy Sieja
14,Maggie Smallwood
16,Leah Gauldin
18,Allyson Smith
19,Mark Daigle
21,Wesley Seat
22,Jonathan Lee
25,"Michael Guiles, Jr"
27,Michael Robie
32,Lauren Bryant
35,Clark Missildine
51,Collin Orcutt
72,Liz Craig
77,Abigail Waldron
98,Amy Guiles
b,r,e,a,k
Memphis Hustle & Flow,3
0,Katy Fuqua
0,Michael Parker
0,Nicholas Brackley
1,Aubrey Nelson
5,Lars Nelson
7,David Anderson
02,Amanda Baker
04,Joseph Walter
08,Marshall Hatcher
09,Ariana Glantz
10,John-Michael Leppert
11,JULIAN MALONE
12,Kevin Stechler
13,Richey Ward
14,Ryan Manus
16,ANDREW WILLIAMS
17,Kathryn Roys
18,Grace Robinson
19,Maggie Paoli
24,McKenzie Drake
30,MARK  FOLLIS
30,Erica Stoltz
32,Rachel Shaw
33,Kathleen Quinlen
44,Robert Stroup
53,Brian Koch
93,Abigail Tankersley
b,r,e,a,k
Magic City Mayhem,4
0,Caroline Steele
0,Christine Shores
0,Cody Wood
0,AMANDA MCPHAIL
0,Brandon Morgado
0,Joseph McNutt
0,Kinsey Waylander
0,Laura Rodgers
0,Nathan Wall
0,Taylor Higgins
2,Jacob Adams
5,Nathan Boswell
7,JAKE MILLS
8,Kevin Shrestha
11,John Habshey
16,Olivia Brooks
17,Abigail Missildine
19,Matthew Ashburn
31,Brian Humphrey
33,Michael Davis
b,r,e,a,k
rubber duck ultimate.,8
0,ALLEGRA HANSON
0,Kelsey Maynard
0,Lizzie Cagle
0,Samuel Franklin
0,William Axtell
1,Elise Franke
3,Curtis Asher
4,Brian Trussell
6,William Sharp
11,Drew Hutchison
21,Mary Gentry
23,Matthew Gentry
24,HAJNAL SALANKI
b,r,e,a,k
OutKast,9
0,Christy Fletcher
0,David Lindsey
0,Hailey Phillips
0,Carly  McMullen
0,Kyle Van Klompenburg
0,NEEL KOTRA
3,Katherine Voss
6,Marvin Barge
6,Aubrey Roberts
13,Tucker Warner
15,Jackie Podoll
20,SEAN WHEALTON
22,John Aguilar
25,Paige Payne
28,Joseph Fisher
33,Rede Hankinson
42,Christopher Molnar
45,James Knicely
88,JACOB NOLAN
b,r,e,a,k
Hairy Otter,5
00,DANIEL HOOPER
02,Kylie Korsnack
04,Camden McNeely
06,Stanislav Christiansen
07,Carla-Jane Pax
09,Frank DuBose
13,Yuqi Bian
17,Daniel Caplan
18,Cayla Ontko
19,Alexandra Hoover
23,Patrick Ryan McVay
25,Richard Salmon
29,Robin Sasseville
32,Nicolette Frazer
49,Reuben Griggs
69,Chris Burlet
85,JASON THREM
89,Scott Taube
99,Nathan Piechal
b,r,e,a,k
Baywatch,12
0,Amelia Leenig
0,Annie Theby
0,Cameron Beal
0,Gabriel Curran
0,Noah Schill
0,Wendy Chan
1,Rachael Freedman
1,Hannah Schroeder
2,Chris Gilmore
7,Reid Turner
8,Nathaniel Moore
9,Justin Miller
12,John Tortorici
15,Ryan Longley
23,Tristan Wu
25,JAKE EHRLICH
27,Michael Heym
59,Jon Smidt
89,Caron Shimel
b,r,e,a,k
Mississippi Blues,7
00,Amit Tzivion
00,Angel Mobley
00,Carson Turner
00,Grant Weesner
00,Jason Teng
00,Jordan McInnis
00,Molly Morrow
00,OMAR YASSIN
00,Reed Schaub
00,robert crowder
00,Taylor Hood
08,HUNTER MARTIN
b,r,e,a,k
Mixed Results,11
0,Amanda Haglund
0,Caroline Hill
0,Elise Thress
0,Elizabeth Smith
0,Holly Vander Stel
0,JOSHUA BROUGHTON
0,KAYLA BROWN
0,Kelly Hill
0,Kevin Stanhope
0,Nicholas Stewart
0,Randall Waymire
0,Sean James
0,ZACH CARTER
2,Jessica Leach 
5,John Markham
11,Caleb Hasch
14,Jenny Newby
20,Laura Nitschke
20,Chris Hill
31,Josh Mayor
33,Matthias Arras
47,Jacob Thress
90,Brett Coleman
b,r,e,a,k
Turmoil,6
2,Caroline Barrett
01,Ashton Keen
01,Seth Faris
03,Ashley Prather
05,Leon Shum
10,Paul Bickford
17,Stephen Robertson
21,Justin Gallagher
24,Zachary Baer
28,Trey  Leonard
b,r,e,a,k
Pocket City Approach,10
0,Alexis Will
0,Amber Lindauer
0,Anna Steurer
0,Brynne Doherty
0,Jenna Bowman
0,Jesse Wyatt
1,Ellen Cech
3,Ryan Fehrenbacher
03,Richard Fosler
17,Aaron  Costlow
20,Luc Prevost
22,Wesley Haub
32,Cody Flamion
73,Noah Rickelman
b,r,e,a,k
s,t,a,g,e,s
pools,Mixed Saturday
pool,Power Pool
Method,Memphis Hustle & Flow,12,6,"07/08/2017, 09:00",Power Pool
Murmur,Magic City Mayhem,17,4,"07/08/2017, 09:00",Power Pool
Method,Magic City Mayhem,17,8,"07/08/2017, 11:00",Power Pool
Murmur,Memphis Hustle & Flow,16,11,"07/08/2017, 11:00",Power Pool
Method,Murmur,11,13,"07/08/2017, 13:00",Power Pool
Memphis Hustle & Flow,Magic City Mayhem,16,7,"07/08/2017, 13:00",Power Pool
pool,Pool A
Hairy Otter,OutKast,13,10,"07/08/2017, 10:15",Pool A
rubber duck ultimate.,Baywatch,13,9,"07/08/2017, 10:15",Pool A
Hairy Otter,Baywatch,10,11,"07/08/2017, 12:00",Pool A
rubber duck ultimate.,OutKast,13,6,"07/08/2017, 12:00",Pool A
Hairy Otter,rubber duck ultimate.,10,12,"07/08/2017, 13:45",Pool A
OutKast,Baywatch,12,6,"07/08/2017, 13:45",Pool A
pool,Pool B
Turmoil,Pocket City Approach,13,12,"07/08/2017, 10:15",Pool B
