Southeast D-III College Men's Regionals,College - Men ,6,5,2017
https://play.usaultimate.org/events/Southeast-D-III-College-Mens-Regionals-2017/schedule/Men/CollegeMen/
Alabama-Huntsville,1
0,Adam Pierce
0,Andrew Collins
0,Andrew Tharp
0,Chandler Belt
0,Cody Eberly
0,Brent Anders
0,Dominic Frazier
0,Isaac Schlagel
0,James Block
0,Nick Werline
0,Patrick Mullin
0,Paul Hudson
0,Tannon Hedges
0,William Bianca
6,Brett Hulsmeyer
6,Craig Block
8,Danny Yates
11,Elijah Jaime
13,Owen Eason
14,Daniel Sorrells
17,Nicholas Peterson
21,Wesley Seat
21,Austin Rodarte
22,Jonathan Lee
37,Brandon Jackson
42,Philip Eason
77,John Boyer III
b,r,e,a,k
Union (Tennessee),6
0,Desmon Stubblefield
0,avery Parks
0,Avery Teague
0,JACOB BARTON
0,Marterrace  Brock
0,Nathan Van Neste
0,Reilly O'Donnell
0,Stephen Lewoczko
0,Trevor Fox
1,Quinn Beasley
5,Jesse Dahms
6,Levi Shaw
9,Josh Bowden
13,Stephen Neu
16,Daniel  Yurov
23,Gabe Hilliard
25,Andrew Hicks
26,Joseph  Leech 
27,Garrett Wilson
40,Ivan Isaacs
54,Tanner Cherry
77,Jeff Williams
99,Lance Dell
b,r,e,a,k
Georgia College,2
0,Adam Vu
0,Alexander Mejia-Bazinet
0,Douglas Keim
0,Gates Ledbetter
0,Graham Hill
0,Jacques Perivier
0,Josh Anderson
0,Nick Wiedemann
0,Ryan Agnew
0,Terrence Phillip
4,Daniel Han
5,Kade Ottaway
6,Dakota Wellmaker
7,Nathan Vickroy
10,SCOTT DILLER
17,Parker Robertson
24,Justin Poole
25,Jake Barrineau
26,Parker Rhinehart
31,Alex Stewart
32,Hal Robinson
72,Rylan Gordon
99,Matthew Jenkins
b,r,e,a,k
North Georgia,4
01,Kyle Johnson
02,Konner Mullins
03,Jacob  Hutson 
04,Michael Hubbell
05,Cameron Nicholes
06,Alex Mathis
07,Fernando Ortiz
11,Rusty Watson
12,Thomas Norris
13,Isaac Beckman
15,Nolan Alspach
16,Phillip Correa
17,Ryan James
22,Joshua Wright
24,Jonathan  Pabon
28,Aaron Bass
33,Andrew Redman
33,Chris Warren
42,Andrew Fricks
48,Nicolas Rhoades
54,Ronny Link
77,Alex Edinger
b,r,e,a,k
Samford,5
0,Sky Sikkink
0,Carter Jackson
0,Christian  Rodriguez
0,Cody Fuller
0,Jacob Hales
0,Jonathan Taylor
0,Paul Lamb
0,Ryan Cliff
0,Dallas Knight
0,Daniel Maynard
2,Colton Bassett
3,Walker Frederick
7,Greg Buszka
13,Carter Rae
95,Trip Adams
b,r,e,a,k
Berry,3
0,Alex Killingsworth
0,Joel Levinson 
0,Joey Ellwanger
0,John Lawson
0,Mac Stovall 
2,Conlan  Delorenzo
3,David Allen
3,Henry Arato
4,Maximilian Bolin
5,Weaver Ellard
10,Thomas McBride IV
12,Adekale Ande
13,Joseph Martell
18,Benji Britt
28,Bruno Rosa
50,Miles Lally
b,r,e,a,k
Embry-Riddle (Florida),7
2,Cory Garcia
4,Jorge Forgues
5,Shane Leyden
7,Donald Ventrice
18,Zaccheus Hutchings
21,Jacob Waltz
22,Joshua Weinstein
23,Marcus Maiten
25,Kunle Ajao
29,Gavan Rice
42,Ethan Shuttera
48,Thomas Ahearn
49,James Grayson
50,John Staiger IV
66,Austin Ogle
69,Benjamin Melendez 
72,charles delone
98,Charles Westbrook
99,Jordan Lee
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Samford,Union (Tennessee),7,12,"05/06/2017, 09:00",Pool A
Berry,North Georgia,7,12,"05/06/2017, 09:00",Pool A
Georgia College,Embry-Riddle (Florida),13,6,"05/06/2017, 09:00",Pool A
Alabama-Huntsville,North Georgia,9,8,"05/06/2017, 10:50",Pool A
Georgia College,Union (Tennessee),10,13,"05/06/2017, 10:50",Pool A
Berry,Embry-Riddle (Florida),12,3,"05/06/2017, 10:50",Pool A
Alabama-Huntsville,Georgia College,13,7,"05/06/2017, 12:40",Pool A
Samford,Embry-Riddle (Florida),11,7,"05/06/2017, 12:40",Pool A
Berry,Union (Tennessee),7,13,"05/06/2017, 12:40",Pool A
Alabama-Huntsville,Samford,13,7,"05/06/2017, 14:30",Pool A
North Georgia,Union (Tennessee),3,13,"05/06/2017, 14:30",Pool A
Georgia College,Berry,13,8,"05/06/2017, 16:20",Pool A
North Georgia,Samford,9,10,"05/06/2017, 16:20",Pool A
Alabama-Huntsville,Embry-Riddle (Florida),13,1,"05/06/2017, 16:20",Pool A
Union (Tennessee),Embry-Riddle (Florida),13,4,"05/07/2017, 08:00",Pool A
Georgia College,Samford,13,5,"05/07/2017, 09:50",Pool A
North Georgia,Embry-Riddle (Florida),13,1,"05/07/2017, 09:50",Pool A
Alabama-Huntsville,Berry,13,8,"05/07/2017, 09:50",Pool A
Alabama-Huntsville,Union (Tennessee),13,9,"05/07/2017, 11:40",Pool A
Georgia College,North Georgia,13,10,"05/07/2017, 11:40",Pool A
Berry,Samford,13,11,"05/07/2017, 11:40",Pool A
b,r,e,a,k
brackets,Bracket Play if no team is 6-0
bracket,1st Place Bracket
Alabama-Huntsville,North Georgia,0,0,"05/07/2017, 13:30",Round Name
Union (Tennessee),Georgia College,0,0,"05/07/2017, 13:30",Round Name
b,r,e,a,k
