Southwest D-I College Men's Regionals,College - Men ,29,4,2017
https://play.usaultimate.org/events/Southwest-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/
Stanford,1
1,Allan Ndovu
2,Jack Kimmel
3,Sam Kunz
5,Zane Kashner
8,Grant Lin
10,Elliott Chartock
11,Drew Mathieson
13,JOHN KADAVY
14,Lyndon Whittaker
16,Sergio Licon
17,NOLAN WALSH
20,Ethan Shen
21,Phillip Cathers
22,David Mondry
23,Gabriel Hernandez
24,Kevin Tien
25,Ri Chen
28,Michael Becich
33,Nicholas Hirning
46,Cyrus Ready-Campbell
47,Abdramane Diabate
49,Maxwell Perham
74,Alvin Kim
88,Maxwell Melin
b,r,e,a,k
California-Davis,10
0,Bryan LoCoco
0,Callum Watts
0,Casey Shugarman
0,Devin Hom
0,Dylan Owens
0,Dylan Pyle
0,Evan  Martin
0,Jacob Deppmeier
0,Jarren Suzuki
0,Kevin Klein
0,Nicholas Helms
0,Spencer Sawyer
0,Trent Viau
0,Tycho Yacub
5,Julius Vo
11,Ryan Gallagher
14,Fredric Murolo
15,Nick Tolfa
25,Nathan Maddox
b,r,e,a,k
Santa Clara,8
0,CONNOR RILEY
0,Henry Brown
0,Ian Watts
0,Jacob Bennett
0,Jeffrey Stein
0,Liam Scobey-Polacheck
0,Sean Leeper
0,Stephen Aubuchon
0,Taylor Darby
3,Sean Backes
12,Michael Fodor
13,James Kipper
23,Ryan Messersmith
24,Nicholas Farren
29,Travis Vickers
b,r,e,a,k
Humboldt State,15
0,Carson Ralls
0,Chris Townsend
0,Daniel Devia
0,Grant Olin
0,Jakob Hieter
0,Max Killen
0,Maxfield Wrigley
0,Sam Aguilar
0,Samuel Spinosa 
0,Zachary Zorndorf
3,Brady Ruppenthal
5,Derek Tomlinson
8,Taylor Charron
10,Kyle Shapiro
11,Daniel Hernandez
12,Jordan Johnson
13,Jay Rackelmann
14,Nat Israel
19,Robert Reyes
21,Christopher Moreno
37,Josh Israel
47,Connor McNeil
69,Brighton Hayashida
69,James Anderson
89,Donovan Davis
99,Michael Hoff
b,r,e,a,k
California-San Diego,7
0,Adam Stafford
0,Aidan Bound
0,Andrew Hua
0,Ben Kumler
0,Bernard Suwirjo
0,Jacob Gutkowski
0,James Kasic
0,Isaac Rehg
0,Kiran Potula
0,Migal Manickaraj
0,Ryan Amely-Shannon
0,Shawn Krystkowiak
0,Zac Goldberg
1,Jackie Wong
2,Bryce Lozinski
4,Scott Radlauer
13,Joe McMinn
14,John Geller
24,Eric Hytönen
25,Mazden Mastromauro
36,Stefan Samu
68,Victor Rodrigo
70,Sequoya Daniels
72,Gene He
92,Neehar Kondapaneni
97,Zachary Murez
99,Gavriel Gelbart
b,r,e,a,k
Southern California,2
0,Ethan Gahr
0,Ghenki Okumoto
0,Jordan Chock-Wong
0,Reece Matsumoto
0,Rowan McEvoy
1,James Toh
2,Sam Cook
3,Ricky Kirkpatrick
3,Edwin Chen
4,Wyatt Paul
10,Shawn Chang
11,Chris Holmes
13,Matt Burke
17,Alex Koh
19,Douglas Jones
23,Michael Wilson
26,Alexander Tovar
29,David Sealand
35,Jasper McEvoy
45,Michael Sylvester
55,Drew Okenfuss
88,Gideon Elson
94,Jacob Kulakofsky
b,r,e,a,k
Nevada-Reno,16
0,Benjamin Wagner
0,Gerald Roscom
0,Trevor Sollberger
1,Daniel Ortiz
2,John Whiting
3,Ryan Takayama
4,Wyatt Blake
4,Pete Marshall
8,Austin Lee
9,Thomas Fiock
14,Robert Eardley
15,Brent Moore
17,Eric  Nielsen
21,Josh Krieger
22,BRANDON PURDY
23,Gabriel Camacho
29,Dillon Carroll
30,Donne Lenard Lomugdang
35,Raymond Lopez
77,Daniel Eitzman 
94,Ryan Schoenfeld
96,Jakob Stoner
99,Davis Ruggles
b,r,e,a,k
California,9
1,Vitchyr Pong
3,Mason Chupka
4,Andrew Lin
6,Alexander Pan
7,JAMES FENG
8,Jesus Avila
9,Elliot Davis
10,Ben Chiu
14,Joshua Yuan
17,Ashwin Vaidyanathan
20,Greg Salazar
21,Derek Tang
22,Samuel Brocchini
25,Tommy Lin
26,Rajiv Sambharya
27,Liam Coyle
31,Justin Geffrey
32,Paul Han
42,Aaron Yuan
47,Rafael Castro
59,Liam Kreiss
77,Brian Kooperberg
81,Ben Bavonese
b,r,e,a,k
Cal Poly-SLO,3
0,Sunghoon Chung
02,Brennan Bryant
03,Simon Krauter
04,Daniel Hoffman
05,Aaron Shi
06,Gabe Ghirann
08,Dillon Whited
09,Nathan Pettyjohn
10,Jeremy Dolezal-Ng
11,Hudson Stuck
13,Theodore Watkins
14,Dean Otsuka
17,Joshua (Slater) Levey
18,Alec Bandler
19,Conor Schofield
20,Sean Liston
21,Caleb Merriam
24,Cameron Wariner
25,Camden Reynolds
28,Joseph Gagliano
33,Ian Sweeney
34,Aidan Mccoy
35,Justin Ting
42,Jonathan Chianglin
52,Andrew Stratford
53,Matthew Ferrari
82,Morgan Sommer
87,Matthew Ryan
95,Jake Biancur
b,r,e,a,k
Arizona,6
0,Brandon Alessini
0,Garrett Hable
0,Jake Hageman
0,Jaron Omololu
0,Kevin Dwork
0,Lorenzo Dova
0,Matthew Estremera
0,PRESTON KRAMER
0,Spencer Anderson
0,Trevor Smith
2,Zack Erlick
3,Logan Ashen
5,Martin Niemiec
12,Casey Tompa
13,Evan Baker
14,John Patinella
16,Ethan Bolze
17,Tripp Turchik
21,Mark Piazza
22,Jordan Lisse
23,Alexander Prescott
25,Chris Baker
28,Ben Taylor
32,Austin Vandenburgh
54,Jule Streety
b,r,e,a,k
San Diego State,12
2,Mitch Wellman
4,Brian Haley
5,Brady Dove
6,JJ Rogers
7,Eric Goulet
8,Michael Brogan
9,Brian Doyle
10,Liam Lau
11,Justen Hitchcock
13,Harrison Hayes
14,Dean Wedeking
15,Bailey Bingham
21,Michael Tran
23,Joseph Huppert
24,Robert Horewitz
26,Ryan Wilbanks
37,Daniel Koble
94,Josiah Reeve
b,r,e,a,k
San Jose State,13
0,Aaron Shuler
0,ANDREW FETZER
0,Brandon Purcell
0,Calvin Chang
0,Chase McCoy
0,Forrest Bacchi
0,Michael Ibarra
0,Wilvin Chew
4,Phillip Young
6,Rahbar Khan
9,NIKOLAS MIFSUD
10,Jonathan  Nozzari
13,Samuel Nowden
16,Garrick Ho
23,Karl Muster
25,eli arbreton
28,Aren Yeghissian-Kanneian
31,Ethan Falat
42,Alvin Feng
51,Spencer Wong
97,Davis Ambur
b,r,e,a,k
California-Santa Barbara,4
0,Mitchell Solkov
0,Nathan Steinert
1,Jeffrey Frye
2,Jack Hamner
3,William Pearce
8,Bailey Wu
9,Erik Bedrosian
11,Adonay Bahta
12,Alexandre Kupelian
13,Guillaume Bellegarda
14,William Turner
15,Alex Heinzen
19,Evan Bosinger
21,Aidan Hall
22,Duncan Brin
23,Stephen Smoots
25,Ian Ladner
26,Brendan Champlin
32,Kieran Bates
34,Arthur Pan
34,Sean Flaherty
39,Jordan Lund
42,Marcel Osborne
44,Trevor Arbab
94,Cooper Austin
99,Max de Visser
b,r,e,a,k
Chico State,14
0,Daniel Farmer
0,David Roderick
0,David Contreras
0,Devin Mitchell
0,Dominic La Frantz
0,Elliot Lopez
0,Eros  Escalona-White
0,Grant Barr
0,Gregory Williams
0,Ian Donald
0,jaime reynoso
0,Logan Martin
0,Luke McCallin
0,Matt Logoteta
0,Nicholas Jensen
0,Nicholas Dahms
0,Nick McConnell
0,Ruben Ruiz
0,SAMUEL BRANSKY
0,Zachary Giovannini
0,Andrew Matheson
0,John Olivas
7,Jesus Alfaro
11,Austin Barden
44,Joshua Katzki
b,r,e,a,k
UCLA,11
0,Alex Gu
0,Alexander Julian
0,BEN KRAHENBUHL
0,Dylan Neff
0,Jarett King
0,Kevin Zhang
0,Konrad Niemiec
0,Matthew Yee
0,Mochi Li
0,Noah Anderson
0,Paul Young
0,Paul Ramstad
0,Ruochen Wang
4,Michael Peng
7,Preston Carroll
9,Cooper Tanquary
10,Suraj Patel
12,George Faour
18,Geoffrey Iyer
19,Joseph Schatzlein
23,Evan Soskin
32,Eric Siegel
38,Conor McNamara
44,Bryson Levisay
50,Ram Goli
62,Thomas Mendoza
85,Siddhesh Naik
b,r,e,a,k
Arizona State,5
2,Maxfield Stackpole
01,Evan Iacono
03,Jonathan Bridges
06,Shawn Courson
07,Jacob Mumme
09,Colin Parker
10,Aaron Flegenheimer
11,Carter Szukala
11,Clifford Capria
17,Michael King
20,Raul Lizalde
21,Trevor Lattimore
23,Julian Prime
24,Samuel Sutton
24,Andrew Doe
30,CONNOR ROTH
32,Brandon Thomas
37,Bennett Christoffersen
39,Kevin Cranmer
69,Blaine Farber
87,Logan Martin
88,Andrew North
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Stanford,California-Davis,11,8,"04/29/2017, 08:30",Pool A
Santa Clara,Humboldt State,13,7,"04/29/2017, 08:30",Pool A
Stanford,Humboldt State,13,3,"04/29/2017, 11:50",Pool A
Santa Clara,California-Davis,9,10,"04/29/2017, 11:50",Pool A
Stanford,Santa Clara,13,6,"04/29/2017, 15:10",Pool A
California-Davis,Humboldt State,11,7,"04/29/2017, 15:10",Pool A
pool,Pool B
Southern California,California,13,9,"04/29/2017, 08:30",Pool B
California-San Diego,Nevada-Reno,13,5,"04/29/2017, 08:30",Pool B
Southern California,Nevada-Reno,13,7,"04/29/2017, 10:10",Pool B
California-San Diego,California,13,5,"04/29/2017, 10:10",Pool B
Southern California,California-San Diego,10,11,"04/29/2017, 13:30",Pool B
California,Nevada-Reno,10,12,"04/29/2017, 13:30",Pool B
pool,Pool C
Cal Poly-SLO,San Diego State,13,10,"04/29/2017, 08:30",Pool C
Arizona,San Jose State,12,9,"04/29/2017, 08:30",Pool C
Cal Poly-SLO,San Jose State,13,2,"04/29/2017, 10:10",Pool C
Arizona,San Diego State,12,9,"04/29/2017, 10:10",Pool C
Cal Poly-SLO,Arizona,13,2,"04/29/2017, 13:30",Pool C
San Diego State,San Jose State,13,8,"04/29/2017, 13:30",Pool C
pool,Pool D
California-Santa Barbara,UCLA,12,7,"04/29/2017, 10:10",Pool D
Arizona State,Chico State,7,12,"04/29/2017, 10:10",Pool D
California-Santa Barbara,Chico State,11,7,"04/29/2017, 13:30",Pool D
Arizona State,UCLA,6,13,"04/29/2017, 13:30",Pool D
California-Santa Barbara,Arizona State,13,2,"04/29/2017, 15:10",Pool D
UCLA,Chico State,9,11,"04/29/2017, 15:10",Pool D
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place Bracket
Stanford,Cal Poly-SLO,15,6,"04/30/2017, 13:00",1st Place Finals
Stanford,California-Santa Barbara,15,12,"04/29/2017, 16:50",1st Place Semis
Cal Poly-SLO,California-San Diego,15,10,"04/29/2017, 16:50",1st Place Semis
bracket,2nd Place Bracket
Cal Poly-SLO,Southern California,15,10,"04/30/2017, 15:00",2nd Place Finals
Southern California,California-San Diego,15,13,"04/30/2017, 13:00",2nd Place Semis
California-Santa Barbara,Southern California,11,13,"04/30/2017, 11:00",2nd Place Quarters
California-Davis,California-San Diego,12,15,"04/30/2017, 11:00",2nd Place Quarters
Arizona,Southern California,12,15,"04/30/2017, 09:00",2nd Place Prequarters
California-Davis,San Diego State,15,13,"04/30/2017, 09:00",2nd Place Prequarters
Arizona,UCLA,13,9,"04/29/2017, 16:50",2nd Place Play In
Santa Clara,Southern California,9,15,"04/29/2017, 16:50",2nd Place Play In
California-Davis,Nevada-Reno,15,13,"04/29/2017, 16:50",2nd Place Play In
San Diego State,Chico State,16,15,"04/29/2017, 16:50",2nd Place Play In
bracket,7th Place
Arizona,San Diego State,13,5,"04/30/2017, 11:00",7th Place
bracket,9th Place Bracket
Santa Clara,Chico State,0,0,"04/30/2017, 11:00",9th Place Finals
UCLA,Santa Clara,9,15,"04/30/2017, 09:00",9th Place Semis
Nevada-Reno,Chico State,13,15,"04/30/2017, 09:00",9th Place Semis
bracket,11th Place
UCLA,Nevada-Reno,0,0,"04/30/2017, 11:00",11th Place
bracket,13th Place Bracket
Arizona State,California,0,0,"04/30/2017, 11:00",13th Place Finals
Humboldt State,Arizona State,14,15,"04/30/2017, 09:00",13th Place Semis
San Jose State,California,6,15,"04/30/2017, 09:00",13th Place Semis
bracket,15th Place 
Humboldt State,San Jose State,15,8,"04/30/2017, 11:00",15th Place
b,r,e,a,k
