TCT Select Flight Invite 2017,Club - Mixed ,29,7,2017
Columbus,OH,2017-07-29,2017-07-30
https://play.usaultimate.org/events/TCT-Select-Flight-Invite-2017/schedule/Mixed/Club-Mixed
Wild Card,1
teamInfo,,"Boston, Massachusetts",http://www.wildcardultimate.com/,https://www.facebook.com/wildcardult,https://twitter.com/WildCardult
0,Luke Lanoue
2,Jodi Robert
3,Ian Engler
4,Daniel Moder
5,Andrew Pillsbury
7,Maxwell Rick
8,Connor Fortin
9,John Rahill
10,Annika Chan
11,Lloyd Olson
14,Hannah Crowley
16,Casey Terp
19,Lily Steponaitis
21,Eva Petzinger
22,Alina Li
24,Albert Lee
25,Judy Ledlee
30,Kyle Johnson
32,Megan Wilson
34,Gustav Haflin
37,Matthew Heath
42,Anthony Lamanna
44,Kara Hammer
73,Katharine Sullivan
88,Hailey Alm
b,r,e,a,k
Columbus Cocktails,13
teamInfo,,"Columbus, Ohio",,,@cbusmixed
0,Anthony Dario
0,Ben Sever
0,Benjamin Tannenwald
0,Claudia Moeller
0,Eliot Alexander
0,Felicia Bratti
0,Gordon (Gordy) Sjostrom
0,JOSEPH BAKER
0,Kelly Ross
0,Sarah San Pedro
0,Steven Moliterno
4,David Valentine-Elam
9,Ryan Kindell
9,Annelise Peters
10,ANDREJ ABABOVIC
11,Jackie Matonis
11,Sadie Jezierski
12,Sydney Olund
14,Emily Steedman
17,Benjamin Reith
20,Andrew Klarner
22,Mallory Griffith
22,Mary Turner
23,Kyle Murray
24,Michael Verma
25,Timothy San Pedro
b,r,e,a,k
Charlotte Storm,8
teamInfo,,"Charlotte, North Carolina",,https://www.facebook.com/CharlotteStormUltimate/,@cltxult
00,Sharon Crawford
02,Thomas Lineberger
06,Dylan Welchman
07,Jessica Grabowski
09,Miller Yoho
10,Eric Olson
11,James Parks
12,Philip Hadwiger
13,Jocelyn Keung
16,Madison Coughlin
18,Ismael Salgado
19,Alyssa Belsito
20,Savannah Hadwiger
21,Erik Messina
24,Ransome Martin
26,Kelly Rigsbee
27,Zan Derby-Wright
36,Olivia Dewey
37,Romit Patel
41,Sean Kelley
46,James Seagraves
60,Ereckson Hillis
77,Kerry Younts
80,Paul Grabowski
b,r,e,a,k
Chalice,12
teamInfo,,"St. Louis, Missouri",,,
0,Alyssa Renaud
0,Dustin Tierney
0,Eliza Hutchings
0,Gabriella Lavezzi
0,JEREMY COVEY
0,Julia Hill
0,Kate Halloran
0,Katharine (Katie) Lewis
0,Kellen Key
0,Kyle Hill
0,Lindsay Stith
0,Justin Van Sant
0,Naomi Goldstein
0,Neil Wessling
0,Patrick Austermann
0,Robert (Bobby) Castille
0,Theodore (Joe) MacDonald
4,Henry Sundermann
6,Emma Randolph
11,Justin Peabody
13,Maya DeHart
21,Nathaniel Mahieu
29,Stephen Hawkins
98,Julia Schroeder
b,r,e,a,k
Bucket,2
teamInfo,,"Atlanta, Georgia",,,https://www.twitter.com/ATLBucket
0,Brian Walsh
0,Karl Ekwurtzel
0,Matthew Hardman
0,Michelle Yang
00,Benjamin Spears
02,Cori Bradham
03,Aidan Rogers
04,RYAN ARCHIBALD
05,Emily Karoblis
06,Beret Amundson
08,Timothy Brady
09,Kenta Kawaguchi
10,Michael Venezia
12,Ryan Landry
20,Aileen Thomas
21,Michael Arenson
22,Taylor Hide
24,Jason Crowe
25,Robert Bradham
33,Caroline Taylor
44,Samantha Hill
55,Evelina Pierce
62,Steven Hicks
b,r,e,a,k
BW Ultimate,11
teamInfo,,"Sunnyvale, California",,https://www.facebook.com/BW.Ultimate,https://www.twitter.com/bw_ultimate
00,Benjamin Levinsky
00,Cooper Joy
01,Veronica Chan
03,Jake Tozer
05,Radhika Bhargav
06,Xia Liu
08,Michelle Slaughter
09,Melissa Slaughter
12,Jeff Roeder
13,Chris Farina
14,Hidemasa Kato
15,John Dugan
16,Max Herrmannsfeldt
17,Nicholas Raisch
18,Sayako Uchida
19,Amy Chang
23,Lauren Carden
24,Alireza Mirafzal
27,Sunny Saini
36,Pin-Wen Wang
41,Yvonne Cheng
43,Bettina Chen
85,Benjamin Petroski
b,r,e,a,k
UNION,7
teamInfo,,"Toronto, Ontario CA",http://union.playwithspirit.com/,https://www.facebook.com/pages/Union-Ultimate/190712307636599,@unionultimate
03,Dan  Benvenuti
04,STEVEN LEE
05,Ivan Pienaar
07,Jacqueline Man
10,Danielle Leung
11,Eric Blanchard
13,Cameron Dunning
15,Lindsay Earle
17,Heather Neary
19,Parker Bollmann
23,SKY POWELL
25,Jordan Atchison
28,JENNIFER LEROUX
31,Rebecca Babcock
34,Nathaniel Faries
40,Stephanie Malcher
42,KATE JARDINE
45,Emmalyne Azucena
64,Jeffrey McClelland
71,BRYAN YUE
72,KRISTA KOTWA
73,David Kaufman
89,Brendan Wood
b,r,e,a,k
American Hyperbole,14
teamInfo,,"Baltimore, Maryland",,,
03,Hallie Carter
04,Ryan Bates
05,Chase Turner
06,Michael Sharma
07,Joseph Ricks
08,Kelly Wallace
09,STEPHANIE DREYER
11,Dylan Leighton
12,Kara Schulden
13,Annalise Humm
16,Drew Shaffer
18,Matthew Radhe
21,Jeff Martin
22,James Collins
23,Alexis Faccone
27,Ada Maxwell
29,Kristen Connor
36,David Jones
42,Jeffrey Hoch
46,Alexander Antolick
51,Kevin Versteeg
54,Spencer Cobb
69,Marie Collins
94,Abigail Wenck
99,Benjamin Price
b,r,e,a,k
Swing State,6
teamInfo,,"Orlando, Florida",,https://www.facebook.com/swingstateultimate,@ultiswingstate
00,Amy Walker
01,Shawna Zielstorff
02,Gentry Maddox
03,Terence Murphy
04,Timothy Miller
05,STACEY HERDEGEN
08,Alex Bullock
09,Johnathan Hunter
10,Nick Hunter
11,Jacob Clary
12,Bradley Tinney
13,BRITTANY FAHY
14,Alexander Guedouar
19,Forrest Hannahs
20,Ginger Price
21,Jeffrey Walker
24,YUSUKE ASAI
27,Rebecca Poznansky
36,RACHEL ACUNA
37,Chase Stein
77,Jaime Benites
77,Quentin Voorhees
81,Eric Kieffer
86,Mark Mendelevitz
b,r,e,a,k
Cosa Nostra,3
teamInfo,,"Austin, Texas",http://upla.austinultimate.org/club-tct,https://www.facebook.com/cosanostraultimate,https://twitter.com/CosaNostraFris
02,Jessica Kishi
03,Richard Hornbuckle
04,Aubrey Davis
06,William Owens
