Southeast D-III College Men's CC,College - Men ,21,4,2018
https://play.usaultimate.org/events/Eastern-Southeast-D-III-College-Mens-CC/schedule/Men/CollegeMen/
Samford,3
0,Alex Dunn
0,Andy Weisgerber
0,Austin Peak
0,Chase Woodruff
0,Christian  Rodriguez
0,Jacob Hales
0,Jacob Gholson
0,John Rooney
0,John Pegusky
0,Jonathan Taylor
0,Daniel Maynard
0,David Yi
0,Matthew Reynolds
0,Paul Lamb
0,Ryan Cliff
0,Trenton Fiscus
2,Colton Bassett
5,Parker Freedman
7,Greg Buszka
8,Jordan Chambliss
9,Alex Lowry
12,Stanley Foster
13,Carter Rae
21,Maggie Herd
81,Bennett Strange
b,r,e,a,k
Georgia College,1
0,Dawson Burns
0,Gavin Shelton
0,Gillis Carroll
0,Graham Hill
0,Jacques Perivier
0,Alec Powers
0,Alexander Mejia-Bazinet
0,Connor McCarthy
0,Terrence Phillip
0,Timothy Martin
5,Kade Ottaway
6,Dakota Wellmaker
7,Nathan Vickroy
10,SCOTT DILLER
17,Parker Robertson
26,Parker Rhinehart
31,Alex Stewart
33,Christopher Craft
72,Rylan Gordon
b,r,e,a,k
Union (Tennessee),6
6,Levi Shaw
00,Trevor Fox
03,Tanner Cherry
05,Dakota Stedman
07,Ian Maupin
09,Josh Bowden
10,Josh Leamon
11,Alexander Aden
12,avery Parks
13,Stephen Neu
15,Ethan Bond
16,Daniel  Yurov
17,John David Logan
20,Desmon Stubblefield
21,Riley Boggs
39,Stephen Lewoczko
40,Ivan Isaacs
77,Jeff Williams
87,Nathan Van Neste
99,Noah Graves
b,r,e,a,k
Stetson,8
01,Dylan  Hirsch
02,Alex Heilner
04,Sydney Grimes
08,David Shoemake
11,Stephen Sharbaugh
13,Malak Patel
15,Daniel Keiser
18,Anthony St. Angelo
21,Nathaniel Smith
29,Nicholas Gilmet
32,tyler nelson
42,Jason Lykins
69,George Winsten
81,Wyatt Fergus
87,David Mazzola
b,r,e,a,k
Belmont,9
5,Bryan Malone
5,Jordan Dunn
5,Nicolas Chouard
6,Joseph Bendekovic
6,Joe Zak
7,Jon Layne
8,Jack Waite
