HoDown ShowDown XXII,Club - Mixed ,11,8,2018
Asheville,NC,2018-08-11,2018-08-12
https://play.usaultimate.org/events/HoDown ShowDown XXII/schedule/Mixed/Club-Mixed
Murmur,1
teamInfo,,"Athens, Georgia",,,
0,Brianna Radl
01,John Jackson
02,Lauren Baggett
03,Philip Smith
04,Paige Howell
05,Stephen Rockwell
06,Lily  Sronkoski 
07,Fernando Ortiz
09,Jason Jones
10,Javid Aceil
11,Mary Rockwell
12,John Langstaff
13,Robert Farrington
14,Rosanna Smith
15,Jay Norton
16,Jami Cashin
17,Katherine Jennings
18,KT Truszczynski
19,Oreon Jackson
21,Ben Ayres
22,Suzannah Hope Blackshear
24,Alexander Lawrence
26,Courtnie VIckery
33,Edward Stephens
45,Thomas Nuckols
60,David William Petmecky
78,Gayeon Ko
b,r,e,a,k
Cahoots,8
teamInfo,,"Asheville, North Carolina",,https://www.facebook.com/CahootsUltimate,
0,Alexandra Harvey
0,Jill Padfield
0,Maya Sugg
0,Michelle Yang
0,Morgan Dale
0,Patricia Thompson
0,Sky Sikkink
0,Todd Graham
4,Jacob Warshauer
11,Brittany DiRienzo
12,Adam Becker
25,Kyle Silva
26,Amy Gilbert
27,Linden Blaisus
37,Virginia Conover
44,Ruth Hudson
47,Hunter Scaggs
50,Miles Lally
51,Chad Gerber
59,Ethan Burns
73,Adam Bostian
82,Matthew Martin
99,Matt Gordon
99,Joshua Ferguson
99,George Bumgardner
99,Monique Ferguson
99,Simone Whale
b,r,e,a,k
LoveShack,13
teamInfo,,"Atlanta, Georgia",,,
0,Cassandra Spragg
0,Cole Flournoy
0,David Anderson
0,Erik Jorgensen
0,Jennifer Gold
0,Julia  Eck
0,Justin Royston
0,Rachael Burke
0,Wright (William) Dickerson
6,Jarrod Sinnock
7,Sophie Kay
12,Kimberly McGinnis
17,Victoria Thompson
18,Daniel Wang
21,Michael Jendzurski
24,MOLLY SNIPES
28,TYLER PLUNKETT
30,Alex Waxman
35,LAWRENCE LAUER
36,AHSHA MCQUAIN
38,Katie Powell
44,Christopher Purvis
47,John (Jack) Curran
48,Kathryn Watson
60,Rachel Deeds
77,Joshua Swaney
82,Kallie Monroe
b,r,e,a,k
Moonshine,12
teamInfo,,"Lexington, Kentucky",,https://www.facebook.com/moonshineultimate/,https://www.twitter.com/moonshinemixed
0,Asher Finkel
0,Bradley Rice
0,Cameron McCrary
0,Elizabeth Meyer
0,Kasey Schock
0,Isabella Hansen
2,Jacob McEachern
2,Matt Brown
3,Ben Luckey
5,Joshua Wu
5,Matt Summers
9,Caleb Montgomery
12,Kendall Archer
18,Halie McNeil Kelly
20,Nicholas Roller
21,Micah Smith
28,Heather Summers
31,Laurel Shepherd
32,Alexandra McMackin
36,Nate Maddux
45,Matt McMackin
54,Olivia Pokoski
55,Grace Goulson
72,Lula Dutille
81,Ian Oliver
92,Matthew Cook
b,r,e,a,k
Liquid Hustle,17
teamInfo,,"Indianapolis, Indiana",http://www.liquidhustle.com,https://www.facebook.com/LiquidHustle?ref_type=bookmark,https://twitter.com/LiquidHustle
0,Charlette Peyer
0,Freddie Dixson
0,Jared Peyer
0,Jesse Jenkins
0,Kelly Vogeler
0,Kelsie Sparks
0,Luke Thomas
0,Noah Peyer
0,Sarah Haynie
3,Catherine Soto Lozada
9,Nathan Partenheimer
11,Stacie Rawnsley
13,Nathan Hershberger
13,Jared Saltsman
17,Robert Stasi
31,Jordanna Payne
31,Andrew Miller
35,Paul Avilez
42,Kelly Kerker
56,Cullen Booth
66,Collin Koury
69,Brittney Ballard
74,Collin McCartney
76,Arthur Small
91,Anne Peyer
b,r,e,a,k
Mixfits,14
teamInfo,,"Asheville, NC, North Carolina",,,
0,Charles (Quint) Northen
0,Harris Woody
0,Ingrid Humphrey
0,MALLORY WEST
0,Michaela Dube
0,Ruth Stokes
0,Ryan Stokes
0,Shelly Johnson
0,Stephen Bender
0,Stephen (Bud) Yackey
0,Blake Hannah
4,Christopher Cosgrove
5,Taylor Pope
09,Ryan Sitler
10,Ann Araps
11,Evan Howey
17,Catherine Yackey
23,Jeff Nordgren
64,Laura Matzuka
69,taylor minch
76,Alison Bender
b,r,e,a,k
JLP,2
teamInfo,,"Atlanta, Georgia",,,
0,Meghan Murphy
2,Thomas Bailey
3,Dana Bidot
4,Elizabeth Leon
6,Gracie White
7,Timothy Martin
9,Erin Chun
05,Leah Barlow
08,Max Leonard
10,Ishaan Dave
11,William Sloane
13,MICHAEL PETERS
14,Jacob Zirbel
15,Rachel Thurston
16,Leah Gilbert-Odem
18,Chad Borer
20,Caroline Pearson
21,Daniel Jones
30,Benjamin Breault
31,Samantha Jones
36,Will Frolich
37,Jonathan Clark
42,Devin Cox
73,Samantha Loop
87,Sarah Burzynski
88,Brandon Li
b,r,e,a,k
Method,7
teamInfo,,"Huntsville, Alabama",,,
01,Beau Waldron
02,Kelsey Moser
03,Sara Mog
04,Jordan Matthews
05,Jason Williams
06,Alice Radcliffe
07,Riley Mog
08,Danny Yates
09,Hannah Yates
10,Elliott Terrell
11,Stephen Brandon
12,McKayla Edmonds
13,Andy Sieja
14,Jessica Brandon
15,Collin Orcutt
16,Leah Gauldin
17,William Fleming
18,Allyson Smith
21,Wesley Seat
22,Desiree Garcia
23,Ethan Hodges
24,Craig Block
25,"Michael Guiles, Jr"
27,Michael Robie
32,Lauren Bryant
77,Abigail Waldron
98,Amy Guiles
b,r,e,a,k
Jackpot,11
teamInfo,,"Jacksonville, Florida",www.jaxul.com,https://www.facebook.com/groups/330278457048019/?ref=bookmarks,https://twitter.com/JackpotUltimate
0,Alicia Bender
0,Amy Walker
0,Drew Ladage
0,ANGELA SHEPARD
0,Anthony Vogt
0,Ashleigh Clapper
0,Brad Clarkson
0,Bryan Jagemann
0,Bryce Carleton
0,Corey McCall
0,Erich Hess
0,Ginger Price
0,Jeremy Brenner
0,Josh Shepard
0,Joshua Hyde
0,Kaitlin O'Keefe
0,LANCE RILEY
0,Mandy Weinstein
0,Rosemary Murray
0,Tanner Repasky
0,Vinny Losito
4,Justin Dean
5,Tyler Falcao
20,Vincent Sansone
30,Ryan Hoger
b,r,e,a,k
Carolina Reign,18
teamInfo,,"Winston-Salem, North Carolina",,,https://twitter.com/TriadReign
0,Dominique Erly
0,Dustin Barton
0,Gabriella Hunt
0,Andrew Downing
0,Jordan August
0,Kevin Doubleday
0,Leah Harkey
0,LESLIE PECK
0,lyelle davis
0,Matthew Avara
0,Matthew Aberman
0,Michael Neve
0,Reeve Aguayo
0,Robert Hanna
1,Christian Daniel
3,Benjamin Helm
5,Morgan Neve
6,HELEN  PEPLOWSKI
21,Katherine Phillips
65,Caleb Kohns
b,r,e,a,k
FlyTrap,6
teamInfo,,"Wilmington, North Carolina",,https://www.facebook.com/FlyTrap-Ultimate-599420990399270/,
0,Charlie Lian
0,Hannah Boettcher
0,Ian Hutton
0,Dain Nielsen
0,Josh Norris
0,Kaitlin Baden
0,Kristen  Crumbley
0,Kyle Root
0,Sadie Gosselin
0,Sarah Hasch
2,Carl Matysek
8,Noah Morris
10,Luke Hancock
11,Caleb Hasch
13,Carrie  Fisher
16,David Morris
20,Emily Judd
22,Kristen Reed
24,Christopher Nelson
25,Jake Gallagher
29,Kerri Morris
56,Kyle Gibbons
66,Jordan Haines
84,Rouse Carlton
b,r,e,a,k
Rowdy,3
teamInfo,,"Raleigh, North Carolina",,,
0,Amelie Bailey
0,Brent Besase
0,Conny Morrison
0,Elianna Bier
0,Emma Johnson
0,Jennifer Greenholt
0,John Patterson
0,Julie Kafka
0,Meagan Fairchild
0,Melissa Gronske
0,Michael Avila
0,Ryan  Schanz
0,Sean Gallagher
0,Tara Brenner
0,Tim Monahan
8,Daniel Leo Hogan
13,Graham Whittington
15,Daniel Rolando
21,Keith McGrath
26,Kofi Thompson
26,Alex Bienkowski
29,Mark Stumpf
42,Wendell Wilson
58,Ryan Sawaya
b,r,e,a,k
Trash Pandas,10
teamInfo,,"Nashville, Tennessee",,,
0,Daniel Gray
0,ERIN RACHER
0,Jessica Webster
0,Maggie Dayton
0,Mikeie Reiland
0,Miles Littlefield
0,Nora Kern
1,Jasmine Williams
2,Julie Hilton
3,William Graham
4,Bryan Griffith
8,Ryan Del Casino
12,Chris Peek
19,JOHN ROSENWINKEL
23,Craig Stewart
35,Byron Head
44,Ford Heacock
54,Rachael Freedman
85,Aaron Wilder
91,KEVIN EKKEBUS
b,r,e,a,k
Goose Lee,15
teamInfo,,"Cincinnati, Ohio",,,
0,Eric Coglianese
0,Gregory Dinan
0,Daniel Latz
0,Daniel Brissette
0,Julia Desrosiers
0,Michael Lipsitz
0,Sophia Needham
0,Steven Kolp
0,Sylvia Ulmer
0,Tess Henderson
0,Will Keitel
3,Connor Shirley
4,Kirsten Smith
6,Matt Woods
10,Hector Rivera
13,John Cassidy
13,Kit Carle
14,Kameron Horn
14,Sam Settlemyre
19,MICHELE BERENS
21,Lauren Payne
22,Liz Anderson
24,Justin Mattingly
34,Eric Brinkman
47,Zach Kaylor
49,Tanner Segbers
b,r,e,a,k
RnB,19
teamInfo,,"Roanoke n Blacksburg, Virginia",,,https://twitter.com/RnBUltimate
0,Alexandra Latham
0,Christian Sullivan
0,Clay Leach
0,Daniel Owecke
0,Emily Askew
0,Ian Gillen
0,Ian Connerney
