Jersey Devil 7,College - Men ,24,3,2018
Vineland,NJ,2018-03-24,2018-03-25
https://play.usaultimate.org/events/Jersey-Devil-7/schedule/Men/CollegeMen/
MIT,1
teamInfo,Grim Beaver,"Cambridge, Massachusetts",http://mens-ult.mit.edu,https://www.facebook.com/pages/MIT-Mens-Ultimate/129768873797702,https://twitter.com/MITultimate
0,Andrew Churchill
0,Arjun Khandelwal
0,Eric Wong
0,Eshaan Nichani
0,Henrik Boecken
0,Ian McNally
0,Logan Hughes
0,Michael Kural
0,Richard Yip
0,Rishabh Yadav
0,Solan Israel-Megerssa
0,Nicolas Arons
24,Paolo Gentili
28,Carlos Trevino
29,Steven Homberg
42,Hao Shen
99,Miles Cruice-Barnett
b,r,e,a,k
Stevens Tech,4
teamInfo,Stevens Tech,"Hoboken, New Jersey",,,
0,Patrick  Rehain 
2,Ryan Gutmann
3,Blake Luxoro
10,Keyur Ved
12,Jonathan Bobkov
17,Scott Borgstedt
19,Nicolas Camporeale
38,TJ Stanton
55,Jeremy Doll
84,Luke Pacchiana
88,Anthony Bianco
95,Ira Seidman
96,Ronald Ankner
97,Joseph Conway
98,Kyle Dew
b,r,e,a,k
College of New Jersey,5
teamInfo,Revolution,"Ewing, New Jersey",http://www.tcnj.edu/~frisbee/revolution/index.php,,
0,Abin Alexander 
0,Alexander Cretella
0,Andrew Cameron
0,Ankur Sinha
0,Brian Marino
0,Christian DeSanctis
0,David Gant
0,Edward Crutchley
0,Eric Branchek
0,Ethan Bedrock
0,Jonah Malvey
0,Joseph Bruno
0,Justin Carter
0,Kush Patel
0,Maxwell Lobben
0,Michael Mongelli
0,Nicholas Morgillo
0,Shree Nadkarni
0,Tyler Caston
0,Zane Thompson-Bradley
15,Keller Gordon
22,Nicholas Pellegrino
26,Philip Treu
29,Steven Powers
31,Henry Shen
34,Nathaniel Bargad
44,Christian Iucolino
77,Zachary Johnson
87,Jacob Willsey
89,Matthew Hayes
b,r,e,a,k
New Hampshire,9
teamInfo,New Hampshire Ultimate Team,"Durham, New Hampshire",,https://www.facebook.com/pages/UNH-Ultimate-Frisbee/251565538705,twitter.com/unhultimate
0,Alex Nazarenko
1,Ryan Creamer
2,Kevin Kiernan
3,Thomas Stover
4,Sam Haus
5,Jake Schwarzhaupt
6,Rocco Essex-Linehan
7,Ivan Tran
8,Noah Ryder
10,Tanner Hyslop
11,Max Tougas
13,Ryan Toscione
14,Trevor Harcourt
18,Austin Butler
21,Maxwell  Sullivan
24,Bryce Desmarais
26,Mike Shea
28,Conor McNamara
33,Matthew Porter
36,Adam Moynihan
42,Jonathan Ells
61,Alek Medic
79,James Marsh
81,Joseph Marinacci
96,Christopher Linskey
99,Philip King
b,r,e,a,k
SUNY-Binghamton (B),8
teamInfo,SUNY-Binghamton B,"Binghamton, New York",https://sites.google.com/binghamton.edu/binghamtonultimate/,https://www.facebook.com/binghamtonultimate/,
00,Alex Cox
00,Brian Goldberg
00,Charles Cortesi
00,Daniel Ogden
