North New England D-III College Women's CC,College - Women ,14,4,2018
Brunswick,ME,2018-04-14,2018-04-15
https://play.usaultimate.org/events/North-New-England-D-III-College-Womens-CC-2018/schedule/Women/CollegeWomen/
Bates,1
0,Adair Andre
0,Anna Helms
0,Avery Wolfe
0,Becca Havian
0,Cameron Johnson
0,Joanna Vollrath
0,Josie Gillett
0,Katherine Hartnett
0,Libby Masalsky
0,Marissa Bale
0,Meghan Cleary
0,Nora Finley
0,Olivia Gomez
0,Rachel Blaustein
0,Sarah  King
0,Sophia Thayer
0,Sophia Miller
3,Grace Warder
8,Liz Casey
14,Madison Liistro
17,Sarah Delany
b,r,e,a,k
Bowdoin,2
0,Anna Dickson
0,Emma  Kyzivat 
0,Emma Jacobs
0,Frances Zorensky
0,Grace Wheeler
0,Madeleine King
0,Railey Zantop-Zimlinghaus
0,Sarah Walker
0,Sophie Lewis
7,Brigitte McFarland
12,Emma Landes
14,Rachel Musante
16,Hannah Karlan
17,Zoe Aarons
18,Carly Berlin
23,Stephanie Sun
26,Kaya Wurtzel
34,Sabina Hartnett
b,r,e,a,k
Colby,4
0,Emily  Cunningham
0,Grace Horne
0,Lanie Kropp
0,Lauren Moriarty
0,Madeline Pierson
0,Marjorie McDonough
0,Monique Legault
0,Nora Kempainen
0,Radhika Vu Thanh Vy
0,Sally Simpson
0,Abigail  Johnson
0,Artricia Nou
0,Chiara Tice
29,Sarah Whitney
69,Ella Walton
96,Annie Holden
b,r,e,a,k
Middlebury,3
b,r,e,a,k
s,t,a,g,e,s
brackets,Bracket
bracket,Championship
Bates,Bowdoin,11,7,"04/14/2018, 12:00",Finals,Final
Bates,Colby,13,7,"04/14/2018, 10:00",1st Place Semis,Final
Bowdoin,Middlebury,10,8,"04/14/2018, 10:00",1st Place Semis,Final
bracket,2nd Place Game
Middlebury,Bowdoin,0,0,"04/14/2018, 12:00",2nd Place Finals,Scheduled
Colby,Middlebury,1,13,"04/14/2018, 12:00",2nd Place Semis,Final
b,r,e,a,k
