Rocky Mountain Mixed Sectional Championship,Club - Mixed ,8,9,2018
https://play.usaultimate.org/events/Rocky-Mountain-Mixed-Sectional-Championship-2018/schedule/Mixed/Club-Mixed
Mesteño,1
0,Chelsea Tossing
0,Chris Van Thiel
0,Cruz Alvarez-Machado
0,Danielle Swales
0,Hannah Zax
0,Jack Girard
0,Jennifer Ricaurte
0,Jessica Rabin
0,John Marcy
0,Jose Maldonado
0,Kristen Dietrick
0,Moriah LaRocque
0,Nicholas Wetzel
0,Ryan Meinkoth
0,Scott Harper
0,Tessa Walter
1,Michael Kapoor
2,Holly Lin
5,Stephen Lin
7,Chris O'Connell
9,Jamian Jacobs
15,Sarah Toth
22,Iris Ng
37,Ryan Hummel
96,Emma Richardson
97,Andrea Uhl
99,Scott Salvati
b,r,e,a,k
"All Jeeps, All Night",4
0,Annemarie Braun
0,Bekah Hallman
0,Christopher Anderson
0,Christina Swift
0,Adam Chilton
0,Adrian Unkeles
0,Joe Emery
0,Julia  Messing 
0,Lucille Sylvester
0,Marek Slipski
0,Benjamin Gross
0,Michael Holm
0,Kelly Skrabacz
0,Olivia Phillips
0,Sam Kilburn
0,Sarah Dobson
0,Tom Nummy
0,Tristan Weber
0,William Seites-Rundlett
4,Amanda Brown
11,Killian Burns
11,Grant Buckingham
12,Christopher Bonuel
21,Philip Harvey
22,Stanley Ly
23,Michael Richard
25,Kathleen Brown
b,r,e,a,k
Eggshells,8
0,Maggie John
7,Samuel Shearer
9,Charles Furse
01,Spencer Norman
03,Sara Peczkowski
04,Jacob Zax
06,John (Clay) Heinzel-Nelson
07,Quinne Farenwald
08,Scott Forrester
09,Nathan Dauchy
10,Brian Carroll
11,Marta Sola-Pfeffer
12,Saylor Allf
13,Amy Graham
15,Lauren Rindels
17,Jessica Madding
17,Melissa Cushing
18,STEPHANIE FROST
19,Connor White
25,Vincent Powell
33,Stanley Strunk
44,JACLYN PHIPPS
56,Jodie Navarre
61,Liza Boyle
77,Emily Paris
b,r,e,a,k
The Strangers,5
0,Alyssa Landin
0,Alyssa May
0,BRENDAN CALONGE
0,Catherine Smith
0,Courtney Butler
0,KATHERINE Clark
0,Leonard Donadio
0,Matthew Bailey
0,McKenzie Grace
0,Natalie Fan
0,Raymond  Chen
0,Rhonda Kracker
0,Scott Harris
0,Tara Gedvilas
0,Todd Gedvilas
0,Troy Wojick
0,William Wilcox
2,Tom Parry
3,Hannah Dryke
3,Austin Outhavong
22,Christian Gentry
23,Jason Howard
27,Joseph Delnero
31,William Allen
40,Doug Schriner
77,Thomas Hennen
b,r,e,a,k
Flight Club,2
00,Abigail Leibowitz
00,Alyse Doperalski
00,Amanda Wheelock
00,Amber Smith
00,Andrew Kiminski
00,Betsy Basch
00,Brandon Galllagher
00,Brian Phlipot
00,Christopher Drew
00,Corey Nuechterlein
00,Curtis Salcedo
00,Elizabeth Way
00,Emily Brixey
00,ERIC DIXON
00,Evan Doucett
00,Ginie Kwan
00,Grace Brofman
00,Isabel Cruz
00,James May
00,Jarred Canning
00,Jim Nolte
00,Jon Snyder
00,MARIE MADARAS
00,Matthew Anderson
00,Nate Hopp
00,Nora Mitchell
00,Rachel Stockdale
b,r,e,a,k
Sweet Action,3
01,Andrew Muller
02,Dan  McCune
03,Andrew Bassett
05,Caleigh Moore
06,Nathan Baker
07,Kelly Moses
08,Alicia Stillwell
09,Patrick Ellsworth
11,Sam Wilson
12,Anna Lockwood
13,Danielle Zigulich
14,Matt Slowinski
15,Elena Arnosky
16,Sarah Sanders
17,Will Eckert
18,Ian Whitman
20,Matt Cornish
21,Bradley Cochi
22,Emma Boyd
24,Kevin Hamilton
24,Tabetha Ridgway
26,Cecily Leahy
27,Rachael Reddin
37,Laurel Baker
44,Kelsey Brown
45,Nikki Roth
92,Connor Otheim
b,r,e,a,k
Springs Mixed Ulty Team (SMUT),6
00,Ali Hartley
00,Cari Hanrahan
00,Carl Chan
00,Craig Woolridge
00,Dan Scogin
00,Emily Woolridge
00,Garrett Wilson
00,Heather Scogin
00,Jacob Schoff
00,Jeffrey Battiste
00,jordan bratton
00,Justin Woodman
00,Kayleigh Hudson
00,Kelly Swiryn
00,Matt Edwards
00,Michael Fuson
00,Monica Weindling
00,MORGAN POPPE
00,Natalie Hanson
00,Nathan Woolridge
00,Rachael Maxwell
00,Rose Bruns
00,Samuel Hinkle
00,Siena Mann
00,Steven Gentile
32,Leah Dolan-Kelley
41,Theodore (Teddy) Taggart
b,r,e,a,k
EDM,7
0,Alex Kacsh
0,Alex Sottile
0,Alex Easterday
0,Binh Hoang
0,DAVID BALESTRINI
0,Deanna Swain
0,Jeffrey Simon
0,Katherine Campbell
0,Mya Nguyen
0,NATHANIEL FITCH
0,Shannon Matzinger
0,Thomas Culpepper
0,Zacary Parkhill
9,Corinne Brown
13,Conor Lenon
17,Noah Koester
32,Rose Buchbinder
48,Jonathan Cosmann
83,Grace Reilly
93,Nick Storter
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Mesteño,The Strangers,15,7,"09/08/2018, 09:00",Pool A
"All Jeeps, All Night",Eggshells,15,11,"09/08/2018, 09:00",Pool A
Mesteño,Eggshells,15,8,"09/08/2018, 11:00",Pool A
"All Jeeps, All Night",The Strangers,15,13,"09/08/2018, 11:00",Pool A
Mesteño,"All Jeeps, All Night",14,10,"09/08/2018, 13:00",Pool A
The Strangers,Eggshells,12,15,"09/08/2018, 13:00",Pool A
pool,Pool B
Flight Club,Springs Mixed Ulty Team (SMUT),15,6,"09/08/2018, 09:00",Pool B
Sweet Action,EDM,15,1,"09/08/2018, 09:00",Pool B
Flight Club,EDM,15,2,"09/08/2018, 11:00",Pool B
Sweet Action,Springs Mixed Ulty Team (SMUT),14,11,"09/08/2018, 11:00",Pool B
Flight Club,Sweet Action,15,12,"09/08/2018, 13:00",Pool B
Springs Mixed Ulty Team (SMUT),EDM,15,12,"09/08/2018, 13:00",Pool B
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place
Mesteño,Flight Club,13,12,"09/09/2018, 11:00",1st Place
bracket,2nd Place Bracket
Flight Club,Sweet Action,11,6,"09/09/2018, 13:00",2nd Place Finals
"All Jeeps, All Night",Sweet Action,7,15,"09/09/2018, 11:00",2nd Place Semis
bracket,4th Place Bracket
"All Jeeps, All Night",The Strangers,15,6,"09/09/2018, 13:00",4th Place Finals
Eggshells,The Strangers,11,12,"09/09/2018, 11:00",4th Place Semis
Eggshells,EDM,15,6,"09/09/2018, 09:00",4th Place Quarters
The Strangers,Springs Mixed Ulty Team (SMUT),14,13,"09/09/2018, 09:00",4th Place Quarters
bracket,7th Place
EDM,Springs Mixed Ulty Team (SMUT),10,15,"09/09/2018, 11:00",7th Place
b,r,e,a,k
