Southeast Women's Regional Championship,Club - Women ,22,9,2018
Bradenton,FL,2018-09-22,2018-09-23
https://play.usaultimate.org/events/Southeast-Womens-Regional-Championship-2018/schedule/Women/Club-Women/
Ozone,1
00,Madison Boyd
01,Alexandra Fairley
02,Emily Leonard
03,Paige Carver
04,Marissa Hannah
05,Lillian Ponitz
07,Lane Siedor
08,Samantha Daugherty
09,Anraya Palmer
10,Sophie Darch
11,Kristine Fedorenko
14,Josie Veal
15,Katelyn Travaglini
16,Leah Tsinajinnie
16,Madeleine (Maddy) Frey
19,Kayla Emrick
20,India Stubbs
22,Paula Seville
24,Katherine Wooten
25,Katherine Hines
26,Cate Woodhurst
27,Meg Harris
32,Haley Reese
52,Erynn Schroeder
69,Allison Snow
91,Jin-Mi Matsunaga
99,Marie Perivier
b,r,e,a,k
Tabby Rosa,3
0,Alexa Wood
0,Alleigh Grover
0,Carolyn Abbott
0,Chloe Baldino
0,Harley Peters
0,Jackie Borkowski
0,Kelsea LeBeau
0,Lauren Bahng
0,Sarah Cabrera
0,Shayna Brock
0,Sonya (Sunny) Harris
0,Nicole Feldman
0,Pilar Alvarez
1,Erin Goding
5,Lindsi Allman
5,Lisa Levine
6,Diana Elsner
6,Stephanie Williams
11,Sarah Cobbs 
12,Gabrielle  Krajniak
21,Danielle Cordes
47,Stacie Coleman
69,Jenn Maresca
b,r,e,a,k
Outbreak,6
00,Katie Radulovacki
01,Joanna Chen
02,Lauren Lee
03,Alexandra Mooney
05,Meredith Leahy
06,Anna White
07,Sarah  Kingsley
08,Becklin Davis
09,Kristen Cawley
10,Emma Scazzero
11,Anna Glass
12,Dorsey Norwood
15,Elyse Anderson
18,Helen Li
19,Kalie Thompson
20,Barbara Mallett
21,Katherine Smith
23,April Ratliff
32,Alli Manhard
56,Charlotte Cloyd
63,Megan Jarriel
80,Emma DeJarnette
99,Amy Kruse
b,r,e,a,k
Queen Cake,8
0,Alexis White
0,Amanda Reusch
0,BLAKE MCGLAUN
0,Cheryl Geiger
0,Courtney Foster
0,Hannah Gregory
0,Hannah Weisbecker
0,HEATHER CHAU
0,Ilana Obuchowski
0,Jaycie Macdonald
0,Jessica Twombly
0,Jocelyn Jessop
0,JOSIE SCANLAN
0,Madison Bolt
0,Marguerite Tyson
0,Molly Cowley
0,Monika Hershey
0,Olivia Frazer
0,Sarah Allred
0,Sarah Tyson
0,Laura Guzman
0,Zoe Zegers
9,Kimberly Micotto
22,Lila Lasecki
22,Sue-Claire Lichtveld
24,Karen Liao
b,r,e,a,k
Honey Pot,9
