Summer Glazed Daze 2018,Club - Mixed ,23,6,2018
Winston-Salem,NC,2018-06-23,2018-06-24
https://play.usaultimate.org/events/Summer-Glazed-Daze-2018/schedule/Mixed/Club-Mixed
Toro,1
01,Kirkwood Alex Cloud
02,Margaret Quinn
03,Dean Culver
05,Matthew Thomas
07,Lyra Olson
08,Heather Zimmerman
09,George Guthrie
10,Theran Riedel
11,Maureen Belko
13,Kathryn Morrison
14,Tanner Barcus
15,Kerry Green
17,Dylan Shields
19,Tracy d'Arbeloff
21,Vikram Sethuraman
22,Lucas Darden
25,Michael Pannone
27,Toni Gomes
30,Gentry Maddox
31,Alex Kaja
43,Matthew Wilson
47,Ian Lawson
54,Tristan Green
66,Paul Weeks
88,Christine Bookhout
95,Jackie Wang
b,r,e,a,k
NC Galaxy,16
0,Chathan Driehuys
0,Clil Phillips
0,Connie Cui
0,Dawn Culton
0,Elizabeth Manturuk
0,John Watters
0,John McDonnell
0,Kevin Zhang
0,Kyle Gouchoe-Hanas
0,Mary-Catherine Adams
0,Meg Van Horn
0,Samuel Lee
0,Sydney Rehder
0,Taek Lee
0,Tyler Smith
0,Vany Nguyen
5,Nathan Kwon
10,Marcus Rovner
14,Ellen Yu
19,Ted Randby
21,Ben Alexander
22,Mukil Guruparan
23,Michael Young
27,Mary Clarke Worthington
30,Olivia Monroe
58,Lanie O'Neill
81,Tristan Manturuk
b,r,e,a,k
Cahoots,9
0,Alexandra Harvey
0,Maya Sugg
0,Michelle Yang
0,Mairi McClean
0,Morgan Dale
0,Sky Sikkink
4,Jacob Warshauer
06,Todd Graham
11,Brittany DiRienzo
12,Adam Becker
25,Kyle Silva
27,Linden Blaisus
37,Virginia Conover
44,Ruth Hudson
47,Hunter Scaggs
50,Miles Lally
59,Ethan Burns
66,Simone Whale
82,Matthew Martin
99,Matt Gordon
99,Monique Ferguson
99,Joshua Ferguson
b,r,e,a,k
American Hyperbole,8
0,Alexander Antolick
0,Alexandra Slaughter
0,Andrew Gravunder
0,Annalise Humm
0,Danielle Rolle
0,Drew Shaffer
0,Emily Christ
0,Erica Mehra
0,James Collins
0,Jonathan Ginsberg
0,Josh Moen
0,Kara Schulden
0,Kelly Wallace
0,Matthew Radhe
0,Marie Collins
6,Michael Sharma
16,Elise Jackson
20,Noah Wallack
42,Jeffrey Hoch
63,Jon Pressimone
69,Ryan Bates
94,Abigail Wenck
b,r,e,a,k
RnB,17
0,Alex Bentley
0,Alexandra Latham
0,Cassidy Quistorff
0,Charles Cianciolo
0,Christian Sullivan
0,Clay Leach
0,Daniel Owecke
0,Emily Askew
0,Lisa Bertin
0,JORDAN BAZAK
0,Rachael Van Dolah
0,Samantha Sunshine
0,Victoria Dippold
3,Edward Kasper
7,Lowe Bibby
8,LANDON ARRINGTON
10,Matthew Sutherland
11,Harvey Merriman
11,Rick Miller
12,Sara Farthing
15,Matthew Puryear
18,Tyler Vincent
22,Jodi (Joanna) Meyer
32,Jenna Bibby
34,Tommy Cianciolo
69,Katie Miller
88,Jonathan Choi
b,r,e,a,k
Crucible,24
0,Andrew Walsh
0,Annette Kukunas
0,Blaine Taylor
0,Christina Poole
0,Ian Piper
0,Kelly Rigsbee
0,Lora Waybright
0,Matthew Poole
3,Taha Udyawar
7,Cory Ruff
8,Amanda Erlandson
8,Joseph Merante
8,Ronald Persico
9,Katelyn Bozich
18,Bridget McCoy
27,STEVE OLDRATI
28,Steven May
31,Brady Zbikowski
31,Anthony Erlandson
37,Nick Bozich
37,Svetlana Romanova
56,Julia Lekht
80,Jay Walker
89,Eric Petrow
b,r,e,a,k
Storm,2
0,Ashton Carrick
0,Callie Auman
0,Eric Olson
0,Jeffrey Minowa
0,Karen Ehrhardt
0,Kerry Younts
0,Madison Coughlin
0,Micah Hood
0,Nathan Lyle
0,Paul Grabowski
0,Ransome Martin
0,Sean Kelley
0,Sharon Crawford
6,Dylan Welchman
7,Jessica Grabowski
9,Miller Yoho
12,Philip Hadwiger
13,Jocelyn Keung
19,Alyssa Belsito
27,Zan Derby-Wright
30,Savannah Hadwiger
33,Abigail Barry
40,Kristin Rosser
49,Bethany McDill
60,Ereckson Hillis
77,James Berry
b,r,e,a,k
Tyrannis,10
0,Caitlin  Gee
0,Mary McCall
0,Victor Shen
01,Brittany Taylor
03,Lindy Torvinen
05,Joseph Terrana
06,James King
07,Joshua Carrier
09,Charles Burgis
14,Noah Carter
19,Lauren Lieske
21,Spenser Foley
24,Connor High
25,Glen Smithberger
26,Rachel Shannon
31,Eva Voth
37,Rebecca Rook
42,Caleb Ward
69,Christopher Cassella
88,Matthew Graves
98,Julius Tallant
99,Yannick Albert
b,r,e,a,k
Rowdy,15
00,Amelie Bailey
00,Elizabeth (Beth) Sherling
00,Daniel Rolando
00,Donte Jackson
00,Emma Johnson
00,Graham Whittington
00,Julie Kafka
00,Kelly Learned
00,Kofi Thompson
00,Mark Stumpf
00,Matthew Olivetti
00,Melissa Gronske
00,Michael Avila
00,Sarah (Sadie) Nott
00,Sean Gallagher
00,Stetson Roof
00,Tim Monahan
00,Wendell Wilson
21,Keith McGrath
58,Ryan Sawaya
b,r,e,a,k
Mixfits,7
00,Ingrid Humphrey
00,Jason Rector
00,Jeff Nordgren
00,Laura Matzuka
00,Lucia Derks
00,MALLORY WEST
00,Rachel Johnson
00,Alison Bender
00,Charles (Quint) Northen
00,Christopher Cosgrove
00,Shelly Johnson
00,Stephen Bender
00,Taylor Pope
00,Timothy John Murray
09,Ryan Sitler
10,Ann Araps
11,Evan Howey
b,r,e,a,k
Mixed Results,23
0,Elise Thress
0,James Cupp
0,Jason Nanney
0,Jeremy Yuill
0,Josh Broughton
0,Michaela  Crenshaw
0,Randall Waymire
0,Robert Bedsole
0,samantha bedsole
0,Shelby  Cupp
0,Mitchell Smith
0,Nathan Kenner
2,Jessica Leach 
4,Jacob Bultman
14,Jenny Newby
18,Miciah Clay
20,Chris Hill
33,Matthias Arras
47,Jacob Thress
88,Caleb Bailey
97,Niya Thomas
b,r,e,a,k
Stormborn,18
0,Abigail Austin
0,Alison Palmer
0,Ana Scoular
0,David Paladin-Fernandez
0,Jaime Capron
0,Marc Gottschalk
0,Meaghan McSorley
0,Nykolas Lotocky
0,LINDSEY GETCHES
1,Daniel Haber
2,Justin Fang
3,Haley David
7,Christopher Scoular
8,Luc Bouchard
12,Rachael Smith
14,Chad Rahtz
14,Egburonu Uduka
21,Will Oktavec
22,Kyle Williamson
23,Dale Appleman
27,Jennifer Pridemore
69,Manuel Miranda
77,James Grant
77,Donovan Hambley
79,Daniel Dresser
95,Daniela Reeve
99,Rebecca Dorety
b,r,e,a,k
Loco,6
0,Beata Artz
0,Ben Crescenzo
0,Christopher Pokorny
0,Dustin Sullivan
0,Elena López
0,Ian Coyne
0,Andrew Creighton
0,Ashley Cantasano
0,Lindsay McKenna
0,Rachel Alfano
0,Samuel Esser
0,Sarah Roberts
0,Steven Broome
0,Will Hoehne
3,Sarah Coyne
3,Austin Lillis
6,Jessica Brand
10,Ryan Dealy
21,Regina Wilkinson
32,Jeffrey Andrews
35,Ryan Forster
65,Robert Yu
72,Justin Creighton
91,Kenneth Wells
b,r,e,a,k
JLP,3
03,Dana Bidot
04,Elizabeth Leon
05,Leah Barlow
06,Gracie White
07,Timothy Martin
08,Max Leonard
09,Erin Chun
10,Ishaan Dave
11,William Sloane
14,Jacob Zirbel
15,Rachel Thurston
16,Leah Gilbert-Odem
18,Chad Borer
20,Caroline Pearson
21,Daniel Jones
23,Zachary Cole
30,Benjamin Breault
31,Samantha Jones
36,Will Frolich
37,Jonathan Clark
42,Devin Cox
73,Samantha Loop
87,Sarah Burzynski
88,Brandon Li
b,r,e,a,k
Malice in Wonderland,11
0,Alexa Barwick
0,Beth Stagner
0,Bryan Brickhouse
0,Chanchai Hongdoxmai
0,Derrick Marcey
0,James Mangum
0,Kevin Harrow
0,Lauren Marcey
0,Layla Williams
0,Mark Saba
0,Katy Harris
0,Kelly Merhar
0,Noah Donnell-Kilmer
0,Whitney Kramer
3,Eric Martin
7,Beth Gifford
11,Michael Agner
13,Daniel Brown
21,Kelly Sullivan
25,Alexandra (Sasha) Resnick
26,Troy Miller
27,Aaron Saylor
38,Jeffrey Perkins
40,Eric Snavely
48,Brian Elgart
55,Ryan Smith
99,Matt Tucker
b,r,e,a,k
8 Bit Heroes,14
0,Daniel Downs
0,Daniel Kaste
0,Bryson Cramer
0,Emily Grimes
0,Jessica Leach
0,Jordan Vanasdale
0,Kurt Sensenbrenner
0,Tasha Hendershot
1,Robert McClughan
1,DAVID WITMAN
6,Chris Pliszak
7,Allyson Golightly
8,Anne Tanenbaum
10,Chase Turner
11,Liz Grimes
12,Bryan Nadeau
14,Samuel Young
15,Zach VanDerwerker
16,Diana Burke
17,Elly Young
18,Mike Randow
19,Eric Helm
47,Rachel Moser
73,Mark Flores
79,JAMIE Witman
99,Alvin Matute
b,r,e,a,k
APEX,22
0,Carson Lain
0,Jenna Weed
0,Kevin Motylinski
0,MATT KERN
3,Codie Dickert
8,Joey Snarski
9,Kathryn Payne
13,Megan Epperson
17,Susan Mathews
21,Kevin Kopf
22,BENJAMIN WIE
23,Caitlin Sudman
24,Chung Lee
28,Samantha Dickert
37,Wes Copenhaver
44,Ryan Chubb
66,Matt Hunt
88,Michael Cox
88,Mary Kopf
96,Matthew Davin
b,r,e,a,k
Carolina Reign,19
0,Abinav Udaiyar
0,Andrew Downing
0,Dominique Erly
0,Gabriella Hunt
0,George Kondeas
0,Kevin Doubleday
0,Leah Harkey
0,LESLIE PECK
0,lyelle davis
0,Mariamme Burgess
0,Matthew Avara
0,Matthew Aberman
0,Michael Neve
0,Jordan August
0,Reeve Aguayo
0,Robert Hanna
0,Robyn Konnick
3,Benjamin Helm
6,HELEN  PEPLOWSKI
05,Morgan Neve
12,Adekale Ande
21,Katherine Phillips
65,Caleb Kohns
b,r,e,a,k
Murmur,5
0,Brianna Radl
01,John Jackson
02,Lauren Baggett
03,Philip Smith
04,Paige Howell
05,Stephen Rockwell
06,Lily  Sronkoski 
07,Fernando Ortiz
09,Jason Jones
10,Javid Aceil
11,Mary Rockwell
13,Robert Farrington
14,Rosanna Smith
15,Jay Norton
16,Jami Cashin
17,Katherine Jennings
18,KT Truszczynski
19,Oreon Jackson
21,Ben Ayres
22,Suzannah Hope Blackshear
24,Alexander Lawrence
26,Courtnie VIckery
33,Edward Stephens
45,Thomas Nuckols
60,David William Petmecky
78,Gayeon Ko
b,r,e,a,k
FlyTrap,12
0,Charlie Lian
0,Hannah Boettcher
0,Ian Hutton
0,Josh Norris
0,Kaitlin Baden
0,Kristen  Crumbley
0,Kyle Root
0,Sadie Gosselin
0,Sarah Hasch
2,Carl Matysek
8,Noah Morris
10,Luke Hancock
11,Caleb Hasch
13,Carrie  Fisher
16,David Morris
20,Emily Judd
22,Kristen Reed
24,Christopher Nelson
25,Jake Gallagher
29,Kerri Morris
56,Kyle Gibbons
66,Jordan Haines
b,r,e,a,k
Ant Madness,4
0,Aidan McLeod
0,Allison Hahn
0,Amy Wedmore
0,Bethany Turner
0,Carolyn Ng
0,Cat Prueitt
0,Gil Eisbruch
0,Katrien Hinderdael
0,Kevin Chiang
0,Michael Parker
0,Molly Thomasson
0,Nicholas Kwan
0,Henry Trotter
0,Sydney Kane
5,Emma Powers
6,Jacob Smith
9,Alexander Lichtenstein
11,Alex Srisuwan
11,Ryan Thornton
14,Daniel Blair
18,Graham Turner
19,Bridgette Heine
22,ANDREW SIGAL
27,Rebecca Meeker
51,Mike Goemaat
53,Jackson Gode
88,Robert Pratt
b,r,e,a,k
Legion,13
0,Anna Marie Hagerty
0,Dana Rafferty
0,Daniel Mills
0,Eugenia Witherow
0,Geoffrey Yih
0,Michelle Barbosa
0,Robert Young
0,Ryan Jake Bell
0,Walter Lewis
2,Kevin Habermas
3,Ashley Mast
4,Rebecca Harris
7,Taylor Brooks
11,Kevin Dodd
12,Jonathan Mast
13,Keys Pattie
15,Brendan Kinne
24,Kristiana Preus
25,Elizabeth Ware
35,Najir Dipasalegne
45,Tynan Englert
47,Billy Harmon
48,Chuck Cantone
82,Rabah Sbitani
84,Francoise Delisle
88,Geoffrey Bernardo
b,r,e,a,k
Heavy Flow,21
0,Andrew Ryan
0,Andy Rodgers
0,Erin Barclay
0,John Brun
0,Mallory Kinczyk
0,Timmy Gelles
4,Amy Whetter
5,Stephen Nichols
6,Molly Fisher
10,Sarah Wright
10,Elias White
11,Rachel White
16,Simeon Lee
17,Heather Johnson
23,Jordan Lewis
44,Christian Lund
66,Jefferson Crum
73,Brian Jollie
88,Justin Chu
b,r,e,a,k
ThunderCats,20
0,Alexandra Miller
0,Andrew West
0,Andrew Au
0,Colleen Tully
0,Roger Hovis Jr.
0,Cariah Orlowski
0,Jason Parker
0,Jeremy Hyman
0,Kelly Lorton
0,Ryan Nagel
0,Sarah Lipsey
0,Stephen Battise
2,Kristen Mosher
5,Andrew Butler
9,Tyler Wetzel
10,Theodore Mosher IV
12,Christine Miller
16,John Lipsey
20,Emily  Hovis
42,Ryan Benitez
57,Matthew Dix
70,George (Mick) Stukes
73,Gabrielle Nguyen
81,Helen Louise Hindal
85,Rebecca Stukes
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Toro,Cahoots,13,3,"06/23/2018, 09:00",Pool A,Final
American Hyperbole,RnB,13,4,"06/23/2018, 09:00",Pool A,Final
NC Galaxy,Crucible,13,7,"06/23/2018, 09:00",Pool A,Final
Toro,American Hyperbole,13,3,"06/23/2018, 10:45",Pool A,Final
Cahoots,NC Galaxy,11,12,"06/23/2018, 10:45",Pool A,Final
RnB,Crucible,13,10,"06/23/2018, 10:45",Pool A,Final
Toro,NC Galaxy,12,9,"06/23/2018, 12:30",Pool A,Final
American Hyperbole,Crucible,12,9,"06/23/2018, 12:30",Pool A,Final
Cahoots,RnB,13,4,"06/23/2018, 12:30",Pool A,Final
Toro,Crucible,13,3,"06/23/2018, 14:15",Pool A,Final
American Hyperbole,Cahoots,2,13,"06/23/2018, 14:15",Pool A,Final
NC Galaxy,RnB,12,6,"06/23/2018, 14:15",Pool A,Final
Toro,RnB,13,5,"06/24/2018, 08:30",Pool A,Final
Cahoots,Crucible,13,8,"06/24/2018, 08:30",Pool A,Final
American Hyperbole,NC Galaxy,9,12,"06/24/2018, 08:30",Pool A,Final
pool,Pool B
Storm,Tyrannis,9,10,"06/23/2018, 09:00",Pool B,Final
Mixfits,Stormborn,13,2,"06/23/2018, 09:00",Pool B,Final
Rowdy,Mixed Results,13,0,"06/23/2018, 09:00",Pool B,Final
Storm,Mixfits,13,6,"06/23/2018, 10:45",Pool B,Final
Tyrannis,Rowdy,8,11,"06/23/2018, 10:45",Pool B,Final
Stormborn,Mixed Results,6,13,"06/23/2018, 10:45",Pool B,Final
Storm,Rowdy,13,6,"06/23/2018, 12:30",Pool B,Final
Mixfits,Mixed Results,13,5,"06/23/2018, 12:30",Pool B,Final
Tyrannis,Stormborn,13,3,"06/23/2018, 12:30",Pool B,Final
Storm,Mixed Results,13,3,"06/23/2018, 14:15",Pool B,Final
Mixfits,Tyrannis,10,11,"06/23/2018, 14:15",Pool B,Final
Rowdy,Stormborn,12,4,"06/23/2018, 14:15",Pool B,Final
Storm,Stormborn,13,2,"06/24/2018, 08:30",Pool B,Final
Mixfits,Rowdy,11,12,"06/24/2018, 08:30",Pool B,Final
Tyrannis,Mixed Results,13,4,"06/24/2018, 08:30",Pool B,Final
pool,Pool C
JLP,Malice in Wonderland,12,11,"06/23/2018, 09:00",Pool C,Final
Loco,Carolina Reign,13,0,"06/23/2018, 09:00",Pool C,Final
8 Bit Heroes,APEX,12,7,"06/23/2018, 09:00",Pool C,Final
JLP,Loco,7,13,"06/23/2018, 10:45",Pool C,Final
Malice in Wonderland,8 Bit Heroes,13,12,"06/23/2018, 10:45",Pool C,Final
Carolina Reign,APEX,6,13,"06/23/2018, 10:45",Pool C,Final
JLP,8 Bit Heroes,13,11,"06/23/2018, 12:30",Pool C,Final
Loco,APEX,13,10,"06/23/2018, 12:30",Pool C,Final
Malice in Wonderland,Carolina Reign,13,7,"06/23/2018, 12:30",Pool C,Final
JLP,APEX,13,6,"06/23/2018, 14:15",Pool C,Final
Loco,Malice in Wonderland,13,5,"06/23/2018, 14:15",Pool C,Final
8 Bit Heroes,Carolina Reign,13,4,"06/23/2018, 14:15",Pool C,Final
JLP,Carolina Reign,13,3,"06/24/2018, 08:30",Pool C,Final
Loco,8 Bit Heroes,13,8,"06/24/2018, 08:30",Pool C,Final
Malice in Wonderland,APEX,13,6,"06/24/2018, 08:30",Pool C,Final
pool,Pool D
Ant Madness,FlyTrap,5,13,"06/23/2018, 09:00",Pool D,Final
Murmur,ThunderCats,13,6,"06/23/2018, 09:00",Pool D,Final
Legion,Heavy Flow,12,5,"06/23/2018, 09:00",Pool D,Final
