Cascadia D-I College Women's CC,College - Women ,13,4,2019
Lynden,WA,2019-04-13,2019-04-14
https://play.usaultimate.org/events/Cascadia-D-I-College-Womens-CC-2019/schedule/Women/CollegeWomen/
British Columbia,1
teamInfo,Thunderbirds,"Vancouver, British Columbia CA",http://www.recreation.ubc.ca/sport-clubs/ultimate-w/,https://www.facebook.com/UBCWomensUltimateSC/,https://twitter.com/ubcwomensulti
0,Monica Hsu
1,Jessie Tai
3,Samantha Roche
4,Alice Zhang
5,Naomi Morcilla
7,Jessica Liu
8,Ada Chang
9,Crystal Han
10,Joanna Lo
11,Cristina Rubino
12,Emma Best
13,Denise Su
14,Avery Lee-Pii
15,Akaya Blair
17,Vanessa Lee
19,Oliana Chan
20,Catie Akune
21,Ellen Au-Yeung
24,Julia Zhang
26,Stephanie Siu
29,Julie Lee
37,Paige Muir
39,Delaney Ignatieff
44,Janelle Siwa
80,Doris Zeng
b,r,e,a,k
Washington,4
teamInfo,Element,"Seattle, Washington",,,
coaches,Amanda Kostic
0,Alexa Yadama
0,Anya Meleshuk
0,Cicely Warnick
0,Hazel Brown
0,Ikran Elmi
0,Kaley Joss
0,Madeline Kramer
0,Peixian Rong
0,Penny Nguyen
0,Mercedes Minahan
0,Stephanie Phillips
0,Yeh-Sun Lee
1,Inaayat Gill
3,Bonnie Ho
4,Peyton Pedrozo
5,Janet Ho
6,Claire Cyra
7,Rachel Jecker
9,Haley Lescinsky
10,Nicole Chan
15,Kaitlin Kirkpatrick
23,Qiqi Cai
23,Maia Nguyen
25,Yenni Lee
36,Sophia Johansen
51,Kate Crawford
b,r,e,a,k
Victoria,5
teamInfo,UVixens,"Victoria, British Columbia CA",https://goo.gl/Lq7YYj,,@uvixensultimate
1,Monica Devonshire
2,Laura Devonshire
8,Lorissa Corrie
16,Emma Millichamp
17,Sarah Grundy
18,Hanna Atmanspacher-Wirth
21,Zoa George
23,Claire Lee
25,Amelia Ack
28,Hannah Ack
36,Juli Ohsada
38,Candace Darling
87,Kathy Hong
b,r,e,a,k
Western Washington (B),8
teamInfo,Nyx,"Bellingham, Washington",,,
0,Aleta Baxley
0,Victoria Van Dusen
1,Savannah Kanis
1,Marlee Cobb
4,Anamika Paulay
6,Raia Stamm
7,Alisa Aist
16,Niamh Smith
17,Zofia Danielson
19,Nicole  Wastell
22,Jesse Rude
25,Rachael Barrows
26,Rebecca Coraggio
27,Emma Metteer
42,Maren Stratton
b,r,e,a,k
Washington (B),9
