Great Lakes D-III College Women's CC,College - Women ,13,4,2019
Bourbonnais,IL,2019-04-13,2019-04-14
https://play.usaultimate.org/events/Great-Lakes-D-III-College-Womens-CC-2019/schedule/Women/CollegeWomen/
North Park,1
teamInfo,Allihopa,"Chicago, Illinois",https://northpark.campuslabs.com/engage/organization/allihopa,https://www.facebook.com/NPUallihopa/,https://twitter.com/allihopa_npu
coaches,Cameron Hodgkinson
0,Elin Anvegard
0,Ellie Manderfeld
0,Julie Spencer
0,Kajsa Meyer
0,Kara Lownsberry
0,Katie Gustafson
0,Margaret Fernald
0,Maria Haugan
0,Michaela Scholte
0,Rikke Kvalvik
0,Ronja Ekstrom 
0,Tobiah Agurkis
2,Hannah Sahyouni
3,Megan Hamilton
4,Abby  Imperial
8,Maya Milewski
9,Kiersten Bixby
10,Jennifer Mueller
13,Victoria Young
14,Annika Sager
15,Maggie Johnson
16,Grace Jang
17,Erin Staurseth
20,Kysa Sager
24,Olivia Price
26,Kiersten Stenmark
27,Abby Gentile
28,Simone Carroll
45,Hannah Lewis
b,r,e,a,k
Wheaton (Illinois),3
teamInfo,West Wind,"Wheaton , Illinois",https://www.wheaton.edu/,,
0,Alexis  McIlrath
0,Amanda Shim
0,Christina Westberg
0,Hannah Alexander
0,Kathleen Walter
0,L'abri Keevy
0,Rebekah Mangels
6,Lorien VanZwieten
7,Emily Nordhausen
13,Katie Bristol
b,r,e,a,k
Valparaiso,4
teamInfo,Chicks Hucking Discs,"Valparaiso, Indiana",,https://www.facebook.com/vuchd,https://twitter.com/valpochd
0,Abigail Stephens
0,Alex Koontz
0,Megan Larson
0,Morgan Czarnecki
0,Paige Schaber
2,Rachel Bosley
6,Megan  Barth
8,Jessica Kane
11,Rose Chervinko
16,Ellie Peterson
22,Jesse Hershberger
34,Megan Main
b,r,e,a,k
Knox,2
teamInfo,Alley Cats,"Galesburg, Illinois",,https://www.facebook.com/Knox-College-Ultimate-170986939622/,https://twitter.com/Knox_ultimate?lang=en
03,Meryl Davis
04,Emily Mosher
05,Mikaela Bonnici
06,Jocelyn Ruby
08,Carly Gilbert
10,Tina Jeon
11,Kelly Feng
12,Chaewon Kim
13,Kylie Hoang
17,Tegan Doherty
21,Keara Crook
22,Bennett Van Meter
23,Allison Garcia
24,Laura Herrand
26,Alyssa Randel
27,April Morales
28,Natalie Juarez
31,Kathryn Coseglia
36,Gloria Ponce
37,Aoi Tomitaka
43,Odessa Sagli
47,Michelle Ni
49,Lila Johnson
64,Tessa Moore
87,Allison Molinari
99,Ava Lu
b,r,e,a,k
Olivet Nazarene,5
teamInfo,Black Penguins,"Bourbonnais, Illinois",http://www.blackpenguinsultimate.com,https://www.facebook.com/pages/Olivet-Nazarene-Black-Penguins/141726015948860?ref=ts&fref=ts,https://twitter.com/blackp3nguins
4,Kaylee Ayres
9,Victoria Skrebunas
10,Mariah Anderson
13,Colleen DeVries
18,Mara Tolley
22,Melanie Wireman
24,Manuela Castillo
55,Hanna Camulli
74,Emily Eisenbeis
93,Caylee Bourdoin
99,Jasmin Folkers
b,r,e,a,k
Kalamazoo,6
teamInfo,Queen Beez Ultimate,"Kalamazoo , Michigan",,https://www.facebook.com/KalamazooQueenBeez,
0,Anne Kearney Patton
0,Kali Stanger
02,Orly Rubinfeld
03,Maya Gurfinkel
06,Blair Garner
07,Aiden Voss
08,Katryn Walsh
09,Paige Tobin
13,Lydia Longton
16,Abigail Dickstein
17,Sophie Higdon
21,Lydia Turke
23,Madeline Lauver
26,Lily Shearer
27,Madeline Guimond
28,Caitlin Tremewan
29,Eleri Watkins
31,Meghan Horal
42,Hannah McCullough
44,Allie Periman
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
North Park,Wheaton (Illinois),12,8,"04/13/2019, 09:00",Pool A,Final
Knox,Olivet Nazarene,8,5,"04/13/2019, 09:00",Pool A,Final
Valparaiso,Kalamazoo,13,3,"04/13/2019, 09:00",Pool A,Final
North Park,Knox,13,1,"04/13/2019, 10:40",Pool A,Final
Wheaton (Illinois),Valparaiso,11,8,"04/13/2019, 10:40",Pool A,Final
Olivet Nazarene,Kalamazoo,9,6,"04/13/2019, 10:40",Pool A,Final
North Park,Valparaiso,13,5,"04/13/2019, 12:20",Pool A,Final
Knox,Kalamazoo,10,6,"04/13/2019, 12:20",Pool A,Final
Wheaton (Illinois),Olivet Nazarene,11,6,"04/13/2019, 12:20",Pool A,Final
North Park,Kalamazoo,12,3,"04/13/2019, 14:00",Pool A,Final
Knox,Wheaton (Illinois),6,7,"04/13/2019, 14:00",Pool A,Final
Valparaiso,Olivet Nazarene,9,4,"04/13/2019, 14:00",Pool A,Final
North Park,Olivet Nazarene,0,0,"04/14/2019, 09:00",Pool A,Scheduled
Knox,Valparaiso,0,0,"04/14/2019, 09:00",Pool A,Scheduled
Wheaton (Illinois),Kalamazoo,0,0,"04/14/2019, 09:00",Pool A,Scheduled
b,r,e,a,k
brackets,Bracket Play
bracket,Championship Bracket
North Park,Wheaton (Illinois),7,5,"04/27/2019, 12:45",1st Place,Final
North Park,Knox,4,3,"04/27/2019, 10:45",Semifinals,Final
Wheaton (Illinois),Valparaiso,11,9,"04/27/2019, 10:45",Semifinals,Final
bracket,3rd Place Bracket
Knox,Valparaiso,7,6,"04/27/2019, 12:45",3rd Place,Final
b,r,e,a,k
