Jersey Devil 8,College - Women ,23,3,2019
https://play.usaultimate.org/events/Jersey-Devil-8/schedule/Women/CollegeWomen/
West Chester,1
0,Elena Duran
0,Emily Long
0,Hannah  Spoerl
0,Hannah Marin
0,Jess Rittenhouse
0,Jessica Schmdit
0,Kaelyn  Cooper
0,Kelly Sullivan
0,Kiersten Adams
0,Anna Dyska
0,Anna Malone
0,Bridgette Browder
0,Charlotte Bruecks
0,Clerisse Lardieri
0,Aislinn Tobin
0,Alexandra Warshaw
0,Lauren Nigro
0,Lindsay Arnold
0,Rachel Alfano
0,Sierra Snyder
0,Taylor Flor
2,Nayah Cruz
5,Lindsay McKenna
9,Lisa Toroni
10,Sydney Eller
12,Virginia Korrell
14,Laura Black
16,Kyleigh Shuster
18,Kristen Henry
21,Dunya Markovic
24,Anna Clark
b,r,e,a,k
Wellesley,4
0,Chloe Frantzis
0,Helene Koumans
0,Riann Tang
0,Samantha Stewart
2,Lily Xu
7,MollyAn Killingbeck
9,Lauren Tso
12,Tamara Deshong
13,Grace Callahan
17,Adrianna Tan
31,Kalauonaona Tanaka-Pesamino
36,Olivia Postel
37,JULIA KLUGHERZ
44,Karina Lin
45,Grace Chen
47,Giulia Bronzi
48,Teresa Li
b,r,e,a,k
Amherst,5
0,Charissa Doerr
0,Gussie Hollers
0,Jacqueline Brooks
0,Anne Marie Langan
0,Kayla Hall
0,Kelley Baumann
0,Logan Deming
0,Maja Johnson
0,Maya Bulos
0,Petra Zuniga
5,Mackenzie Stein
25,Lily Hunter
31,Allison Tennant
38,Carly Drost
88,Julia Pike
b,r,e,a,k
Temple,8
0,Carly Steiner
0,Gaby Muñoz Sánchez
2,Emily Brady
3,Charlotte Nesbitt
5,Ruth Philip
6,Casey Tsou
7,Catherine Scott
10,Benish Benjamin
11,Emily McKittrick
12,Erin Curry
13,Sofia Spadotto
15,Kenagh Babcock
16,Alyssa Colella
17,Kirah  Brown
18,Miranda Abazoski
23,Olivia Alongi
26,Maria Buxton
27,Isabel Liston
28,Senah Guynes
29,Isabel Hunt
33,Christina Holgado
60,Chiara Vea
67,Julia Larma
69,J'Lynn Matthews
72,Tolu Olubajo
99,Sarah Rowley
b,r,e,a,k
Ithaca,9
0,Alexandra Barrett
0,Caitlin McGowan
0,Emily Mildner
0,Erica Bouton
0,Hope Porrazzo
0,Kathryn Proia
0,Laura OBrien
0,Marlee Brooks
0,Nataliya Yalanzhi
9,Brigid Long
10,Cassandra Logedo
10,Tiara Borneman
14,Lydia Lepinski
17,Jaye Kayne
44,Madison Zaccagnino
b,r,e,a,k
Syracuse,10
0,Rebecca Reape
2,Melanie Albanese
6,Megan  Wilson
8,Rachael Church
09,Elizabeth Jamison
10,Joy Replogle
16,Caroline Noone
18,Tatiana Ablaeva
19,Megan Kirby
20,Daria Latvis
22,Miranda Ciardulli
30,Katherine O'Connell
36,Hayley Sussman
72,Qiang Qiang
b,r,e,a,k
Skidmore,7
00,Brenna Green
00,Caitlin  Kilgore 
00,Claire Slattery
00,Daphne Moskofides
00,Elizabeth Picken
00,Emma Hulbert
00,Gina Pryciak
00,Grace Wehrle
00,Isabel  Blumenthal
00,Justine Bolling
00,Liana Heath
00,Mira Kauffman-Rosengarten
00,Olivia Kupiec
00,Quinn Campbell
00,Sammi Smith
00,Sarah Jones
00,Shaylan Kolodney
00,Sophia Spelman
00,Sophie Wolfman
00,Sylvana Szuhay
b,r,e,a,k
SUNY-Binghamton,6
0,Diana Weiss
0,Kylie McClay
0,Leslie Huang
4,Sarah Sheldon
5,Kathryn Fiddes
7,Tanya Nasra
8,Piper Van Kerkhove
06,Brianna Galloway
10,Danielle Dattler
11,Jamie Hong
12,Kelly O'Mara
14,Samantha Gonzalez
15,Hailey Henesh
16,Rebecca Brown-Weinstock
21,Brooke Pagano
22,Alyssa Pelkey
23,Reilley Blue
47,Sarah Bases
b,r,e,a,k
Ottawa,2
02,Abby Millar
08,Jasmine McKnight
11,Gwyneth  Ross
14,Claire Renaud
17,Hollie McCorkell
19,Anne-Martine Doucet
20,Lydia Wong
39,Cassandra Jaffray
45,Ingrid Bryson
92,Anika Gnaedinger
96,Francesca Savard
98,Sophia Stavropoulos
b,r,e,a,k
Lehigh,3
0,Aimee Teplitskiy
0,Ashley Wilhelm
0,Caroline Smith
0,Elly Labay
0,Emma Mirabelli
0,Fiona Nugent
0,Laura Marsiglio
0,Rebecca Cohen
0,Rebecca Salsburg-Frank
0,Ryan Loftus
3,Claire Ternes
8,Mary Patwell
9,Nicole Vasoll
10,"Mariel  Weigel ""Wabs"""
13,Alexa Herzog
15,Sarah Cookson
20,Erin Dillon
30,Belle Sullivan
45,Monica Powers
67,Nora Abbott
77,Hannah Flaherty
80,Allison Codi
88,Lexi Meisse
93,Anna Sivinski
97,Kelly Skewis
b,r,e,a,k
Pennsylvania (B),14
0,Aubrey Luk
0,Caroline Melly
