Mardi Gras XXXII,College - Women ,2,3,2019
Baton Rouge,LA,2019-03-02,2019-03-03
https://play.usaultimate.org/events/Mardi-Gras-XXXII/schedule/Women/CollegeWomen/
Mississippi State,1
0,Aygul Brown
0,Caitlin Donovan
0,Erin Jambon
0,Jordan Warren
0,Mary Cagle
0,Zoe Phyfer
3,Gabriella Harmon
4,Ashley Prather
5,Emily Porterfield
6,Angela Provenzano
14,Kayla Bannister
16,Meredith Maynard
17,Hannah Accardy
18,Grace Robinson
20,Paige Spacek
21,Jamie Taylor
25,Courtney Sapp
31,Natalie McNeely
88,Anna Crawford
b,r,e,a,k
Alabama,5
0,Alison Brooks
0,Corrie LaBelle
0,Grace  Henshall
0,Kate Coggins
3,Faith Madigan
4,Brooke Schoepp
5,Hannah Van Cleve
6,Hallie Hudson
7,Francesca Rascati
10,Leah Price
16,Madison Nickel
19,Julia Becker
22,Andrea Anger
23,Sarah Klusendorf 
25,Emily Snyder
27,Caroline Lawrence
33,Sara Lang
47,Miranda Pasquarella
50,Rachel Hughes
b,r,e,a,k
Texas Christian,4
0,Olivia Jones
3,Addyson Epp
4,Callista Benavides
7,Alexandra Ramirez
8,Abby Evans
11,Mai Trinh
13,Catherine Sexton
15,Alexis Moorer
17,Emi Short
21,Sarah Miller
23,Gaby Janssen
24,Ariha Nava
28,Cristina Carreon
96,Sam Kennemer
b,r,e,a,k
North Texas,8
0,Alyssa Ytuarte
0,Brianna  Grammatico
0,Eva Bils
0,Hannah Burwell
0,Jailene Jimenez-Rojas
0,Keila Rios
0,Megan McKinney
0,Nina Moriarty
0,Sarah Jessie
8,Holli Foley
9,Michelle Guan
b,r,e,a,k
Sam Ladies Ultimate Team,9
00,Kristin Moore
05,Ya Chih Cheng
10,Caeleh Hibbard
12,Amy Soto
15,Tia Johnson
22,Ashley Allen
25,Callie Molano
b,r,e,a,k
LSU,2
02,Alexa Schleter
03,Monique Theriot
04,Madalyn Navarro
05,Jaycie Macdonald
11,Alexis White
18,Laura Russinsky
20,Brianna Mouton
22,Bella Doucet
23,Janice Bourgeois
24,Wenyu Xu
44,Madison Avery
55,Hannah Schroeder
b,r,e,a,k
Central Florida,3
0,Allison Krueger
0,Bethany Higgins
0,Blake Harris
0,Irene Tanner
0,Katherine Majewski
0,Paige Bryant
0,Sabrina Gahabka
8,Alissa Kranites
11,Sarah Cobbs 
14,Nikole Strandquest
17,Caitlyn Lucey
21,June Cera
23,Rachel Roberts
b,r,e,a,k
Indiana,7
0,Ella Schnefke
0,Kate Snelling
0,Krista Bozacki
06,Shannon Regan
09,Audrey Boedeker
12,Alexa Grendys
14,Alicia Freel
15,Hanna Bilimoria
17,Neeli Kasdorf
19,Alyson Ferguson
21,Clara Valentine
23,Grace Kidwell
24,Aubrey Motherwell
25,Delaney Johnson
33,Casey Walker
55,Bente Bouthier
69,Abigail Stark
91,Blair Morton
99,Kelli McCurdy
b,r,e,a,k
Mississippi,6
0,Abney Brewer
0,Ainsley Priakos
0,Akshaya Vijayasankar 
0,Anna Brock
0,Anne Caroline  Donahoe 
0,Casey Webb
0,Delaney Smith
0,Elizabeth Condra
0,Helen Colquett
0,Lane Colquett
0,Rachel McKellar
0,Sophie Husslein
4,Hannah Farnlacher
19,Maggie Hubbard
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pool Play
pool,Pool G
Mississippi State,Sam Ladies Ultimate Team,13,3,"03/02/2019, 08:00",Pool G,Final
Alabama,North Texas,13,5,"03/02/2019, 08:00",Pool G,Final
Mississippi State,Alabama,11,7,"03/02/2019, 09:45",Pool G,Final
Texas Christian,North Texas,12,4,"03/02/2019, 09:45",Pool G,Final
North Texas,Sam Ladies Ultimate Team,13,3,"03/02/2019, 11:45",Pool G,Final
Texas Christian,Alabama,7,10,"03/02/2019, 11:45",Pool G,Final
Mississippi State,North Texas,W,F,"03/02/2019, 13:30",Pool G,Final
Texas Christian,Sam Ladies Ultimate Team,13,1,"03/02/2019, 13:30",Pool G,Final
Mississippi State,Texas Christian,13,3,"03/02/2019, 15:15",Pool G,Final
Alabama,Sam Ladies Ultimate Team,13,5,"03/02/2019, 15:15",Pool G,Final
pool,Pool H
LSU,Mississippi,11,7,"03/02/2019, 08:00",Pool H,Final
Central Florida,Indiana,14,5,"03/02/2019, 08:00",Pool H,Final
LSU,Indiana,14,4,"03/02/2019, 10:00",Pool H,Final
Central Florida,Mississippi,13,5,"03/02/2019, 10:00",Pool H,Final
LSU,Central Florida,12,11,"03/02/2019, 12:30",Pool H,Final
Mississippi,Indiana,10,12,"03/02/2019, 12:30",Pool H,Final
b,r,e,a,k
brackets,Sunday Bracket Play
bracket,1st Place Bracket
Mississippi State,LSU,0,0,"03/03/2019, 11:30",Finals,Cancelled
Mississippi State,Central Florida,9,7,"03/03/2019, 09:45",Semifinals,Final
Alabama,LSU,6,13,"03/03/2019, 09:45",Semifinals,Final
Central Florida,Texas Christian,11,5,"03/03/2019, 08:00",Quarterfinals,Final
Alabama,Indiana,10,7,"03/03/2019, 08:00",Quarterfinals,Final
bracket,3rd Place Bracket
Central Florida,Alabama,0,0,"03/03/2019, 11:30",3rd Place Finals,Cancelled
bracket,5th Place Bracket
Texas Christian,Indiana,10,6,"03/03/2019, 09:45",5th Place Finals,Final
b,r,e,a,k
pools,Sunday Pool Play
pool,7th Place Pool
Mississippi,Sam Ladies Ultimate Team,W,F,"03/03/2019, 08:00",7th Place Pool,Final
North Texas,Sam Ladies Ultimate Team,0,0,"03/03/2019, 09:45",7th Place Pool,Cancelled
North Texas,Mississippi,0,0,"03/03/2019, 11:30",7th Place Pool,Cancelled
b,r,e,a,k
