Ohio Valley D-I College Men's Regionals,College - Men ,4,5,2019
Allentown,PA,2019-04-27,2019-04-28
https://play.usaultimate.org/events/Ohio-Valley-D-I-College-Mens-Regionals-2019/schedule/Men/CollegeMen/
Pittsburgh,1
0,Aiden Landis
0,Brian Ward
0,Myles Cooper
0,Will Helenski
7,Christopher Ng
11,Leo Warren
12,Kevin Tsui
13,Andrew Lehmberg
17,Matthew Hanna
21,Dillon Garrett
21,Noah Robinson
24,Will Hoffenkamp
29,Hafeez Shams
33,Max Thompson
34,Henry Ing
35,Dan Goldstein
37,Noah Weintraub
41,Harry McNamara
42,Ben Morgenstern
47,Marcel Oliart
49,Dan Nichols
79,Michael Ing
84,Alex Spenceley
b,r,e,a,k
Ohio State,2
0,Ryan O’Brien
1,Jason Lee
3,Evan  Berry
4,Timothy Harmody
6,Mark Luke
7,Luke Groom
9,Marshal Paz
10,Rishi Nair
11,Nicholas Ondrejko
12,Sion Agami Contreras
13,Jackson Shorey
16,Anthony Sanderell
17,Marcus Perry
18,Axel Agami Contreras
21,Alex Rudy
23,Jack Engle
24,Michael Verma
27,Chase Gregory
33,Kyler Waites
51,Andrew Kramer
69,Hartley Stevenson
91,Noah Krumme
92,Neil Taylor
98,Zachary Braun
b,r,e,a,k
Carnegie Mellon,5
0,ADAM VILLAFLOR
0,Alden Pritchard
0,James Crews
0,Wyatt Brooks
2,Manav Anand
2,Ryan Hoffman
3,Kaizad Taraporevala
5,Scott Harvey-Arnold
7,Theo Gonzales-Tapley
7,Mani Jahani
8,Clifford Ressel
9,Kyle Jannak-Huang
11,Joel Miller
12,Eric Ricci
12,Foster Boales
15,Nick Amano
17,Jasper Tom
20,Peter Zaccardi
26,Ryan Harty
29,JJ McMonigal
30,ThomasJae Garcia
35,Alton Olson
61,Eric Li
b,r,e,a,k
Ohio,3
0,Colin Heslet
01,Gage Feola
04,Drew Oyer
07,Mike Kline
08,Michael Kromer
09,Christopher Wohl
10,Kyle Henn
11,Jason Wherry
12,Zachary Wigington
13,Nic Gill
