TCT Select Flight Invite - East 2019,Club - Mixed ,27,7,2019
Columbus,OH,2019-07-27,2019-07-28
https://play.usaultimate.org/events/TCT-Select-Flight-Invite-East-2019/schedule/Mixed/Club-Mixed
Chalice,12
teamInfo,,"St. Louis, Missouri",,,
0,Daniel Brennan
0,Eliza Hutchings
0,Elizabeth Honigfort
0,Gabriella Lavezzi
0,Justin Van Sant
0,Kate Halloran
0,Mason Zetsch
0,Megan Woodring
0,Neil Wessling
0,Ryan Jarvis
0,Samantha Cohen
4,Matt Nuoffer
4,Henry Sundermann
6,Emma Randolph
7,Cody Fox
7,Michael Faaborg
9,Stephenie Wang
15,Ben Clark
21,Nathaniel Mahieu
26,Grant Eschmann
29,Stephen Hawkins
37,Mary Hermann
98,Julia Schroeder
b,r,e,a,k
Storm,8
teamInfo,,"Charlotte, North Carolina",http://www.cltstorm.com,https://www.facebook.com/CharlotteStormUltimate/,https://twitter.com/CLTstorm
0,Aaron Coble
0,Eric Olson
0,Grace Engle
0,Cacey-Jane Bunch
0,Matthew May
0,Matthew Cameron
0,Nathan Lyle
0,Paul Grabowski
0,Samuel Lee
0,Sarah May
0,Sean Kelley
0,Sharon Crawford
6,Dylan Welchman
7,Jessica Grabowski
9,Miller Yoho
12,Philip Hadwiger
13,Jocelyn Keung
19,Alyssa Belsito
22,Brian Casey
28,Andrew Gruninger
30,Savannah Hadwiger
33,Abigail Barry
49,Bethany McDill
49,Sullivan Wilkes
b,r,e,a,k
Columbus Cocktails,1
teamInfo,,"Columbus, Ohio",,,@cbusmixed
0,Ben Sever
0,Eliot Alexander
0,Elizabeth Diamond
0,Emily Barrett
0,Caitlin Duffner
0,Cara Sieber
0,Jeffrey Brauning
0,Jordan O'Neill
0,Lexie Thomas
0,Lloyd Furuta
0,Michael Kromer
0,Neil Taylor
0,Stacy Lu
2,Sion Agami Contreras
2,Funing Zhang
2,Alex Flamm
4,Zachary Braun
4,David Valentine-Elam
9,Ryan Kindell
11,Jackie Matonis
14,Emily Steedman
17,Benjamin Reith
18,Axel Agami Contreras
22,Mallory Griffith
43,Chloe Lim
47,Phil Cherosky
88,Madeleine Pletzke
b,r,e,a,k
Bird,13
teamInfo,,"Minneapolis, Minnesota",http://www.birdultimate.com/,https://www.facebook.com/BirdUltimate,https://twitter.com/MNBirdUltimate
01,Adam Meckstroth
02,Brian Wilson
03,Greta Friedrichs
04,Katherine Wilmes
05,Samuel Hedrick
06,Michael Ruble
07,Sarah Delany
09,Samantha Peterson
10,Erin Mirocha
12,Aidan Clements
14,Jessica Hendrickson
15,Morgan Harris
16,Carly Siewert
17,Mikayla Yoder
19,Kevin Harrow
22,Natalie Cooper
24,Sumaya Mohamed
25,Jacob Salzman
27,Leslie Boey
33,Dustin Rooffener
41,Jacob Mutch
50,Jacob Raatz
52,Vivian Hett
79,Victoria  Snyder
81,Tyler Meyer
97,Steven Anderson
b,r,e,a,k
Wild Card,2
teamInfo,,"Boston, Massachusetts",http://www.wildcardultimate.com/,https://www.facebook.com/wildcardult,https://twitter.com/WildCardult
2,Reba Havis
3,Ian Engler
4,Alexander Curreri
4,Hannah Crowley
5,Andrew Pillsbury
6,Jac Carreiro
7,Maxwell Rick
8,Connor Fortin
9,John Rahill
11,Lloyd Olson
12,Andrea Brown
15,Claire Dunn
17,Tamar Austin
22,Kayla Huddell
23,Jodi Robert
27,Sarah Judd
30,Kyle Johnson
31,Sarah Hansen
33,Margo Urheim
35,Cody McInnis
37,Matthew Heath
46,Luke Webb
73,Katharine Sullivan
84,Alex Kapinos
87,Nate August
88,Hailey Alm
b,r,e,a,k
Woodwork,7
teamInfo,,"Omaha, Nebraska",,http://www.facebook.com/woodworkulti,http://www.twitter.com/woodworkulti
0,Brad Ashley
0,Cat  Henning 
0,Erin Healey
0,Grant Maynard
0,Hannah DeVault
0,Christa Fisher
0,James West
0,Jonathan Kramer
0,Kayla Anderson
0,Kersten Hanson
0,Michael Atsma
0,Rebecca Kramer
0,Trevor Rice
3,Richelle Rock
7,Zachery Mahler
7,Isaiah  Moore
9,Samantha Gillen
11,Miranda Neil
11,Austin Wehrwein
13,Cole Petsche
14,Kelli Rice
28,Andrew Curry
32,Nicole Lenczowski
33,Emily Wehrwein
42,Chas Busch
51,Isaac Entz
71,Dayton Wright
b,r,e,a,k
JLP,11
teamInfo,,"Atlanta, Georgia",,,
02,Thomas Bailey
03,Rachel Thurston
04,Elizabeth Leon
05,Leah Barlow
06,Gracie White
08,Max Leonard
09,Erin Chun
10,Ishaan Dave
11,William Sloane
12,Jennie Wainer
13,Yusuf Abdullah
14,Jacob Zirbel
15,Anna Glass
16,Leah Gilbert-Odem
20,Caroline Pearson
21,Daniel Jones
22,Meghan Murphy
23,Zachary Cole
30,Benjamin Breault
33,Brianna Stedman
34,Kristi Huang
36,Will Frolich
37,Jonathan Clark
42,Devin Cox
44,Aaron Claytor
54,Nick Riker
99,Amy Kruse
b,r,e,a,k
Tequila Mockingbird,14
