USA Ultimate National Championships,Club - Mixed ,24,10,2019
San Diego,CA,2019-10-24,2019-10-27
https://play.usaultimate.org/events/USA-Ultimate-National-Championships-2019/schedule/Mixed/Club-Mixed
BFG,8
teamInfo,,"Seattle, Washington",,,https://twitter.com/SeattleBFG
02,Kimberly Schlesinger
03,Mario O'Brien
05,Reid Koss
07,Kerry Chang
08,Kodi Smart
10,Julia Bladin
11,Austin Barden
12,Marc Anthony Munoz
13,Nariah-Belle Sims
16,Judith Yeo
17,Thomas Li
19,Jonas Golden
20,Alexa Kirkland
21,Benjamin McGinn
24,Lucas Davies
26,Andi Coleman
27,Jeffrey Pape
28,Leah Bar-On Simmons
29,Jimmy Hooper
30,Sarah Benditt
32,Alissa Soo
33,AnnaMaria Pape
44,Stephen Gussin
88,Lili Gu
89,Jay Boychuk
b,r,e,a,k
Drag'n Thrust,1
teamInfo,,"Minneapolis, Minnesota",http://www.dragnthrust.com,https://www.facebook.com/dragnthrust,https://twitter.com/dragNthrust
coaches,John Groess
02,Brett Sullivan
03,Patrick Niles
04,Erica Baken
05,Ellie Sjordal 
06,Logan Weiss
07,Blake Trantina
08,Greta Regan
09,Emily Regan
10,Erin McCann
12,Marty Adams
13,Jacob Lien
14,Austin Lien
16,Brian Schoenrock
17,James Hron
18,Sam Berglund
19,Tavis Leighton
20,Neal Hanke
22,Kathryn Ritzmann
24,Holly Denecour
26,Rebecca Ludford
30,Leo Sovell-Fernandez
31,Maggie Peck
33,Jaime Glader
43,Bryan Vohnoutka
44,Sarah Meckstroth
49,Caleb Denecour
59,Claire Thallon
b,r,e,a,k
Superlame,16
teamInfo,,"Asheville, North Carolina",,,https://twitter.com/SuperLameUlti
01,Ruth Stokes
04,Christopher Cosgrove
05,Taylor Pope
06,Sara Dieter
07,Michaela Dube
08,Matthew Rushing
09,Ryan Sitler
10,Ann Araps
11,Joel Wooten
15,Ingrid Humphrey
16,Kelly Sullivan
17,Catherine Yackey
18,Allison Bashford
19,Rachel Johnson
25,Sara Gibson
27,Maureen McCamley
32,Karl Ekwurtzel
34,Ray Davenport
37,Ben Dieter
42,Jeff Nordgren
66,Simone Whale
81,Sean Murray
86,Ryan Stokes
99,Andrew Cohen
b,r,e,a,k
shame.,9
teamInfo,,"Fort Collins, Colorado",,https://www.facebook.com/shame.ultimate/,https://twitter.com/ultimate_shame
00,Kevin Herrera
02,Hugh Carey
03,Kelcie Glick
06,Ashley Daly Morgan
07,Kevin Coulter
08,Jon Snyder
09,Kiera Lindgren
10,Doug Stenclik
11,Nicholas Lance
14,Jade McLaughlin
20,C Ryan Morgan
21,Joseph Anderson
22,Elizabeth Murphy
23,Peter Raines
24,Zackary Fleming
25,Marilyn Reich
26,Owen Westbrook
33,Alexandra Daniels
35,Ryan Pesch
48,Aubree Dietrich
51,Spencer Tibbs
52,Nicholas Snuszka
56,Danielle Love
69,Adrienne Altobelli
85,Vinny Fiacco
88,Kasey Anderson
97,Sarah Pesch
b,r,e,a,k
Seattle Mixtape,2
teamInfo,,"Seattle, Washington",,https://www.facebook.com/206ghettobirds/,https://twitter.com/SeattleMIXtape
01,Kieran Kelly
02,Kahyee Fong
03,Cam Bailey
04,Kat Songer
06,Bryson Fox
07,Henry Phan
09,Jennifer Cogburn
10,Lexi Garrity
11,Michael Brisbois
12,Abby Hecko
14,Reed Hendrickson
15,Hazel Ostrowski
16,Zach Sabin
18,Emily  Cai
19,Alexa Romersa
20,Adam Simon
21,Jesse Bolton
22,Evan Klein
23,Nicola Bruce
24,Zhi Chen
27,Dominic Cavalero
28,Deb Scheibe
32,Emily Smith-Wilson
33,Sophia Palmer
34,Brian Stout
