2021 U.S. Open Club Championships,Club - Men ,7,8,2021
Blaine,MN,2021-08-06,2021-08-09
https://play.usaultimate.org/events/2021-US-Open-Club-Championships/schedule/Men/Club-Men/
Sockeye,1
0,Jacob Janin
02,Brice Dixon
03,Thomas  Kulczak
05,Nathan Kwon
06,Phil Murray
07,Julian Childs-Walker
08,Brent Lo
09,Simon Montague
10,Dongyang Chen
11,Christian Foster
12,Assaf Golan
12,Garrett Martin
16,Trent Dillon
17,Martin Le
19,Stanley Birdsong
22,Declan Miller
24,Tony Venneri
25,Nick Stuart
27,Dylan Freechild
30,Matthew Russell
31,Matthew Rehder
34,Zeppelin Raunig
59,Noah Coolman
74,Mac Hecht
77,Ben Snell
89,Milan Ravenell
b,r,e,a,k
DiG,8
6,Cole Moore
6,Rocco Essex-Linehan
8,Nick Patel
9,Solomon Rueschemeyer-Bailey
02,Ryan Dinger
03,Gabriel Colton
05,Noah Backer
10,Braden Eberhard
10,William Stewart
13,Brendan McCann
16,Nathaniel Dick
16,Turner Allen
19,Jac Carreiro
22,Cole Davis-Brand
24,Henry Babcock
25,Ilya Yudkovich
27,Orion Cable
28,Ethan Fortin
32,Gus Norrbom
44,Tyler Chan
48,Ben Horrisberger
65,Topher Davis
99,Josh Markette
b,r,e,a,k
Black Market I,12
00,Alex Straczek
00,Brandon Allen
00,Gavin Babbitt
00,Mauricio Galeano Rios
00,Jake Blatt
00,Jeff Robinson
00,Joe Sidrys
00,Josh Van Cleave
00,Justin Forman
00,Kevin Zhang
00,Matthew Lemaitre
00,Nate Cinnamon
00,Nathan Kinsinger
00,Sam Kerner
00,Scott Klein
00,Thomas Glass
01,Daniel Vockeroth
05,Zach Kieffer
22,Brian Rathunde
23,Ryan Smith
31,Nicholas Golini
40,Canaan Murray
59,Brett Ploussard
66,Jacob  Cuthbert
76,Girolamo S Kelly
b,r,e,a,k
Chicago Machine,2
0,Eli Artemakis
5,Johnny Bansfield
02,Joey Kennedy
04,Patrick Shriwise
06,Nico Lake
09,Jeffrey Weis
10,Von Alanguilan
12,Tim Schoch
13,Alex Evangelides
14,Victor Luo
16,Yiding Hou
17,Keegan North
19,Paul Arters
26,Peter Graffy
30,Jack Shanahan
31,Walden Nelson
32,Sam Kanner
33,Kyle Rutledge
55,Pawel Janas
91,Joe White
92,Raymond Lu
94,Jason  Vallee
b,r,e,a,k
SoCal Condors,7
00,Clark Wang
00,Daniel Mah
00,Elliot Warner
00,Garrett Santi
00,Grady Watkins
00,Jonathan Helton
00,Jordan Queckboerner
00,Brandon Severson
00,Bryce Lozinski
00,Matt Miller
00,Mitchell Steiner
00,Seamus Robinson
03,Michael Tran
04,Scott Radlauer
09,Maxwell Hume
13,Mark Leggio
14,William Turner
17,Kenrick Koo
18,Kyle Rubin
19,Jeff Silverman
42,Marcel Osborne
80,Travis Dunn
81,Calvin Brown
88,Samuel Fontaine
b,r,e,a,k
Emerald City,11
01,James Freed
02,Chris Bubernak
05,Tomas Delgado
07,Robert Geer
08,David Atwood
09,Spencer Lofink
12,Casey Aldridge
14,Alex Walsh
17,Michael Sylvester
18,Robert Farwell
20,Adam Simon
21,Oliver Newland
23,Jeff Zhao
25,Max Lang
26,Max Ramstad
27,Cameron Houghton
30,Parker Howard
35,Justin Ting
43,Kai Durvasula
44,Corbin Atack
48,Jake Ritmire
76,YiCheng Tsai
97,Zack Smith
b,r,e,a,k
Rhino Slam!,6
0,Theodore Sither
