2021 USA Ultimate Masters Championships,Masters - Mixed ,16,7,2021
Aurora,CO,2021-07-16,2021-07-18
https://play.usaultimate.org/events/2021-USA-Ultimate-Masters-Championships/schedule/Mixed/Masters-Mixed/
Slower,1
teamInfo,,"Boston, Massachusetts",,,
0,Auralyn Mackenzie
0,Jacob Taylor
01,Dave Truesdale
03,Sophia Vargas
04,Thomas Ferguson
07,Kirsten Lundquist
08,Peter Prial
09,Jeff Smith
12,Christopher Waite
15,Caitlin Fitzgerald
21,Stephen Sullivan
22,Alexi Zalk
24,Andy Schachter
25,Alexander Trahey
26,Rachael Westgate
27,Ernest Svenson
28,Kaelin Mackey
30,Hannah Baranes
43,Jon Hirschberger
44,Krystal Ferguson
44,Lauren Truesdale
64,Jamie Quella
71,Julie Sussman
84,Dan Bush
88,Frank Fellone
89,Annie Fisher
b,r,e,a,k
Antiques Roadshow,20
teamInfo,,"Asheville, North Carolina",http://www.ashevilleultimate.org/club,https://www.facebook.com/AshevilleUltimate,
01,Shelly Johnson
02,Jordan Braschler
06,Ryan Stokes
07,Monique Ferguson
08,Ruth Stokes
10,Cody Pennington
11,Sarah Clark
12,Sara Stahlman
16,Christy Fletcher
17,Sean Geeran
20,Christopher Billman
23,Daniel Brown
24,Bryan Anders
25,Kyle Silva
26,Amy Gilbert
27,Linden Blaisus
36,Dan  Wiegert
37,Jason Yagielo
42,Matt Gordon
73,Virginia Conover
78,Sarah Bradshaw
86,Emily Wiegert
97,David Goldsmith
99,Rebecca Colbert
b,r,e,a,k
Hoarse and Draggin',16
teamInfo,,"Fort Collins, Colorado",,,
00,Abigail Keeler
00,Amanda Benedict
00,Christopher Schasse
00,Coit Stevenson
00,Courtney Ngai
00,Daniel Ricci
00,David Walters
00,Elizabeth McCullagh
00,Elizabeth (Ibby) Boese
00,Emma Richardson
00,Greg Ericksen
00,Heyward Gualandi
00,Jason Laxague
00,Joel Walters
00,Keith Richardson
00,Lee Loucks
00,Marie Haas
00,Martin McCullagh
00,Marvin Vuong
00,Megan Bultema
00,Miranda Markland
00,Rae Van Sandt
00,Rebecca Everette
00,Robert Borger
00,Sean Jaster
00,Stephanie Freier
23,Philip Campbell
48,Ryan Kelly
b,r,e,a,k
Hey Babe,2
teamInfo,,"Minneapolis, Minnesota",,,
0,Brenna Sund
0,Daniel Collom
0,Patrick Cashman
0,Rachel Elbing
8,Alison Ling
02,Jolien Munsterhuis
03,Kristina Golling
04,Tony Michaelson
06,Tyler McKean
07,Jeremiah Gagner
10,Alex Kensgaard
11,Nathan Woolridge
12,Michael Tschida
16,Lindsay Trosvig
17,Mikhail Golben
19,Brian Larson
25,Patrick Jensen
29,Sam Pepe
31,Anna Shanedling
33,Graham Brayshaw
41,Jenni Konigsburg
47,Vu Nguyen
74,Wade Moravec
78,Jeremy Keiser
88,Emily Woolridge
b,r,e,a,k
Pizza Rats and Bodega Cats,15
teamInfo,,"New York, New York",,,
coaches,Jordan Hupp
00,William Perry
02,Melissa Dunn
