Great Lakes D-III College Men's Regionals,College - Men ,6,11,2021
Holland,MI,2021-11-06,2021-11-07
https://play.usaultimate.org/events/Great-Lakes-D-III-College-Mens-Regionals-2021/schedule/Men/CollegeMen/
North Park,4
0,Andreas Raaket
0,Benjamin Holda
0,Brock Hearl
0,Cedrik Cudmore
0,David Johnson
0,Dominic Cavallo
0,Isaac Ingerson 
0,moise melinte
0,Peter Swanberg
1,Philip Saba
2,Nathan Werling
4,Caleb Ranweiler
8,Tim Clark
10,Gavin Johnson
11,Andrew Kim
13,Matthew Valentine
17,Abel  Rangel 
22,Tristan Beatty
23,Tre Swanlund
23,Christian Martinez
25,Joseph Castaneda
28,Gustaf Shumlansky
34,Derek Johnson
53,Daniel Dwight
57,Jason McGovern
b,r,e,a,k
Butler,1
0,Thomas Pierce
01,Carter Hart
02,Carter VanStone
03,Samuel Ingham
06,Sam Reichenbach
07,Andres Rivera
08,John Horsley
10,Alan Field
11,Jonathan Courts
14,Daniel Field
16,Calvin Prenkert
18,Ben Marischen
19,Aaron Conde
22,Toran Thompson
24,Casey Kelly
26,Gavin Arkinstall
31,Timmy Blader
33,Breckin Judd
50,Nicholas Brenner
53,Erik Stewart
64,Collin Searls
70,David Tuohy
77,Henry Hartley
91,Jack Holmstrom
b,r,e,a,k
Kalamazoo,5
00,Elijah Mobley
00,Eller Studinger
00,Finn Brent
00,Ian Hurley
00,Jackson Willits
00,Jasper Giglio
00,Joshua Roman
00,Leonardo Sarver
00,Max Spitler
00,Michael Bond
00,Nate Zona
00,Curtis Smith
00,Rachel Cornell
00,Thomas Saxton
00,Zachary Worthing
03,Davion Davis
37,Nolan Devine
b,r,e,a,k
Olivet Nazarene,2
0,Bryce Lonowski
0,Cameo Powell
0,Colleen DeVries
0,Hayden  Souza
0,Jacob Griffith
0,Mara Tolley
0,Nathan Wahrman
0,Remmy Robertson
0,Wesley Longacre
3,Timothy Benedict
4,Kaylee Ayres
8,Daniel Seybold
15,Daniel Pietz
19,Luke Wilson
25,Sierra Harris
26,Jacob  Bagley
32,Jace Patacsil
33,Michael Yerge
59,Jordan Verhulst
77,Robert Mueller
83,Ben Mannaioni
b,r,e,a,k
Wheaton (Illinois),3
1,Calvin Stricker
2,Carlson Chiles
3,Bryan Sandahl
3,Henry Gruett
4,Donnie Kahaian
5,Johnny Humphrey
6,Thomas Kerschbaum
7,Grayson McCoy
8,Erik Ostrem
8,Charlie Leys
11,Donovan Gleeson
12,Ryan Jacobsen
13,Cameron Geary
14,Joseph Milligan
17,Collin Kemp
20,Benjamin Barbeau
21,Isaac Matlak
23,Luke Wollan
24,Jadmin Aspegren
25,Luke Thelander
26,Matthew Golz
40,Christian Rothrock
42,Timothy Lumsdaine
60,John Saunders
91,Matthew Wilhite
99,Ethan Roth
b,r,e,a,k
Butler (B),6
04,Benjamin Hasecke
09,Anthony Zacchini
12,Andrew Schmidt
13,John Cunningham
20,Tanner Kutoloski
23,Silas Andersen
25,Austin Graf
28,Manuel Pirker
29,Nicholas Durst
37,Nathan Barry
41,Tristan Rumsey
42,Jack Shannon
43,Josh Cann
44,Matthew Diederich
47,Adam Lammert
51,Hunter Johnson
85,Will Denning
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
North Park,Kalamazoo,15,7,"11/06/2021, 09:00",Pool A,Final
Butler,Kalamazoo,15,3,"11/06/2021, 11:00",Pool A,Final
Butler,North Park,9,11,"11/06/2021, 13:00",Pool A,Final
pool,Pool B
Wheaton (Illinois),Butler (B),13,11,"11/06/2021, 09:00",Pool B,Final
Olivet Nazarene,Butler (B),15,4,"11/06/2021, 11:00",Pool B,Final
Olivet Nazarene,Wheaton (Illinois),10,9,"11/06/2021, 13:00",Pool B,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship
North Park,Butler,15,10,"11/07/2021, 13:00",Championship,Final
North Park,Wheaton (Illinois),10,9,"11/07/2021, 11:00",SemiFinals,Final
Butler,Olivet Nazarene,13,4,"11/07/2021, 11:00",SemiFinals,Final
Wheaton (Illinois),Kalamazoo,9,8,"11/06/2021, 15:00",Pre-Semis,Final
Butler,Butler (B),15,2,"11/06/2021, 15:00",Pre-Semis,Final
bracket,5th Place
Kalamazoo,Butler (B),13,6,"11/07/2021, 09:00",5th Place Game,Final
bracket,3rd Place Game
Wheaton (Illinois),Olivet Nazarene,15,5,"11/07/2021, 13:00",3rd Place,Final
b,r,e,a,k
