Ohio Valley D-III College Men's Regionals,College - Men ,13,11,2021
https://play.usaultimate.org/events/Ohio-Valley-D-III-College-Mens-Regionals-2021/schedule/Men/CollegeMen/
Franciscan,3
0,Luke Forrester
2,Timothy Flickinger
3,JP Duerr
5,Nicholas OBrien
6,Anthony Humphrey
7,Gian Asci
9,Joe Salitsky
10,Dominic Gabriele
11,Joseph Downs
12,Ben Lyle
13,Andrew Lyle
14,Joshua  Feibelman 
17,Stephen Baker
20,Mark Schuster
21,Johnathan Greiner
23,Michael Schuster
26,Christian Greiner
31,Noah Spieldenner
36,Maximilian Schmiesing
42,Alex Spieldenner
54,Matthew Muldoon
88,Peter Zampino III
89,Matthew Evans
b,r,e,a,k
Oberlin,1
01,Jack Povilaitis
04,Ben Fuguet
06,Eli Presberg
07,Colin Cahill
08,Elliott DeGrace
09,Zejian Huang
10,Braque Pike
11,Zihan (Christy) Chen
12,John Sieber
13,Parker Swanson
14,Benjamin Parsons 
15,Xander Cox
17,Noah Zobel
18,Abraham Frolichstein-Appel
19,Batian Pienaar
20,Alex Khater
21,Thuy Son (Shawn) Ho
23,Zachary Marshall
24,Griffin O'Neal-Freeman
25,Julian Bregstone
26,Sagana Ondande
27,Patrick Wai
28,Ian Grochocinski
32,Joshua Turner
34,Lucy Brown
42,Oliver Vickers Batzdorf
80,Christopher Schmucki
98,Amon DeVane
b,r,e,a,k
Swarthmore,8
0,Aaron Thammavongxay
0,Abdul Aziz Jeter
0,Adam Lloyd-Jones
0,Adin Aberbach
0,Brandon Daniel-Morales
0,Brandon Knights
0,Caleb Scott-Joseph
0,Chaitanya Motwane
0,Chelsea Semper
0,Elliott Hendricks
0,Ethan Sheppard
0,Leo Posel
0,Mateo Casalino
0,Maximo  Ellis
0,Miguel Rodriguez Guenther
0,Nathaniel Cox
0,Otis Peterson
0,Rory Schmidt
0,Ryan Jin
0,Ryan Oet
0,Shane Jones
0,Xezel Peshlakai
0,Geoffrey Cater
0,Ivan Fransazov
0,Jacob Weitzner
0,Jasper Ferncrombie
0,Jonathan Lehr
0,Kai Williams
38,Evan McNall
71,Kevin Stewart-Mercurio
