Texas D-I College Women's CC,College - Women ,16,10,2021
Richardson,TX,2021-10-16,2021-10-17
https://play.usaultimate.org/events/Texas-D-I-College-Womens-CC-2021/schedule/Women/CollegeWomen/
Texas,1
teamInfo,Melee,"Austin, Texas",https://texaswomensultimate.github.io/home/,,https://twitter.com/txmelee?lang=en
coaches,Bennett Wachob
0,Abigail Koehn
0,Alysa Chiovatero
0,Caroline OConnell
0,Emma Berrigan
0,Georgia McDonald
0,Grace Updegrove
0,Julia O'Connell
0,Karina Kumar
0,Lauren Gregorczyk
0,Madison Hiu
0,MC Robbins
0,Kaitlin Schaible
0,Rebecca Kroger
0,Sanja Stojcic
0,Sarah Piersall
0,Tamiya Smith
0,Victoria Lowery
0,Victoria Shon
9,Summer Wilson
12,Juliana Thompson
13,Olympia Walker
18,Carolina Bayon
18,Mindy Radike
26,Briana Taylor
42,Brianna Stedman
99,Kaitlyn Hoang
b,r,e,a,k
Sam Houston State,6
teamInfo,Sam Houston,"Huntsville, Texas",,,
0,Jennifer Snedeker
01,Sabrina Hodge
03,Kendall Hartline
04,Makenzie Kuehn
05,Kayli Carrillo
12,Alexandra Soupley
13,Amayah Gabriel
14,Lauren Kintz
15,Lauren Rosales
17,Sarah Stewart
20,Ya Chih Cheng
24,Nicole Peavy
64,Maria Hendrickson
96,Shaylie Mcintire
b,r,e,a,k
North Texas,7
teamInfo,Envy,"Denton, Texas",,,
0,Addison Surrett
0,Amanda  Kass
0,Bailey Locklear
0,Cameryn Griffin
0,Caroline Bentley
0,Danyel Jackson
0,Ehlana Graham
0,Hailey Daniels
0,Hannah Evans
0,Leah Sutton
0,Madelyn Parker
0,Margaret Thomas
0,Sydney Maner
4,Maggie Hicks
8,Holli Foley
b,r,e,a,k
Texas-Dallas,2
teamInfo,Whiplash,"Richardson, Texas",,,
00,Abigail Evans
00,Aleena Syed
00,Allison Chang
00,Anne Chan
00,Elyssa Ducret
00,Emily Banditrat
00,Julia Mihail
00,Kimmy  Wilson
00,Mia Sacco
00,Negin Khakpour
00,Nupur Sampat
00,Rebecca Jackson
00,Rebecca Chase
00,Reyna Garcia
00,Shruthi Subramanium
00,Sydney Morlock
16,Camille Gerstner
23,Elissa Balke
27,Kylee Glenn
31,Emma Bronnenberg
53,Olivia Bonin
b,r,e,a,k
Texas (B),5
teamInfo,Mayhem,"Austin, Texas",,https://www.facebook.com/utexasultimate/,https://twitter.com/tx_mayhem
0,Addison Howell
0,Ana de Salvidea
0,Anna-Marie Coster
0,Autumn Watterson
0,Bhajleen Kaur
0,Cristina Salas
0,Edel Fernandez
0,Elizabeth Collins
0,Hannah Frost
0,Katalia Gensler
0,Madison Lindsey
0,Maura Phalcon
0,Paige Brister
0,Sophia Greenberg
0,Thanh Diep
0,Victoria Isaacks
b,r,e,a,k
Houston,8
teamInfo,Metropolis ,"Houston, Texas",https://uofhwomensultimate.weebly.com/,https://www.facebook.com/groups/MetroUHWomensUltimate/,https://twitter.com/UHMetro
0,Sharon Montes
02,Julia Bennett
03,Carmen Ly
04,Jennifer Li
10,Alexa Unrein
15,Melody Nguyen
17,Kimberly Tran
18,Darian Reynero
23,Ann Nguyen
24,Lauren Sanabria
33,Emma Cade
69,Giselle Galletti
b,r,e,a,k
Texas State,3
teamInfo,Trainwreck,"San Marcos, Texas",,https://www.facebook.com/TexasStateTrainwreck,https://www.twitter.com/txst_trainwreck
coaches,Sean Douglass
0,Abigail Johnson
0,Emily Catalan
0,Hannah Jones
0,Kaitlin Connelly
0,Katie Hoke
0,Kriselle Tubongbanua
0,Madison Morgan
0,Montana Coffee
0,Peyton Bragg
0,Raya Aksland
0,Victoria Hanson
10,Stephanie Moreno Reyes 
15,Princess Ibinayin
16,Jenni McCarty
21,Carley Garrett
23,Wren Vogel
35,Elizabeth Carbajal
43,Samantha Robarts
b,r,e,a,k
Texas A&M,4
teamInfo,Stacked,"College Station, Texas",,https://www.facebook.com/TAMUStacked,
0,Lauren Hocamp
0,Micah  Maguire
0,Myra Dickey
4,Haley Abel
8,Elise Taylor
13,Agatha Scales
14,Cheyenne Allen
22,Jenna Goulart
34,Lindsay Schwartz
71,Carmen Fann
88,Aimee Graham
b,r,e,a,k
Texas-San Antonio,9
teamInfo,Legion,"San Antonio, Texas",,,
coaches,Sarah Lindsay
04,Lindsey Vise
05,Jade Bautista
06,Lamya Seyam
07,Bah Ah
08,Kimbra Ortega
11,Briana Gonzalez
13,Maura Orozco
15,Isabella Livas
19,Natalie Blackburn
20,Camille Cruz
22,Joshlynn Chapa
24,Raneen Aljamal
25,Katherine Furcho
28,Samantha Cantu
37,Yifei Ren
44,Audrey  Ross
77,Lily Jimenez
98,Jeannie Jeon
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Sam Houston State,North Texas,6,5,"10/16/2021, 09:00",Pool A,Final
Texas,North Texas,12,2,"10/16/2021, 10:35",Pool A,Final
Texas,Sam Houston State,13,1,"10/16/2021, 12:10",Pool A,Final
pool,Pool B
Texas (B),Houston,4,2,"10/16/2021, 09:00",Pool B,Final
Texas-Dallas,Houston,9,2,"10/16/2021, 10:35",Pool B,Final
Texas-Dallas,Texas (B),7,5,"10/16/2021, 12:10",Pool B,Final
pool,Pool C
Texas A&M,Texas-San Antonio,12,4,"10/16/2021, 09:00",Pool C,Final
Texas State,Texas-San Antonio,13,2,"10/16/2021, 10:35",Pool C,Final
Texas State,Texas A&M,12,5,"10/16/2021, 12:10",Pool C,Final
b,r,e,a,k
pools,Championship Seeding
pool,Pool D
Texas-Dallas,Texas State,2,8,"10/17/2021, 09:00",Pool D,Final
Texas,Texas State,13,2,"10/17/2021, 10:35",Pool D,Final
Texas,Texas-Dallas,13,0,"10/17/2021, 12:10",Pool D,Final
b,r,e,a,k
pools,Pool Play Completion
pool,Pool E
Sam Houston State,Texas-San Antonio,9,5,"10/16/2021, 13:45",Pool E,Final
Texas (B),North Texas,4,8,"10/16/2021, 13:45",Pool E,Final
Texas A&M,Houston,13,2,"10/16/2021, 13:45",Pool E,Final
Sam Houston State,Texas (B),12,3,"10/17/2021, 09:00",Pool E,Final
Texas-San Antonio,Houston,7,5,"10/17/2021, 09:00",Pool E,Final
Texas A&M,North Texas,13,8,"10/17/2021, 09:00",Pool E,Final
Sam Houston State,Texas A&M,3,13,"10/17/2021, 10:35",Pool E,Final
Houston,North Texas,4,8,"10/17/2021, 10:35",Pool E,Final
Texas (B),Texas-San Antonio,6,7,"10/17/2021, 10:35",Pool E,Final
Texas-San Antonio,North Texas,1,13,"10/17/2021, 12:10",Pool E,Final
Texas (B),Texas A&M,0,13,"10/17/2021, 12:10",Pool E,Final
Sam Houston State,Houston,4,3,"10/17/2021, 12:10",Pool E,Final
b,r,e,a,k
