2022 USA Ultimate Masters Championships,Great Grand Masters - Men ,15,7,2022
Aurora,CO,2022-07-15,2022-07-17
https://play.usaultimate.org/events/2022-USA-Ultimate-Masters-Championships/schedule/Men/great-grand-masters-men/
Surly GGM,1
00,Steve Raymond
00,Richard (Ricky) Eikstadt
06,Andrew Rutledge
07,Paul Anderson
08,Joe Cesario
10,Don Tom
11,Mark Enright
12,Britt Atack
13,Jeremy Alden
14,Tim O'Toole
15,Brent Nystrom
16,David Steglich
17,Dan Rydel
17,Tom Kremer
18,Daniel Terlouw
21,Daniel Zelle
22,David Boardman
25,Daniel McConville
28,Eric Enge
32,Keith Allen
34,John Hock
36,Russ Adams
70,Pericles Nacionales
76,Mike Helmecki
85,Kenneth Faase
86,John Fenske
91,Matty Spillum
99,Trent Troyer
b,r,e,a,k
Silverhorn,8
03,Dave Rosenthal
04,Aaron Jacobs
05,Philip Polzer
07,John Hardt
08,Greg Berbaum
09,Chris Fontes
11,Justin Childs
17,Mark Piper
19,Dean Marrone
20,John Spencer
22,Patrick Alexander
23,Mike Lyle
24,Thomas Smith
27,david zuckerman
29,Andrew Tulchin
31,Drew O'Connor
32,Eric Lyders
37,Louis Bair
39,Gene Calo
40,Michael Galloy
44,Aaron Ketchum
47,Steve Pockross
54,Andrew Jones
66,Jamal Yusof
69,Marc Anievas
71,Kevin Reardon
88,Ken Snyder
b,r,e,a,k
Shelf Life,12
 ,Jimmy Martinez
 ,Jonathan Simon
 ,Jack Cooksey
 ,Shane Sawyer
 ,Tom Wang
0,Wilhelm Thomas
0,Steve Tryon
0,James (J.J.) Connell
0,Jason Desai
0,Mark Dixon
0,Mark Simons
0,Michael Glowczynski
0,Rabah Sbitani
0,Seth Martin
0,Andreas Kahle
0,Anthony Drake
0,Brian Medved
0,Daniel Kahn
0,Derek Stordahl
0,Graham Katz
0,Henry Ferland
b,r,e,a,k
TriAged,13
01,Rich Franck
02,Randy Ricks
05,Tim Brooks
07,Howard Jacobson
08,Christian Schwoerke
09,Jeff Faulkner
11,John Boswell
18,Rich Bolen
21,Ken Rehder
26,Kenneth Taylor
27,Randall Lanier
28,Mike Riley
29,Tim (Sunny) Lo
33,Ed Williford
34,Eric Stein
36,Scott VandeLinde
57,Damian Craig
58,Matthew Bennett
64,Tom Munoz
77,Thomas (Tom) Reid
88,Marc Kessler
98,Charles  Trunnell
b,r,e,a,k
Relics,2
 ,Charles Shane Seal
 ,Lars Fjelstad
00,Mark Driver
00,Nat Taylor
00,Peter Wells
00,Clayton Hurd
00,Colin Smith
00,Daniel Francis
00,Daryl Nounnan
00,Hartti Suomela
00,Ian Appleyard
00,Jens Achenbach
00,Jeremy Clark
00,Jim Middlebrook
00,Joey Stewart
00,Kerry Karter
00,Robert Briant
00,Spencer Reeder
00,Stephen Feldman
00,Stephen LaBonge
00,Steve Joye
00,Tal Tversky
00,Walter VanderSchraaf
00,Aaron Switzer
00,Andrew Murray
00,Anthony Wagner
14,Daniel Powers
16,Peter Nieh
b,r,e,a,k
Kingdome,7
00,Casey Sullivan
00,Chris Page
00,David Chickering
00,Dylan Righi
00,Eric Park
00,Gene Hsu
00,Hans Frederick
00,Patrick Vennebush
00,Pepper Williams
00,Robert Vogel
00,Ryan  Dean
00,Steve Kelly
00,Tai Wu
00,Terrence Crowley
00,thomas knipe
00,Tom Handel
00,Andrew Buermeyer
00,Baird Johnson
00,Bil Elsinger
00,Bill Penrose
00,Bruce Pooler
00,Joseph Feinstein
04,Bryan McGriff
11,Jude LaRene
42,Alex Blanton
99,Jerald Keister
b,r,e,a,k
Zombiemaker,11
 ,Alan Salzberg
0,Angelo Artemakis
0,Chris Oldstone-Moore
0,Chris Wreden
0,Danny Lee
0,Darrin Speegle
0,Dave Donat
0,Eric Newman
0,Jake Stake
0,John Asnis
0,Mark Abney
0,Mark Witherell
0,Mark Lonsway
0,Michael Glass
0,Mike Tomaszewski
0,Noam Frankel
0,Paul Kretkowski
0,Paul Grafing
0,Scott Dietrich
0,Theodore Weldon III
0,Tim Monahan
0,Wayne Tang
0,Alan Mather
0,Alan Villanueva
b,r,e,a,k
Burnt Ends GGM,14
00,Karl Juhnke
03,Chris Conley
05,Curtis Willard
07,Jeff Gates
09,Bradley Strahan
13,Donald Rowen
17,Jeff Vilord
26,Jeff Zaleski
33,Mark Jenesse
35,Shawn Campbell
56,Paul Ullom-Minnich
73,Scott Gensler
88,Jay Davidson
91,Michael Eyerman
97,Travis Mood
b,r,e,a,k
HURT,6
03,Richard Russell
04,Christoph Boshoff
05,Aaron Brown
06,Eric Davis
08,Doug Schwartz
09,Garrett Dyer
10,Christopher Weaver
11,Rex Taylor
13,Nathan Fritze
14,Buck Schneider
15,Peter Winslett
17,Matthew Shaff
23,Louis Lessard
23,Calvin Lin
26,Roland Kays
30,Jonathan Proctor
34,Augie Kreivenas
40,Dan Konisky
43,Richard (Jay) Pigford
44,Brett Marinelli
68,Alan Ellis
88,Christopher Dawson
91,Ed Fox
b,r,e,a,k
No Country 50,3
00,Alex De Frondeville
00,Arnold Sanchez
00,Brian Bishop
00,Daniel Sage
00,Dave Hollander
00,Duane Bronson
00,Eric Olson
