Bourbon Bash 2022,Club - Mixed ,16,7,2022
Lexington,KY,2022-07-16,2022-07-17
https://play.usaultimate.org/events/Bourbon-Bash-2022/schedule/Mixed/Club-Mixed
Memphis STAX,2
teamInfo,,"Memphis, Tennessee",,,https://twitter.com/StaxUltimate
 ,Andrew Amerson
 ,David Beller
 ,John Markham
 ,Savannah Rosevear-Goetsch
0,Mary Cowart
0,Matthew Cook
0,Joseph Branson
0,Kristin Weyenberg
0,Andrew Ohrberg
0,Brittany Thomas
0,Chris Walls
0,Christopher Clowers
0,Colin Smith
0,Connor Scanlon
10,Kyle Raburn
11,Venice Fan
12,Maddie Zaragoza
13,Anukriti Tayal
14,Eli Justice
21,John Laubscher
41,Dillon Joens
43,Lily Zeng
66,Thewi Sriyakul
72,Elizabeth Surbrook
77,Amy Cook
96,Lynx Yuan
b,r,e,a,k
Queen City Gambit,1
teamInfo,,"Cincinnati, Ohio",,,
03,Daniel Carle
04,Michael Horner
05,Connor Shirley
07,Aaron Ho
08,Camilo Barrera
09,eric reed
10,Ben Kempe
13,Janey Vandegrift
14,Evan Mack
15,Aaron Bacon
17,Rachel Monnin
20,Dave Richmond
22,Katherine Fry
25,Josh Keyser
26,Maria Dienger
27,Jacob Royster
31,Emily Kemen
33,Samuel May
37,Grace Heldwein
44,Aislinn DeSieghardt
48,Ryan Grabowski
52,Ian Mack
88,Timothy Hale
96,Chad Estill
99,Maddie Samson
b,r,e,a,k
Hairy Otter,3
teamInfo,,"Nashville, Tennessee",,https://www.facebook.com/HairyOtterUltimate,@HOtterUltimate
0,David Evans
0,Elise Meade
0,Jordan Ellis
0,Joshua Kersey
0,Kelly Murray
0,Malachi Johnson 
0,Rachael Freedman
0,Summer Cavallaro
0,Will Mims
13,Philip Hood
19,Alexandra Hoover
23,Patrick Ryan McVay
26,Samantha Pace
29,Robin Sasseville
30,Holly Pisarchuk
36,Andrew Hayslip
99,Ryan Burnett
b,r,e,a,k
Indiana Pterodactyl Attack (IPA),4
teamInfo,IPA,"Clarksville, Indiana",,https://www.facebook.com/IPA.Ultimate/,
0,Atticus  Baumgartle 
0,Dani Schwegmann
0,Donald Ullery
0,Emery Jonas
0,Fletcher Jonas
0,Halie McNeil Kelly
0,Indigo Jonas
0,Isaac Baumgartle
0,Jade Jonas
0,Jadyn Vessels
0,Jamie Waller
0,Jessica Neal
0,Joel Norfleet
0,Justin Wilson
0,Kristin Francis
0,Laronta Murray
0,Manuel Urquilla
0,Nick Taylor
0,Paulina Gutierrez
0,Philip Hills
0,R.D. Owens III
0,Ray Yeager
0,Russell Hoon
0,Travis Drake
0,Vathana Chan
0,Wyatt Edwards
b,r,e,a,k
MoonPi,5
teamInfo,,"Chattanooga, Tennessee",,,
0,Aasta  Thurman 
0,Alexandria Frost
0,Andrew Tharp
0,Andrew Sinor
0,Anh Bao Tran-Le
0,Anthony Cain
0,Barbie Wright
0,Ben Moody
0,Brandon Staggs
0,Brooke Fowler
0,Charles (Tyler) Luchka
0,Charlotte Purcell
0,Clayton Simons
0,Colie Cain
0,Ema Hagood
0,Emily Bailey
0,Emma Jaschke
0,Kendra Reams
0,Kenneth Andejeski
0,Mary Kate Sheppard
0,Matthew Smith
0,Nathaniel Orquia
0,Rebecca Tankersley
0,Roger King
0,Ruth Middleton
0,Seth Floyd
b,r,e,a,k
Pi+,6
teamInfo,,"Lexington, Kentucky",https://djmjwu.wixsite.com/ultimatepi/ycc-pi,,
coaches,Eric Garwood,Paul Dutille,Mason Montgomery
0,Jack Eads
0,Johnathan Strange
01,Colin Winter
03,John Blair
06,Lula Dutille
13,Joe Wilkie
14,Ezekiel Miller
19,Sabina Dutille
21,Charles Cochran
22,Jeffrey Durrance
43,A. J. Witheril
44,Levi Branan
45,Nate Knowles
46,Isaac Madill
47,Bryan Witheril
53,Jacob Gowan
61,Chris Bauer
69,Christopher Padgett
72,Jake Montgomery
79,Catherine Blair
88,Samantha Montgomery
96,David Durrance
99,Layni Shouse
b,r,e,a,k
s,t,a,g,e,s
pools,Round Robin
pool,Pool A
Queen City Gambit,Memphis STAX,7,15,"07/16/2022, 09:00",Pool A,Final
Hairy Otter,Indiana Pterodactyl Attack (IPA),15,9,"07/16/2022, 09:00",Pool A,Final
MoonPi,Pi+,12,9,"07/16/2022, 09:00",Pool A,Final
Queen City Gambit,Indiana Pterodactyl Attack (IPA),15,8,"07/16/2022, 11:00",Pool A,Final
Memphis STAX,Pi+,12,8,"07/16/2022, 11:00",Pool A,Final
Hairy Otter,MoonPi,14,8,"07/16/2022, 11:00",Pool A,Final
Queen City Gambit,Pi+,11,7,"07/16/2022, 13:00",Pool A,Final
Memphis STAX,Hairy Otter,12,4,"07/16/2022, 13:00",Pool A,Final
Indiana Pterodactyl Attack (IPA),MoonPi,9,5,"07/16/2022, 13:00",Pool A,Final
Queen City Gambit,Hairy Otter,11,8,"07/17/2022, 09:00",Pool A,Final
Memphis STAX,MoonPi,11,8,"07/17/2022, 09:00",Pool A,Final
Indiana Pterodactyl Attack (IPA),Pi+,11,6,"07/17/2022, 09:00",Pool A,Final
Queen City Gambit,MoonPi,14,9,"07/17/2022, 11:00",Pool A,Final
Memphis STAX,Indiana Pterodactyl Attack (IPA),11,6,"07/17/2022, 11:00",Pool A,Final
Hairy Otter,Pi+,14,11,"07/17/2022, 11:00",Pool A,Final
b,r,e,a,k
brackets,Play Offs
bracket,1st Place
Memphis STAX,Queen City Gambit,9,7,"07/17/2022, 13:00",1st Place,Final
bracket,3rd Place
